Orthogroup	A_coerulea.proteins	D_muscipula.proteins
OG0000026	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p	Dm_00006966-RA, Dm_00006968-RA, Dm_00006808-RA, Dm_00005746-RA, Dm_00012208-RA, Dm_00012362-RA, Dm_00004585-RA, Dm_00020406-RA, Dm_00006967-RA
OG0000028	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA, Dm_00006417-RA, Dm_00006319-RA, Dm_00006317-RA, Dm_00005629-RA, Dm_00015141-RA, Dm_00006322-RA, Dm_00006318-RA, Dm_00002878-RA, Dm_00002994-RA, Dm_00005634-RA, Dm_00016871-RA, Dm_00002995-RA, Dm_00006320-RA, Dm_00006321-RA, Dm_00001442-RA, Dm_00001444-RA, Dm_00006805-RA, Dm_00008234-RA, Dm_00012131-RA, Dm_00020576-RA, Dm_00006032-RA, Dm_00006033-RA, Dm_00006031-RA
OG0000030	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p	Dm_00000141-RA
OG0000031	Aqcoe1G289700.1.p	Dm_00013082-RA, Dm_00002750-RA, Dm_00019538-RA, Dm_00005346-RA
OG0000032	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p	Dm_00020696-RA
OG0000034	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p	Dm_00017791-RA
OG0000034	Aqcoe1G366600.1.p	Dm_00013221-RA
OG0000034	Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p	Dm_00008931-RA, Dm_00011829-RA
OG0000035	Aqcoe4G047000.1.p	Dm_00009347-RA, Dm_00019804-RA, Dm_00013588-RA, Dm_00016142-RA, Dm_00011476-RA, Dm_00008453-RA, Dm_00016112-RA, Dm_00020948-RA, Dm_00009091-RA, Dm_00009263-RA, Dm_00010311-RA, Dm_00018793-RA, Dm_00020906-RA, Dm_00020155-RA, Dm_00017462-RA, Dm_00018067-RA, Dm_00015360-RA, Dm_00019589-RA, Dm_00015458-RA, Dm_00015302-RA, Dm_00020794-RA, Dm_00020821-RA, Dm_00019748-RA, Dm_00009316-RA, Dm_00018139-RA, Dm_00021127-RA, Dm_00020916-RA, Dm_00021129-RA, Dm_00013400-RA, Dm_00009416-RA, Dm_00017146-RA, Dm_00004476-RA, Dm_00019777-RA, Dm_00020689-RA, Dm_00012596-RA, Dm_00016854-RA, Dm_00020199-RA, Dm_00002480-RA, Dm_00010976-RA, Dm_00014517-RA, Dm_00020134-RA, Dm_00013034-RA, Dm_00020154-RA, Dm_00020697-RA, Dm_00008021-RA, Dm_00014529-RA, Dm_00008097-RA, Dm_00011036-RA, Dm_00013590-RA, Dm_00014797-RA, Dm_00017147-RA, Dm_00017347-RA, Dm_00015553-RA, Dm_00015915-RA, Dm_00006142-RA, Dm_00019340-RA, Dm_00012552-RA, Dm_00005477-RA, Dm_00009444-RA, Dm_00017621-RA, Dm_00016018-RA, Dm_00019945-RA, Dm_00020020-RA, Dm_00020998-RA, Dm_00015389-RA, Dm_00021023-RA, Dm_00020180-RA, Dm_00014390-RA, Dm_00019977-RA, Dm_00019823-RA, Dm_00017612-RA, Dm_00005252-RA, Dm_00014731-RA, Dm_00013589-RA, Dm_00017153-RA, Dm_00008875-RA, Dm_00007418-RA, Dm_00014166-RA, Dm_00020672-RA, Dm_00014973-RA, Dm_00015361-RA, Dm_00012920-RA, Dm_00009315-RA, Dm_00016781-RA, Dm_00015731-RA, Dm_00020905-RA, Dm_00017152-RA, Dm_00006141-RA, Dm_00015459-RA, Dm_00015688-RA, Dm_00014773-RA, Dm_00016186-RA, Dm_00021112-RA, Dm_00010977-RA, Dm_00004690-RA, Dm_00012631-RA, Dm_00009445-RA, Dm_00013044-RA, Dm_00010513-RA, Dm_00005424-RA, Dm_00019794-RA, Dm_00010265-RA, Dm_00019286-RA, Dm_00020761-RA, Dm_00017489-RA, Dm_00007408-RA, Dm_00003341-RA, Dm_00009486-RA, Dm_00017107-RA, Dm_00016458-RA, Dm_00014057-RA, Dm_00019747-RA, Dm_00015891-RA, Dm_00008064-RA, Dm_00015416-RA, Dm_00015322-RA, Dm_00015314-RA, Dm_00014963-RA, Dm_00016106-RA, Dm_00015300-RA, Dm_00021106-RA, Dm_00014886-RA, Dm_00014418-RA, Dm_00013160-RA, Dm_00012407-RA, Dm_00014984-RA, Dm_00020455-RA, Dm_00020820-RA, Dm_00008305-RA, Dm_00014765-RA, Dm_00020690-RA, Dm_00007956-RA, Dm_00005371-RA, Dm_00017148-RA, Dm_00017461-RA, Dm_00004962-RA, Dm_00017115-RA, Dm_00018523-RA, Dm_00006658-RA, Dm_00020919-RA, Dm_00005423-RA, Dm_00005405-RA, Dm_00015301-RA, Dm_00010247-RA, Dm_00009335-RA, Dm_00020384-RA, Dm_00008434-RA, Dm_00013344-RA, Dm_00009566-RA, Dm_00017048-RA, Dm_00015388-RA, Dm_00002984-RA, Dm_00016019-RA, Dm_00020619-RA, Dm_00013748-RA, Dm_00019990-RA, Dm_00017400-RA, Dm_00014535-RA, Dm_00020789-RA, Dm_00007224-RA, Dm_00019267-RA, Dm_00016141-RA, Dm_00014296-RA, Dm_00017673-RA, Dm_00013912-RA, Dm_00019943-RA, Dm_00018998-RA, Dm_00005354-RA, Dm_00009348-RA, Dm_00019185-RA, Dm_00020580-RA, Dm_00013669-RA, Dm_00016242-RA, Dm_00011926-RA, Dm_00012168-RA, Dm_00015094-RA, Dm_00004430-RA, Dm_00013805-RA, Dm_00020561-RA, Dm_00013700-RA, Dm_00014391-RA, Dm_00019587-RA, Dm_00010312-RA, Dm_00019805-RA, Dm_00018066-RA, Dm_00014766-RA, Dm_00015918-RA
OG0000037	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p	Dm_00011621-RA, Dm_00015941-RA, Dm_00016029-RA, Dm_00020788-RA
OG0000038	Aqcoe4G234200.1.p, Aqcoe7G138400.1.p	Dm_00001699-RA
OG0000038	Aqcoe3G139600.1.p	Dm_00004693-RA
OG0000038	Aqcoe4G206500.1.p	Dm_00018034-RA
OG0000038	Aqcoe3G138700.1.p	Dm_00001698-RA
OG0000038	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p	Dm_00019675-RA, Dm_00001701-RA, Dm_00001700-RA
OG0000040	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p	Dm_00008090-RA, Dm_00014922-RA
OG0000041	Aqcoe6G223300.1.p	Dm_00005610-RA, Dm_00016090-RA
OG0000041	Aqcoe3G017900.1.p	Dm_00004417-RA
OG0000041	Aqcoe2G279000.1.p	Dm_00009275-RA, Dm_00004200-RA
OG0000041	Aqcoe7G114500.1.p	Dm_00010291-RA
OG0000041	Aqcoe1G055500.1.p, Aqcoe1G055800.1.p, Aqcoe1G055800.2.p	Dm_00006869-RA, Dm_00012805-RA, Dm_00020049-RA
OG0000042	Aqcoe2G231200.1.p	Dm_00012006-RA
OG0000042	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p	Dm_00020841-RA
OG0000044	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p	Dm_00010828-RA, Dm_00013428-RA, Dm_00006961-RA
OG0000044	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p	Dm_00009532-RA, Dm_00014819-RA
OG0000044	Aqcoe2G353000.1.p	Dm_00016520-RA
OG0000045	Aqcoe4G228400.1.p, Aqcoe1G252100.1.p, Aqcoe3G105000.1.p	Dm_00003941-RA, Dm_00017951-RA, Dm_00010500-RA, Dm_00020997-RA, Dm_00015551-RA, Dm_00015968-RA, Dm_00012029-RA, Dm_00019438-RA, Dm_00019641-RA, Dm_00016661-RA, Dm_00010691-RA, Dm_00014811-RA, Dm_00019124-RA, Dm_00018192-RA, Dm_00018028-RA, Dm_00019303-RA, Dm_00011471-RA, Dm_00007268-RA, Dm_00016925-RA, Dm_00018031-RA, Dm_00005668-RA, Dm_00011085-RA, Dm_00010390-RA, Dm_00017821-RA, Dm_00010392-RA, Dm_00021107-RA, Dm_00020930-RA, Dm_00018381-RA, Dm_00019838-RA, Dm_00016114-RA, Dm_00020627-RA, Dm_00016899-RA, Dm_00018290-RA, Dm_00007212-RA, Dm_00014648-RA, Dm_00015474-RA, Dm_00018246-RA, Dm_00020736-RA, Dm_00017038-RA, Dm_00015554-RA, Dm_00012391-RA, Dm_00010733-RA, Dm_00006544-RA, Dm_00021071-RA, Dm_00019653-RA, Dm_00016657-RA, Dm_00017273-RA, Dm_00011682-RA, Dm_00017977-RA, Dm_00017380-RA, Dm_00018364-RA, Dm_00009096-RA, Dm_00020542-RA, Dm_00005255-RA, Dm_00014013-RA, Dm_00015817-RA, Dm_00018288-RA, Dm_00005813-RA, Dm_00005889-RA, Dm_00017926-RA, Dm_00013050-RA, Dm_00017429-RA, Dm_00019439-RA, Dm_00019495-RA, Dm_00019561-RA, Dm_00019642-RA, Dm_00021053-RA, Dm_00019753-RA, Dm_00007028-RA, Dm_00011084-RA, Dm_00018527-RA, Dm_00019911-RA, Dm_00020316-RA, Dm_00019042-RA, Dm_00020834-RA, Dm_00019819-RA, Dm_00015749-RA, Dm_00015454-RA, Dm_00017126-RA, Dm_00020504-RA, Dm_00021092-RA, Dm_00020223-RA, Dm_00016318-RA, Dm_00016125-RA, Dm_00018294-RA, Dm_00011261-RA, Dm_00012227-RA, Dm_00014889-RA, Dm_00008878-RA, Dm_00019576-RA, Dm_00016410-RA, Dm_00019927-RA, Dm_00018689-RA, Dm_00020112-RA, Dm_00018289-RA, Dm_00021131-RA, Dm_00010191-RA, Dm_00019506-RA, Dm_00020629-RA, Dm_00010096-RA, Dm_00020932-RA, Dm_00012052-RA, Dm_00005969-RA, Dm_00013726-RA, Dm_00012264-RA, Dm_00011978-RA, Dm_00019316-RA, Dm_00014689-RA, Dm_00016933-RA, Dm_00017382-RA, Dm_00002868-RA, Dm_00017428-RA, Dm_00018949-RA, Dm_00015496-RA, Dm_00015129-RA, Dm_00013351-RA, Dm_00012031-RA, Dm_00011977-RA, Dm_00014643-RA, Dm_00011172-RA, Dm_00020302-RA, Dm_00019489-RA, Dm_00016639-RA, Dm_00012331-RA, Dm_00020625-RA, Dm_00014200-RA, Dm_00017250-RA, Dm_00020660-RA, Dm_00013502-RA, Dm_00013999-RA, Dm_00019058-RA, Dm_00016499-RA, Dm_00012009-RA, Dm_00018350-RA, Dm_00019273-RA, Dm_00018145-RA, Dm_00011265-RA, Dm_00020583-RA, Dm_00016928-RA, Dm_00016590-RA, Dm_00019437-RA, Dm_00017119-RA, Dm_00020593-RA, Dm_00020404-RA, Dm_00016634-RA, Dm_00011317-RA, Dm_00014613-RA, Dm_00006890-RA, Dm_00020787-RA, Dm_00009319-RA, Dm_00015856-RA, Dm_00019627-RA, Dm_00020628-RA, Dm_00012639-RA, Dm_00010786-RA, Dm_00020380-RA, Dm_00018365-RA, Dm_00016660-RA, Dm_00011947-RA, Dm_00011206-RA
OG0000046	Aqcoe7G176700.1.p	Dm_00006378-RA, Dm_00013509-RA
OG0000046	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p	Dm_00003891-RA, Dm_00011430-RA
OG0000046	Aqcoe2G156400.1.p	Dm_00007080-RA
OG0000047	Aqcoe6G058700.1.p	Dm_00007969-RA, Dm_00020823-RA
OG0000047	Aqcoe7G259200.1.p	Dm_00005670-RA, Dm_00012951-RA, Dm_00004056-RA
OG0000047	Aqcoe3G373700.1.p	Dm_00003985-RA, Dm_00009087-RA
OG0000047	Aqcoe3G065700.1.p	Dm_00020873-RA, Dm_00013559-RA, Dm_00009598-RA, Dm_00015362-RA
OG0000048	Aqcoe1G403300.1.p, Aqcoe1G403100.1.p	Dm_00001249-RA
OG0000048	Aqcoe1G404300.1.p, Aqcoe1G056300.1.p	Dm_00000024-RA
OG0000050	Aqcoe4G238500.1.p	Dm_00010232-RA, Dm_00016824-RA, Dm_00012378-RA, Dm_00019415-RA, Dm_00019277-RA, Dm_00006632-RA, Dm_00006455-RA, Dm_00005078-RA, Dm_00016957-RA, Dm_00019666-RA, Dm_00016981-RA, Dm_00007900-RA, Dm_00021021-RA, Dm_00007273-RA, Dm_00012803-RA, Dm_00020847-RA, Dm_00021088-RA, Dm_00017831-RA, Dm_00018494-RA, Dm_00018187-RA, Dm_00015317-RA, Dm_00021049-RA, Dm_00006647-RA, Dm_00012380-RA, Dm_00020915-RA
OG0000050	Aqcoe2G034000.1.p, Aqcoe4G097200.1.p	Dm_00020895-RA
OG0000050	Aqcoe7G153100.1.p, Aqcoe4G116300.1.p, Aqcoe1G247100.1.p	Dm_00020165-RA, Dm_00020914-RA, Dm_00010682-RA
OG0000051	Aqcoe6G282400.1.p	Dm_00005928-RA, Dm_00016762-RA, Dm_00014170-RA, Dm_00018202-RA, Dm_00007687-RA, Dm_00005613-RA, Dm_00019029-RA, Dm_00011734-RA, Dm_00016407-RA, Dm_00020926-RA, Dm_00012246-RA, Dm_00013138-RA, Dm_00017035-RA, Dm_00002397-RA, Dm_00017030-RA, Dm_00012248-RA, Dm_00016219-RA, Dm_00000875-RA, Dm_00005213-RA, Dm_00000437-RA, Dm_00008487-RA, Dm_00002944-RA, Dm_00011405-RA, Dm_00011908-RA, Dm_00020698-RA, Dm_00002830-RA, Dm_00015382-RA, Dm_00013233-RA, Dm_00012849-RA, Dm_00016825-RA, Dm_00002737-RA, Dm_00000588-RA, Dm_00005553-RA, Dm_00003947-RA, Dm_00000850-RA, Dm_00012247-RA, Dm_00017795-RA, Dm_00013534-RA, Dm_00015895-RA, Dm_00002885-RA, Dm_00005212-RA, Dm_00014974-RA, Dm_00016136-RA, Dm_00020644-RA, Dm_00020341-RA, Dm_00021073-RA, Dm_00018132-RA, Dm_00017796-RA, Dm_00019995-RA, Dm_00013787-RA, Dm_00016571-RA, Dm_00014975-RA
OG0000052	Aqcoe7G223300.1.p, Aqcoe3G012700.1.p, Aqcoe7G148000.1.p, Aqcoe7G148000.2.p, Aqcoe2G338100.1.p	Dm_00019556-RA
OG0000052	Aqcoe4G206200.1.p, Aqcoe2G250400.1.p, Aqcoe1G128700.2.p, Aqcoe1G128700.1.p, Aqcoe5G061600.1.p, Aqcoe1G403500.1.p, Aqcoe4G158200.1.p, Aqcoe7G279700.1.p, Aqcoe7G279700.2.p, Aqcoe7G248900.1.p, Aqcoe7G319800.1.p, Aqcoe1G346200.1.p, Aqcoe1G198100.1.p, Aqcoe4G214400.1.p, Aqcoe4G111800.1.p, Aqcoe3G037500.1.p, Aqcoe1G355700.3.p, Aqcoe1G355700.1.p, Aqcoe1G355700.2.p	Dm_00008735-RA
OG0000052	Aqcoe1G062600.1.p	Dm_00007473-RA, Dm_00013264-RA, Dm_00005457-RA, Dm_00020818-RA, Dm_00011954-RA, Dm_00016444-RA, Dm_00004406-RA, Dm_00015652-RA, Dm_00007474-RA, Dm_00006699-RA, Dm_00014913-RA
OG0000055	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p	Dm_00019791-RA
OG0000055	Aqcoe5G081700.1.p	Dm_00013087-RA, Dm_00006640-RA
OG0000055	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p	Dm_00000927-RA
OG0000055	Aqcoe1G276100.1.p	Dm_00000848-RA, Dm_00006448-RA, Dm_00014246-RA
