Orthogroup	B_vulgaris.proteins	G_max.proteins
OG0000031	Bevul.3G005000.1.p, Bevul.3G005100.1.p, Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p, Bevul.5G208000.1.p	GmISU01.16G109500.2.p, GmISU01.16G109500.1.p, GmISU01.02G049100.1.p, GmISU01.02G049200.1.p, GmISU01.16G109800.1.p, GmISU01.16G109800.2.p, GmISU01.16G109866.1.p, GmISU01.16G109600.1.p, GmISU01.16G109932.1.p, GmISU01.01G133900.1.p
OG0000031	Bevul.6G022900.1.p	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p
OG0000031	Bevul.1G155200.1.p	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p
OG0000032	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p, Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p	GmISU01.19G065100.1.p, GmISU01.19G065000.1.p, GmISU01.19G065000.2.p, GmISU01.19G065200.1.p, GmISU01.19G047600.1.p, GmISU01.19G047800.1.p, GmISU01.19G047700.1.p, GmISU01.19G048000.1.p, GmISU01.16G055100.1.p, GmISU01.16G054800.1.p, GmISU01.16G055000.1.p, GmISU01.16G054700.1.p, GmISU01.19G046450.1.p, GmISU01.19G076600.1.p, GmISU01.16G055300.2.p, GmISU01.16G055300.1.p, GmISU01.16G055200.1.p, GmISU01.10G136200.1.p, GmISU01.20G180100.1.p, GmISU01.10G136300.1.p, GmISU01.20G180000.1.p
OG0000034	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p
OG0000037	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p, Bevul.8G003600.1.p, Bevul.8G012100.1.p	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p
OG0000037	Bevul.7G132700.1.p	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p
OG0000038	Bevul.6G168300.1.p, Bevul.7G140500.1.p, Bevul.7G140200.1.p	GmISU01.05G039200.1.p
OG0000038	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p
OG0000040	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p
OG0000041	Bevul.9G137500.1.p	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p
OG0000041	Bevul.4G126000.1.p	GmISU01.06G147100.1.p, GmISU01.04G166400.1.p
OG0000041	Bevul.2G204400.1.p	GmISU01.14G064800.1.p, GmISU01.02G209100.1.p
OG0000041	Bevul.4G131500.1.p	GmISU01.03G207400.1.p, GmISU01.19G208400.1.p, GmISU01.10G133300.1.p
OG0000041	Bevul.3G009300.1.p	GmISU01.10G146900.1.p, GmISU01.20G169600.1.p, GmISU01.02G005100.1.p, GmISU01.10G005900.1.p
OG0000041	Bevul.5G251800.1.p	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p
OG0000041	Bevul.1G194200.1.p	GmISU01.03G215400.1.p, GmISU01.19G216600.1.p, GmISU01.16G020400.1.p, GmISU01.07G050100.1.p
OG0000041	Bevul.8G136400.1.p	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p
OG0000042	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p	GmISU01.12G054200.1.p
OG0000042	Bevul.7G200100.1.p	GmISU01.11G123500.1.p
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p
OG0000043	Bevul.6G008000.1.p	GmISU01.16G122100.1.p, GmISU01.08G081600.1.p, GmISU01.08G081700.1.p, GmISU01.11G046700.1.p
OG0000043	Bevul.3G192200.1.p, Bevul.1G013100.1.p, Bevul.1G013000.1.p, Bevul.5G044900.1.p, Bevul.1G033800.1.p, Bevul.2G182700.1.p, Bevul.2G182900.1.p	GmISU01.11G085400.1.p
OG0000044	Bevul.6G087200.1.p	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p
OG0000044	Bevul.6G042400.1.p	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p
OG0000044	Bevul.7G059000.1.p	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p
OG0000044	Bevul.7G175700.1.p	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p
OG0000044	Bevul.9G080900.1.p, Bevul.9G080900.2.p	GmISU01.13G256200.1.p, GmISU01.12G173600.1.p, GmISU01.06G244000.1.p, GmISU01.12G103300.1.p
OG0000044	Bevul.5G238300.1.p	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p
OG0000046	Bevul.9G172100.1.p	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p
OG0000046	Bevul.8G193500.1.p, Bevul.8G193400.1.p	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p
OG0000046	Bevul.6G116700.1.p	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p
OG0000046	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p	GmISU01.08G235400.1.p, GmISU01.08G235400.2.p, GmISU01.18G222200.3.p, GmISU01.18G222200.1.p, GmISU01.18G222200.2.p
OG0000047	Bevul.6G072600.1.p	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p
OG0000048	Bevul.7G007100.1.p, Bevul.7G006800.1.p, Bevul.9G163800.1.p, Bevul.7G006900.1.p, Bevul.7G007000.1.p, Bevul.9G163700.1.p	GmISU01.18G048900.1.p, GmISU01.18G159300.1.p, GmISU01.09G232500.1.p, GmISU01.01G099400.1.p, GmISU01.03G035000.1.p, GmISU01.03G035300.1.p, GmISU01.03G035100.1.p, GmISU01.01G099300.1.p, GmISU01.03G035200.1.p, GmISU01.01G100900.1.p, GmISU01.03G031850.1.p, GmISU01.01G099200.1.p
OG0000048	Bevul.7G007200.1.p	GmISU01.08G149600.1.p, GmISU01.15G220200.1.p
OG0000049	Bevul.5G143100.1.p, Bevul.1G059200.1.p, Bevul.6G174000.1.p, Bevul.8G122400.1.p, Bevul.5G137800.1.p, Bevul.1G008600.1.p, Bevul.4G165400.1.p, Bevul.2G188100.1.p, Bevul.6G112400.1.p, Bevul.2G120900.1.p, Bevul.6G030400.1.p, Bevul.3G164200.1.p, Bevul.8G154600.1.p, Bevul.2G021800.1.p, Bevul.3G139100.1.p, Bevul.4G167300.1.p, Bevul.8G088400.1.p, Bevul.5G159500.1.p, Bevul.9G089200.1.p, Bevul.3G187000.1.p, Bevul.5G095300.1.p, Bevul.8G091100.1.p, Bevul.5G083800.1.p, Bevul.9G108600.1.p, Bevul.7G132300.1.p, Bevul.1G048700.1.p, Bevul.7G147300.1.p, Bevul.7G046500.1.p, Bevul.7G077200.1.p, Bevul.5G145200.1.p, Bevul.6G188200.1.p, Bevul.8G079500.1.p, Bevul.1G063500.1.p, Bevul.2G087100.1.p, Bevul.2G054000.1.p, Bevul.7G135600.1.p, Bevul.9G076100.1.p, Bevul.4G118100.1.p, Bevul.8G090100.1.p, Bevul.1G000600.1.p, Bevul.4G089100.1.p, Bevul.6G106400.1.p, Bevul.7G209300.1.p, Bevul.9G111200.1.p, Bevul.9G060300.1.p	GmISU01.14G092500.1.p
OG0000049	Bevul.8G094900.1.p, Bevul.5G152800.1.p, Bevul.6G164000.1.p, Bevul.6G166400.1.p, Bevul.1G111200.1.p, Bevul.5G103900.1.p, Bevul.7G103700.1.p, Bevul.9G021300.1.p	GmISU01.10G088100.1.p, GmISU01.15G161800.1.p
OG0000050	Bevul.9G090800.1.p, Bevul.4G161900.1.p, Bevul.8G073700.1.p, Bevul.6G162600.1.p, Bevul.4G100700.1.p, Bevul.6G122600.1.p, Bevul.1G110400.1.p, Bevul.7G152400.1.p, Bevul.8G070700.1.p, Bevul.1G000200.1.p, Bevul.1G019900.1.p, Bevul.9G125600.1.p, Bevul.6G227100.1.p, Bevul.7G149200.1.p, Bevul.1G100000.1.p, Bevul.2G146500.1.p, Bevul.4G100400.1.p, Bevul.6G212000.1.p, Bevul.9G063100.1.p, Bevul.2G118600.1.p, Bevul.6G054500.1.p, Bevul.3G141600.1.p, Bevul.3G044000.1.p, Bevul.4G082400.1.p, Bevul.4G069400.1.p, Bevul.1G145400.1.p, Bevul.6G021100.1.p, Bevul.4G115800.1.p, Bevul.5G199600.1.p, Bevul.9G040100.1.p, Bevul.2G052300.1.p, Bevul.8G086300.1.p, Bevul.2G094700.1.p, Bevul.4G161000.1.p, Bevul.2G039300.1.p, Bevul.7G166000.1.p, Bevul.2G109200.1.p, Bevul.4G056700.1.p, Bevul.8G140100.1.p, Bevul.7G019800.1.p, Bevul.5G071100.1.p, Bevul.4G184500.1.p, Bevul.9G012300.1.p, Bevul.7G031500.1.p, Bevul.1G041000.1.p	GmISU01.15G184350.1.p
OG0000051	Bevul.1G053800.1.p, Bevul.2G130700.1.p, Bevul.4G060700.1.p, Bevul.6G180000.1.p, Bevul.9G062300.1.p, Bevul.4G085800.1.p, Bevul.6G105900.1.p, Bevul.6G177600.1.p, Bevul.8G033100.1.p, Bevul.5G196000.1.p	GmISU01.20G155800.1.p
OG0000055	Bevul.6G201900.1.p	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p, GmISU01.08G321900.5.p, GmISU01.08G321900.7.p, GmISU01.08G321900.6.p, GmISU01.08G321900.8.p
OG0000055	Bevul.3G152000.1.p	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p
OG0000055	Bevul.6G037500.1.p	GmISU01.16G047400.1.p, GmISU01.19G073600.1.p, GmISU01.19G073600.3.p
OG0000055	Bevul.7G220500.1.p	GmISU01.11G132900.1.p
OG0000055	Bevul.7G124000.1.p	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p
OG0000055	Bevul.4G037900.1.p	GmISU01.14G023500.1.p, GmISU01.02G249200.1.p, GmISU01.08G279900.1.p
OG0000055	Bevul.7G220300.1.p	GmISU01.11G133000.1.p, GmISU01.12G067000.1.p
OG0000058	Bevul.2G147300.1.p, Bevul.2G147300.2.p, Bevul.2G147400.1.p	GmISU01.10G095600.1.p, GmISU01.10G095700.1.p, GmISU01.14G060100.2.p, GmISU01.14G060100.1.p, GmISU01.14G060000.4.p, GmISU01.14G060000.3.p, GmISU01.14G060000.5.p, GmISU01.14G060000.1.p, GmISU01.14G059700.1.p, GmISU01.14G059900.2.p, GmISU01.14G059900.1.p, GmISU01.02G214200.1.p
OG0000058	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p	GmISU01.03G154000.1.p, GmISU01.10G061400.1.p
OG0000058	Bevul.1G123200.1.p	GmISU01.09G221400.1.p
OG0000059	Bevul.8G204300.1.p, Bevul.8G204400.1.p, Bevul.4G210500.1.p, Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p	GmISU01.09G014100.1.p, GmISU01.09G014100.2.p, GmISU01.09G026600.1.p, GmISU01.09G026600.2.p, GmISU01.09G026500.1.p, GmISU01.09G026700.2.p, GmISU01.09G026700.3.p, GmISU01.09G026700.1.p, GmISU01.09G026400.1.p, GmISU01.09G026400.2.p, GmISU01.15G123800.1.p
OG0000060	Bevul.7G086100.1.p	GmISU01.12G106500.1.p
OG0000060	Bevul.3G145900.1.p	GmISU01.13G001300.1.p, GmISU01.08G145900.1.p, GmISU01.12G108300.1.p, GmISU01.14G131800.1.p, GmISU01.13G010500.2.p, GmISU01.13G010500.1.p, GmISU01.15G221100.1.p
OG0000060	Bevul.7G048400.1.p	GmISU01.08G250300.1.p
OG0000060	Bevul.1G063200.1.p, Bevul.9G077400.1.p, Bevul.1G057800.1.p, Bevul.1G013600.1.p	GmISU01.08G242900.1.p, GmISU01.14G097800.1.p, GmISU01.18G128700.1.p
OG0000063	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p	GmISU01.06G231900.1.p, GmISU01.12G110400.1.p, GmISU01.12G177500.1.p
OG0000063	Bevul.7G222300.1.p, Bevul.7G222600.1.p, Bevul.7G222500.1.p	GmISU01.09G232300.1.p, GmISU01.18G159500.1.p, GmISU01.09G232400.1.p, GmISU01.18G159400.1.p, GmISU01.18G051400.1.p, GmISU01.11G171500.1.p, GmISU01.02G197200.1.p, GmISU01.14G166700.1.p
OG0000063	Bevul.2G185200.1.p, Bevul.2G185200.2.p, Bevul.2G185300.1.p, Bevul.2G185400.1.p	GmISU01.14G049800.1.p
OG0000063	Bevul.7G222800.1.p	GmISU01.11G171200.1.p, GmISU01.18G051100.1.p
OG0000063	Bevul.2G184800.1.p	GmISU01.14G049700.1.p, GmISU01.02G221000.1.p, GmISU01.04G179300.1.p, GmISU01.06G132800.1.p
OG0000065	Bevul.7G197900.1.p, Bevul.4G193000.1.p, Bevul.7G110100.1.p, Bevul.7G148200.1.p, Bevul.3G163400.1.p	GmISU01.07G123000.1.p, GmISU01.07G122800.1.p, GmISU01.07G122900.1.p, GmISU01.07G123100.1.p, GmISU01.18G142300.1.p, GmISU01.07G123401.1.p, GmISU01.07G123401.2.p, GmISU01.07G123600.1.p, GmISU01.18G142700.1.p, GmISU01.07G123300.1.p, GmISU01.07G123050.1.p, GmISU01.07G122700.1.p, GmISU01.07G123200.1.p, GmISU01.18G142400.1.p, GmISU01.03G054800.3.p, GmISU01.03G054800.1.p, GmISU01.01G082000.1.p, GmISU01.03G054700.1.p, GmISU01.01G081900.1.p
OG0000065	Bevul.7G117800.1.p, Bevul.7G117700.1.p	GmISU01.20G071000.1.p
OG0000067	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p	GmISU01.11G134500.3.p, GmISU01.12G065600.6.p, GmISU01.12G065600.1.p, GmISU01.12G065600.5.p, GmISU01.12G065600.4.p, GmISU01.12G065600.9.p, GmISU01.12G065600.7.p, GmISU01.12G065600.3.p, GmISU01.12G065600.8.p, GmISU01.12G065600.10.p, GmISU01.12G065600.2.p, GmISU01.11G134500.2.p, GmISU01.11G134500.8.p, GmISU01.11G134500.9.p, GmISU01.11G134500.6.p, GmISU01.11G134500.5.p, GmISU01.11G134500.7.p, GmISU01.11G134500.4.p, GmISU01.11G134500.1.p, GmISU01.13G289000.1.p, GmISU01.13G289000.3.p, GmISU01.15G042100.2.p, GmISU01.15G042100.1.p
