Orthogroup	B_vulgaris.proteins	A_coerulea.proteins
OG0000022	Bevul.7G006300.1.p	Aqcoe5G366100.1.p
OG0000022	Bevul.4G114700.1.p, Bevul.1G097600.1.p, Bevul.8G058800.1.p, Bevul.9G163000.1.p, Bevul.9G163300.1.p, Bevul.9G163100.1.p, Bevul.7G006600.1.p, Bevul.9G162900.2.p, Bevul.9G162900.1.p, Bevul.7G128600.1.p, Bevul.7G005900.1.p	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p
OG0000023	Bevul.9G223400.1.p	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p
OG0000023	Bevul.1G009300.1.p	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p
OG0000024	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p	Aqcoe4G121400.1.p
OG0000024	Bevul.7G020900.1.p, Bevul.7G020600.1.p	Aqcoe4G120700.1.p, Aqcoe4G120200.1.p, Aqcoe4G120000.1.p, Aqcoe4G120100.1.p, Aqcoe4G120300.1.p, Aqcoe1G386800.1.p, Aqcoe2G430300.1.p, Aqcoe4G121800.1.p, Aqcoe4G121200.1.p, Aqcoe4G121200.2.p, Aqcoe4G121700.1.p, Aqcoe4G121000.1.p
OG0000024	Bevul.4G087500.1.p, Bevul.5G049900.1.p, Bevul.5G050000.1.p, Bevul.4G087600.1.p, Bevul.4G004600.1.p	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p
OG0000025	Bevul.9G156900.1.p, Bevul.9G157100.1.p, Bevul.9G156800.1.p, Bevul.9G157600.1.p, Bevul.9G156700.1.p, Bevul.9G229000.1.p, Bevul.9G157000.1.p, Bevul.9G157500.1.p, Bevul.9G157400.1.p, Bevul.9G229300.1.p, Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p, Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p, Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p
OG0000026	Bevul.6G022200.1.p, Bevul.7G010100.2.p, Bevul.7G010100.1.p, Bevul.4G049100.1.p, Bevul.4G079600.1.p, Bevul.4G046500.1.p	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p
OG0000027	Bevul.5G197000.1.p	Aqcoe3G094300.1.p
OG0000027	Bevul.1G144100.1.p	Aqcoe3G269300.1.p
OG0000027	Bevul.7G159800.1.p	Aqcoe7G443000.1.p
OG0000027	Bevul.2G132800.2.p, Bevul.2G132800.1.p	Aqcoe7G309700.2.p, Aqcoe7G309700.1.p
OG0000027	Bevul.9G228300.1.p, Bevul.9G228300.2.p	Aqcoe7G366100.1.p
OG0000028	Bevul.9G027600.1.p, Bevul.5G236400.1.p	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p
OG0000029	Bevul.4G206200.1.p, Bevul.4G206300.1.p, Bevul.4G205700.1.p, Bevul.4G205600.1.p, Bevul.4G206000.1.p, Bevul.4G206100.1.p, Bevul.4G207500.1.p, Bevul.6G130200.1.p, Bevul.4G207900.1.p, Bevul.4G207300.1.p	Aqcoe5G413000.1.p, Aqcoe5G413200.1.p
OG0000029	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p
OG0000029	Bevul.6G040300.1.p, Bevul.6G040400.1.p, Bevul.5G070000.1.p, Bevul.6G040100.1.p, Bevul.5G070100.1.p, Bevul.6G040200.1.p, Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p
OG0000030	Bevul.6G220100.1.p	Aqcoe6G194100.1.p
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p, Bevul.4G024300.1.p, Bevul.4G024500.1.p, Bevul.4G024400.1.p, Bevul.4G024600.1.p, Bevul.4G023700.1.p, Bevul.4G024100.1.p, Bevul.4G024000.1.p, Bevul.4G023800.1.p, Bevul.4G023900.1.p, Bevul.4G024200.1.p, Bevul.4G024700.1.p, Bevul.4G023200.1.p, Bevul.4G023500.1.p, Bevul.4G024800.1.p, Bevul.4G023100.1.p, Bevul.4G023400.1.p, Bevul.4G023600.1.p, Bevul.9G124900.1.p, Bevul.9G124800.1.p	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p
OG0000030	Bevul.6G220800.1.p	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p
OG0000031	Bevul.6G022900.1.p	Aqcoe6G125600.1.p
OG0000032	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p, Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p
OG0000034	Bevul.5G008500.1.p, Bevul.5G008400.1.p, Bevul.8G072800.1.p, Bevul.8G069300.1.p	Aqcoe6G280300.1.p
OG0000034	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p, Bevul.8G034500.1.p	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p
OG0000034	Bevul.9G089000.2.p, Bevul.9G089000.1.p	Aqcoe1G366600.1.p
OG0000037	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p, Bevul.8G003600.1.p, Bevul.8G012100.1.p, Bevul.7G132700.1.p	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p
OG0000038	Bevul.6G168300.1.p	Aqcoe4G206500.1.p
OG0000038	Bevul.7G140500.1.p	Aqcoe3G138700.1.p
OG0000038	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p
OG0000040	Bevul.4G187100.1.p, Bevul.4G187000.1.p, Bevul.3G181600.1.p, Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p
OG0000041	Bevul.9G137500.1.p	Aqcoe6G223300.1.p
OG0000041	Bevul.2G204400.1.p	Aqcoe3G017900.1.p
OG0000041	Bevul.3G009300.1.p	Aqcoe2G373400.1.p, Aqcoe5G027300.1.p
OG0000041	Bevul.5G251800.1.p	Aqcoe2G279000.1.p
OG0000041	Bevul.8G136400.1.p	Aqcoe7G114500.1.p
OG0000042	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p	Aqcoe3G112800.2.p
OG0000042	Bevul.7G200100.1.p	Aqcoe1G101200.1.p
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p
OG0000043	Bevul.2G142500.1.p	Aqcoe4G017600.1.p, Aqcoe6G300600.1.p
OG0000043	Bevul.6G008000.1.p	Aqcoe4G287200.1.p, Aqcoe4G010100.1.p, Aqcoe4G009700.1.p, Aqcoe4G241600.1.p
OG0000043	Bevul.3G192200.1.p	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p
OG0000043	Bevul.2G182900.1.p	Aqcoe6G300100.1.p, Aqcoe6G300100.2.p, Aqcoe6G300500.1.p, Aqcoe6G300200.1.p, Aqcoe6G300300.1.p, Aqcoe6G300400.1.p, Aqcoe6G300700.1.p, Aqcoe6G301200.1.p, Aqcoe6G299700.1.p, Aqcoe5G363300.1.p
OG0000044	Bevul.6G087200.1.p	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p
OG0000044	Bevul.7G059000.1.p	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p
OG0000044	Bevul.7G175700.1.p	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p
OG0000044	Bevul.9G080900.1.p, Bevul.9G080900.2.p	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p
OG0000044	Bevul.5G238300.1.p	Aqcoe2G353000.1.p
OG0000045	Bevul.2G135500.1.p, Bevul.7G096000.1.p, Bevul.8G197300.1.p	Aqcoe4G228400.1.p, Aqcoe1G252100.1.p, Aqcoe3G105000.1.p
OG0000046	Bevul.8G193500.1.p, Bevul.8G193400.1.p	Aqcoe7G176700.1.p
OG0000046	Bevul.6G116700.1.p	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p
OG0000046	Bevul.9G205600.1.p, Bevul.9G205500.1.p, Bevul.9G205500.2.p	Aqcoe2G156400.1.p
OG0000047	Bevul.6G072600.1.p	Aqcoe6G058700.1.p
OG0000047	Bevul.8G084000.1.p, Bevul.7G199200.1.p	Aqcoe7G259200.1.p
OG0000048	Bevul.7G007100.1.p, Bevul.7G006800.1.p, Bevul.9G163800.1.p, Bevul.7G006900.1.p, Bevul.7G007000.1.p, Bevul.9G163700.1.p	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p
OG0000048	Bevul.7G007200.1.p	Aqcoe1G404300.1.p, Aqcoe1G056300.1.p
OG0000049	Bevul.5G143100.1.p, Bevul.1G059200.1.p, Bevul.6G174000.1.p, Bevul.8G122400.1.p, Bevul.5G137800.1.p, Bevul.1G008600.1.p, Bevul.4G165400.1.p, Bevul.2G188100.1.p, Bevul.6G112400.1.p, Bevul.2G120900.1.p, Bevul.6G030400.1.p, Bevul.3G164200.1.p, Bevul.8G154600.1.p, Bevul.2G021800.1.p, Bevul.3G139100.1.p, Bevul.4G167300.1.p, Bevul.8G088400.1.p, Bevul.5G159500.1.p, Bevul.9G089200.1.p, Bevul.3G187000.1.p, Bevul.5G095300.1.p, Bevul.8G091100.1.p, Bevul.5G083800.1.p, Bevul.9G108600.1.p, Bevul.7G132300.1.p, Bevul.1G048700.1.p, Bevul.7G147300.1.p, Bevul.7G046500.1.p, Bevul.7G077200.1.p, Bevul.5G145200.1.p, Bevul.6G188200.1.p, Bevul.8G079500.1.p, Bevul.1G063500.1.p, Bevul.2G087100.1.p, Bevul.2G054000.1.p, Bevul.7G135600.1.p, Bevul.9G076100.1.p, Bevul.4G118100.1.p, Bevul.8G090100.1.p, Bevul.1G000600.1.p, Bevul.4G089100.1.p, Bevul.6G106400.1.p, Bevul.7G209300.1.p, Bevul.9G111200.1.p, Bevul.9G060300.1.p	Aqcoe5G111200.1.p, Aqcoe2G242900.1.p, Aqcoe4G190900.1.p
OG0000049	Bevul.8G094900.1.p, Bevul.5G152800.1.p, Bevul.6G164000.1.p, Bevul.6G166400.1.p, Bevul.1G111200.1.p, Bevul.5G103900.1.p, Bevul.7G103700.1.p, Bevul.9G021300.1.p	Aqcoe7G201400.1.p, Aqcoe1G106600.1.p
OG0000049	Bevul.7G007900.1.p, Bevul.6G165200.1.p, Bevul.5G132100.1.p	Aqcoe4G244100.1.p, Aqcoe2G146400.1.p, Aqcoe2G161600.1.p, Aqcoe2G151500.1.p, Aqcoe1G257500.1.p, Aqcoe7G255600.1.p, Aqcoe5G140400.1.p, Aqcoe7G042100.1.p, Aqcoe4G194500.1.p, Aqcoe2G150700.1.p, Aqcoe2G229600.1.p, Aqcoe1G504100.2.p, Aqcoe1G504100.1.p, Aqcoe4G121100.2.p, Aqcoe4G121100.1.p, Aqcoe4G121100.3.p, Aqcoe5G384400.1.p, Aqcoe2G248200.1.p, Aqcoe1G378100.1.p, Aqcoe7G150100.1.p, Aqcoe7G150100.2.p, Aqcoe4G247300.1.p, Aqcoe2G293000.1.p, Aqcoe1190s0001.1.p, Aqcoe6G195600.2.p, Aqcoe6G195600.1.p, Aqcoe4G122400.1.p, Aqcoe0009s0020.1.p, Aqcoe2G170300.1.p, Aqcoe5G386100.1.p, Aqcoe4G033100.1.p, Aqcoe7G332700.1.p, Aqcoe7G332700.2.p, Aqcoe4G159700.1.p, Aqcoe2G254900.1.p, Aqcoe2G253300.1.p, Aqcoe2G253300.2.p, Aqcoe4G137600.2.p, Aqcoe4G137600.1.p, Aqcoe2G294000.1.p, Aqcoe6G198700.1.p, Aqcoe2G289200.2.p, Aqcoe2G289200.1.p, Aqcoe5G384300.1.p, Aqcoe4G176600.1.p, Aqcoe4G307300.1.p
OG0000050	Bevul.9G090800.1.p, Bevul.4G161900.1.p, Bevul.8G073700.1.p, Bevul.6G162600.1.p, Bevul.4G100700.1.p, Bevul.6G122600.1.p, Bevul.1G110400.1.p, Bevul.7G152400.1.p, Bevul.8G070700.1.p, Bevul.1G000200.1.p, Bevul.1G019900.1.p, Bevul.9G125600.1.p, Bevul.6G227100.1.p, Bevul.7G149200.1.p, Bevul.1G100000.1.p, Bevul.2G146500.1.p, Bevul.4G100400.1.p, Bevul.6G212000.1.p, Bevul.9G063100.1.p, Bevul.2G118600.1.p	Aqcoe4G238500.1.p
OG0000051	Bevul.1G053800.1.p, Bevul.2G130700.1.p, Bevul.4G060700.1.p, Bevul.6G180000.1.p, Bevul.9G062300.1.p, Bevul.4G085800.1.p, Bevul.6G105900.1.p, Bevul.6G177600.1.p, Bevul.8G033100.1.p, Bevul.5G196000.1.p	Aqcoe6G282400.1.p
OG0000052	Bevul.2G027500.1.p, Bevul.1G145000.1.p, Bevul.8G101600.1.p, Bevul.9G088100.1.p, Bevul.4G102100.1.p, Bevul.5G110500.1.p	Aqcoe4G206200.1.p, Aqcoe2G250400.1.p, Aqcoe1G128700.2.p, Aqcoe1G128700.1.p, Aqcoe5G061600.1.p, Aqcoe1G403500.1.p, Aqcoe4G158200.1.p, Aqcoe7G279700.1.p, Aqcoe7G279700.2.p, Aqcoe7G248900.1.p, Aqcoe7G319800.1.p, Aqcoe1G346200.1.p, Aqcoe1G198100.1.p, Aqcoe4G214400.1.p, Aqcoe4G111800.1.p, Aqcoe3G037500.1.p, Aqcoe1G355700.3.p, Aqcoe1G355700.1.p, Aqcoe1G355700.2.p
OG0000055	Bevul.6G201900.1.p	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p
OG0000055	Bevul.3G152000.1.p	Aqcoe5G081700.1.p
OG0000055	Bevul.7G220500.1.p	Aqcoe2G168800.1.p
OG0000055	Bevul.7G124000.1.p	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p
OG0000055	Bevul.4G037900.1.p, Bevul.8G057600.1.p	Aqcoe1G276100.1.p
OG0000055	Bevul.2G111100.1.p, Bevul.2G111100.2.p	Aqcoe2G168000.1.p, Aqcoe2G168000.2.p
OG0000056	Bevul.4G202900.1.p	Aqcoe3G310900.1.p, Aqcoe2G362400.1.p, Aqcoe3G306700.1.p, Aqcoe3G293600.1.p, Aqcoe3G290400.1.p, Aqcoe3G306100.1.p, Aqcoe5G183300.1.p
OG0000056	Bevul.8G133800.1.p, Bevul.8G133700.1.p, Bevul.8G133900.1.p, Bevul.8G133600.1.p, Bevul.5G169200.1.p, Bevul.1G056800.1.p, Bevul.6G155400.1.p, Bevul.6G155300.1.p, Bevul.3G205600.1.p, Bevul.3G206800.1.p, Bevul.3G171300.1.p, Bevul.3G171200.1.p, Bevul.3G171400.1.p, Bevul.3G171100.1.p, Bevul.3G216600.1.p, Bevul.9G148400.1.p, Bevul.1G122700.1.p, Bevul.1G121200.1.p, Bevul.1G121100.1.p, Bevul.6G113400.1.p, Bevul.7G009100.1.p, Bevul.7G009200.1.p, Bevul.7G009200.3.p, Bevul.7G009200.2.p, Bevul.7G009000.1.p	Aqcoe5G341000.1.p
OG0000058	Bevul.7G198300.1.p	Aqcoe7G095800.1.p, Aqcoe7G095800.2.p, Aqcoe1G094600.1.p, Aqcoe4G235100.1.p, Aqcoe1G125300.1.p, Aqcoe1G094800.1.p
OG0000058	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p, Bevul.1G123200.1.p	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p
OG0000059	Bevul.4G207200.1.p	Aqcoe5G413100.1.p
OG0000063	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p	Aqcoe4G036500.1.p
OG0000063	Bevul.2G184800.1.p	Aqcoe2G078800.1.p, Aqcoe1G397700.1.p
OG0000065	Bevul.4G077200.1.p, Bevul.4G077300.1.p, Bevul.7G117800.1.p, Bevul.7G117700.1.p	Aqcoe5G008600.1.p, Aqcoe5G008500.1.p, Aqcoe5G061000.1.p, Aqcoe7G402900.1.p, Aqcoe7G402800.1.p
OG0000067	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p, Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p
OG0000070	Bevul.6G213100.1.p, Bevul.2G233700.1.p	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p
OG0000071	Bevul.7G142600.1.p	Aqcoe3G135100.1.p
OG0000071	Bevul.3G133800.1.p	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p
OG0000071	Bevul.3G170700.1.p	Aqcoe2G390800.1.p
OG0000071	Bevul.7G121800.1.p	Aqcoe5G006300.1.p
OG0000072	Bevul.6G096500.1.p	Aqcoe6G077500.1.p
OG0000072	Bevul.4G070600.1.p	Aqcoe1G249200.1.p, Aqcoe1G021700.1.p, Aqcoe1G247500.1.p
OG0000072	Bevul.4G070200.1.p	Aqcoe1G022200.1.p
OG0000072	Bevul.1G173800.1.p	Aqcoe5G069600.1.p
OG0000075	Bevul.8G087100.1.p, Bevul.2G091500.1.p	Aqcoe1G263600.1.p, Aqcoe7G254300.1.p, Aqcoe7G326500.1.p, Aqcoe4G142000.1.p, Aqcoe0192s0001.1.p, Aqcoe5G306000.1.p
