Orthogroup	B_vulgaris.proteins	A_thaliana.proteins
OG0000030	Bevul.6G220100.1.p	AT4G35680.1, AT4G35660.1
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p, Bevul.4G024300.1.p, Bevul.4G024500.1.p, Bevul.4G024400.1.p, Bevul.4G024600.1.p, Bevul.4G023700.1.p, Bevul.4G024100.1.p, Bevul.4G024000.1.p, Bevul.4G023800.1.p, Bevul.4G023900.1.p, Bevul.4G024200.1.p, Bevul.4G024700.1.p, Bevul.4G023200.1.p, Bevul.4G023500.1.p, Bevul.4G024800.1.p, Bevul.4G023100.1.p, Bevul.4G023400.1.p, Bevul.4G023600.1.p, Bevul.9G124900.1.p, Bevul.9G124800.1.p	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000030	Bevul.6G220800.1.p	AT4G35720.1
OG0000031	Bevul.6G022900.1.p	AT4G36470.1
OG0000031	Bevul.1G155200.1.p	AT1G19640.1
OG0000032	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p, Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2
OG0000034	Bevul.9G089000.2.p, Bevul.9G089000.1.p	AT4G23220.1
OG0000037	Bevul.7G132700.1.p	AT3G25180.1, AT3G25180.2
OG0000038	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1
OG0000040	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	Bevul.9G137500.1.p	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	Bevul.3G009300.1.p	AT3G23250.1
OG0000041	Bevul.5G251800.1.p	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000041	Bevul.1G208000.1.p	AT1G35515.1, AT4G09460.1
OG0000042	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p	AT1G07440.2, AT2G29170.1
OG0000042	Bevul.7G200100.1.p	AT2G29260.1
OG0000042	Bevul.9G031500.1.p, Bevul.7G200000.1.p	AT2G29350.3, AT2G29350.1, AT2G29350.2, AT2G29290.2, AT2G29290.1, AT2G29360.1, AT2G29150.1, AT2G29370.1
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	Bevul.6G008000.1.p	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1
OG0000043	Bevul.3G192200.1.p	AT5G10610.1, AT5G10600.1
OG0000044	Bevul.6G087200.1.p	AT3G50700.1, AT5G66730.1
OG0000044	Bevul.6G042400.1.p	AT2G02080.6, AT2G02080.2, AT2G02080.4, AT2G02080.5, AT2G02080.3, AT2G02080.1, AT1G14580.1, AT1G14580.4, AT1G14580.3, AT1G14580.2, AT2G02070.2, AT2G02070.1
OG0000044	Bevul.7G059000.1.p	AT5G03150.1
OG0000044	Bevul.7G175700.1.p	AT1G55110.1, AT1G55110.3, AT1G55110.2
OG0000044	Bevul.9G080900.1.p, Bevul.9G080900.2.p	AT1G03840.2, AT1G03840.1
OG0000044	Bevul.5G238300.1.p	AT4G02670.1, AT4G02670.2
OG0000046	Bevul.9G172100.1.p	AT4G34440.2, AT4G34440.1, AT1G49270.1, AT3G18810.1
OG0000046	Bevul.8G193500.1.p, Bevul.8G193400.1.p	AT3G24550.1, AT3G24540.1
OG0000046	Bevul.6G116700.1.p	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000046	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p	AT5G38560.1
OG0000047	Bevul.6G072600.1.p	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000047	Bevul.8G084000.1.p, Bevul.7G199200.1.p	AT2G34440.1, AT3G66656.1
OG0000048	Bevul.7G007100.1.p, Bevul.7G006800.1.p, Bevul.9G163800.1.p, Bevul.7G006900.1.p, Bevul.7G007000.1.p, Bevul.9G163700.1.p	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1
OG0000048	Bevul.7G007200.1.p	AT2G18370.1
OG0000050	Bevul.6G054500.1.p, Bevul.3G141600.1.p, Bevul.3G044000.1.p	AT1G21280.1
OG0000055	Bevul.6G201900.1.p	AT5G13160.1
OG0000055	Bevul.3G152000.1.p	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	Bevul.7G220500.1.p	AT1G07860.1
OG0000055	Bevul.7G124000.1.p	AT3G07070.1
OG0000055	Bevul.4G037900.1.p	AT3G20530.2, AT3G20530.1
OG0000055	Bevul.8G057600.1.p	AT1G61860.1
OG0000055	Bevul.7G220300.1.p	AT1G07870.1, AT1G07870.2
OG0000058	Bevul.7G198300.1.p	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2
OG0000058	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p	AT5G03620.2, AT5G03620.1
OG0000058	Bevul.1G123200.1.p	AT4G00230.1, AT4G00230.2
OG0000059	Bevul.8G204300.1.p, Bevul.8G204400.1.p, Bevul.4G210500.1.p, Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3
OG0000060	Bevul.6G152800.1.p, Bevul.2G147800.1.p	ATMG00810.1
OG0000063	Bevul.7G222800.1.p	AT5G58390.1, AT5G58400.1
OG0000063	Bevul.2G184800.1.p	AT5G05340.1
OG0000065	Bevul.7G197900.1.p	AT2G29420.1
OG0000065	Bevul.7G110100.1.p, Bevul.7G148200.1.p, Bevul.3G163400.1.p	AT3G09270.1
OG0000067	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000068	Bevul.3G027000.1.p, Bevul.8G060400.1.p, Bevul.8G072600.1.p, Bevul.8G072700.1.p, Bevul.8G072900.1.p, Bevul.8G060300.1.p, Bevul.3G137200.1.p	AT5G35810.1
OG0000070	Bevul.6G213100.1.p, Bevul.2G233700.1.p	AT3G12110.1
OG0000071	Bevul.7G142600.1.p	AT4G24780.2, AT4G24780.1
OG0000071	Bevul.7G048700.2.p, Bevul.7G048700.1.p	AT3G53190.1
OG0000071	Bevul.3G133800.1.p	AT5G04310.1, AT5G04310.2, AT5G04310.3
OG0000071	Bevul.3G170700.1.p	AT4G13710.2, AT4G13710.1
OG0000071	Bevul.7G121800.1.p	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000071	Bevul.6G171300.1.p	AT1G67750.1
OG0000072	Bevul.6G096500.1.p	AT4G40040.3, AT4G40030.1
OG0000072	Bevul.4G070600.1.p	AT1G09200.1, AT5G10390.1
OG0000072	Bevul.6G033000.1.p	AT5G65360.1
OG0000072	Bevul.1G173800.1.p	AT1G75600.1
OG0000075	Bevul.8G087100.1.p, Bevul.2G091500.1.p	AT1G40390.1, AT1G43760.1
OG0000076	Bevul.7G121000.1.p, Bevul.9G093500.1.p, Bevul.7G097500.1.p	AT5G42965.1
OG0000077	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p	AT2G21100.1, AT2G21100.2
OG0000077	Bevul.4G245600.1.p	AT1G58170.1, AT3G58090.1, AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1
OG0000077	Bevul.3G177700.1.p, Bevul.3G177600.1.p	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1
OG0000078	Bevul.1G103100.1.p, Bevul.9G153800.1.p	AT1G04645.1
OG0000078	Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p	AT5G12060.1, AT5G12070.1, AT3G17080.1, AT3G16970.1, AT3G16960.1, AT4G16195.1, AT4G24973.1, AT4G24975.1, AT4G24974.1
OG0000078	Bevul.7G129900.1.p, Bevul.4G007900.1.p, Bevul.2G061000.1.p, Bevul.2G060900.1.p, Bevul.4G008000.1.p	AT4G16295.1, AT4G29035.1
OG0000085	Bevul.8G140500.1.p	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	Bevul.7G169300.1.p, Bevul.7G169200.1.p	AT1G72540.1
OG0000085	Bevul.2G000300.1.p	AT5G01020.1
OG0000085	Bevul.2G120700.1.p	AT2G07180.1, AT2G07180.2
OG0000085	Bevul.4G250700.1.p	AT5G56460.1
OG0000085	Bevul.5G108500.1.p	AT1G61590.1
OG0000087	Bevul.3G206400.1.p	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	Bevul.2G027900.1.p	AT2G40670.2, AT2G40670.1, AT3G56380.2, AT3G56380.1
OG0000087	Bevul.6G246200.1.p	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1
OG0000087	Bevul.5G203900.1.p	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1
OG0000088	Bevul.4G082000.1.p, Bevul.4G081800.1.p, Bevul.4G081700.1.p, Bevul.4G081900.1.p	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000088	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p, Bevul.8G074400.1.p	AT1G29720.1
OG0000089	Bevul.9G199700.1.p	AT1G15520.2, AT1G15520.1
OG0000089	Bevul.2G018800.1.p, Bevul.8G186400.1.p	AT3G30842.1
OG0000090	Bevul.4G177600.1.p	AT5G63970.1, AT5G63970.2
OG0000090	Bevul.6G147700.1.p	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2
OG0000091	Bevul.3G230400.1.p, Bevul.3G229900.1.p, Bevul.3G229800.1.p	AT4G14130.1, AT3G23730.1
OG0000095	Bevul.7G228500.1.p	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2
OG0000095	Bevul.6G047300.1.p	AT3G22170.1, AT3G22170.2
OG0000095	Bevul.4G035700.1.p	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2
OG0000096	Bevul.6G093700.1.p, Bevul.6G094300.1.p, Bevul.6G093800.1.p, Bevul.6G093900.1.p, Bevul.6G094200.1.p, Bevul.6G094400.1.p, Bevul.6G094500.1.p, Bevul.6G120200.1.p	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1
OG0000098	Bevul.1G023300.1.p	AT1G20010.1, AT1G75780.1
OG0000098	Bevul.3G212800.1.p	AT5G12250.1
OG0000098	Bevul.5G030900.1.p	AT5G62690.1, AT5G62700.1, AT2G29550.1, AT5G23860.2, AT5G23860.1
OG0000099	Bevul.6G102400.1.p, Bevul.6G246400.1.p, Bevul.6G101900.1.p, Bevul.6G101800.1.p, Bevul.6G102100.1.p, Bevul.6G102000.1.p, Bevul.6G102500.1.p, Bevul.7G136600.1.p, Bevul.6G080300.1.p, Bevul.6G080100.1.p, Bevul.6G080000.1.p, Bevul.7G136500.1.p	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1
OG0000101	Bevul.9G147500.1.p, Bevul.3G108700.1.p, Bevul.1G020800.1.p	AT3G30235.1
OG0000101	Bevul.9G102800.1.p, Bevul.9G113100.1.p, Bevul.2G059600.1.p, Bevul.7G077300.1.p, Bevul.4G099000.1.p, Bevul.1G205800.1.p, Bevul.2G065000.1.p, Bevul.4G142100.1.p, Bevul.5G108000.1.p, Bevul.8G146200.1.p, Bevul.3G140200.1.p, Bevul.7G057600.1.p, Bevul.7G100000.1.p, Bevul.6G125200.1.p, Bevul.7G113700.1.p, Bevul.2G128600.1.p, Bevul.8G100400.1.p, Bevul.1G095300.1.p, Bevul.8G071600.1.p, Bevul.8G119000.1.p, Bevul.8G055900.1.p, Bevul.9G046400.1.p, Bevul.7G074800.1.p, Bevul.8G032100.1.p, Bevul.4G088500.1.p, Bevul.9G059600.1.p, Bevul.6G179000.1.p, Bevul.9G001300.1.p, Bevul.9G022700.1.p, Bevul.4G134400.1.p, Bevul.4G091700.1.p, Bevul.6G180800.1.p, Bevul.5G090600.1.p, Bevul.1G020700.1.p, Bevul.6G130500.1.p, Bevul.7G010300.1.p, Bevul.7G149100.1.p, Bevul.6G178800.1.p, Bevul.5G136700.1.p, Bevul.8G101500.1.p, Bevul.3G168900.1.p	AT1G19260.1, AT4G09660.1, AT3G29765.1, AT3G29763.1, AT3G29450.1, AT1G41920.1
OG0000101	Bevul.8G134600.1.p, Bevul.6G002800.1.p, Bevul.1G107900.1.p, Bevul.4G032200.1.p	AT2G06541.1, AT2G06541.2
OG0000102	Bevul.1G039700.1.p, Bevul.8G011800.1.p, Bevul.8G011900.1.p, Bevul.8G012000.1.p	AT3G49340.1, AT2G27420.1
OG0000102	Bevul.8G011700.1.p	AT5G45890.1
OG0000103	Bevul.4G093400.1.p	AT1G16670.1
OG0000105	Bevul.6G149400.1.p	AT3G27580.2, AT3G27580.1
OG0000105	Bevul.8G035800.1.p	AT5G47750.1
OG0000105	Bevul.7G031800.2.p, Bevul.7G031800.1.p	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1
OG0000106	Bevul.9G126800.1.p, Bevul.9G127200.1.p, Bevul.9G127500.1.p, Bevul.9G126400.1.p, Bevul.9G126500.1.p, Bevul.9G127300.1.p, Bevul.9G127000.1.p, Bevul.9G127600.1.p, Bevul.9G127100.1.p, Bevul.9G127400.1.p, Bevul.9G126600.1.p, Bevul.9G126300.1.p, Bevul.9G126900.1.p, Bevul.9G126700.1.p, Bevul.9G127700.1.p, Bevul.9G127800.1.p, Bevul.9G126200.1.p	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1
OG0000107	Bevul.6G135200.1.p	AT1G15080.1
OG0000107	Bevul.6G135100.1.p	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2, AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2
OG0000108	Bevul.8G206000.1.p, Bevul.4G117300.1.p, Bevul.9G172600.1.p	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3
OG0000108	Bevul.8G078900.1.p	AT5G46540.1, AT4G18050.1, AT4G18050.2
OG0000109	Bevul.9G160500.4.p, Bevul.9G160500.1.p, Bevul.9G160500.3.p, Bevul.9G160500.2.p	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1
OG0000109	Bevul.6G028900.1.p	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3
OG0000110	Bevul.3G149500.1.p	AT5G48100.1
OG0000110	Bevul.1G060000.1.p	AT5G09360.1
OG0000112	Bevul.2G077600.1.p	ATCG00860.1, ATCG01280.1
OG0000113	Bevul.1G135600.1.p	AT4G00165.1, AT4G00165.2
OG0000113	Bevul.5G004000.1.p	AT2G45180.1
OG0000113	Bevul.5G005400.1.p	AT1G12100.1
OG0000113	Bevul.5G005300.1.p	AT4G12550.1, AT4G12545.1
OG0000114	Bevul.8G061700.1.p, Bevul.3G151300.1.p, Bevul.8G062000.1.p, Bevul.8G062400.1.p, Bevul.8G062300.1.p, Bevul.8G062100.1.p, Bevul.7G070200.3.p, Bevul.7G070200.1.p, Bevul.7G070200.2.p, Bevul.7G070100.2.p, Bevul.7G070100.1.p, Bevul.9G088300.1.p	AT1G11350.1, AT1G11330.3, AT1G11330.2, AT1G11330.1, AT1G11300.2, AT1G11300.1, AT1G11303.1
OG0000114	Bevul.8G062500.1.p	AT4G21390.2, AT4G21390.1, AT1G61610.2, AT1G61610.1
OG0000115	Bevul.5G258000.1.p	AT5G48350.1, AT3G62320.1
OG0000115	Bevul.3G061200.1.p	AT3G12420.1, AT3G12410.1, AT3G12430.1, AT3G12460.1, AT3G12440.1, AT2G36110.1, AT3G12470.1
OG0000116	Bevul.7G210000.1.p	AT1G07820.1
OG0000116	Bevul.5G013500.1.p	AT2G28740.1, AT1G07660.1
OG0000117	Bevul.5G006500.1.p, Bevul.5G006800.1.p, Bevul.4G042900.1.p, Bevul.4G042700.1.p, Bevul.4G042800.1.p, Bevul.4G043000.1.p, Bevul.3G100300.1.p, Bevul.8G125200.1.p, Bevul.8G125100.1.p, Bevul.8G194200.1.p, Bevul.2G080700.1.p, Bevul.7G058300.1.p, Bevul.7G058400.1.p	AT1G70850.3, AT1G70850.1, AT1G70830.1, AT1G70830.4, AT1G70830.2, AT1G70850.2, AT1G70830.3, AT1G70830.5, AT1G70860.1, AT1G70880.1, AT1G70890.1, AT1G70840.1, AT1G23130.1, AT1G35310.1, AT1G35260.1, AT5G28010.1, AT5G28010.2, AT5G28000.1
OG0000118	Bevul.5G021700.1.p, Bevul.7G094000.1.p	AT3G08690.1, AT3G08690.2, AT5G56150.1
OG0000118	Bevul.6G031600.1.p, Bevul.9G136500.1.p	AT2G16740.1
OG0000119	Bevul.8G066300.1.p, Bevul.8G066400.1.p, Bevul.8G007500.1.p, Bevul.8G064300.1.p, Bevul.8G064400.1.p	AT4G22390.1, AT4G22390.2, AT4G12560.1, AT4G12560.3, AT4G12560.2
OG0000120	Bevul.3G185900.1.p	AT3G57880.4, AT3G57880.1, AT3G57880.2, AT3G57880.3, AT1G51570.1
OG0000120	Bevul.3G186500.1.p	AT5G06850.1
OG0000120	Bevul.1G158600.1.p, Bevul.5G000300.1.p	AT4G11610.2, AT4G11610.1, AT4G11610.3
OG0000121	Bevul.4G108700.1.p	AT5G04885.3, AT5G04885.1, AT5G04885.2
OG0000121	Bevul.7G184000.1.p	AT5G20950.1, AT5G20950.2, AT5G20950.3, AT5G20940.1
OG0000122	Bevul.8G023100.1.p, Bevul.7G084500.1.p, Bevul.5G126200.1.p	ATCG00350.1
OG0000122	Bevul.1G016800.1.p	ATCG00340.1
OG0000123	Bevul.6G168100.1.p, Bevul.6G215400.1.p, Bevul.6G220300.1.p, Bevul.1G134500.1.p, Bevul.1G134800.1.p, Bevul.1G134700.1.p, Bevul.1G134600.1.p	AT5G13930.1
OG0000124	Bevul.9G182900.1.p, Bevul.9G081400.1.p, Bevul.3G002000.1.p, Bevul.3G004500.1.p, Bevul.9G183000.1.p	AT3G48700.1, AT3G48690.1, AT2G03550.1, AT1G19190.1
OG0000124	Bevul.8G010600.1.p	AT1G47480.1
OG0000125	Bevul.7G078600.1.p	AT2G48020.4, AT2G48020.3, AT2G48020.1, AT2G48020.2
OG0000125	Bevul.4G149800.1.p, Bevul.4G149700.1.p, Bevul.4G149400.1.p, Bevul.4G149500.1.p, Bevul.4G149600.1.p	AT1G54730.2, AT1G54730.10, AT1G54730.6, AT1G54730.11, AT1G54730.7, AT1G54730.9, AT1G54730.8, AT1G54730.3, AT1G54730.4, AT1G54730.5, AT1G54730.1
OG0000125	Bevul.3G150600.1.p	AT5G18840.1
OG0000127	Bevul.4G194200.1.p	AT2G39060.1
OG0000127	Bevul.5G158900.1.p	AT3G48740.1, AT5G23660.1
OG0000128	Bevul.7G149700.1.p	AT1G78950.2, AT1G78950.1, AT1G78955.5, AT1G78955.4, AT1G78955.2, AT1G78955.3, AT1G78955.1, AT1G66960.3, AT1G66960.4, AT1G66960.2, AT1G66960.1, AT1G78960.5, AT1G78960.2, AT1G78960.3, AT1G78960.1, AT1G78960.4, AT1G78970.2, AT1G78970.1, AT1G78970.3
