Orthogroup	B_vulgaris.proteins	D_spatulata.proteins
OG0000024	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p	Ds_00004822-RA, Ds_00007355-RA, Ds_00014543-RA, Ds_00017860-RA, Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA
OG0000024	Bevul.4G087500.1.p, Bevul.5G049900.1.p, Bevul.5G050000.1.p	Ds_00007357-RA, Ds_00007354-RA
OG0000024	Bevul.4G087600.1.p, Bevul.4G004600.1.p	Ds_00014538-RA
OG0000025	Bevul.9G156900.1.p	Ds_00000314-RA
OG0000025	Bevul.9G157500.1.p, Bevul.9G157400.1.p	Ds_00008906-RA, Ds_00008905-RA
OG0000025	Bevul.9G229300.1.p, Bevul.9G229400.1.p, Bevul.9G230200.1.p, Bevul.9G229800.1.p, Bevul.9G230100.1.p, Bevul.9G229700.1.p, Bevul.9G230000.1.p, Bevul.9G229600.1.p, Bevul.9G229200.1.p, Bevul.9G229500.1.p, Bevul.9G229900.1.p, Bevul.9G229100.1.p, Bevul.9G230300.1.p	Ds_00011235-RA
OG0000026	Bevul.6G022200.1.p, Bevul.7G010100.2.p, Bevul.7G010100.1.p	Ds_00006582-RA
OG0000026	Bevul.4G049100.1.p	Ds_00001373-RA
OG0000026	Bevul.4G079600.1.p	Ds_00016879-RA, Ds_00016881-RA, Ds_00001374-RA
OG0000026	Bevul.4G046500.1.p	Ds_00018009-RA, Ds_00018041-RA, Ds_00015619-RA
OG0000027	Bevul.5G197000.1.p	Ds_00016246-RA, Ds_00016163-RA, Ds_00002306-RA, Ds_00000646-RA, Ds_00007953-RA, Ds_00009832-RA, Ds_00007193-RA
OG0000028	Bevul.9G027600.1.p, Bevul.5G236400.1.p	Ds_00010076-RA, Ds_00010074-RA
OG0000029	Bevul.4G206200.1.p, Bevul.4G206300.1.p, Bevul.4G205700.1.p, Bevul.4G205600.1.p, Bevul.4G206000.1.p, Bevul.4G206100.1.p, Bevul.4G207500.1.p, Bevul.6G130200.1.p, Bevul.4G207900.1.p, Bevul.4G207300.1.p	Ds_00015527-RA, Ds_00015526-RA
OG0000029	Bevul.3G107500.1.p, Bevul.3G108400.1.p, Bevul.3G107400.1.p, Bevul.3G107700.1.p, Bevul.3G135600.1.p, Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p	Ds_00010871-RA, Ds_00010870-RA
OG0000029	Bevul.2G150500.1.p, Bevul.2G150800.1.p, Bevul.2G150300.1.p	Ds_00008364-RA, Ds_00015383-RA
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p, Bevul.1G036100.1.p, Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p	Ds_00015041-RA
OG0000031	Bevul.9G081700.1.p, Bevul.6G216700.1.p, Bevul.9G167800.1.p	Ds_00009829-RA, Ds_00009830-RA
OG0000031	Bevul.6G022900.1.p	Ds_00001472-RA
OG0000031	Bevul.1G155200.1.p	Ds_00000354-RA, Ds_00000355-RA
OG0000034	Bevul.5G008500.1.p, Bevul.5G008400.1.p	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p	Ds_00010208-RA, Ds_00015077-RA
OG0000034	Bevul.9G089000.2.p, Bevul.9G089000.1.p	Ds_00015914-RA
OG0000037	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p, Bevul.8G003600.1.p, Bevul.8G012100.1.p	Ds_00010987-RA, Ds_00009807-RA
OG0000037	Bevul.7G132700.1.p	Ds_00015216-RA
OG0000038	Bevul.6G168300.1.p	Ds_00017774-RA
OG0000038	Bevul.7G140500.1.p	Ds_00003815-RA
OG0000038	Bevul.7G140200.1.p	Ds_00005791-RA, Ds_00009691-RA, Ds_00013784-RA, Ds_00013785-RA
OG0000038	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA
OG0000040	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p	Ds_00008461-RA, Ds_00008462-RA
OG0000041	Bevul.9G137500.1.p	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA
OG0000041	Bevul.4G126000.1.p	Ds_00006251-RA
OG0000041	Bevul.2G204400.1.p	Ds_00016658-RA
OG0000041	Bevul.4G131500.1.p	Ds_00009329-RA
OG0000041	Bevul.5G251800.1.p	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA
OG0000041	Bevul.8G136400.1.p	Ds_00016022-RA, Ds_00000091-RA
OG0000042	Bevul.7G199900.1.p, Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p	Ds_00012464-RA
OG0000042	Bevul.7G200100.1.p	Ds_00015505-RA
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	Ds_00007701-RA
OG0000043	Bevul.3G192200.1.p	Ds_00000548-RA, Ds_00002531-RA
OG0000043	Bevul.1G013100.1.p, Bevul.1G013000.1.p, Bevul.5G044900.1.p, Bevul.1G033800.1.p	Ds_00002532-RA
OG0000044	Bevul.6G087200.1.p	Ds_00010910-RA, Ds_00011206-RA
OG0000044	Bevul.6G042400.1.p	Ds_00005439-RA
OG0000044	Bevul.7G059000.1.p	Ds_00008781-RA
OG0000044	Bevul.7G175700.1.p	Ds_00012803-RA
OG0000044	Bevul.5G238300.1.p	Ds_00008624-RA
OG0000045	Bevul.2G135500.1.p, Bevul.7G096000.1.p, Bevul.8G197300.1.p	Ds_00009752-RA
OG0000046	Bevul.9G172100.1.p	Ds_00016515-RA, Ds_00004346-RA
OG0000046	Bevul.6G085300.1.p	Ds_00010906-RA, Ds_00011215-RA
OG0000046	Bevul.8G193500.1.p, Bevul.8G193400.1.p	Ds_00013053-RA
OG0000046	Bevul.6G116700.1.p	Ds_00008610-RA
OG0000046	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p	Ds_00008496-RA, Ds_00012090-RA
OG0000046	Bevul.9G205600.1.p, Bevul.9G205500.1.p, Bevul.9G205500.2.p	Ds_00000726-RA
OG0000047	Bevul.6G072600.1.p	Ds_00001929-RA
OG0000047	Bevul.8G084000.1.p	Ds_00005948-RA
OG0000047	Bevul.6G205000.1.p, Bevul.9G121600.1.p	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA
OG0000047	Bevul.4G162400.1.p	Ds_00004014-RA
OG0000049	Bevul.5G143100.1.p, Bevul.1G059200.1.p, Bevul.6G174000.1.p, Bevul.8G122400.1.p, Bevul.5G137800.1.p, Bevul.1G008600.1.p, Bevul.4G165400.1.p, Bevul.2G188100.1.p, Bevul.6G112400.1.p, Bevul.2G120900.1.p, Bevul.6G030400.1.p, Bevul.3G164200.1.p, Bevul.8G154600.1.p, Bevul.2G021800.1.p, Bevul.3G139100.1.p, Bevul.4G167300.1.p, Bevul.8G088400.1.p, Bevul.5G159500.1.p, Bevul.9G089200.1.p, Bevul.3G187000.1.p, Bevul.5G095300.1.p, Bevul.8G091100.1.p, Bevul.5G083800.1.p, Bevul.9G108600.1.p, Bevul.7G132300.1.p, Bevul.1G048700.1.p, Bevul.7G147300.1.p, Bevul.7G046500.1.p, Bevul.7G077200.1.p, Bevul.5G145200.1.p, Bevul.6G188200.1.p, Bevul.8G079500.1.p, Bevul.1G063500.1.p, Bevul.2G087100.1.p, Bevul.2G054000.1.p, Bevul.7G135600.1.p, Bevul.9G076100.1.p, Bevul.4G118100.1.p, Bevul.8G090100.1.p, Bevul.1G000600.1.p, Bevul.4G089100.1.p, Bevul.6G106400.1.p, Bevul.7G209300.1.p, Bevul.9G111200.1.p, Bevul.9G060300.1.p	Ds_00012230-RA, Ds_00003024-RA, Ds_00002245-RA, Ds_00008896-RA, Ds_00006497-RA, Ds_00017443-RA, Ds_00012468-RA, Ds_00017526-RA, Ds_00014937-RA
OG0000049	Bevul.8G094900.1.p, Bevul.5G152800.1.p, Bevul.6G164000.1.p, Bevul.6G166400.1.p, Bevul.1G111200.1.p, Bevul.5G103900.1.p, Bevul.7G103700.1.p, Bevul.9G021300.1.p	Ds_00013655-RA, Ds_00002182-RA, Ds_00005477-RA, Ds_00005217-RA, Ds_00017621-RA, Ds_00017554-RA, Ds_00002211-RA, Ds_00012899-RA, Ds_00006677-RA, Ds_00012844-RA, Ds_00014920-RA, Ds_00010466-RA, Ds_00018005-RA
OG0000049	Bevul.5G132000.1.p	Ds_00009616-RA, Ds_00002937-RA, Ds_00010450-RA, Ds_00008897-RA
OG0000049	Bevul.7G007900.1.p, Bevul.6G165200.1.p, Bevul.5G132100.1.p	Ds_00007713-RA, Ds_00008144-RA, Ds_00002995-RA
OG0000050	Bevul.9G090800.1.p	Ds_00012851-RA
OG0000050	Bevul.6G054500.1.p, Bevul.3G141600.1.p, Bevul.3G044000.1.p	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA
OG0000051	Bevul.1G053800.1.p	Ds_00015250-RA
OG0000051	Bevul.2G130700.1.p, Bevul.4G060700.1.p, Bevul.6G180000.1.p, Bevul.9G062300.1.p, Bevul.4G085800.1.p, Bevul.6G105900.1.p, Bevul.6G177600.1.p, Bevul.8G033100.1.p	Ds_00017962-RA, Ds_00009669-RA
OG0000051	Bevul.5G196000.1.p	Ds_00014341-RA
OG0000055	Bevul.6G201900.1.p	Ds_00010593-RA
OG0000055	Bevul.3G152000.1.p	Ds_00014521-RA
OG0000055	Bevul.7G124000.1.p	Ds_00001014-RA
OG0000055	Bevul.4G037900.1.p	Ds_00002955-RA
OG0000055	Bevul.2G111100.1.p, Bevul.2G111100.2.p, Bevul.7G220300.1.p	Ds_00001660-RA
OG0000058	Bevul.7G198300.1.p	Ds_00011609-RA, Ds_00005255-RA
OG0000058	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA
OG0000059	Bevul.4G207200.1.p	Ds_00015524-RA, Ds_00015528-RA
OG0000059	Bevul.4G210500.1.p	Ds_00009643-RA
OG0000059	Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p	Ds_00013734-RA
OG0000060	Bevul.8G022700.1.p	Ds_00008503-RA
OG0000060	Bevul.6G152800.1.p, Bevul.2G147800.1.p	Ds_00017662-RA
OG0000063	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p	Ds_00001207-RA, Ds_00010181-RA
OG0000063	Bevul.2G185200.1.p, Bevul.2G185200.2.p	Ds_00014318-RA
OG0000065	Bevul.3G163400.1.p	Ds_00009318-RA, Ds_00016604-RA
OG0000067	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA
OG0000067	Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p	Ds_00010296-RA, Ds_00015402-RA
OG0000070	Bevul.6G213100.1.p, Bevul.2G233700.1.p	Ds_00010078-RA
OG0000071	Bevul.7G142600.1.p	Ds_00003826-RA
OG0000071	Bevul.3G015700.1.p	Ds_00005567-RA
OG0000071	Bevul.7G048700.2.p, Bevul.7G048700.1.p	Ds_00002033-RA
OG0000071	Bevul.3G170700.1.p	Ds_00013248-RA, Ds_00007141-RA
OG0000071	Bevul.7G121800.1.p	Ds_00006568-RA
OG0000071	Bevul.6G171300.1.p	Ds_00012035-RA, Ds_00010724-RA
OG0000072	Bevul.4G070000.1.p, Bevul.4G070600.1.p, Bevul.4G070200.1.p, Bevul.4G241400.1.p, Bevul.6G033000.1.p, Bevul.4G241200.1.p	Ds_00000109-RA
OG0000072	Bevul.1G173800.1.p	Ds_00017713-RA
OG0000075	Bevul.4G135900.1.p, Bevul.9G089400.1.p, Bevul.8G054900.1.p, Bevul.2G092500.1.p, Bevul.3G164400.1.p, Bevul.9G123800.1.p, Bevul.9G020100.1.p, Bevul.4G078500.1.p, Bevul.9G131500.1.p, Bevul.5G150100.1.p, Bevul.9G030300.1.p, Bevul.4G073300.1.p, Bevul.1G068400.1.p, Bevul.8G073400.1.p, Bevul.1G092100.1.p, Bevul.6G175500.1.p, Bevul.6G178300.1.p, Bevul.4G107600.1.p, Bevul.1G102800.1.p, Bevul.8G145300.1.p, Bevul.4G096200.1.p, Bevul.7G096500.1.p, Bevul.7G033300.1.p, Bevul.4G097300.1.p, Bevul.2G079100.1.p, Bevul.7G123000.1.p, Bevul.2G091600.1.p, Bevul.4G082800.1.p, Bevul.1G037600.1.p, Bevul.4G058700.1.p, Bevul.6G128800.1.p, Bevul.1G083400.1.p, Bevul.4G014300.1.p, Bevul.8G114200.1.p, Bevul.8G141300.1.p, Bevul.3G140300.1.p, Bevul.2G081000.1.p, Bevul.1G016600.1.p, Bevul.5G200400.1.p, Bevul.3G129900.1.p, Bevul.4G131000.1.p, Bevul.2G062500.1.p, Bevul.7G087900.1.p, Bevul.1G003200.1.p, Bevul.9G047800.1.p, Bevul.8G071500.1.p, Bevul.1G074400.1.p, Bevul.6G099600.1.p, Bevul.5G073200.1.p, Bevul.4G101200.1.p, Bevul.7G113900.1.p, Bevul.6G120900.1.p, Bevul.4G142900.1.p, Bevul.8G070800.1.p, Bevul.3G140800.1.p, Bevul.8G087100.1.p, Bevul.2G091500.1.p	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA
OG0000075	Bevul.9G081500.1.p	Ds_00012460-RA, Ds_00010695-RA
OG0000076	Bevul.7G121000.1.p, Bevul.9G093500.1.p, Bevul.7G097500.1.p	Ds_00004958-RA
OG0000077	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p	Ds_00000030-RA, Ds_00000031-RA
OG0000077	Bevul.4G245600.1.p	Ds_00006087-RA
OG0000077	Bevul.3G177700.1.p, Bevul.3G177600.1.p	Ds_00011039-RA
OG0000078	Bevul.1G103100.1.p, Bevul.9G153800.1.p, Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA
OG0000078	Bevul.7G129900.1.p, Bevul.4G007900.1.p, Bevul.2G061000.1.p, Bevul.2G060900.1.p, Bevul.4G008000.1.p	Ds_00009717-RA
OG0000079	Bevul.4G110500.1.p	Ds_00017477-RA, Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA
OG0000084	Bevul.6G022100.1.p, Bevul.8G147200.1.p, Bevul.8G147600.1.p, Bevul.8G147500.1.p, Bevul.8G147400.1.p, Bevul.8G147300.1.p, Bevul.8G191300.1.p	Ds_00017343-RA
OG0000085	Bevul.8G140500.1.p	Ds_00013315-RA
OG0000085	Bevul.7G169300.1.p, Bevul.7G169200.1.p	Ds_00002345-RA
OG0000085	Bevul.2G000300.1.p	Ds_00006817-RA
OG0000085	Bevul.2G120700.1.p	Ds_00003374-RA
OG0000085	Bevul.4G250700.1.p	Ds_00013221-RA, Ds_00016552-RA
OG0000085	Bevul.5G108500.1.p	Ds_00007391-RA
OG0000087	Bevul.3G206400.1.p	Ds_00000857-RA
OG0000087	Bevul.1G116200.1.p	Ds_00012134-RA, Ds_00012132-RA
OG0000087	Bevul.6G246200.1.p	Ds_00015816-RA, Ds_00008978-RA
OG0000088	Bevul.4G082000.1.p, Bevul.4G081800.1.p, Bevul.4G081700.1.p, Bevul.4G081900.1.p	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000088	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p, Bevul.8G074400.1.p	Ds_00011160-RA
OG0000089	Bevul.9G199700.1.p	Ds_00000919-RA, Ds_00000698-RA
OG0000089	Bevul.2G018800.1.p	Ds_00014281-RA, Ds_00009910-RA
OG0000090	Bevul.4G177600.1.p	Ds_00003959-RA
OG0000090	Bevul.6G147700.1.p	Ds_00008033-RA, Ds_00010488-RA
OG0000091	Bevul.3G230400.1.p, Bevul.3G229900.1.p, Bevul.3G229800.1.p	Ds_00005720-RA, Ds_00012613-RA
OG0000091	Bevul.8G117100.1.p	Ds_00007917-RA
OG0000091	Bevul.7G053900.1.p	Ds_00009911-RA
OG0000091	Bevul.1G098700.1.p, Bevul.1G099000.1.p, Bevul.1G098800.1.p, Bevul.5G151700.1.p, Bevul.5G151600.1.p, Bevul.2G055300.1.p, Bevul.2G055200.1.p	Ds_00000663-RA
OG0000092	Bevul.2G192400.1.p	Ds_00007208-RA, Ds_00013212-RA
OG0000095	Bevul.7G228500.1.p	Ds_00016626-RA
OG0000095	Bevul.6G047300.1.p	Ds_00005433-RA
OG0000095	Bevul.4G035700.1.p	Ds_00005415-RA
OG0000096	Bevul.6G093700.1.p, Bevul.6G094300.1.p, Bevul.6G093800.1.p, Bevul.6G093900.1.p, Bevul.6G094200.1.p, Bevul.6G094400.1.p, Bevul.6G094500.1.p, Bevul.6G120200.1.p	Ds_00011884-RA, Ds_00011885-RA
OG0000097	Bevul.5G215500.1.p	Ds_00008970-RA
OG0000097	Bevul.4G007500.1.p, Bevul.4G009100.1.p, Bevul.4G009300.1.p, Bevul.4G009200.1.p, Bevul.4G006500.1.p, Bevul.4G008300.1.p, Bevul.4G008400.1.p, Bevul.4G008500.1.p, Bevul.7G126500.1.p	Ds_00011731-RA
OG0000098	Bevul.1G023300.1.p	Ds_00000511-RA
OG0000098	Bevul.5G002300.1.p	Ds_00001304-RA
OG0000098	Bevul.3G212800.1.p	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA
OG0000098	Bevul.7G197100.1.p	Ds_00010103-RA
OG0000099	Bevul.6G246400.1.p, Bevul.6G101900.1.p	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA
OG0000099	Bevul.6G102500.1.p	Ds_00012557-RA
OG0000101	Bevul.9G147500.1.p, Bevul.3G108700.1.p, Bevul.1G020800.1.p	Ds_00017680-RA, Ds_00013692-RA
OG0000101	Bevul.9G102800.1.p	Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA
OG0000101	Bevul.8G134600.1.p, Bevul.6G002800.1.p, Bevul.1G107900.1.p, Bevul.4G032200.1.p	Ds_00008372-RA
OG0000102	Bevul.1G039700.1.p, Bevul.8G011800.1.p, Bevul.8G011900.1.p, Bevul.8G012000.1.p	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA
OG0000102	Bevul.8G011700.1.p	Ds_00011502-RA, Ds_00015916-RA
OG0000103	Bevul.4G072400.1.p, Bevul.4G093400.1.p	Ds_00007541-RA
OG0000103	Bevul.7G057800.1.p	Ds_00008775-RA
OG0000103	Bevul.8G030200.1.p	Ds_00015206-RA, Ds_00015118-RA
OG0000104	Bevul.7G018600.1.p	Ds_00015579-RA
OG0000104	Bevul.7G018700.1.p	Ds_00015800-RA, Ds_00015801-RA
OG0000105	Bevul.6G149400.1.p	Ds_00016593-RA, Ds_00001973-RA
OG0000105	Bevul.8G035800.1.p	Ds_00004427-RA, Ds_00011176-RA
OG0000105	Bevul.4G003500.1.p	Ds_00014085-RA
OG0000105	Bevul.7G031800.2.p, Bevul.7G031800.1.p	Ds_00008720-RA, Ds_00016969-RA
OG0000105	Bevul.7G230900.1.p	Ds_00015702-RA
OG0000106	Bevul.9G126800.1.p, Bevul.9G127200.1.p, Bevul.9G127500.1.p, Bevul.9G126400.1.p, Bevul.9G126500.1.p, Bevul.9G127300.1.p, Bevul.9G127000.1.p, Bevul.9G127600.1.p, Bevul.9G127100.1.p, Bevul.9G127400.1.p, Bevul.9G126600.1.p, Bevul.9G126300.1.p, Bevul.9G126900.1.p, Bevul.9G126700.1.p, Bevul.9G127700.1.p, Bevul.9G127800.1.p, Bevul.9G126200.1.p	Ds_00012991-RA
OG0000107	Bevul.6G135200.1.p	Ds_00008559-RA
OG0000108	Bevul.8G206000.1.p, Bevul.4G117300.1.p, Bevul.9G172600.1.p	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA
OG0000108	Bevul.8G078900.1.p	Ds_00004396-RA
