Orthogroup	B_vulgaris.proteins	A_hypochondriacus.proteins
OG0000028	Bevul.9G027600.1.p, Bevul.5G236400.1.p	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA, AH020917-RA, AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA
OG0000029	Bevul.4G206200.1.p, Bevul.4G206300.1.p, Bevul.4G205700.1.p, Bevul.4G205600.1.p, Bevul.4G206000.1.p, Bevul.4G206100.1.p, Bevul.4G207500.1.p, Bevul.6G130200.1.p, Bevul.4G207900.1.p, Bevul.4G207300.1.p	AH007429-RA, AH007431-RA
OG0000029	Bevul.3G107400.1.p	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA
OG0000029	Bevul.3G107700.1.p, Bevul.3G135600.1.p	AH020079-RA
OG0000029	Bevul.3G108200.1.p, Bevul.3G108600.1.p, Bevul.3G108500.1.p, Bevul.3G108800.1.p	AH011681-RA
OG0000029	Bevul.6G040300.1.p, Bevul.6G040400.1.p, Bevul.5G070000.1.p, Bevul.6G040100.1.p, Bevul.5G070100.1.p	AH006237-RA
OG0000029	Bevul.6G040200.1.p	AH010825-RA, AH006239-RA
OG0000030	Bevul.6G220100.1.p	AH004946-RA, AH004294-RA
OG0000030	Bevul.1G036200.1.p, Bevul.1G036300.1.p	AH016837-RA
OG0000030	Bevul.1G036100.1.p	AH023677-RA
OG0000030	Bevul.1G036000.1.p, Bevul.1G035800.1.p, Bevul.1G035900.1.p	AH023678-RA
OG0000030	Bevul.9G124800.1.p	AH002346-RA
OG0000030	Bevul.6G220800.1.p	AH004951-RA, AH004295-RA
OG0000031	Bevul.6G216700.1.p	AH004273-RA
OG0000031	Bevul.9G167800.1.p	AH006728-RA
OG0000031	Bevul.3G005000.1.p, Bevul.3G005100.1.p	AH006620-RA
OG0000031	Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p	AH020546-RA
OG0000031	Bevul.5G208000.1.p	AH017304-RA
OG0000031	Bevul.6G022900.1.p	AH005774-RA
OG0000031	Bevul.1G155200.1.p	AH010116-RA
OG0000032	Bevul.9G072800.1.p	AH014263-RA
OG0000032	Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p	AH017723-RA, AH022573-RA
OG0000032	Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p	AH003819-RA
OG0000034	Bevul.5G008500.1.p, Bevul.5G008400.1.p	AH018551-RA
OG0000034	Bevul.8G068400.1.p, Bevul.8G065600.1.p, Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p, Bevul.8G034500.1.p, Bevul.9G089000.2.p, Bevul.9G089000.1.p	AH015068-RA
OG0000037	Bevul.8G012800.1.p, Bevul.8G012700.1.p, Bevul.8G012600.1.p, Bevul.8G012200.1.p, Bevul.8G013100.1.p, Bevul.8G012900.1.p, Bevul.8G013000.1.p	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA
OG0000037	Bevul.7G132700.1.p	AH022157-RA, AH022156-RA
OG0000040	Bevul.4G187100.1.p, Bevul.4G187000.1.p	AH010353-RA
OG0000040	Bevul.3G181600.1.p	AH001516-RA
OG0000041	Bevul.4G126000.1.p	AH007879-RA
OG0000041	Bevul.5G248300.1.p	AH002654-RA
OG0000041	Bevul.5G251800.1.p	AH002675-RA, AH017708-RA
OG0000042	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p	AH016437-RA
OG0000042	Bevul.9G031500.1.p, Bevul.7G200000.1.p	AH022589-RA
OG0000042	Bevul.4G033600.1.p, Bevul.4G033500.1.p	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	Bevul.2G142500.1.p	AH010383-RA
OG0000043	Bevul.8G029800.1.p	AH015075-RA, AH015076-RA, AH015074-RA
OG0000043	Bevul.3G192200.1.p	AH015480-RA, AH006791-RA
OG0000043	Bevul.2G182700.1.p	AH023189-RA
OG0000043	Bevul.2G182900.1.p	AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA
OG0000044	Bevul.6G087200.1.p	AH003991-RA
OG0000044	Bevul.6G042400.1.p	AH006255-RA
OG0000044	Bevul.2G143200.1.p, Bevul.2G143200.4.p, Bevul.2G143200.2.p, Bevul.2G143200.3.p	AH016206-RA
OG0000044	Bevul.7G175700.1.p	AH013313-RA
OG0000044	Bevul.9G080900.1.p, Bevul.9G080900.2.p	AH001378-RA
OG0000044	Bevul.5G238300.1.p	AH002596-RA, AH017804-RA
OG0000046	Bevul.9G172100.1.p	AH000561-RA
OG0000046	Bevul.8G193500.1.p, Bevul.8G193400.1.p	AH020861-RA
OG0000046	Bevul.6G116700.1.p	AH005447-RA, AH004082-RA
OG0000046	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p	AH016482-RA
OG0000046	Bevul.9G205500.1.p, Bevul.9G205500.2.p	AH002087-RA, AH000466-RA
OG0000047	Bevul.6G072600.1.p	AH003569-RA
OG0000047	Bevul.8G084000.1.p	AH011231-RA, AH020493-RA
OG0000047	Bevul.7G199200.1.p	AH010621-RA
OG0000047	Bevul.6G205000.1.p, Bevul.9G121600.1.p	AH023632-RA, AH004534-RA
OG0000048	Bevul.7G007100.1.p	AH012470-RA, AH003272-RA, AH012469-RA
OG0000048	Bevul.7G006800.1.p	AH012467-RA
OG0000048	Bevul.9G163800.1.p	AH012466-RA
OG0000048	Bevul.7G006900.1.p, Bevul.7G007000.1.p	AH021362-RA, AH012468-RA
OG0000048	Bevul.9G163700.1.p	AH021718-RA, AH012465-RA
OG0000050	Bevul.4G161900.1.p, Bevul.8G073700.1.p, Bevul.6G162600.1.p, Bevul.4G100700.1.p, Bevul.6G122600.1.p, Bevul.1G110400.1.p, Bevul.7G152400.1.p, Bevul.8G070700.1.p, Bevul.1G000200.1.p, Bevul.1G019900.1.p, Bevul.9G125600.1.p, Bevul.6G227100.1.p, Bevul.7G149200.1.p, Bevul.1G100000.1.p, Bevul.2G146500.1.p, Bevul.4G100400.1.p	AH007098-RA, AH022595-RA, AH016877-RA
OG0000050	Bevul.6G212000.1.p, Bevul.9G063100.1.p, Bevul.2G118600.1.p	AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA
OG0000055	Bevul.6G201900.1.p	AH005218-RA, AH004572-RA
OG0000055	Bevul.3G152000.1.p	AH007027-RA
OG0000055	Bevul.7G220500.1.p	AH013063-RA
OG0000056	Bevul.4G202900.1.p	AH010523-RA
OG0000056	Bevul.5G169200.1.p, Bevul.1G056800.1.p, Bevul.6G155400.1.p, Bevul.6G155300.1.p, Bevul.3G205600.1.p, Bevul.3G206800.1.p, Bevul.3G171300.1.p, Bevul.3G171200.1.p, Bevul.3G171400.1.p, Bevul.3G171100.1.p, Bevul.3G216600.1.p	AH006697-RA
OG0000056	Bevul.9G148400.1.p, Bevul.1G122700.1.p, Bevul.1G121200.1.p, Bevul.1G121100.1.p	AH022868-RA, AH022873-RA, AH023487-RA, AH021120-RA
OG0000056	Bevul.7G009100.1.p	AH021732-RA, AH012484-RA
OG0000056	Bevul.7G009200.1.p, Bevul.7G009200.3.p, Bevul.7G009200.2.p	AH021731-RA, AH012482-RA
OG0000058	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p	AH012624-RA
OG0000059	Bevul.1G077700.1.p, Bevul.1G077800.1.p	AH004860-RA
OG0000059	Bevul.3G108300.1.p	AH006349-RA, AH006347-RA, AH011674-RA
OG0000059	Bevul.4G207200.1.p	AH011171-RA
OG0000059	Bevul.4G207400.1.p	AH018362-RA, AH011169-RA, AH007432-RA
OG0000059	Bevul.8G204300.1.p	AH014450-RA
OG0000059	Bevul.8G204400.1.p	AH014451-RA
OG0000059	Bevul.4G210500.1.p	AH007433-RA
OG0000059	Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p	AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000060	Bevul.4G032400.1.p, Bevul.6G106000.1.p, Bevul.1G069200.1.p, Bevul.4G140200.1.p, Bevul.2G183900.1.p, Bevul.2G179300.1.p, Bevul.5G113600.1.p, Bevul.9G154900.1.p, Bevul.7G122300.1.p, Bevul.7G087000.1.p, Bevul.6G130000.1.p, Bevul.3G157500.1.p, Bevul.9G041500.1.p, Bevul.9G085600.1.p, Bevul.2G113300.1.p, Bevul.5G158700.1.p, Bevul.6G112500.1.p, Bevul.3G135000.1.p, Bevul.2G050500.1.p, Bevul.6G192600.1.p, Bevul.1G032500.1.p, Bevul.6G224900.1.p, Bevul.2G017000.1.p, Bevul.9G096800.1.p, Bevul.1G082000.1.p, Bevul.7G051800.1.p, Bevul.2G125300.1.p, Bevul.4G094800.1.p, Bevul.5G182700.1.p, Bevul.2G234000.1.p, Bevul.5G136200.1.p, Bevul.3G152200.1.p, Bevul.3G185000.1.p, Bevul.8G086400.1.p, Bevul.6G063000.1.p, Bevul.8G098000.1.p, Bevul.7G155700.1.p, Bevul.3G150400.1.p, Bevul.2G136500.1.p, Bevul.3G161000.1.p, Bevul.5G158800.1.p, Bevul.9G084200.1.p, Bevul.4G140300.1.p, Bevul.7G174300.1.p, Bevul.4G135800.1.p, Bevul.6G178600.1.p, Bevul.7G075500.1.p, Bevul.1G030200.1.p, Bevul.6G164700.1.p, Bevul.1G030100.1.p, Bevul.8G107100.1.p, Bevul.7G151700.1.p, Bevul.9G069700.1.p, Bevul.7G057400.1.p, Bevul.5G087900.1.p, Bevul.5G114800.1.p, Bevul.5G092900.1.p, Bevul.1G103000.1.p, Bevul.5G227500.1.p, Bevul.6G137600.1.p, Bevul.4G111400.1.p, Bevul.4G143400.1.p, Bevul.9G051300.1.p, Bevul.8G151700.1.p, Bevul.2G048400.1.p, Bevul.7G080500.1.p, Bevul.4G113200.1.p, Bevul.6G129900.1.p, Bevul.1G069400.1.p, Bevul.3G132800.1.p, Bevul.6G103300.1.p, Bevul.8G063200.1.p, Bevul.6G115000.1.p, Bevul.4G085700.1.p, Bevul.4G106200.1.p, Bevul.1G049200.1.p, Bevul.6G110300.1.p, Bevul.6G149300.1.p, Bevul.8G022700.1.p, Bevul.7G086100.1.p, Bevul.3G145900.1.p, Bevul.6G152800.1.p, Bevul.2G147800.1.p, Bevul.7G048400.1.p	AH016857-RA
OG0000063	Bevul.9G094300.1.p	AH001425-RA
OG0000063	Bevul.9G094200.1.p	AH001424-RA
OG0000063	Bevul.7G222300.1.p, Bevul.7G222600.1.p, Bevul.7G222500.1.p	AH022436-RA
OG0000063	Bevul.7G010600.1.p, Bevul.7G010900.1.p, Bevul.7G010700.1.p, Bevul.7G010800.1.p	AH012497-RA
OG0000063	Bevul.2G185200.1.p, Bevul.2G185200.2.p	AH023171-RA
OG0000063	Bevul.2G185300.1.p	AH016306-RA
OG0000063	Bevul.2G184800.1.p	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000063	Bevul.2G184500.1.p, Bevul.2G184600.1.p	AH016303-RA
OG0000063	Bevul.2G184700.1.p	AH023175-RA
OG0000065	Bevul.7G110100.1.p, Bevul.7G148200.1.p	AH013518-RA
OG0000065	Bevul.3G163400.1.p	AH020188-RA
OG0000065	Bevul.4G077200.1.p, Bevul.4G077300.1.p	AH020229-RA
OG0000065	Bevul.7G117800.1.p, Bevul.7G117700.1.p	AH013022-RA
OG0000067	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p	AH001311-RA
OG0000067	Bevul.7G062100.6.p, Bevul.7G062100.10.p, Bevul.7G062100.3.p, Bevul.7G062100.7.p, Bevul.7G062100.14.p, Bevul.7G062100.12.p, Bevul.7G062100.1.p, Bevul.7G062100.9.p, Bevul.7G062100.2.p, Bevul.7G062100.11.p, Bevul.7G062100.5.p, Bevul.7G062100.13.p, Bevul.7G062100.16.p, Bevul.7G062100.4.p, Bevul.7G062100.15.p, Bevul.7G062100.17.p, Bevul.7G062100.8.p	AH020385-RA, AH006767-RA
OG0000068	Bevul.3G027000.1.p	AH011897-RA
OG0000068	Bevul.8G060400.1.p	AH021520-RA
OG0000068	Bevul.8G072600.1.p	AH021522-RA
OG0000068	Bevul.8G072700.1.p	AH015036-RA
OG0000068	Bevul.8G060300.1.p	AH015035-RA
OG0000068	Bevul.3G137200.1.p	AH020117-RA
OG0000070	Bevul.1G170800.1.p	AH008914-RA, AH023567-RA
OG0000070	Bevul.6G213100.1.p	AH004919-RA, AH004504-RA
OG0000070	Bevul.2G233700.1.p	AH022950-RA
OG0000070	Bevul.7G207000.1.p	AH013681-RA
OG0000071	Bevul.7G142600.1.p	AH022369-RA, AH013559-RA
OG0000071	Bevul.3G015700.1.p	AH019943-RA
OG0000071	Bevul.7G048700.2.p, Bevul.7G048700.1.p	AH012735-RA
OG0000071	Bevul.3G133800.1.p	AH020129-RA
OG0000071	Bevul.3G170700.1.p	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	Bevul.7G121800.1.p	AH013047-RA
OG0000071	Bevul.6G171300.1.p	AH004886-RA
OG0000072	Bevul.6G096500.1.p	AH003759-RA, AH005866-RA
OG0000072	Bevul.4G070600.1.p	AH020159-RA, AH008035-RA
OG0000076	Bevul.7G121000.1.p	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA
OG0000077	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p	AH000842-RA
OG0000077	Bevul.2G047300.1.p	AH019349-RA
OG0000077	Bevul.4G245600.1.p	AH007662-RA, AH007663-RA
OG0000077	Bevul.3G177700.1.p, Bevul.3G177600.1.p	AH006889-RA
OG0000078	Bevul.2G206600.1.p, Bevul.2G206400.1.p, Bevul.2G206300.1.p, Bevul.2G206500.1.p	AH022838-RA
OG0000079	Bevul.8G067100.1.p	AH015194-RA
OG0000079	Bevul.4G206400.1.p	AH002054-RA
OG0000079	Bevul.4G110500.1.p	AH008309-RA
OG0000085	Bevul.8G140500.1.p	AH014594-RA, AH021106-RA
OG0000085	Bevul.7G169300.1.p	AH013377-RA
OG0000085	Bevul.7G169200.1.p	AH013378-RA
OG0000085	Bevul.2G000300.1.p	AH021680-RA
OG0000085	Bevul.2G120700.1.p	AH015892-RA, AH017005-RA
OG0000085	Bevul.5G108500.1.p	AH018522-RA
OG0000087	Bevul.3G206400.1.p	AH006703-RA, AH020455-RA
OG0000087	Bevul.2G043100.1.p	AH019163-RA, AH015676-RA
OG0000087	Bevul.2G042800.1.p	AH019164-RA, AH015677-RA
OG0000087	Bevul.6G246200.1.p	AH004659-RA
OG0000087	Bevul.5G203900.1.p	AH017338-RA
OG0000088	Bevul.4G082000.1.p	AH007982-RA
OG0000088	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p	AH002003-RA, AH000992-RA
OG0000088	Bevul.8G074400.1.p	AH014780-RA
OG0000089	Bevul.9G199700.1.p	AH002040-RA
OG0000089	Bevul.2G018800.1.p	AH019224-RA, AH019223-RA
OG0000089	Bevul.8G186400.1.p	AH014168-RA
OG0000090	Bevul.4G177600.1.p	AH010641-RA
OG0000090	Bevul.6G147700.1.p	AH005307-RA
OG0000090	Bevul.6G173400.1.p	AH004871-RA, AH004467-RA
OG0000091	Bevul.3G230400.1.p	AH020558-RA
OG0000091	Bevul.3G229900.1.p, Bevul.3G229800.1.p	AH020560-RA
OG0000091	Bevul.2G233100.1.p	AH016466-RA
OG0000091	Bevul.7G053900.1.p	AH021178-RA, AH000644-RA
OG0000091	Bevul.1G098700.1.p	AH008758-RA
OG0000091	Bevul.1G099000.1.p, Bevul.1G098800.1.p	AH008757-RA
OG0000091	Bevul.5G151700.1.p, Bevul.5G151600.1.p	AH019221-RA, AH019219-RA
OG0000092	Bevul.9G149200.1.p, Bevul.9G105100.1.p	AH002167-RA
OG0000092	Bevul.5G086800.1.p	AH016633-RA
OG0000095	Bevul.7G228500.1.p	AH013260-RA
OG0000095	Bevul.6G047300.1.p	AH006304-RA
OG0000095	Bevul.4G035700.1.p	AH010162-RA
OG0000096	Bevul.6G093700.1.p, Bevul.6G094300.1.p, Bevul.6G093800.1.p, Bevul.6G093900.1.p, Bevul.6G094200.1.p	AH005894-RA
OG0000097	Bevul.5G215500.1.p	AH017957-RA
OG0000097	Bevul.8G067300.1.p	AH021560-RA
OG0000097	Bevul.4G007500.1.p, Bevul.4G009100.1.p, Bevul.4G009300.1.p, Bevul.4G009200.1.p, Bevul.4G006500.1.p, Bevul.4G008300.1.p, Bevul.4G008400.1.p, Bevul.4G008500.1.p, Bevul.7G126500.1.p	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA
OG0000098	Bevul.1G023300.1.p	AH016758-RA
OG0000098	Bevul.5G002300.1.p	AH003177-RA
OG0000099	Bevul.6G102400.1.p	AH005801-RA
OG0000099	Bevul.6G101800.1.p, Bevul.6G102100.1.p, Bevul.6G102000.1.p	AH005806-RA, AH005677-RA
OG0000099	Bevul.6G102500.1.p	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA
OG0000099	Bevul.7G136600.1.p, Bevul.6G080300.1.p, Bevul.6G080100.1.p, Bevul.6G080000.1.p, Bevul.7G136500.1.p	AH013600-RA, AH013598-RA, AH013601-RA, AH013599-RA
OG0000101	Bevul.9G147500.1.p, Bevul.3G108700.1.p, Bevul.1G020800.1.p	AH019269-RA
OG0000102	Bevul.1G039700.1.p	AH010958-RA
OG0000102	Bevul.8G011800.1.p, Bevul.8G011900.1.p, Bevul.8G012000.1.p	AH012445-RA
OG0000102	Bevul.8G011700.1.p	AH021394-RA
OG0000103	Bevul.4G072400.1.p	AH010123-RA
OG0000103	Bevul.7G057800.1.p	AH021989-RA
OG0000103	Bevul.8G030200.1.p	AH010272-RA, AH008021-RA, AH015077-RA
OG0000103	Bevul.3G111000.1.p	AH011687-RA
OG0000104	Bevul.7G018600.1.p	AH021778-RA, AH012562-RA
OG0000104	Bevul.7G018700.1.p	AH012563-RA
OG0000104	Bevul.9G234500.4.p, Bevul.9G234500.1.p, Bevul.9G234500.6.p, Bevul.9G234500.2.p, Bevul.9G234500.7.p, Bevul.9G234500.3.p, Bevul.9G234500.5.p, Bevul.9G234700.1.p, Bevul.9G234800.1.p	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA
OG0000105	Bevul.6G149400.1.p	AH005316-RA
OG0000105	Bevul.8G035800.1.p	AH021428-RA, AH014857-RA
OG0000105	Bevul.7G031800.2.p, Bevul.7G031800.1.p	AH012640-RA, AH021838-RA
OG0000105	Bevul.7G230900.1.p	AH013279-RA
OG0000106	Bevul.9G126800.1.p, Bevul.9G127200.1.p, Bevul.9G127500.1.p, Bevul.9G126400.1.p	AH023641-RA, AH000766-RA
OG0000106	Bevul.9G126500.1.p	AH007103-RA, AH002332-RA
OG0000106	Bevul.9G126700.1.p	AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA
OG0000106	Bevul.9G127700.1.p, Bevul.9G127800.1.p	AH000765-RA, AH000768-RA
OG0000107	Bevul.6G135200.1.p	AH004190-RA, AH005485-RA
OG0000107	Bevul.6G135100.1.p	AH001713-RA
OG0000108	Bevul.4G117300.1.p	AH010687-RA
OG0000108	Bevul.9G172600.1.p	AH001829-RA
OG0000108	Bevul.8G078900.1.p	AH012760-RA, AH014759-RA
OG0000109	Bevul.9G160500.4.p, Bevul.9G160500.1.p, Bevul.9G160500.3.p, Bevul.9G160500.2.p	AH001741-RA
OG0000109	Bevul.6G028900.1.p	AH003764-RA
OG0000109	Bevul.1G164200.1.p	AH008949-RA
OG0000110	Bevul.3G149500.1.p	AH019974-RA, AH007045-RA
OG0000113	Bevul.2G177100.1.p	AH016269-RA, AH023225-RA
OG0000113	Bevul.1G135600.1.p	AH023633-RA
OG0000113	Bevul.5G004000.1.p	AH018586-RA
OG0000113	Bevul.5G004200.1.p	AH018584-RA
OG0000113	Bevul.5G005400.1.p	AH018579-RA
OG0000113	Bevul.5G005300.1.p	AH003200-RA
OG0000114	Bevul.8G062400.1.p	AH015161-RA
OG0000115	Bevul.3G216700.1.p	AH020498-RA
OG0000115	Bevul.5G258000.1.p	AH002718-RA, AH002719-RA
OG0000115	Bevul.3G216400.1.p	AH021864-RA, AH006630-RA
OG0000115	Bevul.3G216800.1.p	AH020499-RA
OG0000115	Bevul.4G166300.1.p, Bevul.4G166200.1.p	AH011228-RA
OG0000115	Bevul.3G061200.1.p	AH011595-RA
OG0000116	Bevul.7G210000.1.p	AH006915-RA
OG0000116	Bevul.5G013500.1.p	AH022502-RA
OG0000117	Bevul.5G006500.1.p, Bevul.5G006800.1.p, Bevul.4G042900.1.p, Bevul.4G042700.1.p, Bevul.4G042800.1.p, Bevul.4G043000.1.p	AH003210-RA, AH018569-RA
OG0000117	Bevul.3G100300.1.p	AH011627-RA, AH011626-RA
OG0000117	Bevul.8G125200.1.p, Bevul.8G125100.1.p	AH021154-RA
OG0000117	Bevul.8G194200.1.p, Bevul.2G080700.1.p	AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA
OG0000117	Bevul.7G058300.1.p, Bevul.7G058400.1.p	AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	Bevul.7G094000.1.p	AH022107-RA
OG0000118	Bevul.3G044400.1.p	AH012040-RA
OG0000118	Bevul.6G031600.1.p	AH006465-RA
