Orthogroup	S_lycopersicum.proteins	A_hypochondriacus.proteins
OG0000055	Solyc05g024290.3.1	AH005218-RA, AH004572-RA
OG0000055	Solyc01g067400.3.1	AH007027-RA
OG0000055	Solyc04g050970.3.1	AH010394-RA
OG0000056	Solyc02g077130.2.1	AH023488-RA
OG0000056	Solyc01g099080.3.1	AH010523-RA
OG0000058	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1	AH016699-RA
OG0000058	Solyc09g009750.2.1	AH012624-RA
OG0000059	Solyc02g068660.2.1	AH014450-RA, AH014451-RA, AH007433-RA, AH011189-RA, AH011195-RA, AH011191-RA, AH007426-RA, AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000060	Solyc10g150000.2.1, Solyc10g045650.2.1, Solyc02g061930.2.1, Solyc03g033760.2.1, Solyc12g027540.2.1	AH016857-RA
OG0000063	Solyc07g055190.3.1, Solyc03g025380.3.1	AH001425-RA, AH001424-RA
OG0000063	Solyc05g050870.3.1, Solyc09g018590.1.1	AH012497-RA
OG0000063	Solyc09g018600.1.1	AH023171-RA, AH016307-RA, AH016306-RA
OG0000063	Solyc06g050440.3.1, Solyc05g052280.3.1	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000065	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1	AH020188-RA
OG0000065	Solyc12g097080.2.1, Solyc09g091140.3.1, Solyc09g091130.3.1	AH020229-RA
OG0000065	Solyc09g011535.1.1	AH020228-RA
OG0000065	Solyc09g063150.3.1	AH013022-RA
OG0000067	Solyc11g072490.2.1	AH001311-RA
OG0000067	Solyc10g019030.1.1	AH020386-RA
OG0000068	Solyc02g068670.2.1, Solyc02g068600.3.1	AH011897-RA, AH021520-RA, AH021522-RA, AH015036-RA, AH015035-RA, AH020117-RA
OG0000070	Solyc04g071260.3.1	AH008914-RA, AH023567-RA
OG0000070	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1	AH004919-RA, AH004504-RA, AH022950-RA
OG0000070	Solyc10g086460.2.1	AH013681-RA
OG0000070	Solyc04g045285.1.1, Solyc05g024490.3.1, Solyc11g005330.2.1	AH016471-RA
OG0000071	Solyc03g111690.3.1	AH022369-RA, AH013559-RA
OG0000071	Solyc09g008380.3.1	AH012735-RA
OG0000071	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1	AH020129-RA
OG0000071	Solyc09g091430.3.1	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	Solyc09g061890.3.1	AH013047-RA
OG0000071	Solyc05g014000.3.1	AH004886-RA
OG0000072	Solyc04g081150.3.1	AH003759-RA, AH005866-RA
OG0000072	Solyc01g073970.3.1, Solyc02g077480.1.1	AH008035-RA
OG0000072	Solyc01g086820.3.1	AH011844-RA
OG0000077	Solyc10g055200.1.1, Solyc01g111235.1.1, Solyc02g032040.1.1, Solyc02g032050.1.1, Solyc02g032030.1.1, Solyc10g008900.3.1, Solyc10g055230.1.1, Solyc10g055190.1.1, Solyc10g055210.2.1, Solyc10g055065.1.1, Solyc10g054975.1.1, Solyc10g055085.1.1, Solyc10g055000.2.1, Solyc10g055090.1.1, Solyc01g111230.3.1	AH000842-RA
OG0000077	Solyc06g054320.1.1	AH019349-RA
OG0000077	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1	AH007662-RA, AH007663-RA
OG0000077	Solyc07g042300.1.1	AH006889-RA
OG0000079	Solyc02g079890.2.1, Solyc03g007730.1.1, Solyc02g079895.1.1, Solyc00g154480.2.1	AH015194-RA
OG0000079	Solyc01g105860.3.1, Solyc01g105950.3.1, Solyc02g079910.2.1	AH008309-RA
OG0000085	Solyc07g041940.3.1	AH014594-RA, AH021106-RA
OG0000085	Solyc12g049360.2.1, Solyc06g062920.3.1	AH013377-RA, AH013378-RA
OG0000085	Solyc10g074710.2.1	AH021680-RA
OG0000085	Solyc12g009310.2.1, Solyc07g042590.3.1	AH015892-RA, AH017005-RA
OG0000085	Solyc08g074980.3.1	AH018522-RA
OG0000087	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1	AH006703-RA, AH020455-RA
OG0000087	Solyc02g071220.3.1	AH019163-RA, AH015676-RA, AH019164-RA, AH015677-RA
OG0000087	Solyc05g006420.3.1	AH004659-RA
OG0000087	Solyc03g113720.3.1	AH017338-RA
OG0000088	Solyc12g014350.2.1	AH007982-RA
OG0000088	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1	AH002003-RA, AH000992-RA, AH014780-RA
OG0000089	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1	AH002040-RA
OG0000089	Solyc08g067610.3.1, Solyc08g067620.2.1	AH019224-RA, AH019223-RA, AH014168-RA
OG0000090	Solyc09g065870.3.1	AH003790-RA, AH010641-RA
OG0000090	Solyc02g093520.3.1	AH005307-RA
OG0000091	Solyc12g098610.2.1, Solyc09g092520.3.1	AH020558-RA, AH020560-RA
OG0000091	Solyc07g006860.3.1	AH016466-RA
OG0000091	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1	AH021178-RA, AH000644-RA, AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA
OG0000092	Solyc10g085780.1.1	AH006375-RA
OG0000092	Solyc04g039980.3.1, Solyc04g039990.3.1	AH010573-RA, AH012303-RA, AH016633-RA, AH021997-RA, AH012260-RA
OG0000095	Solyc03g121630.3.1	AH013260-RA
OG0000095	Solyc07g043270.3.1	AH006304-RA
OG0000095	Solyc08g060840.1.1	AH010162-RA
OG0000096	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1	AH005894-RA
OG0000096	Solyc07g043030.2.1, Solyc07g043040.1.1, Solyc07g043060.1.1, Solyc07g043050.1.1, Solyc07g043020.1.1, Solyc07g043190.2.1	AH001835-RA
OG0000097	Solyc03g112680.2.1	AH017957-RA
OG0000097	Solyc07g015990.1.1, Solyc06g006053.1.1	AH006658-RA
OG0000097	Solyc08g044336.1.1	AH021560-RA, AH010510-RA, AH010508-RA, AH010504-RA, AH009815-RA, AH023774-RA, AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA, AH009811-RA
OG0000098	Solyc04g081490.3.1, Solyc12g089310.2.1	AH016758-RA
OG0000098	Solyc03g118760.3.1	AH003177-RA
OG0000099	Solyc04g011925.1.1, Solyc04g011920.2.1, Solyc04g051768.1.1, Solyc04g011940.2.1, Solyc04g051730.1.1	AH005801-RA
OG0000101	Solyc05g025640.1.1	AH019269-RA
OG0000102	Solyc02g077050.3.1	AH010958-RA, AH012445-RA
OG0000102	Solyc02g076910.3.1	AH021394-RA
OG0000103	Solyc10g084110.2.1, Solyc09g007730.3.1	AH021989-RA
OG0000103	Solyc02g078530.3.1, Solyc03g006500.3.1, Solyc09g014470.2.1, Solyc10g076760.2.1	AH010272-RA, AH008021-RA, AH015077-RA
OG0000104	Solyc10g083170.2.1	AH021778-RA, AH012562-RA
OG0000104	Solyc08g028690.3.1, Solyc10g083180.2.1	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA
OG0000105	Solyc02g067830.3.1, Solyc02g093360.3.1	AH005316-RA
OG0000105	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1	AH021428-RA, AH014857-RA
OG0000105	Solyc10g083500.2.1, Solyc09g009380.3.1	AH012640-RA, AH021838-RA
OG0000105	Solyc06g074480.3.1, Solyc11g067070.1.1	AH013279-RA
OG0000106	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA
OG0000107	Solyc05g008805.1.1	AH004190-RA, AH005485-RA
OG0000107	Solyc02g086370.3.1, Solyc05g008820.3.1, Solyc05g008815.1.1	AH001713-RA
OG0000108	Solyc06g009280.1.1, Solyc06g009290.3.1	AH010687-RA, AH001829-RA
OG0000108	Solyc02g071350.3.1, Solyc02g071340.2.1	AH012760-RA, AH014759-RA
OG0000109	Solyc01g110380.3.1	AH001741-RA
OG0000109	Solyc02g084390.3.1, Solyc02g062330.2.1	AH003764-RA
OG0000109	Solyc04g081060.3.1	AH008949-RA
OG0000110	Solyc12g056820.2.1	AH019974-RA, AH007045-RA
OG0000112	Solyc08g048230.1.1, Solyc04g018190.1.1, Solyc04g039770.2.1, Solyc08g029400.2.1, Solyc02g011920.1.1	AH015488-RA
OG0000112	Solyc09g031830.1.1, Solyc06g074590.2.1	AH015562-RA
OG0000113	Solyc06g065970.1.1	AH016269-RA, AH023225-RA
OG0000113	Solyc01g090970.3.1	AH023633-RA
OG0000113	Solyc08g078920.2.1, Solyc08g079230.1.1, Solyc08g079190.1.1, Solyc08g079200.1.1, Solyc08g078870.2.1, Solyc06g060640.1.1, Solyc08g005960.2.1, Solyc08g074480.1.1	AH018586-RA
OG0000113	Solyc08g078940.1.1, Solyc08g078890.2.1	AH018579-RA
OG0000114	Solyc02g079580.3.1, Solyc03g006720.1.1, Solyc03g006730.2.1	AH015161-RA
OG0000115	Solyc10g078200.1.1, Solyc12g042390.1.1, Solyc12g094540.1.1	AH002718-RA, AH002719-RA, AH011596-RA
OG0000115	Solyc11g006480.1.1, Solyc01g103460.2.1	AH021864-RA, AH006630-RA
OG0000115	Solyc01g100670.1.1, Solyc01g100680.1.1	AH011228-RA
OG0000115	Solyc08g078620.1.1, Solyc08g007350.2.1	AH011595-RA
OG0000116	Solyc11g066160.1.1	AH006915-RA
OG0000116	Solyc11g072840.1.1, Solyc04g011390.1.1, Solyc05g054610.1.1, Solyc06g075960.1.1, Solyc06g005420.1.1, Solyc06g005430.1.1, Solyc06g075930.1.1, Solyc06g075830.2.1, Solyc06g072240.1.1, Solyc11g072860.2.1	AH022502-RA
OG0000117	Solyc09g005500.3.1, Solyc05g046210.2.1, Solyc05g046150.3.1, Solyc05g046145.1.1, Solyc05g046205.1.1, Solyc04g007795.1.1, Solyc05g046220.1.1, Solyc05g046160.1.1, Solyc04g007830.3.1, Solyc04g007825.1.1, Solyc05g046140.3.1, Solyc00g322635.1.1	AH003210-RA, AH018569-RA, AH011627-RA, AH011626-RA, AH021154-RA, AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	Solyc07g066080.3.1	AH022107-RA
OG0000118	Solyc10g011740.3.1	AH012040-RA
OG0000118	Solyc01g095490.3.1	AH019634-RA
OG0000118	Solyc02g083570.3.1	AH006465-RA
OG0000119	Solyc01g008660.3.1	AH017345-RA, AH002923-RA
OG0000120	Solyc10g080420.2.1, Solyc10g080430.1.1, Solyc10g078680.2.1	AH020337-RA, AH006837-RA
OG0000120	Solyc03g077920.1.1	AH020344-RA
OG0000120	Solyc08g008020.1.1	AH018632-RA
OG0000121	Solyc01g097000.3.1	AH010321-RA
OG0000121	Solyc06g073740.3.1, Solyc06g073760.3.1, Solyc06g073750.3.1, Solyc11g071640.2.1	AH022634-RA
OG0000121	Solyc01g009240.3.1	AH010322-RA, AH013867-RA
OG0000122	Solyc09g015300.1.1, Solyc01g017300.1.1, Solyc09g018800.2.1, Solyc09g015290.1.1, Solyc10g017890.1.1, Solyc02g020960.2.1, Solyc01g017310.1.1, Solyc06g009940.1.1, Solyc01g017320.1.1	AH015608-RA
OG0000122	Solyc12g033060.1.1, Solyc12g032990.1.1, Solyc06g009950.1.1, Solyc05g020010.1.1	AH003330-RA
OG0000124	Solyc10g050880.1.1, Solyc01g108530.3.1, Solyc01g108520.2.1	AH001376-RA
OG0000124	Solyc01g108540.3.1, Solyc01g108570.3.1, Solyc01g108560.4.1, Solyc01g108580.3.1	AH019891-RA, AH004745-RA, AH000628-RA
OG0000124	Solyc04g079190.3.1	AH015148-RA
OG0000125	Solyc09g074230.3.1	AH012890-RA
OG0000125	Solyc01g098560.3.1	AH010561-RA
OG0000125	Solyc02g005180.3.1, Solyc01g098490.3.1, Solyc01g098500.3.1	AH010565-RA, AH010563-RA
OG0000127	Solyc09g074530.3.1	AH010397-RA, AH022171-RA, AH012869-RA
OG0000127	Solyc06g072630.3.1, Solyc03g097870.3.1, Solyc03g097590.3.1, Solyc03g097600.3.1, Solyc03g097570.3.1, Solyc03g097585.1.1, Solyc06g072620.3.1, Solyc03g097580.3.1, Solyc03g097610.3.1, Solyc06g072640.1.1	AH002969-RA, AH017357-RA
OG0000127	Solyc03g097620.1.1	AH017358-RA, AH002968-RA
OG0000129	Solyc08g006500.3.1, Solyc06g063210.3.1, Solyc06g063180.2.1, Solyc06g063200.2.1, Solyc06g063170.3.1, Solyc06g063190.3.1	AH019249-RA
OG0000131	Solyc07g041720.1.1	AH014578-RA
OG0000131	Solyc03g123410.1.1	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA
OG0000134	Solyc02g090630.3.1, Solyc04g079210.3.1	AH006080-RA
OG0000134	Solyc04g079260.3.1, Solyc04g079250.3.1, Solyc04g079240.3.1	AH001790-RA, AH001791-RA
OG0000135	Solyc03g111215.1.1	AH017069-RA
OG0000135	Solyc04g049400.3.1	AH013502-RA
OG0000135	Solyc05g047550.3.1	AH015896-RA
OG0000136	Solyc03g114070.3.1	AH017306-RA
OG0000136	Solyc01g111560.3.1	AH000810-RA, AH002265-RA
OG0000137	Solyc05g054380.2.1, Solyc09g091000.3.1, Solyc12g096960.2.1, Solyc09g090990.2.1, Solyc09g090970.3.1, Solyc09g090980.3.1	AH022076-RA, AH022075-RA, AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA
OG0000138	Solyc02g065570.1.1	AH022914-RA, AH016501-RA
OG0000138	Solyc06g076320.1.1, Solyc06g005610.1.1	AH013724-RA, AH022574-RA
OG0000140	Solyc11g011590.2.1, Solyc11g011580.2.1, Solyc04g008950.3.1, Solyc04g008940.3.1, Solyc11g011600.2.1, Solyc04g008930.2.1, Solyc04g008970.3.1, Solyc04g008960.3.1	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA
OG0000143	Solyc04g074340.3.1, Solyc04g074330.3.1, Solyc04g074390.3.1, Solyc04g074380.3.1, Solyc04g074350.3.1, Solyc04g074360.2.1, Solyc12g057060.2.1, Solyc12g057080.2.1, Solyc12g057070.2.1	AH016191-RA, AH008728-RA, AH008727-RA
OG0000144	Solyc01g103940.3.1	AH005332-RA
OG0000144	Solyc08g077780.3.1	AH011428-RA
OG0000145	Solyc11g071460.2.1	AH013887-RA
OG0000145	Solyc01g094210.2.1, Solyc01g099560.3.1, Solyc01g094240.3.1, Solyc01g094250.3.1, Solyc01g094260.3.1, Solyc01g094270.3.1, Solyc10g017570.3.1, Solyc01g094220.3.1	AH009242-RA
OG0000146	Solyc09g015020.1.1, Solyc09g015000.3.1	AH013670-RA, AH013668-RA
OG0000146	Solyc06g076560.2.1, Solyc06g076520.1.1, Solyc06g076540.1.1, Solyc06g076570.3.1	AH019053-RA, AH016411-RA, AH023019-RA, AH023024-RA, AH008823-RA
OG0000147	Solyc05g013650.2.1, Solyc05g013660.3.1	AH021952-RA
OG0000147	Solyc06g075110.3.1, Solyc11g069550.1.1, Solyc06g010170.3.1	AH000183-RA
OG0000148	Solyc06g076280.2.1	AH022552-RA
OG0000148	Solyc05g053090.2.1	AH022967-RA
OG0000149	Solyc10g085630.2.1	AH016220-RA
OG0000149	Solyc01g090700.3.1	AH022324-RA
OG0000152	Solyc05g055440.1.1, Solyc03g071620.1.1	AH022508-RA
OG0000153	Solyc09g007290.3.1	AH021960-RA
OG0000153	Solyc12g027650.1.1	AH007368-RA
OG0000155	Solyc04g011800.1.1, Solyc04g011810.1.1, Solyc04g011790.1.1, Solyc04g011870.1.1, Solyc04g011850.1.1, Solyc04g011830.1.1, Solyc04g011840.1.1, Solyc04g011780.1.1, Solyc04g011860.1.1, Solyc04g011820.1.1, Solyc05g051730.1.1, Solyc05g051720.1.1, Solyc04g011880.1.1, Solyc04g053110.1.1, Solyc00g028960.1.1	AH012856-RA, AH012857-RA, AH012863-RA, AH012861-RA, AH012858-RA, AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA, AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA
OG0000156	Solyc06g074915.1.1	AH003843-RA, AH008358-RA, AH020988-RA, AH012748-RA, AH014386-RA
OG0000157	Solyc03g116840.2.1	AH001951-RA
OG0000157	Solyc10g080090.2.1, Solyc12g009640.1.1	AH019804-RA
OG0000159	Solyc10g005060.3.1	AH009478-RA, AH009480-RA
OG0000159	Solyc06g060220.1.1	AH020974-RA
OG0000159	Solyc03g080180.3.1	AH011882-RA
OG0000160	Solyc04g082610.3.1	AH016892-RA, AH023753-RA
OG0000160	Solyc02g082480.3.1	AH005973-RA
OG0000162	Solyc03g119240.3.1, Solyc12g036325.1.1	AH017198-RA, AH002995-RA
OG0000162	Solyc02g086270.3.1	AH022861-RA, AH022859-RA
OG0000162	Solyc05g008930.3.1	AH005478-RA, AH004130-RA
OG0000162	Solyc05g009000.3.1, Solyc05g008940.3.1, Solyc05g008990.3.1, Solyc05g008970.1.1, Solyc05g008980.2.1, Solyc05g008950.3.1, Solyc05g008960.3.1, Solyc04g007400.3.1, Solyc04g007390.3.1, Solyc05g010530.3.1, Solyc05g009010.1.1	AH000903-RA
OG0000163	Solyc06g083960.2.1, Solyc07g041150.3.1	AH014552-RA
OG0000163	Solyc06g008530.2.1	AH002639-RA, AH017756-RA
OG0000164	Solyc03g098280.3.1, Solyc06g072300.3.1	AH021228-RA, AH014343-RA
OG0000164	Solyc06g074730.3.1	AH001454-RA, AH000392-RA
OG0000164	Solyc12g006790.2.1	AH020804-RA, AH014173-RA
OG0000165	Solyc11g007790.1.1, Solyc10g076440.1.1, Solyc02g037540.2.1	AH001450-RA, AH009997-RA, AH010091-RA
OG0000168	Solyc10g076940.2.1	AH020525-RA, AH006562-RA, AH006510-RA
OG0000168	Solyc01g096740.3.1	AH007811-RA
OG0000169	Solyc05g055870.3.1, Solyc04g050990.3.1, Solyc12g098200.2.1, Solyc12g044930.2.1, Solyc12g098190.2.1, Solyc05g053620.3.1, Solyc04g056735.1.1, Solyc04g056710.2.1, Solyc04g056680.2.1, Solyc12g096890.1.1	AH003317-RA
OG0000169	Solyc12g098195.1.1	AH014133-RA, AH023348-RA
OG0000170	Solyc06g030490.3.1	AH013750-RA
OG0000170	Solyc05g055060.3.1, Solyc09g090060.3.1, Solyc06g053630.3.1	AH007222-RA
OG0000171	Solyc08g066660.1.1, Solyc03g120840.2.1, Solyc06g066540.1.1	AH000491-RA, AH002132-RA
OG0000171	Solyc12g044390.2.1	AH020896-RA, AH014491-RA
