Orthogroup	S_lycopersicum.proteins	D_spatulata.proteins
OG0000026	Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1	Ds_00006582-RA
OG0000026	Solyc06g060010.3.1	Ds_00001373-RA
OG0000026	Solyc06g060013.1.1	Ds_00016879-RA, Ds_00016881-RA
OG0000026	Solyc07g052120.3.1	Ds_00001374-RA
OG0000027	Solyc00g257110.3.1, Solyc03g113405.1.1	Ds_00000646-RA
OG0000027	Solyc07g005040.3.1	Ds_00015071-RA
OG0000028	Solyc01g013880.1.1, Solyc01g014300.1.1, Solyc01g014310.1.1, Solyc01g013960.2.1	Ds_00011732-RA
OG0000029	Solyc09g015210.1.1, Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1	Ds_00010871-RA, Ds_00010870-RA
OG0000029	Solyc09g015200.1.1	Ds_00005993-RA
OG0000029	Solyc05g017780.1.1	Ds_00003603-RA, Ds_00014221-RA
OG0000029	Solyc11g072140.2.1, Solyc09g014730.3.1, Solyc09g014710.3.1, Solyc09g014720.2.1, Solyc09g014740.3.1, Solyc10g076530.2.1	Ds_00005994-RA, Ds_00005991-RA, Ds_00008364-RA, Ds_00015383-RA, Ds_00015428-RA, Ds_00002808-RA, Ds_00015382-RA
OG0000031	Solyc02g084950.3.1	Ds_00001472-RA
OG0000031	Solyc04g080660.3.1	Ds_00000354-RA, Ds_00000355-RA
OG0000034	Solyc02g080000.1.1	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1	Ds_00010208-RA, Ds_00015077-RA, Ds_00015914-RA
OG0000037	Solyc04g079680.3.1, Solyc04g079660.2.1, Solyc04g079640.3.1	Ds_00007891-RA
OG0000037	Solyc09g059240.3.1	Ds_00015216-RA
OG0000038	Solyc09g014900.3.1	Ds_00017774-RA
OG0000038	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA
OG0000040	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1	Ds_00008461-RA, Ds_00008462-RA
OG0000041	Solyc10g055410.2.1, Solyc01g111500.3.1	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA
OG0000041	Solyc05g008235.1.1, Solyc05g008250.2.1	Ds_00008539-RA, Ds_00005900-RA
OG0000041	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA
OG0000042	Solyc03g096650.2.1	Ds_00012464-RA
OG0000042	Solyc06g005720.3.1	Ds_00015505-RA
OG0000042	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1	Ds_00007701-RA
OG0000043	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1	Ds_00000548-RA, Ds_00002531-RA
OG0000044	Solyc02g085580.3.1, Solyc02g062940.3.1	Ds_00010910-RA, Ds_00011206-RA
OG0000044	Solyc04g008500.3.1	Ds_00005439-RA
OG0000044	Solyc01g007890.2.1	Ds_00005440-RA
OG0000044	Solyc11g069240.2.1, Solyc06g075250.3.1, Solyc10g084180.2.1, Solyc09g007550.3.1	Ds_00008781-RA
OG0000044	Solyc03g121660.3.1, Solyc06g062670.3.1	Ds_00012803-RA
OG0000044	Solyc09g065670.3.1	Ds_00008624-RA
OG0000046	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1	Ds_00016515-RA, Ds_00004346-RA
OG0000046	Solyc12g007110.2.1	Ds_00013053-RA
OG0000046	Solyc05g010140.3.1, Solyc01g010030.3.1	Ds_00008610-RA
OG0000046	Solyc02g089760.3.1	Ds_00008496-RA, Ds_00012090-RA
OG0000046	Solyc02g089750.4.1	Ds_00000726-RA
OG0000047	Solyc04g078300.3.1	Ds_00001929-RA
OG0000047	Solyc04g025050.1.1	Ds_00005948-RA
OG0000047	Solyc12g087830.2.1	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA
OG0000047	Solyc00g179240.2.1, Solyc10g017640.1.1	Ds_00008795-RA
OG0000047	Solyc06g035560.2.1	Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA
OG0000048	Solyc02g087910.2.1	Ds_00006839-RA, Ds_00015981-RA, Ds_00006837-RA, Ds_00006838-RA, Ds_00001864-RA
OG0000049	Solyc01g057720.1.1, Solyc11g044597.1.1, Solyc11g044580.1.1, Solyc02g044010.2.1, Solyc06g011650.1.1, Solyc02g055535.1.1, Solyc06g034067.1.1, Solyc06g034070.2.1, Solyc02g055520.1.1, Solyc04g076153.1.1, Solyc04g076160.2.1, Solyc05g016037.1.1, Solyc10g054135.1.1, Solyc10g074420.1.1, Solyc10g074405.1.1	Ds_00012230-RA, Ds_00003024-RA, Ds_00002245-RA, Ds_00008896-RA, Ds_00006497-RA, Ds_00017443-RA, Ds_00012468-RA, Ds_00017526-RA, Ds_00014937-RA
OG0000049	Solyc04g019320.1.1	Ds_00013655-RA, Ds_00002182-RA, Ds_00005477-RA, Ds_00005217-RA, Ds_00017621-RA, Ds_00017554-RA, Ds_00002211-RA, Ds_00012899-RA, Ds_00006677-RA, Ds_00012844-RA, Ds_00014920-RA, Ds_00010466-RA, Ds_00018005-RA
OG0000050	Solyc04g015475.1.1	Ds_00011184-RA, Ds_00017062-RA, Ds_00016857-RA, Ds_00013838-RA, Ds_00002574-RA, Ds_00009018-RA, Ds_00010617-RA
OG0000050	Solyc00g075030.3.1	Ds_00012851-RA
OG0000051	Solyc05g013435.1.1	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA, Ds_00007846-RA
OG0000051	Solyc00g304030.2.1, Solyc05g021247.1.1	Ds_00002936-RA, Ds_00016530-RA, Ds_00015250-RA, Ds_00017962-RA, Ds_00009669-RA
OG0000051	Solyc01g058230.1.1	Ds_00014341-RA
OG0000055	Solyc05g024290.3.1	Ds_00010593-RA
OG0000055	Solyc01g067400.3.1	Ds_00014521-RA
OG0000055	Solyc09g061330.2.1, Solyc06g083500.3.1	Ds_00001014-RA
OG0000055	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1	Ds_00002955-RA
OG0000055	Solyc10g085990.2.1, Solyc11g072660.2.1, Solyc06g075550.3.1	Ds_00001660-RA
OG0000058	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1	Ds_00002067-RA
OG0000058	Solyc09g009750.2.1	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA
OG0000059	Solyc02g068660.2.1	Ds_00009643-RA, Ds_00013734-RA
OG0000059	Solyc09g005190.2.1, Solyc10g076560.1.1	Ds_00013728-RA
OG0000060	Solyc02g061930.2.1, Solyc03g033760.2.1	Ds_00017662-RA
OG0000063	Solyc07g055190.3.1, Solyc03g025380.3.1	Ds_00001207-RA, Ds_00010181-RA
OG0000063	Solyc09g018600.1.1	Ds_00014318-RA
OG0000065	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1	Ds_00009318-RA, Ds_00016604-RA
OG0000067	Solyc11g072490.2.1	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA
OG0000070	Solyc03g078400.3.1	Ds_00003633-RA
OG0000070	Solyc04g011500.3.1, Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1, Solyc06g076090.3.1	Ds_00010078-RA
OG0000070	Solyc00g017210.2.1	Ds_00014701-RA
OG0000070	Solyc04g045285.1.1, Solyc05g024490.3.1	Ds_00001412-RA
OG0000070	Solyc11g005330.2.1	Ds_00010928-RA
OG0000071	Solyc03g111690.3.1, Solyc02g093580.3.1	Ds_00003826-RA
OG0000071	Solyc09g008380.3.1	Ds_00002033-RA
OG0000071	Solyc09g091430.3.1	Ds_00013248-RA, Ds_00007141-RA
OG0000071	Solyc09g061890.3.1	Ds_00006568-RA
OG0000071	Solyc05g014000.3.1	Ds_00012035-RA, Ds_00010724-RA
OG0000072	Solyc05g051515.1.1	Ds_00003598-RA
OG0000072	Solyc01g074000.3.1, Solyc10g008910.1.1, Solyc01g073970.3.1, Solyc02g077480.1.1, Solyc01g080600.3.1, Solyc01g086820.3.1, Solyc12g056540.1.1, Solyc01g086800.3.1, Solyc01g079110.3.1	Ds_00000109-RA
OG0000072	Solyc11g010230.2.1	Ds_00017713-RA
OG0000077	Solyc01g111230.3.1	Ds_00000030-RA, Ds_00000031-RA
OG0000078	Solyc11g071900.1.1	Ds_00009998-RA, Ds_00009997-RA, Ds_00004156-RA, Ds_00004162-RA, Ds_00004160-RA, Ds_00004159-RA, Ds_00004158-RA, Ds_00000902-RA, Ds_00004157-RA, Ds_00011063-RA, Ds_00016100-RA, Ds_00004153-RA, Ds_00004152-RA
OG0000078	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1	Ds_00009717-RA, Ds_00004155-RA, Ds_00004164-RA, Ds_00004163-RA, Ds_00004161-RA, Ds_00009996-RA
OG0000079	Solyc01g105860.3.1, Solyc01g105950.3.1	Ds_00017477-RA
OG0000079	Solyc02g079910.2.1	Ds_00017478-RA, Ds_00017476-RA, Ds_00009687-RA
OG0000084	Solyc02g092250.3.1, Solyc10g017510.3.1	Ds_00017343-RA
OG0000085	Solyc07g041940.3.1	Ds_00013315-RA
OG0000085	Solyc12g049360.2.1, Solyc06g062920.3.1	Ds_00002345-RA
OG0000085	Solyc10g074710.2.1	Ds_00006817-RA
OG0000085	Solyc12g009310.2.1, Solyc07g042590.3.1	Ds_00003374-RA
OG0000085	Solyc01g028830.3.1	Ds_00013221-RA, Ds_00016552-RA
OG0000085	Solyc08g074980.3.1	Ds_00007391-RA
OG0000087	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1	Ds_00000857-RA
OG0000087	Solyc05g006420.3.1	Ds_00015816-RA, Ds_00008978-RA
OG0000088	Solyc12g014350.2.1	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000088	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1	Ds_00011160-RA
OG0000089	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1	Ds_00000919-RA, Ds_00000698-RA
OG0000089	Solyc08g067610.3.1, Solyc08g067620.2.1	Ds_00014281-RA, Ds_00009910-RA, Ds_00000701-RA, Ds_00002433-RA, Ds_00000381-RA, Ds_00012823-RA, Ds_00010374-RA, Ds_00017162-RA, Ds_00002430-RA
OG0000090	Solyc09g065870.3.1	Ds_00003959-RA
OG0000090	Solyc02g093520.3.1	Ds_00008033-RA, Ds_00010488-RA
OG0000091	Solyc12g098610.2.1, Solyc09g092520.3.1	Ds_00005720-RA, Ds_00012613-RA
OG0000091	Solyc07g009380.3.1, Solyc05g046290.3.1	Ds_00007917-RA
OG0000091	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1	Ds_00009911-RA, Ds_00000663-RA
OG0000092	Solyc04g039980.3.1, Solyc04g039990.3.1	Ds_00013213-RA, Ds_00006795-RA, Ds_00014224-RA, Ds_00014213-RA
OG0000093	Solyc01g074030.3.1, Solyc01g074040.1.1	Ds_00002167-RA, Ds_00007179-RA, Ds_00017547-RA, Ds_00017551-RA, Ds_00015265-RA, Ds_00017793-RA, Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA
OG0000095	Solyc03g121630.3.1	Ds_00016626-RA
OG0000095	Solyc07g043270.3.1	Ds_00005433-RA
OG0000095	Solyc08g060840.1.1	Ds_00005415-RA
OG0000096	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1	Ds_00011884-RA, Ds_00011885-RA
OG0000097	Solyc03g112680.2.1	Ds_00008970-RA
OG0000097	Solyc08g044336.1.1	Ds_00011731-RA
OG0000098	Solyc04g081490.3.1, Solyc12g089310.2.1	Ds_00000511-RA
OG0000098	Solyc03g118760.3.1	Ds_00001304-RA
OG0000098	Solyc10g080940.2.1	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA
OG0000098	Solyc06g076640.3.1	Ds_00010103-RA
OG0000101	Solyc05g025640.1.1	Ds_00017680-RA, Ds_00013692-RA
OG0000101	Solyc03g063670.1.1	Ds_00011724-RA, Ds_00010688-RA, Ds_00017679-RA, Ds_00012684-RA, Ds_00011199-RA, Ds_00013442-RA
OG0000101	Solyc07g008960.1.1	Ds_00008372-RA
OG0000102	Solyc02g077050.3.1	Ds_00005815-RA, Ds_00011097-RA, Ds_00000392-RA, Ds_00002262-RA, Ds_00010888-RA, Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA, Ds_00013839-RA, Ds_00013837-RA, Ds_00011521-RA, Ds_00007139-RA, Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA
OG0000102	Solyc02g076910.3.1	Ds_00011502-RA, Ds_00015916-RA
OG0000103	Solyc07g062620.3.1, Solyc10g005640.3.1, Solyc10g005630.3.1	Ds_00007541-RA
OG0000103	Solyc10g084110.2.1, Solyc09g007730.3.1	Ds_00008775-RA
OG0000103	Solyc02g078530.3.1, Solyc03g006500.3.1	Ds_00015206-RA, Ds_00015118-RA
OG0000104	Solyc10g083170.2.1	Ds_00015579-RA
OG0000104	Solyc01g005500.3.1	Ds_00002094-RA, Ds_00015578-RA, Ds_00015804-RA, Ds_00002093-RA
OG0000105	Solyc02g067830.3.1, Solyc02g093360.3.1	Ds_00016593-RA, Ds_00001973-RA
OG0000105	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1	Ds_00004427-RA, Ds_00011176-RA, Ds_00014085-RA
OG0000105	Solyc10g083500.2.1, Solyc09g009380.3.1	Ds_00008720-RA, Ds_00016969-RA
OG0000105	Solyc06g074480.3.1, Solyc11g067070.1.1	Ds_00015702-RA
OG0000106	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1	Ds_00012991-RA
OG0000107	Solyc05g008805.1.1	Ds_00008559-RA
OG0000108	Solyc06g009280.1.1, Solyc06g009290.3.1	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA
OG0000108	Solyc02g071350.3.1, Solyc02g071340.2.1	Ds_00004396-RA
OG0000109	Solyc01g110380.3.1	Ds_00000324-RA
OG0000109	Solyc02g084390.3.1, Solyc02g062330.2.1	Ds_00013208-RA
OG0000109	Solyc04g081060.3.1	Ds_00000125-RA
OG0000110	Solyc12g056820.2.1	Ds_00010855-RA
OG0000112	Solyc04g050840.1.1, Solyc02g011930.1.1, Solyc04g039760.2.1, Solyc09g031840.1.1, Solyc03g080130.1.1, Solyc08g045620.1.1, Solyc10g018980.2.1, Solyc04g050850.2.1, Solyc04g024540.1.1	Ds_00016959-RA, Ds_00016949-RA
OG0000113	Solyc06g065970.1.1	Ds_00004232-RA, Ds_00002603-RA
OG0000113	Solyc01g090970.3.1	Ds_00016297-RA
OG0000113	Solyc08g078920.2.1, Solyc08g079230.1.1, Solyc08g079190.1.1, Solyc08g079200.1.1, Solyc08g078870.2.1, Solyc06g060640.1.1	Ds_00011325-RA
OG0000114	Solyc02g079540.2.1, Solyc02g079533.1.1, Solyc02g079550.2.1, Solyc04g008385.1.1, Solyc04g008370.2.1, Solyc04g008390.2.1, Solyc04g058110.3.1, Solyc02g079580.3.1, Solyc03g006720.1.1, Solyc03g006730.2.1	Ds_00015893-RA, Ds_00015892-RA
OG0000115	Solyc10g078200.1.1, Solyc12g042390.1.1, Solyc12g094540.1.1, Solyc11g006480.1.1, Solyc01g103460.2.1	Ds_00009366-RA
OG0000115	Solyc04g076925.1.1	Ds_00011785-RA
OG0000115	Solyc01g100670.1.1, Solyc01g100680.1.1	Ds_00003925-RA, Ds_00003924-RA
OG0000116	Solyc11g072840.1.1, Solyc04g011390.1.1, Solyc05g054610.1.1, Solyc06g075960.1.1, Solyc06g005420.1.1, Solyc06g005430.1.1, Solyc06g075930.1.1, Solyc06g075830.2.1, Solyc06g072240.1.1, Solyc11g072860.2.1	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA
OG0000117	Solyc09g005500.3.1, Solyc05g046210.2.1, Solyc05g046150.3.1, Solyc05g046145.1.1, Solyc05g046205.1.1, Solyc04g007795.1.1, Solyc05g046220.1.1, Solyc05g046160.1.1, Solyc04g007830.3.1, Solyc04g007825.1.1, Solyc05g046140.3.1, Solyc00g322635.1.1	Ds_00008529-RA
OG0000118	Solyc07g066080.3.1	Ds_00011668-RA, Ds_00006827-RA
OG0000118	Solyc10g011740.3.1, Solyc01g095490.3.1	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA
OG0000118	Solyc08g008220.3.1, Solyc05g050230.3.1, Solyc02g083570.3.1	Ds_00002816-RA
OG0000119	Solyc01g020400.1.1, Solyc08g082550.1.1, Solyc10g049390.1.1, Solyc09g091220.2.1, Solyc09g083240.3.1, Solyc08g083000.2.1	Ds_00011765-RA
OG0000120	Solyc10g080420.2.1, Solyc10g080430.1.1, Solyc10g078680.2.1	Ds_00011028-RA
OG0000120	Solyc03g077920.1.1	Ds_00011026-RA
OG0000120	Solyc01g086720.3.1	Ds_00014982-RA
OG0000120	Solyc08g008020.1.1	Ds_00015941-RA
OG0000121	Solyc01g097000.3.1	Ds_00007035-RA
OG0000121	Solyc04g015560.3.1	Ds_00014895-RA
OG0000122	Solyc09g015300.1.1, Solyc01g017300.1.1, Solyc09g018800.2.1, Solyc09g015290.1.1	Ds_00007977-RA
OG0000122	Solyc10g017900.1.1, Solyc01g017330.2.1, Solyc12g035730.1.1, Solyc04g024885.1.1, Solyc03g078005.1.1, Solyc00g245200.2.1, Solyc01g018090.2.1, Solyc10g052740.2.1, Solyc12g035580.1.1, Solyc02g036320.1.1, Solyc12g062610.1.1, Solyc07g021250.1.1, Solyc12g033070.1.1, Solyc12g033000.1.1, Solyc12g033040.1.1	Ds_00006648-RA
OG0000122	Solyc12g032970.1.1, Solyc04g016170.2.1, Solyc12g033050.2.1, Solyc12g062590.1.1, Solyc07g021230.1.1, Solyc10g017910.2.1, Solyc12g033060.1.1, Solyc12g032990.1.1, Solyc06g009950.1.1, Solyc05g020010.1.1, Solyc07g021240.1.1, Solyc12g062600.1.1, Solyc12g035740.1.1, Solyc12g032980.1.1, Solyc09g059640.2.1	Ds_00016938-RA, Ds_00018075-RA
OG0000123	Solyc12g098090.1.1, Solyc05g053170.3.1	Ds_00017692-RA, Ds_00004523-RA
OG0000123	Solyc09g091510.3.1, Solyc05g053550.3.1	Ds_00005553-RA
OG0000124	Solyc10g050880.1.1, Solyc01g108530.3.1, Solyc01g108520.2.1	Ds_00009554-RA
OG0000124	Solyc01g108540.3.1, Solyc01g108570.3.1, Solyc01g108560.4.1, Solyc01g108580.3.1	Ds_00015312-RA
OG0000124	Solyc09g075670.1.1, Solyc06g054290.2.1	Ds_00003136-RA
OG0000125	Solyc09g074230.3.1	Ds_00004719-RA
OG0000125	Solyc01g098560.3.1	Ds_00006202-RA
OG0000125	Solyc02g005180.3.1, Solyc01g098490.3.1, Solyc01g098500.3.1	Ds_00006911-RA
OG0000126	Solyc03g063563.1.1	Ds_00012722-RA
OG0000127	Solyc09g074530.3.1	Ds_00000390-RA, Ds_00012730-RA
OG0000127	Solyc06g072630.3.1, Solyc03g097870.3.1, Solyc03g097590.3.1, Solyc03g097600.3.1, Solyc03g097570.3.1, Solyc03g097585.1.1, Solyc06g072620.3.1, Solyc03g097580.3.1, Solyc03g097610.3.1, Solyc06g072640.1.1	Ds_00017651-RA
OG0000128	Solyc12g035450.2.1, Solyc12g035460.2.1	Ds_00011307-RA, Ds_00008095-RA
OG0000129	Solyc08g006500.3.1, Solyc06g063210.3.1, Solyc06g063180.2.1, Solyc06g063200.2.1, Solyc06g063170.3.1, Solyc06g063190.3.1	Ds_00014831-RA, Ds_00009085-RA
OG0000131	Solyc03g123410.1.1	Ds_00008212-RA, Ds_00013324-RA
OG0000134	Solyc04g079260.3.1, Solyc04g079250.3.1, Solyc04g079240.3.1	Ds_00015753-RA, Ds_00003473-RA, Ds_00007908-RA
OG0000135	Solyc04g049400.3.1	Ds_00000458-RA, Ds_00012779-RA
OG0000135	Solyc05g047550.3.1	Ds_00003378-RA, Ds_00002564-RA
OG0000136	Solyc03g114070.3.1, Solyc02g077400.3.1, Solyc01g088780.3.1	Ds_00012310-RA
OG0000137	Solyc05g054380.2.1, Solyc09g091000.3.1, Solyc12g096960.2.1, Solyc09g090990.2.1, Solyc09g090970.3.1, Solyc09g090980.3.1	Ds_00001512-RA, Ds_00014384-RA, Ds_00014967-RA, Ds_00014968-RA
OG0000138	Solyc06g076320.1.1, Solyc06g005610.1.1	Ds_00015496-RA
OG0000140	Solyc11g011590.2.1, Solyc11g011580.2.1, Solyc04g008950.3.1, Solyc04g008940.3.1, Solyc11g011600.2.1, Solyc04g008930.2.1, Solyc04g008970.3.1, Solyc04g008960.3.1	Ds_00002651-RA
OG0000143	Solyc04g074340.3.1, Solyc04g074330.3.1, Solyc04g074390.3.1, Solyc04g074380.3.1, Solyc04g074350.3.1, Solyc04g074360.2.1, Solyc12g057060.2.1, Solyc12g057080.2.1, Solyc12g057070.2.1	Ds_00017988-RA, Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA
OG0000144	Solyc01g103940.3.1	Ds_00008018-RA
OG0000144	Solyc04g074500.3.1	Ds_00008164-RA
OG0000144	Solyc04g012160.3.1, Solyc11g010130.2.1	Ds_00010956-RA, Ds_00003597-RA
OG0000145	Solyc01g094210.2.1, Solyc01g099560.3.1, Solyc01g094240.3.1, Solyc01g094250.3.1, Solyc01g094260.3.1, Solyc01g094270.3.1, Solyc10g017570.3.1, Solyc01g094220.3.1	Ds_00004600-RA
OG0000146	Solyc09g015020.1.1, Solyc09g015000.3.1	Ds_00014708-RA, Ds_00014704-RA, Ds_00014622-RA, Ds_00008350-RA
OG0000146	Solyc06g076560.2.1, Solyc06g076520.1.1, Solyc06g076540.1.1, Solyc06g076570.3.1	Ds_00006085-RA
OG0000147	Solyc02g093480.3.1	Ds_00010706-RA
OG0000147	Solyc06g075110.3.1, Solyc11g069550.1.1, Solyc06g010170.3.1	Ds_00005844-RA
OG0000148	Solyc06g076280.2.1	Ds_00010086-RA
OG0000148	Solyc05g053090.2.1	Ds_00017699-RA
OG0000148	Solyc10g086530.1.1, Solyc09g010920.1.1	Ds_00010778-RA
