Orthogroup	S_lycopersicum.proteins	B_vulgaris.proteins
OG0000030	Solyc02g083120.2.1	Bevul.6G220800.1.p
OG0000031	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1	Bevul.3G005000.1.p, Bevul.3G005100.1.p, Bevul.3G227200.1.p, Bevul.3G227400.1.p, Bevul.3G227100.1.p, Bevul.3G227000.1.p, Bevul.5G208000.1.p
OG0000031	Solyc02g084950.3.1	Bevul.6G022900.1.p
OG0000031	Solyc04g080660.3.1	Bevul.1G155200.1.p
OG0000032	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1	Bevul.1G160000.1.p, Bevul.1G160200.1.p, Bevul.1G160400.1.p, Bevul.1G160100.1.p, Bevul.9G072800.1.p, Bevul.9G009900.1.p, Bevul.3G170800.1.p, Bevul.9G009800.1.p, Bevul.1G086400.1.p, Bevul.3G115600.1.p, Bevul.6G229300.1.p
OG0000034	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1	Bevul.8G068400.1.p, Bevul.8G065600.1.p, Bevul.8G069700.1.p, Bevul.8G070000.1.p, Bevul.8G070200.1.p, Bevul.8G070400.1.p, Bevul.8G069800.1.p, Bevul.8G069600.1.p, Bevul.9G117300.2.p, Bevul.9G117300.1.p, Bevul.8G070300.1.p, Bevul.3G183700.1.p, Bevul.8G072000.1.p, Bevul.8G034500.1.p, Bevul.9G089000.2.p, Bevul.9G089000.1.p
OG0000037	Solyc09g059240.3.1	Bevul.7G132700.1.p
OG0000038	Solyc09g014900.3.1	Bevul.6G168300.1.p
OG0000038	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1	Bevul.7G139800.1.p, Bevul.7G139900.1.p, Bevul.7G139700.1.p, Bevul.7G138100.1.p, Bevul.7G137900.1.p, Bevul.7G138000.1.p, Bevul.7G140000.1.p
OG0000040	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1	Bevul.2G209700.2.p, Bevul.2G209700.1.p, Bevul.2G209500.1.p
OG0000041	Solyc10g055410.2.1, Solyc01g111500.3.1	Bevul.9G137500.1.p
OG0000041	Solyc03g005570.3.1, Solyc06g053610.3.1	Bevul.3G009300.1.p
OG0000041	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1	Bevul.5G251800.1.p
OG0000041	Solyc06g065100.3.1	Bevul.1G208000.1.p
OG0000042	Solyc03g096650.2.1	Bevul.2G227600.4.p, Bevul.2G227600.5.p, Bevul.2G227600.1.p, Bevul.2G227600.3.p, Bevul.2G227600.2.p
OG0000042	Solyc06g005720.3.1	Bevul.7G200100.1.p
OG0000042	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1	Bevul.4G033600.1.p, Bevul.4G033500.1.p
OG0000043	Solyc02g092860.3.1, Solyc02g064850.2.1	Bevul.6G008000.1.p
OG0000043	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1	Bevul.3G192200.1.p
OG0000043	Solyc04g078270.3.1, Solyc04g078290.3.1	Bevul.2G182700.1.p, Bevul.2G182900.1.p
OG0000044	Solyc02g085580.3.1, Solyc02g062940.3.1	Bevul.6G087200.1.p
OG0000044	Solyc04g008500.3.1	Bevul.6G042400.1.p
OG0000044	Solyc11g069240.2.1, Solyc06g075250.3.1, Solyc10g084180.2.1, Solyc09g007550.3.1	Bevul.7G059000.1.p
OG0000044	Solyc03g121660.3.1, Solyc06g062670.3.1	Bevul.7G175700.1.p
OG0000044	Solyc07g053570.3.1	Bevul.9G080900.1.p, Bevul.9G080900.2.p
OG0000044	Solyc09g065670.3.1	Bevul.5G238300.1.p
OG0000046	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1	Bevul.9G172100.1.p
OG0000046	Solyc12g007110.2.1	Bevul.8G193500.1.p, Bevul.8G193400.1.p
OG0000046	Solyc05g010140.3.1, Solyc01g010030.3.1	Bevul.6G116700.1.p
OG0000046	Solyc02g089760.3.1	Bevul.2G218800.1.p, Bevul.2G218800.5.p, Bevul.2G218800.4.p, Bevul.2G218800.2.p, Bevul.2G218800.3.p, Bevul.2G218800.6.p, Bevul.2G218800.7.p
OG0000046	Solyc02g089750.4.1	Bevul.9G205600.1.p, Bevul.9G205500.1.p, Bevul.9G205500.2.p
OG0000047	Solyc04g078300.3.1	Bevul.6G072600.1.p
OG0000047	Solyc04g025050.1.1	Bevul.8G084000.1.p, Bevul.7G199200.1.p
OG0000047	Solyc12g087830.2.1	Bevul.6G205000.1.p, Bevul.9G121600.1.p
OG0000048	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1	Bevul.7G007100.1.p, Bevul.7G006800.1.p, Bevul.9G163800.1.p, Bevul.7G006900.1.p, Bevul.7G007000.1.p, Bevul.9G163700.1.p
OG0000048	Solyc01g081600.3.1	Bevul.7G007200.1.p
OG0000049	Solyc01g057720.1.1, Solyc11g044597.1.1, Solyc11g044580.1.1, Solyc02g044010.2.1, Solyc06g011650.1.1, Solyc02g055535.1.1, Solyc06g034067.1.1, Solyc06g034070.2.1, Solyc02g055520.1.1, Solyc04g076153.1.1, Solyc04g076160.2.1, Solyc05g016037.1.1, Solyc10g054135.1.1, Solyc10g074420.1.1, Solyc10g074405.1.1	Bevul.5G143100.1.p, Bevul.1G059200.1.p, Bevul.6G174000.1.p, Bevul.8G122400.1.p, Bevul.5G137800.1.p, Bevul.1G008600.1.p, Bevul.4G165400.1.p, Bevul.2G188100.1.p, Bevul.6G112400.1.p, Bevul.2G120900.1.p, Bevul.6G030400.1.p, Bevul.3G164200.1.p, Bevul.8G154600.1.p, Bevul.2G021800.1.p, Bevul.3G139100.1.p, Bevul.4G167300.1.p, Bevul.8G088400.1.p, Bevul.5G159500.1.p, Bevul.9G089200.1.p, Bevul.3G187000.1.p, Bevul.5G095300.1.p, Bevul.8G091100.1.p, Bevul.5G083800.1.p, Bevul.9G108600.1.p, Bevul.7G132300.1.p, Bevul.1G048700.1.p, Bevul.7G147300.1.p, Bevul.7G046500.1.p, Bevul.7G077200.1.p, Bevul.5G145200.1.p, Bevul.6G188200.1.p, Bevul.8G079500.1.p, Bevul.1G063500.1.p, Bevul.2G087100.1.p, Bevul.2G054000.1.p, Bevul.7G135600.1.p, Bevul.9G076100.1.p, Bevul.4G118100.1.p, Bevul.8G090100.1.p, Bevul.1G000600.1.p, Bevul.4G089100.1.p, Bevul.6G106400.1.p, Bevul.7G209300.1.p, Bevul.9G111200.1.p, Bevul.9G060300.1.p
OG0000049	Solyc04g019320.1.1	Bevul.8G094900.1.p, Bevul.5G152800.1.p, Bevul.6G164000.1.p, Bevul.6G166400.1.p, Bevul.1G111200.1.p, Bevul.5G103900.1.p, Bevul.7G103700.1.p, Bevul.9G021300.1.p
OG0000050	Solyc00g075030.3.1	Bevul.9G090800.1.p
OG0000050	Solyc02g065260.3.1	Bevul.4G082400.1.p
OG0000051	Solyc00g304030.2.1, Solyc05g021247.1.1	Bevul.1G053800.1.p, Bevul.2G130700.1.p, Bevul.4G060700.1.p, Bevul.6G180000.1.p, Bevul.9G062300.1.p, Bevul.4G085800.1.p, Bevul.6G105900.1.p, Bevul.6G177600.1.p, Bevul.8G033100.1.p
OG0000051	Solyc01g058230.1.1	Bevul.5G196000.1.p
OG0000055	Solyc05g024290.3.1	Bevul.6G201900.1.p
OG0000055	Solyc01g067400.3.1	Bevul.3G152000.1.p
OG0000055	Solyc02g094380.2.1	Bevul.6G037500.1.p
OG0000055	Solyc09g061330.2.1, Solyc06g083500.3.1	Bevul.7G124000.1.p
OG0000055	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1	Bevul.4G037900.1.p
OG0000055	Solyc10g005300.3.1	Bevul.8G057600.1.p
OG0000055	Solyc10g085990.2.1	Bevul.2G111100.1.p, Bevul.2G111100.2.p
OG0000055	Solyc11g072660.2.1, Solyc06g075550.3.1	Bevul.7G220300.1.p
OG0000056	Solyc01g099080.3.1	Bevul.4G202900.1.p
OG0000058	Solyc09g009750.2.1	Bevul.7G030900.1.p, Bevul.7G030900.2.p, Bevul.7G030900.3.p
OG0000058	Solyc01g091930.3.1	Bevul.1G123200.1.p
OG0000059	Solyc02g068660.2.1	Bevul.8G204300.1.p, Bevul.8G204400.1.p, Bevul.4G210500.1.p, Bevul.5G092000.1.p, Bevul.9G227200.1.p, Bevul.9G227100.1.p, Bevul.4G160900.1.p
OG0000060	Solyc10g045650.2.1	Bevul.3G145900.1.p
OG0000060	Solyc02g061930.2.1, Solyc03g033760.2.1	Bevul.6G152800.1.p, Bevul.2G147800.1.p
OG0000060	Solyc12g027540.2.1	Bevul.7G048400.1.p
OG0000063	Solyc07g055190.3.1, Solyc03g025380.3.1	Bevul.9G094300.1.p, Bevul.9G094200.1.p, Bevul.9G094400.1.p, Bevul.9G094000.1.p, Bevul.9G094100.1.p
OG0000063	Solyc05g050870.3.1, Solyc09g018590.1.1	Bevul.7G010600.1.p, Bevul.7G010900.1.p, Bevul.7G010700.1.p, Bevul.7G010800.1.p
OG0000063	Solyc09g018600.1.1	Bevul.2G185200.1.p, Bevul.2G185200.2.p, Bevul.2G185300.1.p, Bevul.2G185400.1.p
OG0000063	Solyc06g050440.3.1, Solyc05g052280.3.1	Bevul.2G184800.1.p
OG0000065	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1	Bevul.3G163400.1.p
OG0000065	Solyc12g097080.2.1, Solyc09g091140.3.1, Solyc09g091130.3.1	Bevul.4G077200.1.p, Bevul.4G077300.1.p
OG0000065	Solyc09g063150.3.1	Bevul.7G117800.1.p, Bevul.7G117700.1.p
OG0000067	Solyc11g072490.2.1	Bevul.9G057500.6.p, Bevul.9G057500.5.p, Bevul.9G057500.1.p, Bevul.9G057500.2.p, Bevul.9G057500.7.p, Bevul.9G057500.3.p, Bevul.9G057500.4.p
OG0000068	Solyc02g068670.2.1, Solyc02g068600.3.1	Bevul.3G027000.1.p, Bevul.8G060400.1.p, Bevul.8G072600.1.p, Bevul.8G072700.1.p, Bevul.8G072900.1.p, Bevul.8G060300.1.p, Bevul.3G137200.1.p
OG0000070	Solyc04g071260.3.1	Bevul.1G170800.1.p
OG0000070	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1	Bevul.6G213100.1.p, Bevul.2G233700.1.p
OG0000070	Solyc10g086460.2.1	Bevul.7G207000.1.p
OG0000071	Solyc03g111690.3.1	Bevul.7G142600.1.p
OG0000071	Solyc09g008380.3.1	Bevul.7G048700.2.p, Bevul.7G048700.1.p
OG0000071	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1	Bevul.3G133800.1.p
OG0000071	Solyc09g091430.3.1	Bevul.3G170700.1.p
OG0000071	Solyc09g061890.3.1	Bevul.7G121800.1.p
OG0000071	Solyc05g014000.3.1	Bevul.6G171300.1.p
OG0000072	Solyc04g081150.3.1	Bevul.6G096500.1.p
OG0000072	Solyc01g073970.3.1, Solyc02g077480.1.1	Bevul.4G070600.1.p
OG0000072	Solyc01g080600.3.1	Bevul.4G070200.1.p
OG0000072	Solyc11g010230.2.1	Bevul.1G173800.1.p
OG0000075	Solyc09g056435.1.1	Bevul.7G079700.1.p, Bevul.6G120700.1.p
OG0000077	Solyc01g111230.3.1	Bevul.9G139900.1.p, Bevul.9G140100.1.p, Bevul.9G140000.1.p, Bevul.9G139800.1.p
OG0000077	Solyc06g054320.1.1	Bevul.2G047300.1.p
OG0000077	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1	Bevul.4G245600.1.p
OG0000077	Solyc07g042300.1.1	Bevul.3G177700.1.p, Bevul.3G177600.1.p
OG0000078	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1	Bevul.7G129900.1.p, Bevul.4G007900.1.p, Bevul.2G061000.1.p, Bevul.2G060900.1.p, Bevul.4G008000.1.p
OG0000079	Solyc02g079890.2.1, Solyc03g007730.1.1, Solyc02g079895.1.1, Solyc00g154480.2.1	Bevul.8G067100.1.p
OG0000079	Solyc01g105860.3.1, Solyc01g105950.3.1, Solyc02g079910.2.1	Bevul.4G110500.1.p
OG0000084	Solyc02g092250.3.1, Solyc10g017510.3.1	Bevul.6G022100.1.p, Bevul.8G147200.1.p, Bevul.8G147600.1.p, Bevul.8G147500.1.p, Bevul.8G147400.1.p, Bevul.8G147300.1.p, Bevul.8G191300.1.p
OG0000085	Solyc07g041940.3.1	Bevul.8G140500.1.p
OG0000085	Solyc12g049360.2.1, Solyc06g062920.3.1	Bevul.7G169300.1.p, Bevul.7G169200.1.p
OG0000085	Solyc10g074710.2.1	Bevul.2G000300.1.p
OG0000085	Solyc12g009310.2.1, Solyc07g042590.3.1	Bevul.2G120700.1.p
OG0000085	Solyc01g028830.3.1	Bevul.4G250700.1.p
OG0000085	Solyc08g074980.3.1	Bevul.5G108500.1.p
OG0000087	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1	Bevul.3G206400.1.p
OG0000087	Solyc02g071220.3.1	Bevul.2G043100.1.p, Bevul.2G042900.1.p, Bevul.2G042800.1.p
OG0000087	Solyc06g048600.3.1, Solyc06g048930.3.1	Bevul.2G027900.1.p
OG0000087	Solyc05g006420.3.1	Bevul.6G246200.1.p
OG0000087	Solyc03g113720.3.1	Bevul.5G203900.1.p
OG0000088	Solyc12g014350.2.1	Bevul.4G082000.1.p, Bevul.4G081800.1.p, Bevul.4G081700.1.p, Bevul.4G081900.1.p
OG0000088	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1	Bevul.9G197700.2.p, Bevul.9G197700.3.p, Bevul.9G197700.1.p, Bevul.9G197700.4.p, Bevul.9G197700.5.p, Bevul.9G197700.6.p, Bevul.9G197700.7.p, Bevul.8G074400.1.p
OG0000089	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1	Bevul.9G199700.1.p
OG0000089	Solyc08g067610.3.1, Solyc08g067620.2.1	Bevul.2G018800.1.p, Bevul.8G186400.1.p
OG0000090	Solyc09g065870.3.1	Bevul.4G177600.1.p
OG0000090	Solyc02g093520.3.1	Bevul.6G147700.1.p
OG0000091	Solyc12g098610.2.1, Solyc09g092520.3.1	Bevul.3G230400.1.p, Bevul.3G229900.1.p, Bevul.3G229800.1.p
OG0000091	Solyc07g009380.3.1, Solyc05g046290.3.1	Bevul.8G117100.1.p
OG0000091	Solyc07g006860.3.1	Bevul.2G233100.1.p
OG0000091	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1	Bevul.7G053900.1.p, Bevul.1G098700.1.p, Bevul.1G099000.1.p, Bevul.1G098800.1.p, Bevul.5G151700.1.p, Bevul.5G151600.1.p, Bevul.2G055300.1.p, Bevul.2G055200.1.p
OG0000092	Solyc04g039980.3.1, Solyc04g039990.3.1	Bevul.5G086800.1.p
OG0000095	Solyc03g121630.3.1	Bevul.7G228500.1.p
OG0000095	Solyc07g043270.3.1	Bevul.6G047300.1.p
OG0000095	Solyc08g060840.1.1	Bevul.4G035700.1.p
OG0000096	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1	Bevul.6G093700.1.p, Bevul.6G094300.1.p, Bevul.6G093800.1.p, Bevul.6G093900.1.p, Bevul.6G094200.1.p, Bevul.6G094400.1.p, Bevul.6G094500.1.p, Bevul.6G120200.1.p
OG0000097	Solyc03g112680.2.1	Bevul.5G215500.1.p
OG0000097	Solyc08g044336.1.1	Bevul.8G067300.1.p, Bevul.4G007500.1.p, Bevul.4G009100.1.p, Bevul.4G009300.1.p, Bevul.4G009200.1.p, Bevul.4G006500.1.p, Bevul.4G008300.1.p, Bevul.4G008400.1.p, Bevul.4G008500.1.p, Bevul.7G126500.1.p
OG0000098	Solyc04g081490.3.1, Solyc12g089310.2.1	Bevul.1G023300.1.p
OG0000098	Solyc03g118760.3.1	Bevul.5G002300.1.p
OG0000098	Solyc10g080940.2.1	Bevul.3G212800.1.p
OG0000098	Solyc06g076640.3.1	Bevul.7G197100.1.p
OG0000098	Solyc10g086760.2.1, Solyc10g085020.2.1, Solyc06g035970.3.1, Solyc03g025730.3.1	Bevul.5G030900.1.p
OG0000099	Solyc04g011925.1.1, Solyc04g011920.2.1, Solyc04g051768.1.1, Solyc04g011940.2.1, Solyc04g051730.1.1	Bevul.6G102400.1.p
OG0000101	Solyc05g025640.1.1	Bevul.9G147500.1.p, Bevul.3G108700.1.p, Bevul.1G020800.1.p
OG0000101	Solyc03g063670.1.1	Bevul.9G102800.1.p
OG0000101	Solyc00g016480.1.1	Bevul.9G113100.1.p, Bevul.2G059600.1.p, Bevul.7G077300.1.p, Bevul.4G099000.1.p, Bevul.1G205800.1.p, Bevul.2G065000.1.p, Bevul.4G142100.1.p, Bevul.5G108000.1.p, Bevul.8G146200.1.p, Bevul.3G140200.1.p, Bevul.7G057600.1.p, Bevul.7G100000.1.p, Bevul.6G125200.1.p, Bevul.7G113700.1.p, Bevul.2G128600.1.p, Bevul.8G100400.1.p, Bevul.1G095300.1.p, Bevul.8G071600.1.p, Bevul.8G119000.1.p, Bevul.8G055900.1.p, Bevul.9G046400.1.p, Bevul.7G074800.1.p, Bevul.8G032100.1.p, Bevul.4G088500.1.p, Bevul.9G059600.1.p, Bevul.6G179000.1.p, Bevul.9G001300.1.p, Bevul.9G022700.1.p, Bevul.4G134400.1.p, Bevul.4G091700.1.p, Bevul.6G180800.1.p, Bevul.5G090600.1.p, Bevul.1G020700.1.p, Bevul.6G130500.1.p, Bevul.7G010300.1.p, Bevul.7G149100.1.p
OG0000101	Solyc07g008960.1.1	Bevul.8G134600.1.p, Bevul.6G002800.1.p, Bevul.1G107900.1.p, Bevul.4G032200.1.p
OG0000102	Solyc02g077050.3.1	Bevul.1G039700.1.p, Bevul.8G011800.1.p, Bevul.8G011900.1.p, Bevul.8G012000.1.p
OG0000102	Solyc02g076910.3.1	Bevul.8G011700.1.p
OG0000103	Solyc10g005640.3.1, Solyc10g005630.3.1	Bevul.4G093400.1.p
OG0000103	Solyc10g084110.2.1, Solyc09g007730.3.1	Bevul.7G057800.1.p
OG0000103	Solyc02g078530.3.1, Solyc03g006500.3.1	Bevul.8G030200.1.p
OG0000104	Solyc10g083170.2.1	Bevul.7G018600.1.p
OG0000104	Solyc08g028690.3.1, Solyc10g083180.2.1	Bevul.9G234500.4.p, Bevul.9G234500.1.p, Bevul.9G234500.6.p, Bevul.9G234500.2.p, Bevul.9G234500.7.p, Bevul.9G234500.3.p, Bevul.9G234500.5.p, Bevul.9G234700.1.p, Bevul.9G234800.1.p
OG0000105	Solyc02g067830.3.1, Solyc02g093360.3.1	Bevul.6G149400.1.p
OG0000105	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1	Bevul.8G035800.1.p, Bevul.4G003500.1.p
OG0000105	Solyc10g083500.2.1, Solyc09g009380.3.1	Bevul.7G031800.2.p, Bevul.7G031800.1.p
OG0000105	Solyc06g074480.3.1, Solyc11g067070.1.1	Bevul.7G230900.1.p
