Orthogroup	S_lycopersicum.proteins	A_thaliana.proteins
OG0000055	Solyc10g005300.3.1	AT1G61860.1
OG0000055	Solyc11g072660.2.1, Solyc06g075550.3.1	AT1G07870.1, AT1G07870.2
OG0000056	Solyc03g006240.3.1	AT5G45910.1
OG0000056	Solyc10g008710.3.1, Solyc10g008720.3.1, Solyc02g077120.3.1, Solyc03g006250.2.1	AT2G27360.1, AT1G28610.1, AT1G28600.2, AT1G28600.1, AT1G28610.2, AT1G28590.1, AT1G31550.1, AT1G31550.2, AT1G28570.2, AT1G28570.3, AT1G28570.1, AT1G28580.1, AT1G28580.2, AT1G28650.1, AT1G28660.1, AT1G28660.2, AT1G28670.1, AT1G28640.1
OG0000056	Solyc12g017460.1.1, Solyc12g096620.1.1	AT5G03980.1
OG0000058	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1	AT5G59110.1
OG0000058	Solyc09g009750.2.1	AT5G03620.2, AT5G03620.1
OG0000058	Solyc01g091930.3.1	AT4G00230.1, AT4G00230.2
OG0000059	Solyc02g068660.2.1	AT1G16130.1, AT1G16150.1, AT1G79670.2, AT1G79670.1, AT1G16120.1, AT1G16160.1, AT1G16110.1, AT1G69730.1, AT1G79680.1, AT1G17910.1, AT1G16260.1, AT1G16260.2, AT1G16260.3
OG0000059	Solyc09g005190.2.1, Solyc10g076560.1.1	AT1G16090.1
OG0000060	Solyc02g061930.2.1, Solyc03g033760.2.1	ATMG00810.1
OG0000063	Solyc06g050440.3.1, Solyc05g052280.3.1	AT5G05340.1
OG0000065	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1	AT3G09270.1
OG0000067	Solyc11g072490.2.1	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000068	Solyc02g068600.3.1	AT5G35810.1
OG0000068	Solyc02g068610.2.1	AT5G35830.1, AT3G54070.1
OG0000070	Solyc03g078400.3.1	AT5G09810.1
OG0000070	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1	AT3G12110.1
OG0000070	Solyc06g076090.3.1	AT5G59370.1, AT5G59370.2, AT3G46520.2, AT3G46520.1
OG0000070	Solyc00g017210.2.1	AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1
OG0000070	Solyc04g045285.1.1, Solyc05g024490.3.1, Solyc11g005330.2.1	AT3G18780.3, AT3G18780.2, AT1G49240.1, AT3G18780.1
OG0000071	Solyc03g111690.3.1	AT4G24780.2, AT4G24780.1
OG0000071	Solyc02g093580.3.1	AT3G27400.2, AT3G27400.1
OG0000071	Solyc09g008380.3.1	AT3G53190.1
OG0000071	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1	AT5G04310.1, AT5G04310.2, AT5G04310.3
OG0000071	Solyc09g091430.3.1	AT4G13710.2, AT4G13710.1
OG0000071	Solyc09g061890.3.1	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000071	Solyc05g014000.3.1	AT1G67750.1
OG0000072	Solyc04g081150.3.1	AT4G40040.3, AT4G40030.1
OG0000072	Solyc05g051515.1.1	AT4G40040.2, AT4G40030.4, AT5G10980.1, AT4G40030.3, AT4G40040.1
OG0000072	Solyc01g073970.3.1, Solyc02g077480.1.1	AT5G10390.1
OG0000072	Solyc01g086820.3.1	AT3G27360.1
OG0000072	Solyc11g010230.2.1	AT1G75600.1
OG0000077	Solyc01g111230.3.1	AT2G21100.1, AT2G21100.2
OG0000077	Solyc00g131610.2.1	AT3G58090.1
OG0000077	Solyc07g042300.1.1	AT5G42500.1, AT5G42510.1, AT1G22900.1, AT1G65870.1
OG0000078	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1	AT4G16295.1, AT4G29035.1, AT5G06020.1, AT5G06030.1, AT5G06040.1
OG0000079	Solyc01g105890.3.1, Solyc01g105920.3.1, Solyc01g105900.2.1, Solyc01g105880.4.1, Solyc01g105960.2.1, Solyc01g105850.3.1, Solyc01g105870.3.1, Solyc02g079840.2.1	AT4G16740.3, AT4G16740.4, AT4G16740.2, AT4G16740.1, AT4G16730.1, AT4G16730.2, AT2G24210.1, AT3G25820.4, AT3G25820.3, AT3G25820.2, AT3G25830.1, AT3G25820.1, AT3G25810.1
OG0000085	Solyc07g041940.3.1	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	Solyc08g061250.3.1	AT2G26290.1
OG0000085	Solyc12g049360.2.1, Solyc06g062920.3.1	AT1G72540.1
OG0000085	Solyc10g074710.2.1	AT5G01020.1
OG0000085	Solyc12g009310.2.1, Solyc07g042590.3.1	AT2G07180.1, AT2G07180.2
OG0000085	Solyc01g028830.3.1	AT5G56460.1
OG0000085	Solyc08g074980.3.1	AT1G61590.1
OG0000087	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	Solyc06g048600.3.1, Solyc06g048930.3.1	AT2G40670.2, AT2G40670.1, AT3G56380.2, AT3G56380.1
OG0000087	Solyc05g006420.3.1	AT1G59940.2, AT1G59940.1, AT1G10470.2, AT1G10470.3, AT1G10470.1
OG0000087	Solyc03g113720.3.1	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1
OG0000088	Solyc12g014350.2.1	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000088	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1	AT1G29720.1
OG0000088	Solyc07g055810.3.1	AT1G07650.2, AT1G07650.1, AT1G07650.3, AT1G07650.4
OG0000089	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1	AT1G15520.2, AT1G15520.1
OG0000089	Solyc08g067610.3.1, Solyc08g067620.2.1	AT3G30842.1
OG0000090	Solyc09g065870.3.1	AT5G63970.1, AT5G63970.2
OG0000090	Solyc02g093520.3.1	AT5G14420.1, AT5G14420.4, AT5G14420.2, AT5G14420.3, AT3G01650.1, AT3G01650.2
OG0000090	Solyc03g111870.3.1	AT1G67800.2, AT1G67800.5, AT1G67800.4, AT1G67800.6, AT1G67800.3, AT1G67800.1
OG0000091	Solyc12g098610.2.1, Solyc09g092520.3.1	AT4G14130.1, AT3G23730.1
OG0000093	Solyc01g074030.3.1, Solyc01g074040.1.1	AT2G44480.4, AT2G44480.3, AT2G44480.1, AT2G44480.5, AT2G44480.2
OG0000095	Solyc03g121630.3.1	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2
OG0000095	Solyc07g043260.3.1	AT2G32250.4, AT2G32250.2, AT2G32250.5, AT2G32250.1, AT2G32250.6, AT2G32250.3, AT2G32250.7, AT2G32250.8
OG0000095	Solyc02g068550.2.1	AT4G19990.6, AT4G19990.2, AT4G19990.3, AT4G19990.4, AT4G19990.7, AT4G19990.1, AT4G19990.5
OG0000095	Solyc07g043270.3.1	AT3G22170.1, AT3G22170.2
OG0000095	Solyc08g060840.1.1	AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2
OG0000096	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1
OG0000098	Solyc04g081490.3.1, Solyc12g089310.2.1	AT1G20010.1, AT1G75780.1
OG0000098	Solyc10g080940.2.1	AT5G12250.1
OG0000098	Solyc10g086760.2.1, Solyc10g085020.2.1, Solyc06g035970.3.1, Solyc03g025730.3.1	AT5G23860.2, AT5G23860.1
OG0000099	Solyc04g011925.1.1, Solyc04g011920.2.1, Solyc04g051768.1.1, Solyc04g011940.2.1, Solyc04g051730.1.1, Solyc10g080840.1.1, Solyc10g080817.1.1, Solyc10g080813.1.1, Solyc10g087040.2.1, Solyc10g080870.3.1, Solyc10g080815.1.1, Solyc10g080855.1.1	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1
OG0000101	Solyc05g025640.1.1	AT3G30235.1
OG0000101	Solyc03g063670.1.1, Solyc00g016480.1.1	AT1G19260.1, AT4G09660.1, AT3G29765.1, AT3G29763.1, AT3G29450.1, AT1G41920.1
OG0000101	Solyc07g008960.1.1	AT2G06541.1, AT2G06541.2
OG0000102	Solyc02g077050.3.1	AT2G22160.1, AT3G49340.1, AT2G27420.1
OG0000102	Solyc02g076910.3.1	AT5G45890.1
OG0000103	Solyc10g005640.3.1, Solyc10g005630.3.1	AT1G16670.1
OG0000103	Solyc09g014470.2.1	AT3G09010.2, AT3G09010.1
OG0000105	Solyc02g067830.3.1, Solyc02g093360.3.1	AT3G27580.2, AT3G27580.1
OG0000105	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1	AT5G47750.1
OG0000105	Solyc10g083500.2.1, Solyc09g009380.3.1	AT3G52890.2, AT3G52890.4, AT3G52890.1, AT3G52890.3, AT2G36350.1
OG0000106	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1	AT1G29510.1, AT5G27780.1, AT1G29430.1, AT1G29440.1, AT1G29450.2, AT1G29450.1, AT1G29500.1, AT1G29460.1, AT1G29460.2, AT1G29420.2, AT1G29420.1, AT1G29490.1
OG0000107	Solyc05g008805.1.1	AT1G15080.1
OG0000107	Solyc02g086370.3.1	AT3G02600.7, AT3G02600.11, AT3G02600.9, AT3G02600.5, AT3G02600.3, AT3G02600.8, AT3G02600.10, AT3G02600.6, AT3G02600.12, AT3G02600.4, AT3G02600.1, AT3G02600.2
OG0000107	Solyc05g008820.3.1, Solyc05g008815.1.1	AT2G01180.7, AT2G01180.3, AT2G01180.6, AT2G01180.8, AT2G01180.1, AT2G01180.4, AT2G01180.5, AT2G01180.2
OG0000107	Solyc04g025370.2.1, Solyc04g025400.3.1	AT3G18220.1
OG0000108	Solyc06g009280.1.1, Solyc06g009290.3.1	AT4G01830.1, AT4G01830.2, AT4G01820.1, AT1G02520.2, AT1G02520.1, AT1G02520.3, AT1G02530.1, AT2G47000.1, AT2G47000.7, AT2G47000.3, AT2G47000.4, AT2G47000.2, AT2G47000.6, AT2G47000.5, AT3G62150.1, AT3G62150.2, AT3G62150.3
OG0000108	Solyc02g071350.3.1, Solyc02g071340.2.1	AT5G46540.1, AT4G18050.1, AT4G18050.2
OG0000109	Solyc01g110380.3.1	AT2G21300.3, AT2G21300.2, AT2G21300.1, AT2G21300.5, AT2G21300.4, AT4G38950.5, AT4G38950.4, AT4G38950.2, AT4G38950.3, AT4G38950.1
OG0000109	Solyc02g084390.3.1, Solyc02g062330.2.1	AT3G51150.2, AT3G51150.3, AT3G51150.5, AT3G51150.4, AT3G51150.1, AT5G66310.1, AT5G66310.2, AT5G66310.3
OG0000110	Solyc12g056820.2.1	AT5G48100.1
OG0000110	Solyc04g072280.3.1	AT5G09360.1
