,target_id,AT_gene_id,Symbol,Description,Position
16,Dm_00018593-RA,AT1G64940.1, Symbols: CYP89A6 ," ""cytochrome P450, family 87, subfamily A, polypeptide 6"" ", chr1:24123789-24125324 FORWARD LENGTH=511
17,Dm_00013762-RA,AT4G31980.1, Symbols: no symbol available , no full name available , chr4:15464905-15469204 FORWARD LENGTH=680
18,Dm_00000546-RA,AT1G08820.5, Symbols: VAP27-2 , vamp/synaptobrevin-associated protein 27-2 , chr1:2821810-2824412 REVERSE LENGTH=386
19,Dm_00017155-RA,NA,,,
20,Dm_00003377-RA,AT4G38400.1," Symbols: ATEXPL2, ATEXLA2, ATHEXP BETA 2.2, EXPL2, EXLA2 "," EXPANSIN L2, expansin-like A2 ", chr4:17978675-17979665 REVERSE LENGTH=265
21,Dm_00005494-RA,AT5G63810.1," Symbols: BGAL10, AtBGAL10 "," Arabidopsis thaliana beta-galactosidase 10, beta-galactosidase 10 ", chr5:25537242-25541315 FORWARD LENGTH=741
22,Dm_00010980-RA,AT2G40540.5," Symbols: SHY3, ATKT2, KT2, KUP2, ATKUP2, TRK2 ", potassium transporter 2 , chr2:16931445-16934516 FORWARD LENGTH=794
23,Dm_00001470-RA,AT2G29990.1, Symbols: NDA2 , alternative NAD(P)H dehydrogenase 2 , chr2:12793562-12795913 REVERSE LENGTH=508
24,Dm_00012322-RA,AT3G51480.4," Symbols: GLR3.6, ATGLR3.6 ", glutamate receptor 3.6 , chr3:19101256-19104681 FORWARD LENGTH=903
25,Dm_00006089-RA,AT1G74160.1," Symbols: LNG3, TRM4 "," TON1 Recruiting Motif 4, LONGIFOLIA 3 ", chr1:27887164-27891151 FORWARD LENGTH=1025
26,Dm_00001479-RA,AT4G24150.3," Symbols: AtGRF8, GRF8 ", growth-regulating factor 8 , chr4:12537671-12539387 FORWARD LENGTH=430
27,Dm_00005187-RA,AT4G15440.1," Symbols: HPL1, CYP74B2 ", hydroperoxide lyase 1 , chr4:8835869-8838462 FORWARD LENGTH=384
28,Dm_00003466-RA,AT5G17330.1," Symbols: GAD, AtGAD1, GAD1 "," GLUTAMATE DECARBOXYLASE 1, glutamate decarboxylase ", chr5:5711141-5714839 FORWARD LENGTH=502
29,Dm_00002394-RA,AT3G53520.1," Symbols: ATUXS1, UXS1 ", UDP-glucuronic acid decarboxylase 1 , chr3:19841635-19844057 FORWARD LENGTH=435
30,Dm_00002472-RA,AT2G31160.1," Symbols: LSH3, OBO1 "," LIGHT SENSITIVE HYPOCOTYLS 3, ORGAN BOUNDARY 1 ", chr2:13277903-13278562 FORWARD LENGTH=219
31,Dm_00016865-RA,AT3G22370.1," Symbols: ATAOX1A, AOX1A, HSR3, AtHSR3 "," hyper-sensitivity-related 3, alternative oxidase 1A ", chr3:7906890-7908416 FORWARD LENGTH=354
32,Dm_00007445-RA,AT3G12610.1, Symbols: DRT100 , DNA-DAMAGE REPAIR/TOLERATION 100 , chr3:4006661-4007779 REVERSE LENGTH=372
33,Dm_00018748-RA,AT5G46050.1," Symbols: AtNPF5.2, ATPTR3, PTR3, NPF5.2 "," ARABIDOPSIS THALIANA PEPTIDE TRANSPORTER 3, NRT1/ PTR family 5.2, peptide transporter 3 ", chr5:18675062-18679071 REVERSE LENGTH=582
34,Dm_00003928-RA,AT1G22340.1," Symbols: AtUGT85A7, UGT85A7 ", UDP-glucosyl transferase 85A7 , chr1:7890464-7892090 REVERSE LENGTH=487
35,Dm_00009399-RA,AT1G63220.1, Symbols: no symbol available , no full name available , chr1:23449017-23450244 FORWARD LENGTH=147
36,Dm_00006505-RA,AT1G57610.2, Symbols: MCU2 , MItochondrial Calcium Uptake2 , chr1:21337449-21338412 REVERSE LENGTH=293
37,Dm_00006157-RA,AT1G58410.4, Symbols: no symbol available , no full name available , chr1:21701286-21704255 REVERSE LENGTH=899
38,Dm_00010650-RA,AT5G60860.1," Symbols: AtRABA1f, RABA1f ", RAB GTPase homolog A1F , chr5:24484750-24485565 FORWARD LENGTH=217
39,Dm_00018445-RA,AT4G13420.1," Symbols: ATHAK5, HAK5 "," ARABIDOPSIS THALIANA HIGH AFFINITY K+ TRANSPORTER 5, high affinity K+ transporter 5 ", chr4:7797038-7802174 REVERSE LENGTH=785
40,Dm_00000047-RA,AT5G05350.1, Symbols: no symbol available , no full name available , chr5:1585757-1587337 FORWARD LENGTH=526
41,Dm_00003802-RA,AT2G03200.1, Symbols: ASPR1 , Atypical Aspartic Protease in Roots 1 , chr2:966506-967891 REVERSE LENGTH=461
42,Dm_00007731-RA,AT5G25460.1, Symbols: DGR2 , DUF642  L-GalL responsive gene 2 , chr5:8863430-8865394 FORWARD LENGTH=369
43,Dm_00000176-RA,AT5G53580.1," Symbols: AtPLR1, PLR1 ", pyridoxal reductase 1 , chr5:21765215-21766919 REVERSE LENGTH=365
44,Dm_00006682-RA,AT1G63690.1," Symbols: SPPL2, ATSPPL2 ", SIGNAL PEPTIDE PEPTIDASE-LIKE 2 , chr1:23618490-23622082 FORWARD LENGTH=540
45,Dm_00017750-RA,AT5G25460.1, Symbols: DGR2 , DUF642  L-GalL responsive gene 2 , chr5:8863430-8865394 FORWARD LENGTH=369
46,Dm_00020563-RA,AT5G51920.1, Symbols: no symbol available , no full name available , chr5:21097202-21098914 REVERSE LENGTH=570
47,Dm_00000466-RA,AT5G60540.1," Symbols: PDX2, EMB2407, ATPDX2 "," PYRIDOXINE BIOSYNTHESIS 2, pyridoxine biosynthesis 2, EMBRYO DEFECTIVE 2407 ", chr5:24336874-24338647 REVERSE LENGTH=255
48,Dm_00007245-RA,AT5G38480.3," Symbols: GRF3, RCI1 ", general regulatory factor 3 , chr5:15410277-15411285 FORWARD LENGTH=254
49,Dm_00013077-RA,AT5G10820.1, Symbols: no symbol available , no full name available , chr5:3420876-3423166 REVERSE LENGTH=503
50,Dm_00002935-RA,NA,,,
51,Dm_00009037-RA,AT4G03210.1, Symbols: XTH9 , xyloglucan endotransglucosylase/hydrolase 9 , chr4:1416019-1417197 FORWARD LENGTH=290
52,Dm_00013634-RA,AT3G47950.2," Symbols: AHA4, HA4 ", H(+)-ATPase 4 , chr3:17693015-17697801 FORWARD LENGTH=960
53,Dm_00004330-RA,AT2G21530.1, Symbols: no symbol available , no full name available , chr2:9219372-9220464 FORWARD LENGTH=209
54,Dm_00005763-RA,AT3G57400.1, Symbols: no symbol available , no full name available , chr3:21238547-21239971 FORWARD LENGTH=474
55,Dm_00016822-RA,AT3G26590.1, Symbols: no symbol available , no full name available , chr3:9761927-9765259 REVERSE LENGTH=500
56,Dm_00012414-RA,AT4G25040.1, Symbols: CASPL1F1 , CASP-like protein 1F1 , chr4:12868320-12869319 FORWARD LENGTH=170
57,Dm_00007934-RA,AT3G15030.4," Symbols: MEE35, TCP4 "," TCP family transcription factor 4, maternal effect embryo arrest 35 ", chr3:5062308-5063570 FORWARD LENGTH=420
58,Dm_00001710-RA,AT3G25920.1, Symbols: RPL15 , ribosomal protein L15 , chr3:9491268-9492558 REVERSE LENGTH=277
59,Dm_00007058-RA,AT1G75540.1," Symbols: AtBBX21, STH2, LHUS, BBX21 "," B BOX 21, B-box domain protein 21, long hypocotyl under shade, salt tolerance homolog2 ", chr1:28366059-28367398 FORWARD LENGTH=331
60,Dm_00013288-RA,AT3G55360.1," Symbols: CER10, GLH6, ATTSC13, ECR, TSC13 "," GLASSY HAIR 6, ECERIFERUM 10, ENOYL-COA REDUCTASE ", chr3:20521186-20522856 REVERSE LENGTH=310
61,Dm_00019493-RA,AT3G22370.1," Symbols: ATAOX1A, AOX1A, HSR3, AtHSR3 "," hyper-sensitivity-related 3, alternative oxidase 1A ", chr3:7906890-7908416 FORWARD LENGTH=354
62,Dm_00001315-RA,AT4G27290.2, Symbols: no symbol available , no full name available , chr4:13666281-13669202 FORWARD LENGTH=829
63,Dm_00003463-RA,AT4G33520.1," Symbols: HMA6, PAA1, AtHMAC6, AtHMP38, PCH1 "," HEAVY METAL ATPASE 6, HEAVY METAL ASSOCIATED PROTEIN 38, Arabidopsis thaliana heavy metal ATPase 6, plastid chaperon 1, P-type ATP-ase 1 ", chr4:16118993-16120542 FORWARD LENGTH=237
64,Dm_00010892-RA,AT5G55220.1," Symbols: HP65b, TIG1 ",  , chr5:22397677-22400678 FORWARD LENGTH=547
65,Dm_00012350-RA,AT4G26790.2, Symbols: GGL23 ,  , chr4:13487859-13489149 FORWARD LENGTH=351
66,Dm_00001169-RA,NA,,,
67,Dm_00004187-RA,AT3G15030.4," Symbols: MEE35, TCP4 "," TCP family transcription factor 4, maternal effect embryo arrest 35 ", chr3:5062308-5063570 FORWARD LENGTH=420
68,Dm_00006568-RA,AT4G18810.1, Symbols: no symbol available , no full name available , chr4:10322622-10325735 REVERSE LENGTH=596
69,Dm_00005284-RA,AT5G23120.2, Symbols: HCF136 , HIGH CHLOROPHYLL FLUORESCENCE 136 , chr5:7778085-7780463 FORWARD LENGTH=426
70,Dm_00012510-RA,AT1G26190.1," Symbols: TTM2, AtTTM2 ", triphosphate tunnel metalloenzyme 2 , chr1:9057285-9060433 REVERSE LENGTH=674
71,Dm_00001127-RA,AT5G48480.1, Symbols: no symbol available , no full name available , chr5:19644814-19645658 FORWARD LENGTH=166
72,Dm_00008368-RA,AT4G13710.1, Symbols: no symbol available , no full name available , chr4:7962550-7966012 FORWARD LENGTH=470
73,Dm_00010773-RA,AT3G01180.1," Symbols: AtSS2, SS2 ", starch synthase 2 , chr3:62456-65678 REVERSE LENGTH=792
74,Dm_00007317-RA,AT5G57780.1, Symbols: P1R1 , P1R1 , chr5:23405505-23406008 REVERSE LENGTH=167
75,Dm_00011590-RA,AT4G36380.1, Symbols: ROT3 , ROTUNDIFOLIA 3 , chr4:17187973-17192202 REVERSE LENGTH=524
76,Dm_00013234-RA,AT5G26667.4, Symbols: PYR6 ,  , chr5:9276659-9278091 FORWARD LENGTH=202
77,Dm_00003190-RA,AT2G01610.1, Symbols: no symbol available , no full name available , chr2:274124-274792 REVERSE LENGTH=222
78,Dm_00003191-RA,AT2G01610.1, Symbols: no symbol available , no full name available , chr2:274124-274792 REVERSE LENGTH=222
79,Dm_00003750-RA,AT2G20570.1," Symbols: ATGLK1, GLK1, GPRI1 "," GBF's pro-rich region-interacting factor 1, ARABIDOPSIS GOLDEN2-LIKE 1, GOLDEN2-LIKE 1 ", chr2:8855486-8857522 FORWARD LENGTH=420
80,Dm_00001895-RA,AT1G55810.6," Symbols: UCK3, UKL3 "," uridine/cytidine kinase 3, uridine kinase-like 3 ", chr1:20861273-20864003 FORWARD LENGTH=466
81,Dm_00012511-RA,AT3G25570.2, Symbols: SAMDC3 , S-adenosylmethionine decarboxylase 3 , chr3:9287413-9288462 REVERSE LENGTH=349
82,Dm_00003292-RA,AT2G35940.3," Symbols: EDA29, BLH1 "," BEL1-like homeodomain 1, embryo sac development arrest 29 ", chr2:15089171-15091699 REVERSE LENGTH=680
83,Dm_00019008-RA,AT2G30520.1, Symbols: RPT2 , ROOT PHOTOTROPISM 2 , chr2:13002920-13005573 REVERSE LENGTH=593
84,Dm_00011101-RA,AT5G08410.1, Symbols: FTRA2 , ferredoxin/thioredoxin reductase subunit A (variable subunit) 2 , chr5:2709974-2710528 REVERSE LENGTH=184
85,Dm_00003345-RA,AT1G63690.1," Symbols: SPPL2, ATSPPL2 ", SIGNAL PEPTIDE PEPTIDASE-LIKE 2 , chr1:23618490-23622082 FORWARD LENGTH=540
86,Dm_00007238-RA,AT4G34810.1, Symbols: SAUR5 , SMALL AUXIN UPREGULATED RNA 5 , chr4:16599065-16599421 FORWARD LENGTH=118
87,Dm_00002650-RA,AT5G67030.1," Symbols: LOS6, NPQ2, ZEP, ABA1, ATABA1, ATZEP, IBS3 "," ABA DEFICIENT 1, IMPAIRED IN BABA-INDUCED STERILITY 3, NON-PHOTOCHEMICAL QUENCHING 2, ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE, LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6, ARABIDOPSIS THALIANA ABA DEFICIENT 1, ZEAXANTHIN EPOXIDASE ", chr5:26753745-26757090 REVERSE LENGTH=667
88,Dm_00019151-RA,AT1G50180.1, Symbols: CAR1 , CEL-Activated Resistance 1 , chr1:18584235-18587136 FORWARD LENGTH=857
89,Dm_00008211-RA,AT3G16340.1," Symbols: ABCG29, AtABCG29, ATPDR1, PDR1 "," PLEIOTROPIC DRUG RESISTANCE 1, pleiotropic drug resistance 1, ATP-binding cassette G29 ", chr3:5539897-5546263 FORWARD LENGTH=1416
90,Dm_00014594-RA,AT2G13620.1," Symbols: CHX15, ATCHX15 "," cation/hydrogen exchanger 15, CATION/H+ EXCHANGER 15 ", chr2:5678006-5680621 FORWARD LENGTH=821
91,Dm_00002086-RA,AT4G16650.2, Symbols: no symbol available , no full name available , chr4:9372727-9375910 FORWARD LENGTH=549
92,Dm_00017791-RA,AT4G05200.1, Symbols: CRK25 , cysteine-rich RLK (RECEPTOR-like protein kinase) 25 , chr4:2679793-2682309 REVERSE LENGTH=675
93,Dm_00004350-RA,AT5G67385.1," Symbols: NRL31, NCH1, SR1IP1 "," NPH3/RPT2-Like 31, AtSR1 interaction protein 1, NRL PROTEIN FOR CHLOROPLAST MOVEMENT1 ", chr5:26884754-26887083 FORWARD LENGTH=604
94,Dm_00009865-RA,AT5G53760.2," Symbols: MLO11, ATMLO11 ", MILDEW RESISTANCE LOCUS O 11 , chr5:21823055-21826289 FORWARD LENGTH=573
95,Dm_00017965-RA,AT5G14260.3, Symbols: SAFE1 , SAFEGUARD1 , chr5:4601139-4603873 FORWARD LENGTH=514
96,Dm_00003879-RA,AT3G25690.6," Symbols: CHUP1, AtCHUP1 "," CHLOROPLAST UNUSUAL POSITIONING 1, Arabidopsis thaliana CHLOROPLAST UNUSUAL POSITIONING 1 ", chr3:9354061-9357757 FORWARD LENGTH=1004
97,Dm_00013075-RA,AT5G04420.3, Symbols: no symbol available , no full name available , chr5:1246867-1249455 REVERSE LENGTH=514
98,Dm_00002442-RA,AT5G08280.1," Symbols: HEMC, RUG1 "," RUGOSA 1, hydroxymethylbilane synthase ", chr5:2663763-2665596 REVERSE LENGTH=382
99,Dm_00009545-RA,AT5G46570.1, Symbols: BSK2 , brassinosteroid-signaling kinase 2 , chr5:18894687-18897198 FORWARD LENGTH=489
100,Dm_00014874-RA,AT4G00400.1," Symbols: AtGPAT8, GPAT8 ", GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 8 , chr4:174312-176734 REVERSE LENGTH=500
101,Dm_00010854-RA,AT5G60800.1," Symbols: AtHMP53, HIPP3 "," HEAVY METAL ASSOCIATED PROTEIN 53, EAVY METAL-ASSOCIATED ISOPRENYLATED PLANT PROTEIN3 ", chr5:24461116-24462464 REVERSE LENGTH=283
102,Dm_00007334-RA,NA,,,
103,Dm_00006569-RA,AT4G18810.1, Symbols: no symbol available , no full name available , chr4:10322622-10325735 REVERSE LENGTH=596
104,Dm_00004091-RA,AT3G63540.1, Symbols: no symbol available , no full name available , chr3:23459372-23459803 REVERSE LENGTH=143
105,Dm_00011738-RA,NA,,,
106,Dm_00000250-RA,AT4G27600.1, Symbols: NARA5 , GENES NECESSARY FOR THE  ACHIEVEMENT OF RUBISCO ACCUMULATION 5 , chr4:13782753-13785005 REVERSE LENGTH=471
107,Dm_00002999-RA,NA,,,
108,Dm_00011902-RA,AT1G59960.1, Symbols: no symbol available , no full name available , chr1:22071410-22073067 REVERSE LENGTH=326
109,Dm_00020618-RA,AT1G15520.2," Symbols: ATABCG40, ABCG40, PDR12, ATPDR12 "," pleiotropic drug resistance 12, ATP-binding cassette G40, PLEIOTROPIC DRUG RESISTANCE 12, Arabidopsis thaliana ATP-binding cassette G40 ", chr1:5332561-5338175 REVERSE LENGTH=1292
110,Dm_00002175-RA,AT1G14030.1, Symbols: LSMT-L , lysine methyltransferase (LSMT)-like , chr1:4805493-4807440 REVERSE LENGTH=482
111,Dm_00005882-RA,NA,,,
112,Dm_00010729-RA,AT3G53700.1, Symbols: MEE40 , maternal effect embryo arrest 40 , chr3:19900303-19902567 FORWARD LENGTH=754
113,Dm_00005539-RA,AT4G35840.1, Symbols: ATL26 , Arabidopsis T####xicos en Levadura 26 , chr4:16981083-16982266 FORWARD LENGTH=236
114,Dm_00011847-RA,AT2G27290.1, Symbols: no symbol available , no full name available , chr2:11678586-11679765 REVERSE LENGTH=201
115,Dm_00006723-RA,AT4G33090.1," Symbols: APM1, ATAPM1 "," AMINOPEPTIDASE M1, aminopeptidase M1 ", chr4:15965915-15970418 REVERSE LENGTH=879
116,Dm_00020465-RA,AT1G73590.1," Symbols: PIN1, ATPIN1 "," ARABIDOPSIS THALIANA PIN-FORMED 1, PIN-FORMED 1 ", chr1:27659772-27662876 FORWARD LENGTH=622
117,Dm_00007348-RA,AT2G29630.3," Symbols: THIC, PY "," PYRIMIDINE REQUIRING, thiaminC ", chr2:12667395-12669569 FORWARD LENGTH=644
118,Dm_00000704-RA,AT5G45950.1, Symbols: GGL28 ,  , chr5:18634155-18636512 FORWARD LENGTH=357
119,Dm_00010081-RA,AT2G36930.1, Symbols: no symbol available , no full name available , chr2:15510002-15511347 REVERSE LENGTH=198
120,Dm_00013668-RA,AT1G66150.1, Symbols: TMK1 , transmembrane kinase 1 , chr1:24631503-24634415 FORWARD LENGTH=942
121,Dm_00002744-RA,AT1G75280.1, Symbols: no symbol available , no full name available , chr1:28252030-28253355 FORWARD LENGTH=310
122,Dm_00007666-RA,AT2G34770.1," Symbols: FAH1, ATFAH1 "," fatty acid hydroxylase 1, ARABIDOPSIS FATTY ACID HYDROXYLASE 1 ", chr2:14666776-14668061 FORWARD LENGTH=237
123,Dm_00007894-RA,AT3G53130.1," Symbols: LUT1, CYP97C1 "," CYTOCHROME P450 97C1, LUTEIN DEFICIENT 1 ", chr3:19692812-19695278 FORWARD LENGTH=539
124,Dm_00011353-RA,AT1G05200.6," Symbols: GLR3.4, ATGLR3.4, GLUR3 ", glutamate receptor 3.4 , chr1:1505642-1509002 FORWARD LENGTH=959
125,Dm_00011692-RA,AT5G35170.2, Symbols: no symbol available , no full name available , chr5:13419278-13423381 FORWARD LENGTH=580
126,Dm_00001242-RA,AT1G76080.1," Symbols: CDSP32, TRXL1, ATCDSP32 "," ARABIDOPSIS THALIANA CHLOROPLASTIC DROUGHT-INDUCED STRESS PROTEIN OF 32 KD, chloroplastic drought-induced stress protein of 32 kD, TRX-like 1 ", chr1:28548063-28549348 REVERSE LENGTH=302
127,Dm_00003769-RA,AT5G04440.2, Symbols: no symbol available , no full name available , chr5:1254957-1256267 FORWARD LENGTH=243
128,Dm_00016508-RA,AT4G14750.1, Symbols: IQD19 , IQ-domain 19 , chr4:8470449-8471903 FORWARD LENGTH=387
129,Dm_00001267-RA,AT4G35090.1, Symbols: CAT2 , catalase 2 , chr4:16700937-16703215 REVERSE LENGTH=492
130,Dm_00008428-RA,AT1G14720.1," Symbols: XTR2, ATXTH28, EXGT-A2, XTH28 "," xyloglucan endotransglycosylase related 2, xyloglucan endotransglucosylase/hydrolase 28, ENDOXYLOGLUCAN TRANSFERASE A2 ", chr1:5066806-5068466 REVERSE LENGTH=332
131,Dm_00012957-RA,AT2G35260.1, Symbols: BCM1 , BALANCE of CHLOROPHYLL METABOLISM 1 , chr2:14849642-14851601 FORWARD LENGTH=382
132,Dm_00009960-RA,AT1G66400.1, Symbols: CML23 , calmodulin like 23 , chr1:24770856-24771329 REVERSE LENGTH=157
133,Dm_00000619-RA,AT1G56220.1, Symbols: no symbol available , no full name available , chr1:21043414-21044469 FORWARD LENGTH=137
134,Dm_00005091-RA,AT1G14590.1, Symbols: no symbol available , no full name available , chr1:4998957-5000617 REVERSE LENGTH=386
135,Dm_00019152-RA,AT1G53350.1, Symbols: no symbol available , no full name available , chr1:19903899-19906912 FORWARD LENGTH=906
136,Dm_00007664-RA,AT1G24540.1, Symbols: CYP86C1 ," ""cytochrome P450, family 86, subfamily C, polypeptide 1"" ", chr1:8699751-8701319 FORWARD LENGTH=522
137,Dm_00002470-RA,AT1G06190.1, Symbols: RHON1 , Rho-N 1 , chr1:1892467-1894078 REVERSE LENGTH=401
138,Dm_00009873-RA,AT3G11940.2," Symbols: ATRPS5A, RPS5A, AML1 "," ARABIDOPSIS MINUTE-LIKE 1, ribosomal protein 5A, MEI2-like protein 1 ", chr3:3778175-3779354 REVERSE LENGTH=207
139,Dm_00011661-RA,AT1G78630.1, Symbols: emb1473 , embryo defective 1473 , chr1:29575997-29577406 FORWARD LENGTH=241
140,Dm_00007085-RA,AT1G52230.1," Symbols: PSI-H, PSAH-2, PSAH2 "," photosystem I subunit H2, PHOTOSYSTEM I SUBUNIT H-2 ", chr1:19454902-19455508 FORWARD LENGTH=145
141,Dm_00010639-RA,AT2G33450.1, Symbols: PRPL28 , plastid ribosomal protein L28 , chr2:14173620-14174380 FORWARD LENGTH=143
142,Dm_00016581-RA,AT5G09660.2, Symbols: PMDH2 , peroxisomal NAD-malate dehydrogenase 2 , chr5:2993645-2995169 REVERSE LENGTH=333
143,Dm_00005382-RA,AT5G53390.1," Symbols: FOP1, WSD11 "," NTHASE/DIACYLGLYCEROL ACYLTRANSFERASE 11, FOLDED PETAL 1 ", chr5:21656951-21659207 REVERSE LENGTH=486
144,Dm_00018619-RA,AT3G10670.1," Symbols: ABCI6, ATNAP7, NAP7 "," non-intrinsic ABC protein 7, ATP-binding cassette I6 ", chr3:3335325-3337304 REVERSE LENGTH=338
145,Dm_00001930-RA,AT2G01910.1," Symbols: ATMAP65-6, MAP65-6 ",  , chr2:417191-420182 FORWARD LENGTH=608
146,Dm_00003151-RA,AT3G05410.2, Symbols: PPD7 ,  , chr3:1554783-1561456 FORWARD LENGTH=280
147,Dm_00001082-RA,AT3G50820.1," Symbols: OEC33, PSBO-2, PSBO2 "," photosystem II subunit O-2, OXYGEN EVOLVING COMPLEX SUBUNIT 33 KDA, PHOTOSYSTEM II SUBUNIT O-2 ", chr3:18891008-18892311 REVERSE LENGTH=331
148,Dm_00017467-RA,AT5G14880.1, Symbols: KUP8 , potassium uptake 8 , chr5:4814244-4817667 FORWARD LENGTH=781
149,Dm_00010384-RA,AT4G04850.2," Symbols: KEA3, ATKEA3 ", K+ efflux antiporter 3 , chr4:2453174-2457490 FORWARD LENGTH=776
150,Dm_00010594-RA,AT1G12330.1, Symbols: no symbol available , no full name available , chr1:4194673-4196627 FORWARD LENGTH=505
151,Dm_00001989-RA,AT1G69530.2," Symbols: AT-EXP1, ATHEXP ALPHA 1.2, EXP1, ATEXPA1, EXPA1, ATEXP1 "," EXPANSIN 1, expansin A1 ", chr1:26142034-26143051 FORWARD LENGTH=250
152,Dm_00008374-RA,AT1G23400.1," Symbols: ATCAF2, CAF2 "," ARABIDOPSIS THALIANA HOMOLOG OF MAIZE CAF2, CHLOROPLAST RNA SPLICING2-ASSOCIATED FACTOR 2 ", chr1:8312199-8314740 REVERSE LENGTH=564
153,Dm_00008693-RA,AT4G34131.1, Symbols: UGT73B3 , UDP-glucosyl transferase 73B3 , chr4:16343268-16344713 REVERSE LENGTH=481
154,Dm_00018692-RA,AT1G23750.1, Symbols: no symbol available , no full name available , chr1:8400638-8401171 FORWARD LENGTH=137
155,Dm_00016773-RA,AT3G12080.1," Symbols: EngA-1, DER, emb2738 ", embryo defective 2738 , chr3:3847851-3851980 FORWARD LENGTH=663
156,Dm_00005170-RA,AT1G11860.3, Symbols: GLDT ,  , chr1:4001485-4003245 FORWARD LENGTH=423
157,Dm_00016904-RA,AT1G32170.1," Symbols: XTH30, XTR4 "," xyloglucan endotransglucosylase/hydrolase 30, xyloglucan endotransglycosylase 4 ", chr1:11575434-11577776 FORWARD LENGTH=343
158,Dm_00017910-RA,AT1G58340.1," Symbols: ABS4, ZF14, BCD1, ZRZ "," BUSH-AND-CHLOROTIC-DWARF 1, ZRIZI, Arabidopsis abnormal shoot4 ", chr1:21653162-21655117 FORWARD LENGTH=532
159,Dm_00001234-RA,AT1G20190.1," Symbols: EXPA11, ATHEXP ALPHA 1.14, ATEXP11, EXP11, ATEXPA11 "," EXPANSIN  11, expansin 11 ", chr1:6998762-6999710 REVERSE LENGTH=252
160,Dm_00000732-RA,AT1G67940.1," Symbols: AtSTAR1, NAP3, ATNAP3, ABCI17 "," ARABIDOPSIS THALIANA NON-INTRINSIC ABC PROTEIN 3, non-intrinsic ABC protein 3, ATP-binding cassette I17 ", chr1:25477805-25478667 FORWARD LENGTH=263
161,Dm_00001085-RA,AT4G10380.1," Symbols: NLM8, NIP5;1, AtNIP5;1, NLM6 "," NOD26-LIKE MIP 6, NOD26-like intrinsic protein 5;1, NOD26-LIKE MIP 8 ", chr4:6431530-6434510 REVERSE LENGTH=304
162,Dm_00004919-RA,AT5G62790.1," Symbols: PDE129, DXR "," 1-deoxy-D-xylulose 5-phosphate reductoisomerase, PIGMENT-DEFECTIVE EMBRYO 129 ", chr5:25214358-25217292 REVERSE LENGTH=477
