Orthogroup	A_coerulea.proteins	S_lycopersicum.proteins
OG0000024	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1
OG0000025	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1, Solyc01g110970.3.1, Solyc10g052585.1.1, Solyc12g036405.1.1, Solyc04g052895.1.1, Solyc04g052975.1.1, Solyc01g110785.1.1, Solyc11g011655.1.1, Solyc10g052545.1.1, Solyc04g053023.1.1, Solyc10g054737.1.1, Solyc01g110647.1.1, Solyc11g011700.1.1, Solyc11g011650.1.1, Solyc04g053000.1.1, Solyc04g052970.2.1, Solyc11g011680.1.1, Solyc10g052540.1.1, Solyc10g052580.2.1, Solyc11g011720.1.1, Solyc04g025535.1.1, Solyc01g110790.3.1, Solyc01g110980.3.1, Solyc01g110735.1.1, Solyc01g110660.3.1, Solyc01g110710.3.1, Solyc01g110770.2.1, Solyc01g110670.3.1, Solyc01g110720.2.1, Solyc01g110680.3.1, Solyc01g110930.1.1, Solyc01g110800.3.1, Solyc01g110920.3.1, Solyc01g110780.1.1, Solyc01g110940.3.1, Solyc01g110630.3.1, Solyc01g110917.1.1, Solyc01g110830.3.1, Solyc01g110870.3.1, Solyc01g110843.1.1, Solyc01g110860.1.1, Solyc01g110847.1.1, Solyc01g110880.1.1, Solyc10g054760.1.1
OG0000026	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p	Solyc06g059930.3.1, Solyc06g059885.1.1, Solyc06g060180.2.1, Solyc09g092470.2.1, Solyc12g019240.2.1, Solyc07g051940.3.1, Solyc07g008690.3.1, Solyc12g006570.2.1, Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1, Solyc06g060010.3.1, Solyc06g060013.1.1, Solyc07g052120.3.1
OG0000027	Aqcoe3G094300.1.p	Solyc06g071100.3.1
OG0000027	Aqcoe3G269300.1.p	Solyc08g078200.2.1
OG0000027	Aqcoe7G309700.2.p, Aqcoe7G309700.1.p	Solyc07g017780.3.1
OG0000027	Aqcoe7G366100.1.p	Solyc03g117150.3.1
OG0000028	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p	Solyc01g098370.1.1, Solyc12g013730.2.1, Solyc07g005150.2.1, Solyc01g014940.1.1, Solyc01g014930.1.1, Solyc01g012690.1.1, Solyc01g014140.3.1, Solyc12g100020.1.1, Solyc12g100030.2.1, Solyc12g100010.1.1, Solyc12g040750.1.1, Solyc06g008300.3.1, Solyc06g008265.1.1, Solyc08g067805.1.1, Solyc12g099950.2.1, Solyc12g036793.1.1, Solyc12g036800.1.1, Solyc12g099870.2.1, Solyc12g099980.2.1, Solyc05g012430.1.1, Solyc12g049200.1.1, Solyc12g049190.2.1, Solyc10g051230.1.1, Solyc10g051225.1.1, Solyc10g051253.1.1, Solyc01g013880.1.1, Solyc01g014300.1.1, Solyc01g014310.1.1, Solyc01g013960.2.1, Solyc01g005715.1.1, Solyc01g005720.3.1, Solyc01g008390.2.1, Solyc01g006550.3.1, Solyc01g005730.3.1, Solyc01g005870.2.1, Solyc01g005760.3.1, Solyc01g008410.2.1, Solyc01g005755.1.1, Solyc01g006545.1.1, Solyc01g009680.3.1, Solyc03g082780.2.1, Solyc01g005775.1.1, Solyc01g005710.2.1, Solyc01g016370.2.1, Solyc10g007210.1.1, Solyc01g009700.2.1, Solyc01g005865.1.1, Solyc09g064670.2.1, Solyc12g040740.2.1, Solyc01g014147.1.1, Solyc01g009930.2.1, Solyc01g014143.1.1, Solyc01g014150.1.1
OG0000029	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p	Solyc09g015210.1.1, Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1
OG0000029	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p	Solyc10g076550.1.1, Solyc09g015200.1.1, Solyc05g017780.1.1, Solyc11g072140.2.1, Solyc09g014730.3.1, Solyc09g014710.3.1, Solyc09g014720.2.1, Solyc09g014740.3.1, Solyc10g076530.2.1
OG0000030	Aqcoe6G194100.1.p	Solyc02g082980.1.1, Solyc02g082985.1.1
OG0000030	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p	Solyc02g083050.1.1, Solyc02g083040.1.1, Solyc02g083070.2.1, Solyc02g083100.2.1, Solyc02g083090.1.1, Solyc03g032230.1.1, Solyc02g083010.1.1, Solyc02g083020.1.1, Solyc02g083030.1.1, Solyc02g083000.1.1, Solyc02g083120.2.1
OG0000031	Aqcoe6G126000.1.p, Aqcoe6G125900.1.p, Aqcoe6G125900.2.p, Aqcoe6G125800.1.p, Aqcoe6G125800.2.p, Aqcoe6G126200.1.p, Aqcoe3G239400.1.p, Aqcoe1G313900.1.p, Aqcoe1G362000.1.p, Aqcoe6G126100.2.p, Aqcoe6G126100.3.p, Aqcoe6G126100.1.p, Aqcoe6G169300.1.p, Aqcoe1G289500.3.p, Aqcoe1G289500.1.p, Aqcoe1G289500.2.p, Aqcoe1G289400.1.p, Aqcoe5G422800.1.p, Aqcoe1G290800.1.p, Aqcoe1G290800.2.p	Solyc10g061840.2.1, Solyc01g080970.3.1, Solyc01g080990.3.1
OG0000031	Aqcoe6G125700.1.p, Aqcoe1G289600.1.p	Solyc01g080980.1.1
OG0000031	Aqcoe6G125600.1.p	Solyc02g084950.3.1
OG0000032	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000032	Aqcoe2G368600.1.p, Aqcoe2G357200.1.p, Aqcoe2G399300.2.p, Aqcoe2G399300.1.p, Aqcoe2G399400.1.p, Aqcoe2G399500.1.p, Aqcoe5G351300.1.p, Aqcoe2G058600.1.p	Solyc10g078850.1.1, Solyc10g078840.1.1
OG0000034	Aqcoe6G280300.1.p	Solyc02g080000.1.1
OG0000034	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p, Aqcoe1G366600.1.p, Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000037	Aqcoe5G170800.1.p	Solyc12g088970.1.1
OG0000037	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p	Solyc04g079680.3.1, Solyc04g079660.2.1, Solyc04g079640.3.1, Solyc09g059240.3.1, Solyc04g007940.3.1, Solyc06g073570.3.1, Solyc10g081550.2.1, Solyc10g039210.3.1
OG0000038	Aqcoe3G139600.1.p	Solyc06g076160.3.1
OG0000038	Aqcoe4G206500.1.p	Solyc09g014900.3.1
OG0000038	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1
OG0000040	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p	Solyc03g083470.3.1, Solyc02g081500.3.1, Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1
OG0000040	Aqcoe3G028800.1.p, Aqcoe3G028400.1.p, Aqcoe3G028600.1.p	Solyc02g086210.3.1
OG0000041	Aqcoe6G223300.1.p	Solyc10g055410.2.1, Solyc01g111500.3.1
OG0000041	Aqcoe3G017900.1.p	Solyc05g008235.1.1, Solyc05g008250.2.1
OG0000041	Aqcoe2G373400.1.p, Aqcoe5G027300.1.p	Solyc03g005570.3.1, Solyc06g053610.3.1
OG0000041	Aqcoe2G279000.1.p	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000042	Aqcoe3G112800.2.p	Solyc03g096650.2.1
OG0000042	Aqcoe2G231200.1.p	Solyc03g096640.3.1, Solyc06g083470.3.1, Solyc06g083480.3.1, Solyc06g083490.3.1, Solyc03g096660.2.1
OG0000042	Aqcoe1G101200.1.p	Solyc06g005720.3.1
OG0000042	Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p	Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1
OG0000043	Aqcoe4G287200.1.p, Aqcoe4G010100.1.p, Aqcoe4G009700.1.p, Aqcoe4G241600.1.p	Solyc02g092860.3.1, Solyc02g064850.2.1
OG0000043	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1
OG0000043	Aqcoe6G300100.1.p, Aqcoe6G300100.2.p, Aqcoe6G300500.1.p, Aqcoe6G300200.1.p, Aqcoe6G300300.1.p, Aqcoe6G300400.1.p, Aqcoe6G300700.1.p, Aqcoe6G301200.1.p, Aqcoe6G299700.1.p, Aqcoe5G363300.1.p	Solyc04g078270.3.1, Solyc04g078290.3.1
OG0000044	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p	Solyc10g084180.2.1, Solyc09g007550.3.1
OG0000044	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p	Solyc03g121660.3.1, Solyc06g062670.3.1
OG0000044	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p	Solyc07g053570.3.1
OG0000044	Aqcoe2G353000.1.p	Solyc09g065670.3.1
OG0000046	Aqcoe7G176700.1.p	Solyc12g007110.2.1
OG0000046	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p	Solyc05g010140.3.1, Solyc01g010030.3.1
OG0000046	Aqcoe2G156400.1.p	Solyc02g089750.4.1
OG0000047	Aqcoe6G058700.1.p	Solyc04g078300.3.1
OG0000047	Aqcoe7G259200.1.p	Solyc04g025050.1.1
OG0000048	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1
OG0000048	Aqcoe1G464400.1.p, Aqcoe1G464500.1.p, Aqcoe1G462000.1.p, Aqcoe1G415500.1.p, Aqcoe2G254500.1.p, Aqcoe1G405500.1.p, Aqcoe1G403400.1.p	Solyc02g087910.2.1
OG0000048	Aqcoe1G404300.1.p, Aqcoe1G056300.1.p	Solyc01g081600.3.1
OG0000049	Aqcoe5G111200.1.p, Aqcoe2G242900.1.p, Aqcoe4G190900.1.p	Solyc01g057720.1.1, Solyc11g044597.1.1, Solyc11g044580.1.1, Solyc02g044010.2.1, Solyc06g011650.1.1, Solyc02g055535.1.1, Solyc06g034067.1.1, Solyc06g034070.2.1, Solyc02g055520.1.1, Solyc04g076153.1.1, Solyc04g076160.2.1, Solyc05g016037.1.1, Solyc10g054135.1.1, Solyc10g074420.1.1, Solyc10g074405.1.1
OG0000049	Aqcoe7G201400.1.p, Aqcoe1G106600.1.p	Solyc04g019320.1.1
OG0000050	Aqcoe4G238500.1.p	Solyc04g015475.1.1, Solyc00g075030.3.1
OG0000051	Aqcoe6G282400.1.p	Solyc05g013435.1.1, Solyc00g304030.2.1, Solyc05g021247.1.1, Solyc01g058230.1.1, Solyc07g026580.1.1
OG0000052	Aqcoe1G062600.1.p	Solyc00g012700.2.1
OG0000055	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p	Solyc05g024290.3.1
OG0000055	Aqcoe5G081700.1.p	Solyc01g067400.3.1
OG0000055	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p	Solyc09g061330.2.1, Solyc06g083500.3.1
OG0000055	Aqcoe1G276100.1.p	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1, Solyc10g005300.3.1
OG0000055	Aqcoe2G168000.1.p, Aqcoe2G168000.2.p	Solyc10g085990.2.1
OG0000056	Aqcoe4G058400.1.p	Solyc03g006240.3.1
OG0000056	Aqcoe1G283600.1.p, Aqcoe1G283300.1.p	Solyc10g008710.3.1, Solyc10g008720.3.1, Solyc02g077120.3.1, Solyc03g006250.2.1
OG0000056	Aqcoe4G223800.1.p, Aqcoe4G223900.1.p, Aqcoe4G097800.1.p, Aqcoe4G224600.1.p, Aqcoe1G037600.1.p	Solyc12g017460.1.1, Solyc12g096620.1.1
OG0000056	Aqcoe3G310900.1.p, Aqcoe2G362400.1.p, Aqcoe3G306700.1.p, Aqcoe3G293600.1.p, Aqcoe3G290400.1.p, Aqcoe3G306100.1.p, Aqcoe5G183300.1.p	Solyc02g077130.2.1, Solyc01g099080.3.1, Solyc00g098560.3.1, Solyc01g099050.3.1, Solyc01g099030.3.1, Solyc01g099060.2.1, Solyc01g099010.3.1, Solyc01g099020.3.1, Solyc01g099040.3.1
OG0000058	Aqcoe1G094900.1.p	Solyc03g079890.2.1
OG0000058	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1, Solyc09g009750.2.1, Solyc01g091930.3.1
OG0000059	Aqcoe6G325200.1.p	Solyc09g005190.2.1, Solyc10g076560.1.1
OG0000063	Aqcoe4G036500.1.p	Solyc07g055190.3.1, Solyc03g025380.3.1
OG0000063	Aqcoe2G078800.1.p, Aqcoe1G397700.1.p	Solyc06g050440.3.1, Solyc05g052280.3.1
OG0000065	Aqcoe6G072400.1.p	Solyc01g081310.3.1
OG0000065	Aqcoe7G401900.1.p, Aqcoe7G401800.1.p	Solyc01g081250.3.1, Solyc01g081270.2.1
OG0000065	Aqcoe5G008600.1.p, Aqcoe5G008500.1.p, Aqcoe5G061000.1.p, Aqcoe7G402900.1.p, Aqcoe7G402800.1.p	Solyc12g097080.2.1, Solyc09g091140.3.1, Solyc09g091130.3.1, Solyc09g011535.1.1, Solyc09g063150.3.1
OG0000067	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p	Solyc11g072490.2.1, Solyc09g007360.3.1, Solyc10g084290.2.1, Solyc10g086030.2.1, Solyc10g019030.1.1
OG0000070	Aqcoe5G246400.1.p	Solyc03g078400.3.1
OG0000070	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p	Solyc04g011500.3.1, Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1, Solyc06g076090.3.1, Solyc00g017210.2.1
OG0000071	Aqcoe3G135100.1.p	Solyc03g111690.3.1, Solyc02g093580.3.1
OG0000071	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1
OG0000071	Aqcoe2G390800.1.p	Solyc09g091430.3.1
OG0000071	Aqcoe5G006300.1.p	Solyc09g061890.3.1
OG0000072	Aqcoe6G077500.1.p	Solyc04g081150.3.1
OG0000072	Aqcoe2G393100.1.p	Solyc05g051515.1.1
OG0000072	Aqcoe1G021700.1.p, Aqcoe1G247500.1.p	Solyc01g073970.3.1, Solyc02g077480.1.1
OG0000072	Aqcoe1G022200.1.p	Solyc01g080600.3.1
OG0000072	Aqcoe5G069600.1.p	Solyc11g010230.2.1
OG0000075	Aqcoe2G104800.1.p	Solyc09g056435.1.1
OG0000077	Aqcoe4G087900.1.p, Aqcoe4G179500.1.p, Aqcoe4G178900.1.p, Aqcoe0403s0001.1.p, Aqcoe0403s0002.1.p, Aqcoe4G127100.1.p, Aqcoe4G088100.1.p, Aqcoe4G178600.1.p, Aqcoe4G179400.1.p, Aqcoe4G126100.1.p, Aqcoe4G127000.1.p, Aqcoe4G126000.1.p	Solyc10g055200.1.1, Solyc01g111235.1.1, Solyc02g032040.1.1, Solyc02g032050.1.1, Solyc02g032030.1.1, Solyc10g008900.3.1, Solyc10g055230.1.1, Solyc10g055190.1.1, Solyc10g055210.2.1, Solyc10g055065.1.1, Solyc10g054975.1.1, Solyc10g055085.1.1, Solyc10g055000.2.1, Solyc10g055090.1.1, Solyc01g111230.3.1
OG0000077	Aqcoe2G031900.1.p, Aqcoe2G031800.1.p	Solyc06g054320.1.1
OG0000077	Aqcoe1G007000.1.p, Aqcoe1G007200.1.p, Aqcoe1G007200.2.p, Aqcoe6G314700.1.p	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1
OG0000078	Aqcoe5G089900.1.p	Solyc11g071900.1.1
