Orthogroup	A_coerulea.proteins	A_thaliana.proteins
OG0000024	Aqcoe4G119700.1.p, Aqcoe4G119400.1.p, Aqcoe3G173700.2.p, Aqcoe3G173700.1.p	AT3G14620.1, AT3G14680.1, AT3G14690.1, AT3G14690.2, AT3G14650.1, AT3G14660.1, AT3G14660.3, AT3G14640.2, AT3G14640.1, AT3G14630.1, AT3G14630.2, AT3G14610.1, AT3G14660.2
OG0000025	Aqcoe5G229000.1.p, Aqcoe5G228000.1.p	AT2G21210.1, AT2G21210.2
OG0000025	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p	AT4G34770.1, AT3G03820.1, AT3G03840.1, AT3G03850.1, AT3G03830.1, AT2G21200.1, AT4G38825.1, AT5G18020.1, AT5G18010.1, AT5G18080.1, AT5G18050.1, AT5G18060.1, AT5G18030.1, AT4G38850.1, AT4G34800.1
OG0000026	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p	AT1G70080.1, AT5G48110.1, AT5G23960.2, AT5G23960.1
OG0000027	Aqcoe3G094300.1.p	AT3G47950.1, AT3G47950.2, AT5G62670.1
OG0000027	Aqcoe3G269300.1.p	AT3G60330.2, AT3G60330.1, AT3G60330.4, AT3G60330.3
OG0000027	Aqcoe7G443000.1.p	AT1G17260.1
OG0000027	Aqcoe7G309700.2.p, Aqcoe7G309700.1.p	AT2G24520.3, AT2G24520.1, AT2G24520.2
OG0000027	Aqcoe7G366100.1.p	AT1G80660.2, AT1G80660.1, AT1G80660.3, AT1G80660.4
OG0000028	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p	AT1G47890.1, AT1G45616.1
OG0000029	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p	AT1G21240.2, AT1G21240.1, AT1G21245.1, AT3G25490.1, AT1G21230.1, AT1G21250.1, AT1G21270.1, AT1G21210.1, AT1G22720.1
OG0000030	Aqcoe6G194100.1.p	AT4G35680.1, AT4G35660.1
OG0000030	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p	AT2G17070.1, AT2G17080.1, AT4G35210.1, AT4G35200.1, AT2G17043.1
OG0000030	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p	AT4G35710.1, AT4G35690.1, AT2G17680.1, AT4G35720.1
OG0000031	Aqcoe6G126000.1.p, Aqcoe6G125900.1.p, Aqcoe6G125900.2.p, Aqcoe6G125800.1.p, Aqcoe6G125800.2.p, Aqcoe6G126200.1.p, Aqcoe3G239400.1.p, Aqcoe1G313900.1.p, Aqcoe1G362000.1.p, Aqcoe6G126100.2.p, Aqcoe6G126100.3.p, Aqcoe6G126100.1.p, Aqcoe6G169300.1.p, Aqcoe1G289500.3.p, Aqcoe1G289500.1.p, Aqcoe1G289500.2.p, Aqcoe1G289400.1.p, Aqcoe5G422800.1.p, Aqcoe1G290800.1.p, Aqcoe1G290800.2.p	AT3G21950.2, AT3G21950.1, AT5G38020.2, AT5G38020.1, AT2G14060.2, AT2G14060.1, AT5G66430.1, AT5G04380.3, AT5G04380.1, AT5G04380.2, AT3G11480.1, AT5G04370.1, AT5G04370.2, AT5G04370.3
OG0000031	Aqcoe6G125600.1.p	AT4G36470.1
OG0000032	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p	AT3G04200.1, AT3G04180.1, AT3G04190.1, AT3G04150.2, AT3G04150.1, AT3G04170.1, AT3G05950.1, AT5G38940.2, AT5G38940.1, AT5G38930.1, AT5G38910.2, AT5G38910.1, AT5G38960.1, AT4G14630.1, AT5G39190.1, AT5G39190.2, AT5G39160.2, AT5G39160.3, AT5G39160.1, AT5G39130.1, AT5G39110.1, AT5G39100.1, AT5G39150.1, AT5G39180.1, AT5G39120.1
OG0000034	Aqcoe6G280300.1.p	AT4G23320.2, AT4G23320.1, AT4G23320.3
OG0000034	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p	AT4G23150.1, AT4G23140.2, AT4G23140.1, AT4G23160.1, AT4G23230.1, AT4G23180.3, AT4G23180.2, AT4G23180.1, AT4G05200.1, AT4G05200.2
OG0000034	Aqcoe1G366600.1.p	AT4G23220.1
OG0000034	Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p	AT4G38830.1
OG0000037	Aqcoe5G170800.1.p	AT4G31950.1, AT4G31970.1, AT4G31940.1
OG0000037	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p	AT3G25180.1, AT3G25180.2
OG0000038	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p	AT1G11610.1, AT1G11610.2, AT2G30750.1, AT2G30770.1, AT5G42590.1, AT3G48290.1, AT3G48290.2, AT3G48310.1, AT3G48320.1, AT3G48300.2, AT3G48300.1, AT3G48270.1, AT3G48280.1
OG0000040	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p	AT5G38240.2, AT5G38240.1, AT5G38240.3, AT5G38250.1, AT1G66920.1, AT1G66920.3, AT1G66920.2, AT5G38260.1
OG0000041	Aqcoe6G223300.1.p	AT2G16720.1, AT4G34990.1, AT4G38620.1
OG0000041	Aqcoe2G373400.1.p, Aqcoe5G027300.1.p	AT3G23250.1
OG0000041	Aqcoe2G279000.1.p	AT5G49330.1, AT3G62610.1, AT2G47460.1
OG0000041	Aqcoe1G055500.1.p, Aqcoe1G055800.1.p, Aqcoe1G055800.2.p	AT3G13540.1
OG0000042	Aqcoe3G112800.2.p	AT1G07440.2
OG0000042	Aqcoe2G231200.1.p	AT5G06060.1
OG0000042	Aqcoe1G101200.1.p	AT2G29260.1
OG0000042	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p	AT1G07450.1, AT1G07440.1, AT2G30670.1, AT2G29330.1, AT2G29340.1, AT2G29340.2, AT2G29310.3, AT2G29310.4, AT2G29310.2, AT2G29310.1, AT2G29340.3, AT2G29340.4, AT2G29320.3, AT2G29300.2, AT2G29300.1, AT2G29320.2, AT2G29320.1
OG0000043	Aqcoe4G287200.1.p, Aqcoe4G010100.1.p, Aqcoe4G009700.1.p, Aqcoe4G241600.1.p	AT4G37310.1, AT5G67310.1, AT1G66540.2, AT1G66540.1, AT4G37360.1, AT4G37340.1, AT4G37370.1, AT4G37330.1, AT4G37320.1, AT3G28740.1, AT5G36220.1, AT5G36220.2, AT5G57220.1, AT4G37400.1, AT4G37410.1, AT4G37430.1
OG0000043	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p	AT5G10610.1, AT5G10600.1
OG0000044	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p	AT3G50700.1, AT5G66730.1
OG0000044	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p	AT5G03150.1
OG0000044	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p	AT1G55110.1, AT1G55110.3, AT1G55110.2
OG0000044	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p	AT1G03840.2, AT1G03840.1
OG0000044	Aqcoe2G353000.1.p	AT4G02670.1, AT4G02670.2
OG0000045	Aqcoe4G228400.1.p, Aqcoe1G252100.1.p, Aqcoe3G105000.1.p	AT1G67020.1
OG0000046	Aqcoe5G195100.1.p, Aqcoe5G195100.4.p, Aqcoe5G195100.2.p, Aqcoe5G195100.3.p	AT2G18470.4, AT2G18470.2, AT2G18470.1, AT2G18470.3
OG0000046	Aqcoe7G176700.1.p	AT3G24550.1, AT3G24540.1
OG0000046	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p	AT1G68690.3, AT1G68690.1, AT1G68690.2, AT1G68690.4, AT1G26150.2, AT1G26150.1
OG0000047	Aqcoe6G058700.1.p	AT1G77950.1, AT1G77950.2, AT1G77950.4, AT1G77950.3, AT1G22130.1, AT1G77980.1
OG0000047	Aqcoe7G259200.1.p	AT2G34440.1, AT3G66656.1
OG0000048	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p	AT3G51600.1, AT2G38540.1, AT2G38530.1, AT5G59310.1, AT5G59330.1, AT5G59320.1, AT3G51590.1
OG0000048	Aqcoe1G464400.1.p, Aqcoe1G464500.1.p, Aqcoe1G462000.1.p, Aqcoe1G415500.1.p, Aqcoe2G254500.1.p, Aqcoe1G405500.1.p, Aqcoe1G403400.1.p	AT4G33355.2, AT4G33355.1
OG0000048	Aqcoe1G404300.1.p, Aqcoe1G056300.1.p	AT2G18370.1
OG0000055	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p	AT5G13160.1
OG0000055	Aqcoe5G081700.1.p	AT5G18610.1, AT5G18610.2, AT5G18610.3
OG0000055	Aqcoe2G168800.1.p	AT1G07860.1
OG0000055	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p	AT3G07070.1
OG0000055	Aqcoe1G276100.1.p	AT3G20530.2, AT3G20530.1, AT1G61860.1
OG0000055	Aqcoe1G484000.1.p	AT5G02800.1
OG0000056	Aqcoe4G058400.1.p	AT5G45910.1
OG0000056	Aqcoe1G283600.1.p, Aqcoe1G283300.1.p	AT2G27360.1, AT1G28610.1, AT1G28600.2, AT1G28600.1, AT1G28610.2, AT1G28590.1, AT1G31550.1, AT1G31550.2, AT1G28570.2, AT1G28570.3, AT1G28570.1, AT1G28580.1, AT1G28580.2, AT1G28650.1, AT1G28660.1, AT1G28660.2, AT1G28670.1, AT1G28640.1
OG0000056	Aqcoe4G223800.1.p, Aqcoe4G223900.1.p, Aqcoe4G097800.1.p, Aqcoe4G224600.1.p, Aqcoe1G037600.1.p	AT5G03980.1
OG0000058	Aqcoe7G095800.1.p, Aqcoe7G095800.2.p, Aqcoe1G094600.1.p, Aqcoe4G235100.1.p, Aqcoe1G125300.1.p, Aqcoe1G094800.1.p	AT5G59190.1, AT5G59100.1, AT3G46850.1, AT3G46840.1, AT5G58840.1, AT5G58840.3, AT5G58840.2, AT5G58820.1, AT5G58830.1, AT5G59090.3, AT5G59090.2, AT5G59090.1, AT5G59120.1, AT5G59130.2, AT5G59130.1, AT5G59130.4, AT5G59130.3, AT4G15040.1, AT4G15040.2
OG0000058	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p	AT5G59110.1, AT5G03620.2, AT5G03620.1, AT4G00230.1, AT4G00230.2
OG0000059	Aqcoe6G325200.1.p	AT1G16090.1
OG0000063	Aqcoe2G078800.1.p, Aqcoe1G397700.1.p	AT5G05340.1
OG0000067	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p	AT5G60210.4, AT5G60210.2, AT5G60210.6, AT5G60210.5, AT5G60210.3, AT5G60210.1
OG0000070	Aqcoe5G246400.1.p	AT5G09810.1
OG0000070	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p	AT3G12110.1, AT5G59370.1, AT5G59370.2, AT3G46520.2, AT3G46520.1, AT2G37620.2, AT2G37620.4, AT2G37620.3, AT3G53750.1, AT3G53750.2, AT2G37620.1
OG0000071	Aqcoe5G383300.1.p	AT5G63180.1
OG0000071	Aqcoe3G135100.1.p	AT4G24780.2, AT4G24780.1, AT3G27400.2, AT3G27400.1
OG0000071	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p	AT5G04310.1, AT5G04310.2, AT5G04310.3
OG0000071	Aqcoe2G390800.1.p	AT4G13710.2, AT4G13710.1
OG0000071	Aqcoe5G006300.1.p	AT3G07010.1, AT3G07010.2, AT5G48900.1, AT4G13210.2, AT4G13210.1, AT3G24670.1
OG0000072	Aqcoe6G077500.1.p	AT4G40030.1
OG0000072	Aqcoe2G393100.1.p	AT4G40040.2, AT4G40030.4, AT5G10980.1, AT4G40030.3, AT4G40040.1
OG0000072	Aqcoe1G021700.1.p, Aqcoe1G247500.1.p	AT5G10390.1
OG0000072	Aqcoe2G265300.1.p	AT5G65350.1
OG0000072	Aqcoe5G069600.1.p	AT1G75600.1
OG0000075	Aqcoe1G263600.1.p, Aqcoe7G254300.1.p, Aqcoe7G326500.1.p, Aqcoe4G142000.1.p, Aqcoe0192s0001.1.p, Aqcoe5G306000.1.p	AT1G40390.1, AT1G43760.1
OG0000077	Aqcoe4G087900.1.p, Aqcoe4G179500.1.p, Aqcoe4G178900.1.p, Aqcoe0403s0001.1.p, Aqcoe0403s0002.1.p, Aqcoe4G127100.1.p, Aqcoe4G088100.1.p, Aqcoe4G178600.1.p, Aqcoe4G179400.1.p, Aqcoe4G126100.1.p, Aqcoe4G127000.1.p, Aqcoe4G126000.1.p	AT2G21100.1, AT2G21100.2
OG0000077	Aqcoe1G007000.1.p, Aqcoe1G007200.1.p, Aqcoe1G007200.2.p, Aqcoe6G314700.1.p	AT1G58170.1, AT3G58090.1, AT1G55210.1, AT1G55210.2, AT3G13650.1, AT3G13662.1, AT5G49040.1, AT3G13660.1
OG0000078	Aqcoe5G097200.1.p, Aqcoe2G156200.1.p, Aqcoe2G252100.1.p, Aqcoe4G127300.1.p, Aqcoe5G017600.1.p, Aqcoe2G131700.1.p, Aqcoe2G131600.1.p	AT4G16295.1, AT4G29035.1
OG0000078	Aqcoe7G124500.1.p	AT5G06020.1, AT5G06030.1, AT5G06040.1
OG0000079	Aqcoe4G253900.1.p, Aqcoe4G253400.1.p, Aqcoe1G139700.1.p, Aqcoe4G129400.1.p, Aqcoe4G129600.1.p, Aqcoe7G261500.1.p, Aqcoe7G261300.1.p, Aqcoe4G254000.1.p, Aqcoe4G253500.1.p, Aqcoe7G440300.1.p	AT4G16740.3, AT4G16740.4, AT4G16740.2, AT4G16740.1, AT4G16730.1, AT4G16730.2, AT2G24210.1, AT3G25820.4, AT3G25820.3, AT3G25820.2, AT3G25830.1, AT3G25820.1, AT3G25810.1
OG0000085	Aqcoe7G428500.1.p	AT5G35580.2, AT5G35580.1, AT2G05940.1
OG0000085	Aqcoe2G069700.1.p	AT5G01020.1
OG0000085	Aqcoe7G239100.1.p	AT2G07180.1, AT2G07180.2
OG0000085	Aqcoe1G060400.1.p, Aqcoe1G060400.2.p	AT5G56460.1
OG0000085	Aqcoe5G241700.1.p	AT1G61590.1
OG0000087	Aqcoe1G041400.1.p, Aqcoe2G039200.1.p	AT3G57040.1, AT3G57040.2, AT2G07440.1, AT2G41310.1
OG0000087	Aqcoe1G147000.1.p	AT2G40670.2, AT2G40670.1, AT3G56380.2, AT3G56380.1
OG0000087	Aqcoe3G311200.1.p	AT3G48100.1, AT5G62920.1, AT1G19050.1, AT1G74890.1
OG0000088	Aqcoe1G425600.1.p	AT1G53440.1, AT1G53430.1, AT1G53430.2
OG0000088	Aqcoe4G025800.2.p, Aqcoe4G025800.1.p, Aqcoe4G026000.1.p, Aqcoe4G052000.3.p, Aqcoe4G052000.1.p, Aqcoe4G052000.2.p, Aqcoe4G026400.1.p, Aqcoe4G026100.1.p, Aqcoe4G025700.1.p	AT1G53420.1, AT3G14840.2
OG0000088	Aqcoe4G025400.1.p	AT1G07650.2, AT1G07650.1, AT1G07650.3, AT1G07650.4
OG0000089	Aqcoe7G202700.8.p, Aqcoe7G202700.9.p, Aqcoe7G202700.10.p, Aqcoe7G202700.4.p, Aqcoe7G202700.3.p, Aqcoe7G202700.5.p, Aqcoe7G202700.1.p, Aqcoe7G202700.2.p, Aqcoe3G215000.1.p, Aqcoe7G202900.1.p, Aqcoe7G202400.1.p, Aqcoe7G202400.2.p, Aqcoe7G202600.1.p, Aqcoe7G202600.2.p, Aqcoe1G185700.1.p	AT1G15520.2, AT1G15520.1
OG0000089	Aqcoe7G202300.2.p, Aqcoe7G202300.1.p, Aqcoe7G202200.1.p	AT3G30842.1
OG0000090	Aqcoe5G263600.3.p, Aqcoe5G263600.1.p, Aqcoe5G263600.2.p	AT5G63970.1, AT5G63970.2
OG0000090	Aqcoe7G139800.1.p, Aqcoe5G392100.1.p, Aqcoe3G138100.2.p, Aqcoe3G138100.1.p	AT1G67800.2, AT1G67800.5, AT1G67800.4, AT1G67800.6, AT1G67800.3, AT1G67800.1
OG0000091	Aqcoe1G208000.1.p	AT4G14130.1, AT3G23730.1
OG0000093	Aqcoe7G301000.1.p, Aqcoe7G300700.1.p, Aqcoe0021s0001.1.p, Aqcoe7G295300.1.p, Aqcoe7G301400.1.p, Aqcoe7G300100.2.p, Aqcoe7G300100.1.p, Aqcoe7G300000.1.p	AT2G44450.2, AT2G44450.1, AT2G25630.1, AT5G44640.1, AT5G42260.1, AT2G44480.4, AT2G44480.3, AT2G44480.1, AT2G44480.5, AT2G44480.2
OG0000095	Aqcoe6G022200.2.p, Aqcoe6G022200.3.p, Aqcoe6G022200.4.p, Aqcoe6G022200.1.p, Aqcoe7G165300.4.p, Aqcoe7G165300.1.p, Aqcoe7G165300.3.p, Aqcoe7G165300.2.p, Aqcoe7G165300.5.p, Aqcoe7G165300.7.p, Aqcoe7G165300.6.p	AT1G76320.3, AT1G76320.1, AT1G76320.4, AT1G76320.2, AT2G32250.4, AT2G32250.2, AT2G32250.5, AT2G32250.1, AT2G32250.6, AT2G32250.3, AT2G32250.7, AT2G32250.8, AT4G19990.6, AT4G19990.2, AT4G19990.3, AT4G19990.4, AT4G19990.7, AT4G19990.1, AT4G19990.5, AT3G22170.1, AT3G22170.2, AT4G15090.1, AT4G15090.4, AT4G15090.3, AT4G15090.5, AT4G15090.2
OG0000096	Aqcoe4G273300.1.p, Aqcoe7G439300.1.p, Aqcoe4G135000.1.p, Aqcoe4G135100.1.p	AT3G21800.1, AT3G21790.1, AT3G21780.1, AT4G15280.1, AT4G15260.1, AT3G21760.1, AT3G21750.1, AT1G07240.1, AT2G29740.1, AT2G29750.1, AT1G07260.1, AT1G07250.1, AT2G29710.1, AT2G29730.1
OG0000098	Aqcoe5G210900.1.p	AT1G20010.1, AT1G75780.1
OG0000098	Aqcoe1G173300.1.p, Aqcoe4G008100.1.p, Aqcoe3G411000.1.p	AT4G20890.1, AT5G44340.1
OG0000098	Aqcoe2G055200.1.p, Aqcoe2G055300.1.p	AT5G12250.1
OG0000098	Aqcoe1G090000.1.p	AT5G23860.2, AT5G23860.1
OG0000099	Aqcoe6G049600.1.p, Aqcoe6G049500.1.p, Aqcoe6G049400.1.p, Aqcoe6G049300.1.p	AT4G39490.1, AT4G39480.1, AT2G23180.1, AT4G32170.1, AT4G39500.1, AT4G39500.2, AT5G51900.1, AT4G39510.1, AT5G02900.1, AT1G66030.1, AT1G47620.1, AT2G21910.1, AT1G65340.1, AT5G52320.2, AT5G52320.1
OG0000101	Aqcoe3G302000.1.p	AT3G30235.1
OG0000101	Aqcoe2G227100.1.p, Aqcoe7G272400.1.p, Aqcoe3G161600.1.p, Aqcoe4G261000.1.p, Aqcoe1G390600.1.p, Aqcoe1G287900.1.p, Aqcoe1G208400.1.p, Aqcoe5G262700.1.p, Aqcoe4G169800.1.p, Aqcoe4G215700.1.p, Aqcoe7G326600.1.p, Aqcoe7G192800.1.p, Aqcoe2G000100.1.p, Aqcoe4G290500.1.p, Aqcoe7G060000.1.p, Aqcoe5G247500.1.p, Aqcoe4G175000.1.p, Aqcoe3G097700.1.p, Aqcoe3G161800.1.p, Aqcoe2G164400.1.p, Aqcoe3G192000.1.p, Aqcoe2G138900.1.p, Aqcoe1G373800.1.p, Aqcoe2G175300.1.p, Aqcoe7G331000.1.p	AT1G19260.1, AT4G09660.1, AT3G29765.1, AT3G29763.1, AT3G29450.1, AT1G41920.1
OG0000101	Aqcoe2G168400.1.p	AT2G06541.1, AT2G06541.2
OG0000102	Aqcoe1G229600.2.p, Aqcoe1G229600.1.p, Aqcoe1G229500.1.p, Aqcoe1G144900.1.p, Aqcoe2G016700.1.p, Aqcoe7G350300.1.p, Aqcoe2G016600.1.p	AT2G22160.1, AT3G49340.1, AT2G27420.1, AT5G45890.1
