Orthogroup	A_coerulea.proteins	L_sativa.proteins
OG0000016	Aqcoe7G324100.1.p	Lsat_1_v5_gn_3_11081.1, Lsat_1_v5_gn_3_11081.3, Lsat_1_v5_gn_2_55441.1, Lsat_1_v5_gn_2_55441.3, Lsat_1_v5_gn_2_121260.1, Lsat_1_v5_gn_2_121260.2, Lsat_1_v5_gn_2_107620.1, Lsat_1_v5_gn_2_107620.3
OG0000016	Aqcoe6G180900.1.p, Aqcoe6G180900.2.p, Aqcoe7G305600.1.p, Aqcoe0526s0001.1.p, Aqcoe0720s0001.1.p, Aqcoe6G180100.1.p, Aqcoe7G300400.1.p, Aqcoe6G178600.1.p, Aqcoe6G179400.1.p, Aqcoe6G179300.1.p, Aqcoe6G179700.1.p, Aqcoe4G167900.1.p, Aqcoe7G307200.1.p, Aqcoe0047s0002.1.p, Aqcoe7G307400.1.p, Aqcoe7G298000.1.p, Aqcoe0726s0001.1.p, Aqcoe7G299300.1.p, Aqcoe4G035100.1.p, Aqcoe7G315800.1.p, Aqcoe7G315700.1.p, Aqcoe7G315900.1.p, Aqcoe7G284100.1.p, Aqcoe7G307300.1.p	Lsat_1_v5_gn_2_120441.5, Lsat_1_v5_gn_2_120721.1
OG0000016	Aqcoe4G174500.1.p	Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1
OG0000018	Aqcoe2G370800.1.p	Lsat_1_v5_gn_3_119000.1, Lsat_1_v5_gn_3_121680.2, Lsat_1_v5_gn_3_121680.1, Lsat_1_v5_gn_3_121600.3, Lsat_1_v5_gn_3_121220.4, Lsat_1_v5_gn_3_121220.1
OG0000018	Aqcoe2G373300.1.p	Lsat_1_v5_gn_5_71340.1, Lsat_1_v5_gn_5_71340.3, Lsat_1_v5_gn_5_71221.1
OG0000018	Aqcoe5G029400.1.p, Aqcoe5G029300.1.p	Lsat_1_v5_gn_9_8761.2, Lsat_1_v5_gn_9_8761.1, Lsat_1_v5_gn_9_8761.3
OG0000022	Aqcoe5G366100.1.p	Lsat_1_v5_gn_8_75100.4, Lsat_1_v5_gn_8_75100.3, Lsat_1_v5_gn_8_75000.7, Lsat_1_v5_gn_8_75000.4, Lsat_1_v5_gn_8_75000.1, Lsat_1_v5_gn_8_75100.1, Lsat_1_v5_gn_8_75000.6, Lsat_1_v5_gn_8_83101.1
OG0000022	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p	Lsat_1_v5_gn_3_115260.1, Lsat_1_v5_gn_3_115260.3, Lsat_1_v5_gn_1_4761.1, Lsat_1_v5_gn_9_43001.1, Lsat_1_v5_gn_9_42961.1, Lsat_1_v5_gn_9_43021.1, Lsat_1_v5_gn_9_43161.1
OG0000023	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p	Lsat_1_v5_gn_5_78901.1, Lsat_1_v5_gn_5_109940.1, Lsat_1_v5_gn_5_91281.3, Lsat_1_v5_gn_5_78901.3, Lsat_1_v5_gn_4_54361.2, Lsat_1_v5_gn_4_54361.1, Lsat_1_v5_gn_5_78940.1, Lsat_1_v5_gn_5_91281.1, Lsat_1_v5_gn_5_89861.2, Lsat_1_v5_gn_5_89861.1, Lsat_1_v5_gn_2_124260.3, Lsat_1_v5_gn_2_124260.1, Lsat_1_v5_gn_8_153541.1, Lsat_1_v5_gn_5_62301.2, Lsat_1_v5_gn_5_62301.1, Lsat_1_v5_gn_5_62301.3, Lsat_1_v5_gn_5_62840.1, Lsat_1_v5_gn_5_62840.3, Lsat_1_v5_gn_5_62840.2, Lsat_1_v5_gn_5_62601.1, Lsat_1_v5_gn_5_62601.3, Lsat_1_v5_gn_5_62800.2, Lsat_1_v5_gn_5_109840.3, Lsat_1_v5_gn_5_109840.1, Lsat_1_v5_gn_4_32061.1
OG0000024	Aqcoe4G121400.1.p	Lsat_1_v5_gn_9_74581.2, Lsat_1_v5_gn_9_74581.1
OG0000024	Aqcoe4G119900.1.p	Lsat_1_v5_gn_5_126200.1
OG0000024	Aqcoe4G119700.1.p, Aqcoe4G119400.1.p, Aqcoe3G173700.2.p, Aqcoe3G173700.1.p	Lsat_1_v5_gn_2_71421.1, Lsat_1_v5_gn_2_71501.1, Lsat_1_v5_gn_2_71481.1
OG0000024	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p	Lsat_1_v5_gn_3_36420.1, Lsat_1_v5_gn_3_36380.1, Lsat_1_v5_gn_3_36440.1, Lsat_1_v5_gn_3_36440.2, Lsat_1_v5_gn_3_36460.1, Lsat_1_v5_gn_3_36500.1, Lsat_1_v5_gn_3_36500.2, Lsat_1_v5_gn_8_141000.1, Lsat_1_v5_gn_8_32121.1, Lsat_1_v5_gn_8_32181.3, Lsat_1_v5_gn_8_32181.1, Lsat_1_v5_gn_8_32281.1, Lsat_1_v5_gn_8_32281.2, Lsat_1_v5_gn_8_32181.4, Lsat_1_v5_gn_8_32181.2, Lsat_1_v5_gn_8_30980.1, Lsat_1_v5_gn_8_31000.1, Lsat_1_v5_gn_8_31061.1, Lsat_1_v5_gn_8_31081.1, Lsat_1_v5_gn_4_27761.1, Lsat_1_v5_gn_4_27761.2
OG0000025	Aqcoe5G229000.1.p, Aqcoe5G228000.1.p	Lsat_1_v5_gn_4_67821.1, Lsat_1_v5_gn_4_67821.8, Lsat_1_v5_gn_4_67821.3, Lsat_1_v5_gn_4_67821.9, Lsat_1_v5_gn_4_67821.12, Lsat_1_v5_gn_4_67821.10
OG0000025	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p	Lsat_1_v5_gn_3_45161.1, Lsat_1_v5_gn_8_127440.1, Lsat_1_v5_gn_8_126561.1, Lsat_1_v5_gn_8_126421.1, Lsat_1_v5_gn_3_45220.2, Lsat_1_v5_gn_3_45220.1, Lsat_1_v5_gn_3_45260.1, Lsat_1_v5_gn_3_45260.2
OG0000026	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p	Lsat_1_v5_gn_9_20320.4, Lsat_1_v5_gn_9_20260.4, Lsat_1_v5_gn_9_20260.2, Lsat_1_v5_gn_5_42681.2, Lsat_1_v5_gn_5_40321.2, Lsat_1_v5_gn_0_44201.1, Lsat_1_v5_gn_3_23121.1, Lsat_1_v5_gn_3_23121.3, Lsat_1_v5_gn_5_42681.1, Lsat_1_v5_gn_5_40321.1, Lsat_1_v5_gn_5_40321.4, Lsat_1_v5_gn_5_42681.4, Lsat_1_v5_gn_9_20380.2, Lsat_1_v5_gn_9_20380.3, Lsat_1_v5_gn_9_20380.1, Lsat_1_v5_gn_6_21340.3, Lsat_1_v5_gn_6_21340.1, Lsat_1_v5_gn_0_28161.1, Lsat_1_v5_gn_1_84540.1, Lsat_1_v5_gn_1_5141.3, Lsat_1_v5_gn_1_5141.1, Lsat_1_v5_gn_1_5240.2, Lsat_1_v5_gn_1_5240.1, Lsat_1_v5_gn_9_20320.2, Lsat_1_v5_gn_9_20260.3, Lsat_1_v5_gn_6_58980.1, Lsat_1_v5_gn_6_58980.2, Lsat_1_v5_gn_9_20260.1, Lsat_1_v5_gn_9_20320.1, Lsat_1_v5_gn_0_8301.1, Lsat_1_v5_gn_0_8301.3, Lsat_1_v5_gn_6_58961.3, Lsat_1_v5_gn_6_58961.2, Lsat_1_v5_gn_6_58961.1, Lsat_1_v5_gn_6_59741.3, Lsat_1_v5_gn_6_59741.1, Lsat_1_v5_gn_6_59741.2
OG0000027	Aqcoe3G094300.1.p	Lsat_1_v5_gn_5_19060.1
OG0000027	Aqcoe3G269300.1.p	Lsat_1_v5_gn_3_131620.1, Lsat_1_v5_gn_6_65981.1, Lsat_1_v5_gn_6_65981.2
OG0000027	Aqcoe7G309700.2.p, Aqcoe7G309700.1.p	Lsat_1_v5_gn_5_85480.1, Lsat_1_v5_gn_8_68180.1
OG0000027	Aqcoe7G366100.1.p	Lsat_1_v5_gn_4_85900.1, Lsat_1_v5_gn_4_85900.2, Lsat_1_v5_gn_1_31841.1
OG0000028	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p	Lsat_1_v5_gn_7_98860.4, Lsat_1_v5_gn_7_98860.1, Lsat_1_v5_gn_7_98841.1, Lsat_1_v5_gn_7_98860.3
OG0000029	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p	Lsat_1_v5_gn_8_32960.4, Lsat_1_v5_gn_8_32981.1, Lsat_1_v5_gn_8_32981.3, Lsat_1_v5_gn_8_33001.2, Lsat_1_v5_gn_8_33001.1, Lsat_1_v5_gn_8_32960.1, Lsat_1_v5_gn_8_32960.3, Lsat_1_v5_gn_8_32880.1
OG0000029	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p	Lsat_1_v5_gn_9_35121.2, Lsat_1_v5_gn_9_35121.1, Lsat_1_v5_gn_9_35021.1, Lsat_1_v5_gn_9_35021.2, Lsat_1_v5_gn_9_35061.2, Lsat_1_v5_gn_9_35061.1, Lsat_1_v5_gn_7_30861.4, Lsat_1_v5_gn_0_37361.2, Lsat_1_v5_gn_0_37361.1, Lsat_1_v5_gn_5_52120.1, Lsat_1_v5_gn_9_35121.4, Lsat_1_v5_gn_9_35021.5, Lsat_1_v5_gn_5_150741.1, Lsat_1_v5_gn_8_101081.1, Lsat_1_v5_gn_8_101081.3, Lsat_1_v5_gn_8_101061.3, Lsat_1_v5_gn_8_101061.1, Lsat_1_v5_gn_8_101161.1, Lsat_1_v5_gn_8_101161.3, Lsat_1_v5_gn_8_101181.1, Lsat_1_v5_gn_8_101181.2
OG0000030	Aqcoe6G194100.1.p	Lsat_1_v5_gn_3_70580.1, Lsat_1_v5_gn_3_70480.1
OG0000030	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p	Lsat_1_v5_gn_4_71121.1, Lsat_1_v5_gn_4_71020.1, Lsat_1_v5_gn_4_71060.2, Lsat_1_v5_gn_4_71060.1, Lsat_1_v5_gn_4_71080.1, Lsat_1_v5_gn_4_71101.1
OG0000030	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p	Lsat_1_v5_gn_2_74680.1, Lsat_1_v5_gn_2_74580.1, Lsat_1_v5_gn_4_143581.1, Lsat_1_v5_gn_3_71001.1, Lsat_1_v5_gn_3_70040.1, Lsat_1_v5_gn_5_162820.1, Lsat_1_v5_gn_3_70961.1, Lsat_1_v5_gn_3_70901.1
OG0000031	Aqcoe6G126000.1.p, Aqcoe6G125900.1.p, Aqcoe6G125900.2.p, Aqcoe6G125800.1.p, Aqcoe6G125800.2.p, Aqcoe6G126200.1.p, Aqcoe3G239400.1.p, Aqcoe1G313900.1.p, Aqcoe1G362000.1.p, Aqcoe6G126100.2.p, Aqcoe6G126100.3.p, Aqcoe6G126100.1.p, Aqcoe6G169300.1.p, Aqcoe1G289500.3.p, Aqcoe1G289500.1.p, Aqcoe1G289500.2.p, Aqcoe1G289400.1.p, Aqcoe5G422800.1.p, Aqcoe1G290800.1.p, Aqcoe1G290800.2.p	Lsat_1_v5_gn_5_53841.5, Lsat_1_v5_gn_7_55041.2, Lsat_1_v5_gn_7_55041.1, Lsat_1_v5_gn_7_10781.1, Lsat_1_v5_gn_7_10781.2, Lsat_1_v5_gn_7_10741.3, Lsat_1_v5_gn_7_10741.2, Lsat_1_v5_gn_7_10741.1, Lsat_1_v5_gn_7_10721.3, Lsat_1_v5_gn_7_10721.1, Lsat_1_v5_gn_3_139781.3, Lsat_1_v5_gn_3_139781.1
OG0000031	Aqcoe6G125600.1.p	Lsat_1_v5_gn_3_75880.1
OG0000032	Aqcoe4G006300.1.p, Aqcoe0139s0003.1.p, Aqcoe4G006100.1.p, Aqcoe0139s0004.1.p, Aqcoe0139s0001.1.p, Aqcoe4G028200.1.p, Aqcoe1717s0001.1.p, Aqcoe4G006700.1.p, Aqcoe4G006200.1.p, Aqcoe4G006500.1.p, Aqcoe4G042900.1.p, Aqcoe5G184500.1.p, Aqcoe4G006000.1.p, Aqcoe0139s0002.1.p, Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p	Lsat_1_v5_gn_9_107401.1
OG0000032	Aqcoe2G368600.1.p, Aqcoe2G357200.1.p, Aqcoe2G399300.2.p, Aqcoe2G399300.1.p, Aqcoe2G399400.1.p, Aqcoe2G399500.1.p, Aqcoe5G351300.1.p, Aqcoe2G058600.1.p	Lsat_1_v5_gn_9_100781.1, Lsat_1_v5_gn_9_100801.1, Lsat_1_v5_gn_9_100901.1, Lsat_1_v5_gn_9_100660.1, Lsat_1_v5_gn_9_100640.1, Lsat_1_v5_gn_9_100700.1, Lsat_1_v5_gn_9_100821.1, Lsat_1_v5_gn_9_100680.1, Lsat_1_v5_gn_9_100861.1, Lsat_1_v5_gn_9_100861.2, Lsat_1_v5_gn_8_119361.1, Lsat_1_v5_gn_8_113160.1, Lsat_1_v5_gn_9_107321.1, Lsat_1_v5_gn_9_106481.1, Lsat_1_v5_gn_7_54120.1, Lsat_1_v5_gn_7_54100.1, Lsat_1_v5_gn_7_54140.3, Lsat_1_v5_gn_7_54140.1, Lsat_1_v5_gn_7_37780.1, Lsat_1_v5_gn_7_37740.1, Lsat_1_v5_gn_5_145800.3, Lsat_1_v5_gn_5_145800.1
OG0000034	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p	Lsat_1_v5_gn_1_122360.3, Lsat_1_v5_gn_1_122360.1, Lsat_1_v5_gn_7_18081.1, Lsat_1_v5_gn_7_18141.1
OG0000037	Aqcoe5G170800.1.p	Lsat_1_v5_gn_1_19741.2, Lsat_1_v5_gn_1_19741.1, Lsat_1_v5_gn_1_19681.1, Lsat_1_v5_gn_1_19681.2, Lsat_1_v5_gn_2_15421.1
OG0000037	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p	Lsat_1_v5_gn_4_123620.1, Lsat_1_v5_gn_4_123720.2, Lsat_1_v5_gn_4_123720.1, Lsat_1_v5_gn_4_123660.1, Lsat_1_v5_gn_4_123700.1, Lsat_1_v5_gn_6_113241.1, Lsat_1_v5_gn_6_113241.3, Lsat_1_v5_gn_6_113301.1, Lsat_1_v5_gn_6_113301.2, Lsat_1_v5_gn_6_113220.1, Lsat_1_v5_gn_6_113220.3, Lsat_1_v5_gn_4_120360.1, Lsat_1_v5_gn_4_121121.1, Lsat_1_v5_gn_4_121121.3, Lsat_1_v5_gn_4_120300.1, Lsat_1_v5_gn_4_43541.1, Lsat_1_v5_gn_4_43541.3, Lsat_1_v5_gn_4_120521.5, Lsat_1_v5_gn_4_124941.1, Lsat_1_v5_gn_4_120041.1, Lsat_1_v5_gn_4_108921.1, Lsat_1_v5_gn_4_122561.1, Lsat_1_v5_gn_4_122561.3, Lsat_1_v5_gn_4_120701.1, Lsat_1_v5_gn_4_120681.1, Lsat_1_v5_gn_4_120681.3, Lsat_1_v5_gn_4_122541.2, Lsat_1_v5_gn_4_122541.1, Lsat_1_v5_gn_4_120941.1, Lsat_1_v5_gn_4_120721.1, Lsat_1_v5_gn_2_122701.1, Lsat_1_v5_gn_2_122701.2, Lsat_1_v5_gn_4_121901.1, Lsat_1_v5_gn_4_121381.1, Lsat_1_v5_gn_7_104561.1, Lsat_1_v5_gn_7_104561.3, Lsat_1_v5_gn_4_120561.1, Lsat_1_v5_gn_4_120601.1, Lsat_1_v5_gn_4_121261.1, Lsat_1_v5_gn_4_123780.4, Lsat_1_v5_gn_4_123780.1, Lsat_1_v5_gn_4_123820.1, Lsat_1_v5_gn_4_120521.1, Lsat_1_v5_gn_4_120521.4, Lsat_1_v5_gn_4_120340.1, Lsat_1_v5_gn_9_15900.2, Lsat_1_v5_gn_9_15900.1, Lsat_1_v5_gn_9_14820.1
OG0000038	Aqcoe3G139600.1.p	Lsat_1_v5_gn_1_70980.4
OG0000038	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p	Lsat_1_v5_gn_4_76080.1, Lsat_1_v5_gn_4_75941.1, Lsat_1_v5_gn_4_78521.1, Lsat_1_v5_gn_4_94821.1, Lsat_1_v5_gn_1_28540.1, Lsat_1_v5_gn_1_70980.1, Lsat_1_v5_gn_1_70980.3, Lsat_1_v5_gn_1_70980.2, Lsat_1_v5_gn_1_71160.3, Lsat_1_v5_gn_1_71160.1, Lsat_1_v5_gn_1_71080.1, Lsat_1_v5_gn_1_70900.3, Lsat_1_v5_gn_1_70900.1, Lsat_1_v5_gn_1_28480.4, Lsat_1_v5_gn_1_28480.1, Lsat_1_v5_gn_1_11940.1, Lsat_1_v5_gn_1_11940.3, Lsat_1_v5_gn_1_12561.2, Lsat_1_v5_gn_1_12561.1, Lsat_1_v5_gn_4_45060.1, Lsat_1_v5_gn_1_27281.1, Lsat_1_v5_gn_1_27341.2, Lsat_1_v5_gn_1_27321.1, Lsat_1_v5_gn_1_27341.1, Lsat_1_v5_gn_5_14040.1, Lsat_1_v5_gn_5_14040.2, Lsat_1_v5_gn_5_14000.1, Lsat_1_v5_gn_5_12760.1, Lsat_1_v5_gn_1_28501.3, Lsat_1_v5_gn_1_28501.1
OG0000040	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p	Lsat_1_v5_gn_4_154500.1, Lsat_1_v5_gn_4_154500.2, Lsat_1_v5_gn_4_154500.3, Lsat_1_v5_gn_4_154400.1, Lsat_1_v5_gn_4_154280.4, Lsat_1_v5_gn_4_154280.3, Lsat_1_v5_gn_4_155920.1
