"Dm_00000013-RA",2	"Dm_00000013-RA",1
"Dm_00001846-RA",2	"Dm_00001846-RA",8
"Dm_00001860-RA",2	"Dm_00001860-RA",2
"Dm_00001873-RA",2	"Dm_00001873-RA",2
"Dm_00001876-RA",2	"Dm_00001876-RA",1
"Dm_00001897-RA",2	"Dm_00001897-RA",2
"Dm_00001903-RA",2	"Dm_00001903-RA",7
"Dm_00001947-RA",2	"Dm_00001947-RA",7
"Dm_00001973-RA",2	"Dm_00001973-RA",2
"Dm_00001996-RA",2	"Dm_00001996-RA",2
"Dm_00001997-RA",2	"Dm_00001997-RA",2
"Dm_00002000-RA",2	"Dm_00002000-RA",2
"Dm_00002003-RA",2	"Dm_00002003-RA",4
"Dm_00002032-RA",2	"Dm_00002032-RA",2
"Dm_00002066-RA",2	"Dm_00002066-RA",8
"Dm_00002107-RA",2	"Dm_00002107-RA",5
"Dm_00002119-RA",2	"Dm_00002119-RA",8
"Dm_00002127-RA",2	"Dm_00002127-RA",7
"Dm_00002143-RA",2	"Dm_00002143-RA",5
"Dm_00002154-RA",2	"Dm_00002154-RA",3
"Dm_00002157-RA",2	"Dm_00002157-RA",1
"Dm_00002158-RA",2	"Dm_00002158-RA",8
"Dm_00002159-RA",2	"Dm_00002159-RA",2
"Dm_00002165-RA",2	"Dm_00002165-RA",2
"Dm_00002176-RA",2	"Dm_00002176-RA",3
"Dm_00002188-RA",2	"Dm_00002188-RA",7
"Dm_00002200-RA",2	"Dm_00002200-RA",1
"Dm_00002278-RA",2	"Dm_00002278-RA",1
"Dm_00002293-RA",2	"Dm_00002293-RA",2
"Dm_00002296-RA",2	"Dm_00002296-RA",3
"Dm_00002311-RA",2	"Dm_00002311-RA",2
"Dm_00002312-RA",2	"Dm_00002312-RA",2
"Dm_00002352-RA",2	"Dm_00002352-RA",5
"Dm_00002355-RA",2	"Dm_00002355-RA",7
"Dm_00002361-RA",2	"Dm_00002361-RA",2
"Dm_00002363-RA",2	"Dm_00002363-RA",1
"Dm_00002369-RA",2	"Dm_00002369-RA",2
"Dm_00002377-RA",2	"Dm_00002377-RA",2
"Dm_00002397-RA",2	"Dm_00002397-RA",2
"Dm_00002420-RA",2	"Dm_00002420-RA",7
"Dm_00002447-RA",2	"Dm_00002447-RA",3
"Dm_00002524-RA",2	"Dm_00002524-RA",5
"Dm_00002541-RA",2	"Dm_00002541-RA",2
"Dm_00002548-RA",2	"Dm_00002548-RA",7
"Dm_00002583-RA",2	"Dm_00002583-RA",4
"Dm_00002597-RA",2	"Dm_00002597-RA",1
"Dm_00002622-RA",2	"Dm_00002622-RA",8
"Dm_00002642-RA",2	"Dm_00002642-RA",2
"Dm_00002654-RA",2	"Dm_00002654-RA",3
"Dm_00002702-RA",2	"Dm_00002702-RA",2
"Dm_00002703-RA",2	"Dm_00002703-RA",8
"Dm_00002710-RA",2	"Dm_00002710-RA",1
"Dm_00002759-RA",2	"Dm_00002759-RA",8
"Dm_00002776-RA",2	"Dm_00002776-RA",8
"Dm_00002787-RA",2	"Dm_00002787-RA",1
"Dm_00002816-RA",2	"Dm_00002816-RA",7
"Dm_00002827-RA",2	"Dm_00002827-RA",2
"Dm_00002852-RA",2	"Dm_00002852-RA",2
"Dm_00002929-RA",2	"Dm_00002929-RA",4
"Dm_00002990-RA",2	"Dm_00002990-RA",1
"Dm_00003018-RA",2	"Dm_00003018-RA",5
"Dm_00003023-RA",2	"Dm_00003023-RA",5
"Dm_00003024-RA",2	"Dm_00003024-RA",1
"Dm_00003067-RA",2	"Dm_00003067-RA",2
"Dm_00003068-RA",2	"Dm_00003068-RA",2
"Dm_00003075-RA",2	"Dm_00003075-RA",2
"Dm_00003077-RA",2	"Dm_00003077-RA",2
"Dm_00003083-RA",2	"Dm_00003083-RA",8
"Dm_00003087-RA",2	"Dm_00003087-RA",2
"Dm_00003129-RA",2	"Dm_00003129-RA",5
"Dm_00003242-RA",2	"Dm_00003242-RA",6
"Dm_00003274-RA",2	"Dm_00003274-RA",5
"Dm_00003277-RA",2	"Dm_00003277-RA",8
"Dm_00003311-RA",2	"Dm_00003311-RA",3
"Dm_00003315-RA",2	"Dm_00003315-RA",7
"Dm_00003378-RA",2	"Dm_00003378-RA",5
"Dm_00003395-RA",2	"Dm_00003395-RA",2
"Dm_00003403-RA",2	"Dm_00003403-RA",3
"Dm_00003425-RA",2	"Dm_00003425-RA",5
"Dm_00003434-RA",2	"Dm_00003434-RA",1
"Dm_00003435-RA",2	"Dm_00003435-RA",3
"Dm_00003442-RA",2	"Dm_00003442-RA",8
"Dm_00003443-RA",2	"Dm_00003443-RA",8
"Dm_00003450-RA",2	"Dm_00003450-RA",2
"Dm_00003556-RA",2	"Dm_00003556-RA",5
"Dm_00003562-RA",2	"Dm_00003562-RA",6
"Dm_00003659-RA",2	"Dm_00003659-RA",5
"Dm_00003671-RA",2	"Dm_00003671-RA",5
"Dm_00003677-RA",2	"Dm_00003677-RA",2
"Dm_00003694-RA",2	"Dm_00003694-RA",8
"Dm_00003786-RA",2	"Dm_00003786-RA",2
"Dm_00003835-RA",2	"Dm_00003835-RA",2
"Dm_00003855-RA",2	"Dm_00003855-RA",2
"Dm_00003858-RA",2	"Dm_00003858-RA",2
"Dm_00003862-RA",2	"Dm_00003862-RA",7
"Dm_00003868-RA",2	"Dm_00003868-RA",5
"Dm_00003870-RA",2	"Dm_00003870-RA",1
"Dm_00003903-RA",2	"Dm_00003903-RA",2
"Dm_00003954-RA",2	"Dm_00003954-RA",2
"Dm_00003966-RA",2	"Dm_00003966-RA",5
"Dm_00003990-RA",2	"Dm_00003990-RA",2
"Dm_00003991-RA",2	"Dm_00003991-RA",2
"Dm_00003994-RA",2	"Dm_00003994-RA",5
"Dm_00004017-RA",2	"Dm_00004017-RA",2
"Dm_00004018-RA",2	"Dm_00004018-RA",2
"Dm_00004033-RA",2	"Dm_00004033-RA",2
"Dm_00004062-RA",2	"Dm_00004062-RA",1
"Dm_00004077-RA",2	"Dm_00004077-RA",4
"Dm_00004084-RA",2	"Dm_00004084-RA",6
"Dm_00004102-RA",2	"Dm_00004102-RA",5
"Dm_00004106-RA",2	"Dm_00004106-RA",4
"Dm_00004126-RA",2	"Dm_00004126-RA",1
"Dm_00004129-RA",2	"Dm_00004129-RA",1
"Dm_00004140-RA",2	"Dm_00004140-RA",1
"Dm_00004147-RA",2	"Dm_00004147-RA",7
"Dm_00004152-RA",2	"Dm_00004152-RA",5
"Dm_00004182-RA",2	"Dm_00004182-RA",7
"Dm_00004204-RA",2	"Dm_00004204-RA",5
"Dm_00004226-RA",2	"Dm_00004226-RA",4
"Dm_00004273-RA",2	"Dm_00004273-RA",2
"Dm_00004325-RA",2	"Dm_00004325-RA",2
"Dm_00004346-RA",2	"Dm_00004346-RA",8
"Dm_00004360-RA",2	"Dm_00004360-RA",2
"Dm_00004381-RA",2	"Dm_00004381-RA",4
"Dm_00004414-RA",2	"Dm_00004414-RA",8
"Dm_00004485-RA",2	"Dm_00004485-RA",4
"Dm_00004548-RA",2	"Dm_00004548-RA",2
"Dm_00004617-RA",2	"Dm_00004617-RA",3
"Dm_00004631-RA",2	"Dm_00004631-RA",2
"Dm_00004635-RA",2	"Dm_00004635-RA",2
"Dm_00004637-RA",2	"Dm_00004637-RA",2
"Dm_00004639-RA",2	"Dm_00004639-RA",2
"Dm_00004669-RA",2	"Dm_00004669-RA",2
"Dm_00004671-RA",2	"Dm_00004671-RA",5
"Dm_00004700-RA",2	"Dm_00004700-RA",2
"Dm_00004734-RA",2	"Dm_00004734-RA",7
"Dm_00004771-RA",2	"Dm_00004771-RA",2
"Dm_00004778-RA",2	"Dm_00004778-RA",7
"Dm_00004800-RA",2	"Dm_00004800-RA",4
"Dm_00004817-RA",2	"Dm_00004817-RA",5
"Dm_00004852-RA",2	"Dm_00004852-RA",5
"Dm_00004866-RA",2	"Dm_00004866-RA",7
"Dm_00004877-RA",2	"Dm_00004877-RA",4
"Dm_00004916-RA",2	"Dm_00004916-RA",5
"Dm_00004920-RA",2	"Dm_00004920-RA",7
"Dm_00004927-RA",2	"Dm_00004927-RA",1
"Dm_00004960-RA",2	"Dm_00004960-RA",3
"Dm_00005045-RA",2	"Dm_00005045-RA",5
"Dm_00005083-RA",2	"Dm_00005083-RA",3
"Dm_00005135-RA",2	"Dm_00005135-RA",2
"Dm_00005161-RA",2	"Dm_00005161-RA",1
"Dm_00005189-RA",2	"Dm_00005189-RA",2
"Dm_00005200-RA",2	"Dm_00005200-RA",2
"Dm_00005229-RA",2	"Dm_00005229-RA",7
"Dm_00005267-RA",2	"Dm_00005267-RA",5
"Dm_00005275-RA",2	"Dm_00005275-RA",2
"Dm_00005277-RA",2	"Dm_00005277-RA",2
"Dm_00005302-RA",2	"Dm_00005302-RA",3
"Dm_00005334-RA",2	"Dm_00005334-RA",1
"Dm_00005338-RA",2	"Dm_00005338-RA",7
"Dm_00005355-RA",2	"Dm_00005355-RA",4
"Dm_00005463-RA",2	"Dm_00005463-RA",5
"Dm_00005488-RA",2	"Dm_00005488-RA",2
"Dm_00005497-RA",2	"Dm_00005497-RA",6
"Dm_00005498-RA",2	"Dm_00005498-RA",7
"Dm_00005500-RA",2	"Dm_00005500-RA",7
"Dm_00005520-RA",2	"Dm_00005520-RA",2
"Dm_00005528-RA",2	"Dm_00005528-RA",2
"Dm_00005580-RA",2	"Dm_00005580-RA",8
"Dm_00005618-RA",2	"Dm_00005618-RA",1
"Dm_00005620-RA",2	"Dm_00005620-RA",2
"Dm_00005628-RA",2	"Dm_00005628-RA",8
"Dm_00005701-RA",2	"Dm_00005701-RA",2
"Dm_00005756-RA",2	"Dm_00005756-RA",8
"Dm_00005779-RA",2	"Dm_00005779-RA",8
"Dm_00005782-RA",2	"Dm_00005782-RA",5
"Dm_00005819-RA",2	"Dm_00005819-RA",2
"Dm_00005876-RA",2	"Dm_00005876-RA",1
"Dm_00005880-RA",2	"Dm_00005880-RA",2
"Dm_00005897-RA",2	"Dm_00005897-RA",6
"Dm_00005898-RA",2	"Dm_00005898-RA",2
"Dm_00005907-RA",2	"Dm_00005907-RA",2
"Dm_00005923-RA",2	"Dm_00005923-RA",8
"Dm_00005935-RA",2	"Dm_00005935-RA",2
"Dm_00005937-RA",2	"Dm_00005937-RA",5
"Dm_00005971-RA",2	"Dm_00005971-RA",3
"Dm_00006026-RA",2	"Dm_00006026-RA",2
"Dm_00006036-RA",2	"Dm_00006036-RA",5
"Dm_00006072-RA",2	"Dm_00006072-RA",8
"Dm_00006087-RA",2	"Dm_00006087-RA",1
"Dm_00006125-RA",2	"Dm_00006125-RA",1
"Dm_00006177-RA",2	"Dm_00006177-RA",5
"Dm_00006184-RA",2	"Dm_00006184-RA",2
"Dm_00006205-RA",2	"Dm_00006205-RA",1
"Dm_00006219-RA",2	"Dm_00006219-RA",2
"Dm_00006228-RA",2	"Dm_00006228-RA",1
"Dm_00006230-RA",2	"Dm_00006230-RA",1
"Dm_00006255-RA",2	"Dm_00006255-RA",1
"Dm_00006259-RA",2	"Dm_00006259-RA",8
"Dm_00006285-RA",2	"Dm_00006285-RA",2
"Dm_00006338-RA",2	"Dm_00006338-RA",1
"Dm_00006483-RA",2	"Dm_00006483-RA",7
"Dm_00006488-RA",2	"Dm_00006488-RA",3
"Dm_00006513-RA",2	"Dm_00006513-RA",2
"Dm_00006565-RA",2	"Dm_00006565-RA",7
"Dm_00006596-RA",2	"Dm_00006596-RA",1
"Dm_00006619-RA",2	"Dm_00006619-RA",2
"Dm_00006649-RA",2	"Dm_00006649-RA",5
"Dm_00006672-RA",2	"Dm_00006672-RA",8
"Dm_00006688-RA",2	"Dm_00006688-RA",6
"Dm_00006742-RA",2	"Dm_00006742-RA",5
"Dm_00006768-RA",2	"Dm_00006768-RA",8
"Dm_00006773-RA",2	"Dm_00006773-RA",2
"Dm_00006805-RA",2	"Dm_00006805-RA",2
"Dm_00006814-RA",2	"Dm_00006814-RA",5
"Dm_00006864-RA",2	"Dm_00006864-RA",5
"Dm_00006867-RA",2	"Dm_00006867-RA",7
"Dm_00006930-RA",2	"Dm_00006930-RA",4
"Dm_00006999-RA",2	"Dm_00006999-RA",8
"Dm_00007096-RA",2	"Dm_00007096-RA",3
"Dm_00007129-RA",2	"Dm_00007129-RA",2
"Dm_00007174-RA",2	"Dm_00007174-RA",5
"Dm_00007183-RA",2	"Dm_00007183-RA",8
"Dm_00007186-RA",2	"Dm_00007186-RA",1
"Dm_00007196-RA",2	"Dm_00007196-RA",7
"Dm_00007238-RA",2	"Dm_00007238-RA",3
"Dm_00007239-RA",2	"Dm_00007239-RA",8
"Dm_00007288-RA",2	"Dm_00007288-RA",1
"Dm_00007319-RA",2	"Dm_00007319-RA",5
"Dm_00007323-RA",2	"Dm_00007323-RA",3
"Dm_00007337-RA",2	"Dm_00007337-RA",1
"Dm_00007339-RA",2	"Dm_00007339-RA",1
"Dm_00007402-RA",2	"Dm_00007402-RA",1
"Dm_00007430-RA",2	"Dm_00007430-RA",8
"Dm_00007440-RA",2	"Dm_00007440-RA",2
"Dm_00007448-RA",2	"Dm_00007448-RA",2
"Dm_00007450-RA",2	"Dm_00007450-RA",5
"Dm_00007551-RA",2	"Dm_00007551-RA",1
"Dm_00007552-RA",2	"Dm_00007552-RA",5
"Dm_00007558-RA",2	"Dm_00007558-RA",3
"Dm_00007598-RA",2	"Dm_00007598-RA",4
"Dm_00007599-RA",2	"Dm_00007599-RA",8
"Dm_00007618-RA",2	"Dm_00007618-RA",6
"Dm_00007678-RA",2	"Dm_00007678-RA",7
"Dm_00007680-RA",2	"Dm_00007680-RA",2
"Dm_00007697-RA",2	"Dm_00007697-RA",2
"Dm_00007727-RA",2	"Dm_00007727-RA",1
"Dm_00007734-RA",2	"Dm_00007734-RA",2
"Dm_00007779-RA",2	"Dm_00007779-RA",2
"Dm_00007795-RA",2	"Dm_00007795-RA",2
"Dm_00007805-RA",2	"Dm_00007805-RA",4
"Dm_00007827-RA",2	"Dm_00007827-RA",5
"Dm_00007833-RA",2	"Dm_00007833-RA",6
"Dm_00007857-RA",2	"Dm_00007857-RA",1
"Dm_00007866-RA",2	"Dm_00007866-RA",2
"Dm_00007877-RA",2	"Dm_00007877-RA",5
"Dm_00007891-RA",2	"Dm_00007891-RA",2
"Dm_00007915-RA",2	"Dm_00007915-RA",7
"Dm_00007921-RA",2	"Dm_00007921-RA",7
"Dm_00007922-RA",2	"Dm_00007922-RA",8
"Dm_00007940-RA",2	"Dm_00007940-RA",4
"Dm_00008030-RA",2	"Dm_00008030-RA",1
"Dm_00008091-RA",2	"Dm_00008091-RA",2
"Dm_00008102-RA",2	"Dm_00008102-RA",2
"Dm_00008128-RA",2	"Dm_00008128-RA",1
"Dm_00008134-RA",2	"Dm_00008134-RA",4
"Dm_00008147-RA",2	"Dm_00008147-RA",8
"Dm_00008231-RA",2	"Dm_00008231-RA",1
"Dm_00008304-RA",2	"Dm_00008304-RA",3
"Dm_00008359-RA",2	"Dm_00008359-RA",8
"Dm_00008360-RA",2	"Dm_00008360-RA",6
"Dm_00008420-RA",2	"Dm_00008420-RA",6
"Dm_00008433-RA",2	"Dm_00008433-RA",4
"Dm_00008477-RA",2	"Dm_00008477-RA",1
"Dm_00008478-RA",2	"Dm_00008478-RA",2
"Dm_00008484-RA",2	"Dm_00008484-RA",5
"Dm_00008505-RA",2	"Dm_00008505-RA",5
"Dm_00008606-RA",2	"Dm_00008606-RA",1
"Dm_00008686-RA",2	"Dm_00008686-RA",6
"Dm_00008725-RA",2	"Dm_00008725-RA",1
"Dm_00008728-RA",2	"Dm_00008728-RA",1
"Dm_00008766-RA",2	"Dm_00008766-RA",2
"Dm_00008801-RA",2	"Dm_00008801-RA",8
"Dm_00008810-RA",2	"Dm_00008810-RA",2
"Dm_00008823-RA",2	"Dm_00008823-RA",1
"Dm_00008825-RA",2	"Dm_00008825-RA",8
"Dm_00008874-RA",2	"Dm_00008874-RA",2
"Dm_00008880-RA",2	"Dm_00008880-RA",8
"Dm_00008910-RA",2	"Dm_00008910-RA",2
"Dm_00008952-RA",2	"Dm_00008952-RA",8
"Dm_00009026-RA",2	"Dm_00009026-RA",2
"Dm_00009176-RA",2	"Dm_00009176-RA",2
"Dm_00009177-RA",2	"Dm_00009177-RA",2
"Dm_00009196-RA",2	"Dm_00009196-RA",4
"Dm_00009208-RA",2	"Dm_00009208-RA",8
"Dm_00009212-RA",2	"Dm_00009212-RA",3
"Dm_00009232-RA",2	"Dm_00009232-RA",3
"Dm_00009274-RA",2	"Dm_00009274-RA",4
"Dm_00009279-RA",2	"Dm_00009279-RA",2
"Dm_00009298-RA",2	"Dm_00009298-RA",2
"Dm_00009309-RA",2	"Dm_00009309-RA",8
"Dm_00009369-RA",2	"Dm_00009369-RA",2
"Dm_00009378-RA",2	"Dm_00009378-RA",5
"Dm_00009379-RA",2	"Dm_00009379-RA",7
"Dm_00009383-RA",2	"Dm_00009383-RA",2
"Dm_00009464-RA",2	"Dm_00009464-RA",8
"Dm_00009477-RA",2	"Dm_00009477-RA",2
"Dm_00009478-RA",2	"Dm_00009478-RA",2
"Dm_00009483-RA",2	"Dm_00009483-RA",4
"Dm_00009536-RA",2	"Dm_00009536-RA",7
"Dm_00009547-RA",2	"Dm_00009547-RA",1
"Dm_00009590-RA",2	"Dm_00009590-RA",5
"Dm_00009746-RA",2	"Dm_00009746-RA",7
"Dm_00009768-RA",2	"Dm_00009768-RA",2
"Dm_00009774-RA",2	"Dm_00009774-RA",2
"Dm_00009781-RA",2	"Dm_00009781-RA",8
"Dm_00009853-RA",2	"Dm_00009853-RA",3
"Dm_00009931-RA",2	"Dm_00009931-RA",2
"Dm_00009958-RA",2	"Dm_00009958-RA",1
"Dm_00009994-RA",2	"Dm_00009994-RA",4
"Dm_00009996-RA",2	"Dm_00009996-RA",2
"Dm_00010010-RA",2	"Dm_00010010-RA",5
"Dm_00010112-RA",2	"Dm_00010112-RA",1
"Dm_00010133-RA",2	"Dm_00010133-RA",5
"Dm_00010147-RA",2	"Dm_00010147-RA",1
"Dm_00010155-RA",2	"Dm_00010155-RA",4
"Dm_00010171-RA",2	"Dm_00010171-RA",7
"Dm_00010180-RA",2	"Dm_00010180-RA",2
"Dm_00010188-RA",2	"Dm_00010188-RA",1
"Dm_00010199-RA",2	"Dm_00010199-RA",8
"Dm_00010219-RA",2	"Dm_00010219-RA",2
"Dm_00010227-RA",2	"Dm_00010227-RA",1
"Dm_00010261-RA",2	"Dm_00010261-RA",2
"Dm_00010262-RA",2	"Dm_00010262-RA",3
"Dm_00010291-RA",2	"Dm_00010291-RA",1
"Dm_00010326-RA",2	"Dm_00010326-RA",2
"Dm_00010333-RA",2	"Dm_00010333-RA",2
"Dm_00010335-RA",2	"Dm_00010335-RA",2
"Dm_00010398-RA",2	"Dm_00010398-RA",2
"Dm_00010410-RA",2	"Dm_00010410-RA",1
"Dm_00010445-RA",2	"Dm_00010445-RA",2
"Dm_00010484-RA",2	"Dm_00010484-RA",1
"Dm_00010488-RA",2	"Dm_00010488-RA",8
"Dm_00010555-RA",2	"Dm_00010555-RA",6
"Dm_00010642-RA",2	"Dm_00010642-RA",5
"Dm_00010655-RA",2	"Dm_00010655-RA",7
"Dm_00010675-RA",2	"Dm_00010675-RA",2
"Dm_00010708-RA",2	"Dm_00010708-RA",8
"Dm_00010728-RA",2	"Dm_00010728-RA",7
"Dm_00010949-RA",2	"Dm_00010949-RA",7
"Dm_00010995-RA",2	"Dm_00010995-RA",1
"Dm_00011074-RA",2	"Dm_00011074-RA",8
"Dm_00011111-RA",2	"Dm_00011111-RA",2
"Dm_00011118-RA",2	"Dm_00011118-RA",8
"Dm_00011165-RA",2	"Dm_00011165-RA",8
"Dm_00011212-RA",2	"Dm_00011212-RA",2
"Dm_00011215-RA",2	"Dm_00011215-RA",8
"Dm_00011216-RA",2	"Dm_00011216-RA",8
"Dm_00011239-RA",2	"Dm_00011239-RA",2
"Dm_00011404-RA",2	"Dm_00011404-RA",2
"Dm_00011413-RA",2	"Dm_00011413-RA",8
"Dm_00011438-RA",2	"Dm_00011438-RA",2
"Dm_00011518-RA",2	"Dm_00011518-RA",1
"Dm_00011529-RA",2	"Dm_00011529-RA",4
"Dm_00011577-RA",2	"Dm_00011577-RA",2
"Dm_00011583-RA",2	"Dm_00011583-RA",2
"Dm_00011592-RA",2	"Dm_00011592-RA",5
"Dm_00011624-RA",2	"Dm_00011624-RA",1
"Dm_00011634-RA",2	"Dm_00011634-RA",8
"Dm_00011712-RA",2	"Dm_00011712-RA",1
"Dm_00011729-RA",2	"Dm_00011729-RA",8
"Dm_00011734-RA",2	"Dm_00011734-RA",6
"Dm_00011781-RA",2	"Dm_00011781-RA",1
"Dm_00011802-RA",2	"Dm_00011802-RA",4
"Dm_00011804-RA",2	"Dm_00011804-RA",2
"Dm_00011848-RA",2	"Dm_00011848-RA",2
"Dm_00011899-RA",2	"Dm_00011899-RA",1
"Dm_00012014-RA",2	"Dm_00012014-RA",2
"Dm_00012073-RA",2	"Dm_00012073-RA",8
"Dm_00012078-RA",2	"Dm_00012078-RA",2
"Dm_00012187-RA",2	"Dm_00012187-RA",6
"Dm_00012190-RA",2	"Dm_00012190-RA",1
"Dm_00012207-RA",2	"Dm_00012207-RA",3
"Dm_00012260-RA",2	"Dm_00012260-RA",2
"Dm_00012261-RA",2	"Dm_00012261-RA",2
"Dm_00012267-RA",2	"Dm_00012267-RA",2
"Dm_00012316-RA",2	"Dm_00012316-RA",8
"Dm_00012332-RA",2	"Dm_00012332-RA",1
"Dm_00012338-RA",2	"Dm_00012338-RA",1
"Dm_00012425-RA",2	"Dm_00012425-RA",5
"Dm_00012441-RA",2	"Dm_00012441-RA",4
"Dm_00012573-RA",2	"Dm_00012573-RA",5
"Dm_00012574-RA",2	"Dm_00012574-RA",5
"Dm_00012597-RA",2	"Dm_00012597-RA",2
"Dm_00012636-RA",2	"Dm_00012636-RA",8
"Dm_00012682-RA",2	"Dm_00012682-RA",1
"Dm_00012751-RA",2	"Dm_00012751-RA",1
"Dm_00012773-RA",2	"Dm_00012773-RA",2
"Dm_00012778-RA",2	"Dm_00012778-RA",8
"Dm_00012801-RA",2	"Dm_00012801-RA",2
"Dm_00012820-RA",2	"Dm_00012820-RA",2
"Dm_00012846-RA",2	"Dm_00012846-RA",2
"Dm_00012901-RA",2	"Dm_00012901-RA",8
"Dm_00012905-RA",2	"Dm_00012905-RA",2
"Dm_00012925-RA",2	"Dm_00012925-RA",2
"Dm_00013023-RA",2	"Dm_00013023-RA",3
"Dm_00013036-RA",2	"Dm_00013036-RA",2
"Dm_00013069-RA",2	"Dm_00013069-RA",4
