Orthogroup	P_amilis.proteins	D_spatulata.proteins
OG0000024	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1	Ds_00007357-RA, Ds_00007354-RA
OG0000024	FUN_044962-T1, FUN_008514-T1, FUN_044964-T2, FUN_044964-T1	Ds_00014538-RA
OG0000025	FUN_050791-T1, FUN_051656-T1	Ds_00000314-RA
OG0000025	FUN_050780-T1, FUN_050779-T1	Ds_00008906-RA, Ds_00008905-RA
OG0000025	FUN_051671-T1, FUN_051670-T1, FUN_051667-T1	Ds_00011235-RA
OG0000026	FUN_028423-T2, FUN_028423-T1, FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1	Ds_00006582-RA
OG0000026	FUN_046668-T1, FUN_045871-T1	Ds_00001373-RA
OG0000026	FUN_045879-T1, FUN_046852-T1, FUN_045873-T1	Ds_00007462-RA, Ds_00016878-RA, Ds_00016880-RA, Ds_00001750-RA
OG0000026	FUN_046670-T1, FUN_045872-T1, FUN_045870-T1	Ds_00016879-RA, Ds_00016881-RA, Ds_00001374-RA
OG0000026	FUN_046452-T1, FUN_046453-T1, FUN_046749-T1, FUN_020280-T1, FUN_045755-T1	Ds_00018009-RA, Ds_00018041-RA, Ds_00015619-RA
OG0000027	FUN_047527-T1	Ds_00016246-RA, Ds_00016163-RA, Ds_00002306-RA, Ds_00000646-RA, Ds_00007953-RA, Ds_00009832-RA, Ds_00007193-RA
OG0000027	FUN_011010-T2, FUN_011010-T1	Ds_00015071-RA
OG0000028	FUN_050968-T1, FUN_008999-T1, FUN_050957-T1, FUN_050972-T1, FUN_003756-T1, FUN_050973-T1, FUN_050954-T1, FUN_050898-T1, FUN_010675-T1, FUN_011515-T1, FUN_011513-T2, FUN_011513-T3, FUN_011513-T1, FUN_011518-T1, FUN_011514-T1, FUN_050956-T1	Ds_00010076-RA, Ds_00010074-RA
OG0000028	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA
OG0000028	FUN_050955-T1, FUN_011516-T1	Ds_00011377-RA, Ds_00011385-RA
OG0000029	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1	Ds_00010871-RA, Ds_00010870-RA
OG0000029	FUN_012166-T1	Ds_00005993-RA
OG0000029	FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1	Ds_00008364-RA, Ds_00015383-RA
OG0000029	FUN_005297-T1, FUN_005301-T1, FUN_005295-T1, FUN_005299-T1, FUN_005302-T1, FUN_005294-T1	Ds_00015428-RA, Ds_00002808-RA, Ds_00015382-RA
OG0000030	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1	Ds_00015041-RA
OG0000031	FUN_020443-T1, FUN_030704-T1, FUN_027306-T1, FUN_052133-T1, FUN_045055-T1, FUN_024196-T1, FUN_043727-T1, FUN_002224-T1	Ds_00009829-RA, Ds_00009830-RA
OG0000031	FUN_009433-T1	Ds_00004983-RA, Ds_00004982-RA
OG0000031	FUN_009434-T1	Ds_00001472-RA
OG0000031	FUN_038338-T1	Ds_00000354-RA, Ds_00000355-RA
OG0000034	FUN_012533-T1, FUN_018515-T1, FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1	Ds_00010208-RA, Ds_00015077-RA
OG0000034	FUN_012547-T1	Ds_00015914-RA
OG0000037	FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1	Ds_00010987-RA, Ds_00009807-RA
OG0000037	FUN_000651-T1	Ds_00015216-RA
OG0000038	FUN_037585-T1, FUN_025377-T1	Ds_00017774-RA
OG0000038	FUN_025082-T1	Ds_00003815-RA
OG0000038	FUN_050347-T1	Ds_00005791-RA, Ds_00009691-RA, Ds_00013784-RA, Ds_00013785-RA
OG0000038	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA
OG0000040	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1	Ds_00008461-RA, Ds_00008462-RA
OG0000041	FUN_051962-T1, FUN_045720-T1	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA
OG0000041	FUN_002730-T1	Ds_00006251-RA
OG0000041	FUN_016739-T1	Ds_00016658-RA
OG0000041	FUN_010340-T1	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA
OG0000041	FUN_027799-T1	Ds_00016022-RA, Ds_00000091-RA
OG0000041	FUN_003721-T1	Ds_00006077-RA
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	Ds_00012464-RA
OG0000042	FUN_047986-T1	Ds_00015505-RA
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	Ds_00007701-RA
OG0000043	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1	Ds_00000548-RA, Ds_00002531-RA
OG0000043	FUN_024185-T1, FUN_024184-T1, FUN_024186-T1, FUN_024187-T1, FUN_024769-T1, FUN_030446-T1, FUN_030447-T1, FUN_041873-T1, FUN_041870-T1, FUN_041871-T1, FUN_041872-T1, FUN_041876-T1, FUN_041875-T1, FUN_025703-T1	Ds_00002532-RA
OG0000044	FUN_001129-T1	Ds_00010910-RA, Ds_00011206-RA
OG0000044	FUN_001565-T1	Ds_00007873-RA
OG0000044	FUN_020670-T1	Ds_00005439-RA
OG0000044	FUN_050016-T1	Ds_00005440-RA
OG0000044	FUN_039424-T1	Ds_00008781-RA
OG0000044	FUN_050905-T1	Ds_00008624-RA
OG0000045	FUN_028651-T1, FUN_008915-T1, FUN_023500-T1, FUN_053058-T1, FUN_043753-T1, FUN_023687-T1	Ds_00009752-RA
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	Ds_00016515-RA, Ds_00004346-RA
OG0000046	FUN_001154-T1, FUN_030219-T1	Ds_00010906-RA, Ds_00011215-RA
OG0000046	FUN_015529-T1, FUN_026427-T1	Ds_00013053-RA
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	Ds_00008610-RA
OG0000046	FUN_016469-T1, FUN_029956-T1	Ds_00008496-RA, Ds_00012090-RA
OG0000046	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1	Ds_00000726-RA
OG0000047	FUN_016927-T1, FUN_029662-T1	Ds_00001929-RA
OG0000047	FUN_027211-T1	Ds_00000182-RA
OG0000047	FUN_052024-T1	Ds_00013036-RA
OG0000047	FUN_044316-T1	Ds_00005948-RA
OG0000047	FUN_008876-T2	Ds_00000942-RA
OG0000047	FUN_025284-T1	Ds_00010773-RA, Ds_00017595-RA, Ds_00017998-RA, Ds_00018027-RA
OG0000047	FUN_011417-T1	Ds_00008795-RA, Ds_00012963-RA, Ds_00012019-RA, Ds_00012017-RA
OG0000048	FUN_011943-T1, FUN_021004-T1	Ds_00015046-RA, Ds_00014049-RA, Ds_00014050-RA, Ds_00014051-RA, Ds_00011988-RA
OG0000050	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1	Ds_00011184-RA
OG0000050	FUN_001245-T1	Ds_00006666-RA, Ds_00008163-RA
OG0000050	FUN_053188-T1, FUN_053188-T2	Ds_00008162-RA, Ds_00014906-RA, Ds_00017061-RA, Ds_00010616-RA, Ds_00007525-RA, Ds_00014948-RA
OG0000051	FUN_053077-T1, FUN_053100-T1	Ds_00017549-RA, Ds_00000574-RA, Ds_00007078-RA
OG0000051	FUN_053064-T1, FUN_053028-T1, FUN_053327-T1, FUN_053002-T1, FUN_052994-T1, FUN_053000-T1, FUN_053202-T1, FUN_053270-T1, FUN_053137-T1, FUN_053195-T1, FUN_053159-T1, FUN_053268-T1, FUN_053116-T1, FUN_053040-T1, FUN_053305-T1, FUN_053253-T1	Ds_00017962-RA, Ds_00009669-RA
OG0000051	FUN_009537-T1, FUN_027836-T1	Ds_00014341-RA
OG0000055	FUN_025259-T1, FUN_025259-T2	Ds_00010593-RA
OG0000055	FUN_020259-T1	Ds_00014521-RA
OG0000055	FUN_043526-T1, FUN_024966-T1	Ds_00001014-RA
OG0000055	FUN_045967-T1, FUN_049882-T1	Ds_00002955-RA
OG0000055	FUN_007699-T1	Ds_00001660-RA
OG0000058	FUN_009655-T1, FUN_009655-T2	Ds_00011609-RA, Ds_00005255-RA
OG0000058	FUN_000928-T1	Ds_00002067-RA
OG0000058	FUN_020519-T1, FUN_000927-T1	Ds_00016966-RA, Ds_00002065-RA, Ds_00002073-RA
OG0000059	FUN_020369-T1, FUN_020373-T1, FUN_020369-T2, FUN_020377-T1, FUN_020374-T1	Ds_00015524-RA, Ds_00015528-RA
OG0000059	FUN_036105-T1, FUN_036107-T1, FUN_036112-T1, FUN_036129-T1, FUN_036113-T1, FUN_036123-T1, FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1, FUN_036106-T1, FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1	Ds_00013734-RA
OG0000059	FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1	Ds_00013728-RA
OG0000060	FUN_053171-T1	Ds_00017662-RA
OG0000063	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1	Ds_00001207-RA, Ds_00010181-RA
OG0000063	FUN_029304-T1	Ds_00014318-RA
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	Ds_00009318-RA, Ds_00016604-RA
OG0000067	FUN_027482-T1	Ds_00004112-RA, Ds_00014586-RA, Ds_00005210-RA
OG0000070	FUN_010235-T2, FUN_038594-T1	Ds_00016135-RA
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	Ds_00010078-RA
OG0000070	FUN_038597-T1	Ds_00001412-RA, Ds_00010928-RA
OG0000071	FUN_025121-T1, FUN_050310-T1, FUN_031359-T1, FUN_031363-T1	Ds_00003826-RA
OG0000071	FUN_045262-T1	Ds_00005567-RA
OG0000071	FUN_006200-T1	Ds_00002033-RA
OG0000071	FUN_005720-T1	Ds_00013248-RA, Ds_00007141-RA
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	Ds_00006568-RA
OG0000071	FUN_032036-T1	Ds_00012035-RA, Ds_00010724-RA
OG0000072	FUN_036484-T1, FUN_011884-T1, FUN_036491-T1, FUN_036489-T1, FUN_029141-T1, FUN_011881-T1	Ds_00000109-RA
OG0000072	FUN_049826-T1	Ds_00017713-RA
OG0000073	FUN_040168-T1	Ds_00002589-RA
OG0000073	FUN_007747-T1	Ds_00002588-RA, Ds_00011442-RA
OG0000075	FUN_053122-T1, FUN_053198-T1	Ds_00016342-RA, Ds_00015171-RA, Ds_00010696-RA, Ds_00013861-RA, Ds_00012461-RA, Ds_00015170-RA
OG0000075	FUN_005764-T1	Ds_00012460-RA, Ds_00010695-RA
OG0000076	FUN_021898-T1, FUN_042051-T1, FUN_032174-T1, FUN_047060-T1, FUN_030675-T1, FUN_029162-T1, FUN_026104-T1, FUN_007816-T1, FUN_023546-T1, FUN_033496-T1, FUN_048289-T1, FUN_041797-T1, FUN_012690-T1, FUN_040419-T1, FUN_038716-T1, FUN_018002-T1, FUN_014882-T1, FUN_006014-T1, FUN_029617-T1, FUN_012389-T1, FUN_032437-T1, FUN_004161-T1, FUN_030217-T1, FUN_027898-T1, FUN_052590-T1, FUN_032879-T1, FUN_020273-T1, FUN_032942-T1, FUN_045100-T1, FUN_047103-T1, FUN_038886-T1, FUN_001158-T1, FUN_034641-T1, FUN_004883-T1, FUN_001989-T1, FUN_018147-T1, FUN_020267-T1, FUN_029677-T1, FUN_006263-T1, FUN_036010-T1, FUN_049769-T1, FUN_020684-T1, FUN_045843-T1, FUN_041680-T1, FUN_026563-T1, FUN_008655-T1, FUN_001810-T1, FUN_016859-T1, FUN_037603-T1, FUN_007989-T1, FUN_036065-T1, FUN_049253-T1, FUN_050980-T1, FUN_023822-T1, FUN_037806-T1, FUN_051438-T1, FUN_016257-T1, FUN_005236-T1, FUN_018146-T1, FUN_038753-T1, FUN_043921-T1, FUN_033899-T1, FUN_016695-T1, FUN_050571-T1, FUN_052464-T1, FUN_019910-T1, FUN_024278-T1, FUN_006264-T1, FUN_038183-T1, FUN_019359-T1, FUN_026269-T1, FUN_015273-T1, FUN_041773-T1, FUN_003908-T1, FUN_030844-T1, FUN_045193-T1, FUN_009909-T1, FUN_001826-T1, FUN_029709-T1, FUN_020726-T1, FUN_017024-T1, FUN_005730-T1, FUN_015794-T1, FUN_040754-T1, FUN_023607-T1, FUN_020926-T1, FUN_001244-T1, FUN_041593-T1, FUN_051211-T1, FUN_038103-T1, FUN_035957-T1, FUN_029766-T1, FUN_018392-T1, FUN_010513-T1, FUN_041319-T1, FUN_014955-T1, FUN_011939-T1, FUN_029338-T1, FUN_006396-T1, FUN_027881-T1, FUN_048737-T1, FUN_025793-T1, FUN_037866-T1, FUN_020480-T1, FUN_000168-T1, FUN_002310-T1, FUN_017423-T1, FUN_017093-T1, FUN_028430-T1, FUN_002574-T1, FUN_052380-T1, FUN_009231-T1, FUN_037969-T1, FUN_042845-T1, FUN_012766-T1, FUN_043189-T1, FUN_043920-T1, FUN_040136-T1, FUN_012861-T1	Ds_00004958-RA
OG0000077	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1	Ds_00000030-RA, Ds_00000031-RA
OG0000077	FUN_000256-T1	Ds_00006087-RA
OG0000077	FUN_033024-T1	Ds_00011039-RA
OG0000078	FUN_030618-T1	Ds_00009717-RA
OG0000078	FUN_041364-T1, FUN_011520-T1	Ds_00004155-RA, Ds_00004164-RA, Ds_00004163-RA, Ds_00004161-RA, Ds_00009996-RA
OG0000084	FUN_028502-T1, FUN_028512-T1, FUN_046448-T1, FUN_046447-T1, FUN_046444-T1, FUN_046450-T1, FUN_046449-T1, FUN_046445-T1	Ds_00017343-RA
OG0000085	FUN_041708-T1, FUN_028183-T1	Ds_00013315-RA
OG0000085	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1	Ds_00002345-RA
OG0000085	FUN_007810-T1	Ds_00006817-RA
OG0000085	FUN_005979-T1, FUN_044617-T1	Ds_00003374-RA
OG0000085	FUN_003118-T1	Ds_00013221-RA, Ds_00016552-RA
OG0000085	FUN_041849-T1	Ds_00007391-RA
OG0000087	FUN_004476-T1, FUN_032711-T1	Ds_00000857-RA
OG0000087	FUN_038676-T1, FUN_038676-T2	Ds_00012134-RA, Ds_00012132-RA
OG0000087	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1	Ds_00015816-RA, Ds_00008978-RA
OG0000088	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1	Ds_00006864-RA, Ds_00001827-RA, Ds_00001826-RA
OG0000089	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4	Ds_00000919-RA, Ds_00000698-RA
OG0000089	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4	Ds_00014281-RA, Ds_00009910-RA
OG0000090	FUN_052301-T2, FUN_052301-T1	Ds_00003959-RA
OG0000090	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2	Ds_00008033-RA, Ds_00010488-RA
OG0000091	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1	Ds_00005720-RA, Ds_00012613-RA
OG0000091	FUN_038181-T1, FUN_018772-T1, FUN_018773-T1, FUN_030891-T1, FUN_030890-T1, FUN_030889-T1, FUN_030888-T1, FUN_030887-T1, FUN_030892-T1	Ds_00000663-RA
OG0000092	FUN_050902-T1	Ds_00007208-RA
OG0000092	FUN_017545-T1, FUN_017554-T1, FUN_017547-T1	Ds_00013213-RA, Ds_00006795-RA
OG0000092	FUN_017453-T1, FUN_018071-T1, FUN_014526-T1, FUN_014403-T1, FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1, FUN_015368-T1, FUN_013968-T1	Ds_00014224-RA, Ds_00014213-RA
OG0000093	FUN_007585-T1, FUN_008357-T1	Ds_00002167-RA
OG0000093	FUN_023486-T1	Ds_00007179-RA
OG0000093	FUN_015864-T1, FUN_007588-T1	Ds_00015265-RA, Ds_00017793-RA, Ds_00002155-RA, Ds_00011099-RA, Ds_00002168-RA, Ds_00016133-RA
OG0000095	FUN_053310-T2, FUN_053310-T1	Ds_00016626-RA
OG0000095	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4	Ds_00005433-RA
OG0000095	FUN_053289-T2, FUN_053289-T1	Ds_00005415-RA
OG0000096	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1	Ds_00011884-RA, Ds_00011885-RA
OG0000097	FUN_010778-T1	Ds_00008970-RA
OG0000097	FUN_023814-T1	Ds_00011731-RA
OG0000098	FUN_024139-T1	Ds_00000511-RA
OG0000098	FUN_036291-T1	Ds_00012661-RA, Ds_00005755-RA, Ds_00009375-RA
OG0000098	FUN_048014-T1	Ds_00010103-RA
OG0000099	FUN_007844-T1, FUN_007845-T1	Ds_00016206-RA, Ds_00001407-RA, Ds_00001405-RA, Ds_00001406-RA, Ds_00001408-RA, Ds_00016202-RA
OG0000099	FUN_004319-T1, FUN_000816-T1, FUN_004293-T1	Ds_00012557-RA
OG0000101	FUN_053190-T1	Ds_00008372-RA
OG0000102	FUN_043426-T1	Ds_00010889-RA, Ds_00017309-RA, Ds_00001972-RA
OG0000102	FUN_036782-T1, FUN_036783-T1	Ds_00006637-RA, Ds_00015393-RA, Ds_00006880-RA, Ds_00006881-RA
OG0000102	FUN_036786-T1	Ds_00011502-RA, Ds_00015916-RA
OG0000103	FUN_046694-T1, FUN_046694-T2, FUN_011723-T1, FUN_046785-T1	Ds_00007541-RA
OG0000103	FUN_008761-T1, FUN_008761-T2	Ds_00015206-RA, Ds_00015118-RA
OG0000104	FUN_020265-T1	Ds_00015579-RA
OG0000104	FUN_022997-T1	Ds_00015800-RA, Ds_00015801-RA
OG0000105	FUN_046429-T1, FUN_046432-T1	Ds_00014085-RA
OG0000105	FUN_039134-T1	Ds_00008720-RA, Ds_00016969-RA
OG0000105	FUN_049962-T1	Ds_00015702-RA
OG0000107	FUN_020121-T2, FUN_020121-T1	Ds_00008559-RA
OG0000108	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1	Ds_00017400-RA, Ds_00010757-RA, Ds_00015423-RA, Ds_00012364-RA
OG0000108	FUN_034902-T1	Ds_00004396-RA
OG0000109	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2	Ds_00000324-RA
OG0000109	FUN_031066-T1, FUN_025571-T1	Ds_00013208-RA
OG0000109	FUN_038539-T1	Ds_00000125-RA
OG0000110	FUN_020206-T1	Ds_00010855-RA
OG0000110	FUN_043352-T1, FUN_027217-T1	Ds_00011944-RA
OG0000112	FUN_048674-T1	Ds_00016959-RA, Ds_00016949-RA
OG0000113	FUN_036924-T1	Ds_00016297-RA
OG0000113	FUN_040152-T1, FUN_040153-T1	Ds_00011325-RA
OG0000114	FUN_008529-T1, FUN_008532-T1, FUN_008538-T1, FUN_008540-T1, FUN_035476-T1, FUN_035471-T1, FUN_035477-T1, FUN_035473-T1, FUN_035478-T2, FUN_035478-T1, FUN_035478-T3, FUN_046590-T1, FUN_046591-T1, FUN_021823-T2, FUN_021823-T1, FUN_030024-T1, FUN_027385-T1	Ds_00015893-RA, Ds_00015892-RA
OG0000115	FUN_033974-T3, FUN_033974-T2, FUN_033974-T1, FUN_016159-T1	Ds_00012650-RA
OG0000115	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1, FUN_004395-T1, FUN_004390-T1	Ds_00009366-RA
OG0000115	FUN_043606-T1, FUN_043605-T1	Ds_00003925-RA, Ds_00003924-RA
OG0000116	FUN_011257-T1	Ds_00014709-RA, Ds_00000291-RA, Ds_00010066-RA, Ds_00010358-RA
OG0000117	FUN_046833-T1, FUN_046834-T1, FUN_046830-T1, FUN_046836-T1, FUN_016578-T1, FUN_046831-T1, FUN_046842-T1, FUN_046844-T1, FUN_046840-T1, FUN_046839-T1, FUN_046838-T1, FUN_024371-T1, FUN_046825-T1, FUN_046829-T1, FUN_046841-T1, FUN_046824-T1, FUN_046826-T1, FUN_020513-T1, FUN_001316-T1, FUN_001319-T1, FUN_001321-T1, FUN_015683-T1, FUN_020368-T1, FUN_020378-T1	Ds_00008529-RA
OG0000118	FUN_018231-T1	Ds_00011668-RA
OG0000118	FUN_037349-T1, FUN_024743-T1	Ds_00006827-RA
OG0000118	FUN_008995-T1, FUN_013730-T1, FUN_013730-T2	Ds_00012570-RA, Ds_00015851-RA, Ds_00005679-RA
OG0000118	FUN_031123-T1, FUN_051972-T1	Ds_00002816-RA
