Orthogroup	P_amilis.proteins	A_vesiculosa.proteins
OG0000029	FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1, FUN_005297-T1, FUN_005301-T1, FUN_005295-T1, FUN_005299-T1, FUN_005302-T1, FUN_005294-T1	Av_00023395-RA
OG0000031	FUN_047053-T1	Av_00023882-RA
OG0000031	FUN_009433-T1	Av_00023881-RA, Av_00019981-RA
OG0000031	FUN_009434-T1	Av_00023880-RA
OG0000032	FUN_031303-T1	Av_00017613-RA
OG0000032	FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1	Av_00005837-RA
OG0000034	FUN_012533-T1, FUN_018515-T1, FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1	Av_00010139-RA
OG0000034	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1	Av_00014124-RA, Av_00014125-RA
OG0000034	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA
OG0000037	FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1	Av_00004452-RA, Av_00001047-RA
OG0000037	FUN_000651-T1	Av_00005925-RA
OG0000038	FUN_030253-T1, FUN_004360-T1, FUN_050362-T1	Av_00017653-RA
OG0000038	FUN_037585-T1, FUN_025377-T1	Av_00000257-RA
OG0000038	FUN_050347-T1	Av_00001694-RA
OG0000040	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1	Av_00004970-RA
OG0000041	FUN_051962-T1, FUN_045720-T1	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA
OG0000041	FUN_016739-T1	Av_00012197-RA, Av_00005774-RA
OG0000041	FUN_010340-T1	Av_00023746-RA, Av_00022768-RA
OG0000041	FUN_027799-T1	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA
OG0000041	FUN_003721-T1	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA
OG0000041	FUN_037732-T1, FUN_048382-T1	Av_00003291-RA
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	Av_00019089-RA
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	Av_00009478-RA, Av_00008427-RA
OG0000043	FUN_030472-T1	Av_00014180-RA
OG0000044	FUN_001129-T1	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA
OG0000044	FUN_001565-T1	Av_00016449-RA
OG0000044	FUN_039424-T1	Av_00012555-RA, Av_00002870-RA
OG0000044	FUN_050905-T1	Av_00002322-RA, Av_00009708-RA
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	Av_00004429-RA, Av_00012280-RA
OG0000046	FUN_001154-T1, FUN_030219-T1	Av_00024394-RA, Av_00011655-RA, Av_00014209-RA, Av_00001876-RA
OG0000046	FUN_015529-T1, FUN_026427-T1	Av_00015934-RA, Av_00011412-RA, Av_00004246-RA, Av_00024458-RA
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	Av_00002747-RA, Av_00016996-RA
OG0000046	FUN_016469-T1, FUN_029956-T1	Av_00009129-RA, Av_00005749-RA
OG0000046	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1	Av_00024073-RA, Av_00006807-RA
OG0000047	FUN_016927-T1, FUN_029662-T1	Av_00021683-RA
OG0000047	FUN_052024-T1	Av_00004600-RA, Av_00004281-RA, Av_00015966-RA, Av_00011387-RA, Av_00015257-RA, Av_00010932-RA, Av_00011403-RA, Av_00015951-RA
OG0000047	FUN_044316-T1	Av_00024563-RA
OG0000047	FUN_008876-T2	Av_00018720-RA
OG0000047	FUN_038585-T1	Av_00021866-RA
OG0000047	FUN_011417-T1	Av_00011450-RA, Av_00000054-RA, Av_00015234-RA, Av_00010903-RA
OG0000048	FUN_025704-T1, FUN_025705-T1	Av_00010433-RA
OG0000048	FUN_011943-T1, FUN_021004-T1	Av_00019438-RA
OG0000050	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1	Av_00009969-RA
OG0000050	FUN_023523-T1, FUN_001245-T1, FUN_012030-T1	Av_00012807-RA, Av_00021668-RA
OG0000050	FUN_053188-T1, FUN_053188-T2	Av_00002378-RA
OG0000050	FUN_053296-T1, FUN_052997-T1	Av_00018370-RA
OG0000051	FUN_053077-T1, FUN_053100-T1	Av_00024209-RA, Av_00016836-RA
OG0000051	FUN_053258-T1, FUN_000050-T1, FUN_039290-T1, FUN_009538-T1	Av_00023769-RA, Av_00022660-RA, Av_00022295-RA, Av_00024730-RA, Av_00020935-RA, Av_00021508-RA, Av_00019977-RA, Av_00022692-RA, Av_00015433-RA, Av_00018095-RA, Av_00019264-RA, Av_00016879-RA, Av_00018177-RA, Av_00023994-RA, Av_00024247-RA, Av_00016050-RA, Av_00024412-RA, Av_00023308-RA, Av_00019467-RA, Av_00016835-RA, Av_00024987-RA, Av_00018964-RA, Av_00022045-RA, Av_00024556-RA, Av_00023895-RA, Av_00023135-RA, Av_00024604-RA, Av_00020761-RA, Av_00023615-RA, Av_00020673-RA, Av_00006645-RA, Av_00021719-RA, Av_00024214-RA, Av_00019596-RA
OG0000051	FUN_053323-T1, FUN_029031-T1, FUN_005994-T1, FUN_053287-T1, FUN_053148-T1, FUN_042860-T1, FUN_053119-T1, FUN_043928-T1, FUN_027860-T1, FUN_009799-T1, FUN_017350-T1, FUN_039946-T1, FUN_025125-T1, FUN_010148-T1, FUN_026904-T1, FUN_021790-T1	Av_00010376-RA
OG0000051	FUN_029436-T1	Av_00015400-RA
OG0000055	FUN_025259-T1, FUN_025259-T2	Av_00002758-RA
OG0000055	FUN_020259-T1	Av_00013256-RA, Av_00017858-RA, Av_00022659-RA
OG0000055	FUN_043526-T1, FUN_024966-T1	Av_00017818-RA
OG0000055	FUN_045967-T1, FUN_049882-T1	Av_00024743-RA, Av_00019729-RA
OG0000055	FUN_014867-T1	Av_00008958-RA
OG0000055	FUN_007699-T1	Av_00016413-RA, Av_00013445-RA
OG0000058	FUN_009655-T1, FUN_009655-T2	Av_00008430-RA
OG0000058	FUN_020519-T1, FUN_000927-T1	Av_00002928-RA
OG0000059	FUN_020456-T1	Av_00016663-RA, Av_00008085-RA
OG0000059	FUN_001172-T1, FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1	Av_00013645-RA
OG0000063	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1	Av_00002221-RA, Av_00017394-RA, Av_00017390-RA, Av_00017389-RA
OG0000063	FUN_029304-T1, FUN_029314-T1, FUN_029317-T2, FUN_029317-T1, FUN_019005-T1	Av_00005674-RA
OG0000064	FUN_029339-T1, FUN_032121-T1, FUN_022587-T1, FUN_017571-T1, FUN_018284-T1, FUN_022355-T1, FUN_035558-T1, FUN_022043-T1, FUN_013462-T1, FUN_009817-T1, FUN_022525-T1, FUN_052962-T1, FUN_003374-T1, FUN_035412-T1, FUN_039422-T1, FUN_000582-T1, FUN_045973-T1, FUN_003472-T1, FUN_041265-T1, FUN_012344-T1, FUN_034364-T1, FUN_053175-T1, FUN_017536-T1, FUN_010893-T1, FUN_032013-T1, FUN_034457-T1, FUN_031477-T1, FUN_041636-T1, FUN_003648-T1, FUN_025217-T1, FUN_040506-T1, FUN_046466-T1, FUN_041427-T1, FUN_028677-T1, FUN_000519-T1, FUN_036473-T1, FUN_046263-T1, FUN_048264-T1, FUN_038848-T1, FUN_007700-T1, FUN_038344-T1, FUN_010069-T1, FUN_038002-T1, FUN_051324-T1, FUN_026517-T1, FUN_016524-T1, FUN_039361-T1, FUN_021537-T1, FUN_016815-T1, FUN_004590-T1, FUN_050754-T1, FUN_028586-T1, FUN_038161-T1, FUN_025884-T1, FUN_004301-T1, FUN_013435-T1, FUN_031547-T1, FUN_038849-T1, FUN_048027-T1, FUN_007046-T1, FUN_017572-T1, FUN_033641-T1, FUN_004968-T1, FUN_031478-T1, FUN_022044-T1, FUN_051230-T1, FUN_018144-T1, FUN_031916-T1, FUN_029038-T1, FUN_048221-T1, FUN_031332-T1, FUN_048263-T1, FUN_038345-T1, FUN_006084-T1, FUN_047806-T1, FUN_038471-T1, FUN_021999-T1, FUN_044843-T1, FUN_022038-T1, FUN_009179-T1, FUN_029385-T1, FUN_049445-T1, FUN_037335-T1, FUN_037294-T1, FUN_049704-T1, FUN_029343-T1, FUN_034456-T1, FUN_010070-T1, FUN_049619-T1, FUN_046901-T1, FUN_022456-T1, FUN_021306-T1, FUN_038045-T1, FUN_043711-T1, FUN_006625-T1, FUN_020109-T1, FUN_014366-T1, FUN_020588-T1, FUN_034459-T1, FUN_034897-T1, FUN_041188-T1, FUN_008507-T1, FUN_043295-T1, FUN_028854-T1, FUN_049484-T1, FUN_039151-T1, FUN_010945-T1, FUN_004296-T1, FUN_007854-T1, FUN_045682-T1, FUN_025511-T1, FUN_009183-T1, FUN_018113-T1, FUN_021079-T1, FUN_012055-T1, FUN_039165-T1, FUN_046166-T1, FUN_034344-T1, FUN_012391-T1, FUN_028737-T1, FUN_045315-T1, FUN_031430-T1, FUN_031733-T1, FUN_028587-T1, FUN_018142-T1, FUN_048223-T1, FUN_031331-T1, FUN_002832-T1, FUN_013297-T1, FUN_048226-T1, FUN_024120-T1, FUN_004967-T1, FUN_019628-T1, FUN_013343-T1, FUN_031546-T1, FUN_049877-T1, FUN_013213-T1, FUN_043532-T1, FUN_051204-T1, FUN_007439-T1, FUN_041804-T1, FUN_022039-T1, FUN_012352-T1, FUN_000027-T1	Av_00024276-RA
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	Av_00001967-RA
OG0000067	FUN_027482-T1	Av_00014269-RA, Av_00010147-RA, Av_00012703-RA, Av_00018513-RA
OG0000067	FUN_038294-T1	Av_00024312-RA, Av_00012775-RA, Av_00024310-RA, Av_00018514-RA
OG0000070	FUN_010235-T2, FUN_038594-T1	Av_00000389-RA
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	Av_00012230-RA, Av_00020252-RA, Av_00005363-RA, Av_00002635-RA
OG0000070	FUN_047896-T1, FUN_009640-T1	Av_00013415-RA, Av_00023180-RA
OG0000071	FUN_025121-T1, FUN_050310-T1, FUN_031359-T1, FUN_031363-T1	Av_00011182-RA, Av_00001686-RA
OG0000071	FUN_045262-T1	Av_00009962-RA
OG0000071	FUN_006200-T1	Av_00021173-RA
OG0000071	FUN_017402-T1	Av_00011924-RA
OG0000071	FUN_005720-T1	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA
OG0000071	FUN_032036-T1	Av_00002646-RA, Av_00005357-RA
OG0000072	FUN_036484-T1, FUN_011884-T1, FUN_036491-T1, FUN_036489-T1, FUN_029141-T1, FUN_011881-T1	Av_00011117-RA
OG0000073	FUN_040168-T1	Av_00025085-RA, Av_00024865-RA, Av_00023889-RA, Av_00024854-RA, Av_00017819-RA
OG0000073	FUN_007747-T1	Av_00025098-RA, Av_00023706-RA, Av_00024625-RA, Av_00025117-RA, Av_00024856-RA, Av_00024965-RA, Av_00025011-RA, Av_00024566-RA, Av_00024850-RA, Av_00020639-RA, Av_00023891-RA, Av_00024670-RA, Av_00025020-RA, Av_00017209-RA, Av_00015297-RA, Av_00024293-RA, Av_00016834-RA, Av_00023004-RA, Av_00023479-RA, Av_00025099-RA, Av_00019845-RA, Av_00024980-RA, Av_00017464-RA, Av_00025019-RA, Av_00024417-RA
OG0000075	FUN_053122-T1, FUN_053198-T1	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA, Av_00022830-RA
OG0000075	FUN_005764-T1	Av_00024003-RA
OG0000077	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1	Av_00007275-RA
OG0000078	FUN_030618-T1	Av_00015019-RA
OG0000085	FUN_041708-T1, FUN_028183-T1	Av_00009790-RA, Av_00008760-RA
OG0000085	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1	Av_00021920-RA, Av_00004097-RA
OG0000085	FUN_007810-T1	Av_00005421-RA, Av_00002984-RA
OG0000085	FUN_005979-T1, FUN_044617-T1	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA
OG0000085	FUN_003118-T1	Av_00018975-RA
OG0000087	FUN_004476-T1, FUN_032711-T1	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA
OG0000087	FUN_038676-T1, FUN_038676-T2	Av_00020186-RA
OG0000087	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA
OG0000088	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1	Av_00002335-RA, Av_00019465-RA
OG0000089	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA
OG0000089	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA
OG0000090	FUN_052301-T2, FUN_052301-T1	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA
OG0000090	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA
OG0000091	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1	Av_00024182-RA, Av_00022189-RA
OG0000091	FUN_038181-T1, FUN_018772-T1, FUN_018773-T1, FUN_030891-T1, FUN_030890-T1, FUN_030889-T1, FUN_030888-T1, FUN_030887-T1, FUN_030892-T1	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA
OG0000092	FUN_005023-T1, FUN_018581-T1, FUN_044125-T1, FUN_017545-T1, FUN_017554-T1, FUN_017547-T1	Av_00005802-RA
OG0000092	FUN_017453-T1, FUN_018071-T1, FUN_014526-T1, FUN_014403-T1, FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1, FUN_015368-T1, FUN_013968-T1	Av_00005801-RA
OG0000093	FUN_023486-T1	Av_00009079-RA, Av_00009080-RA
OG0000093	FUN_015864-T1, FUN_007588-T1	Av_00008996-RA, Av_00019964-RA, Av_00006037-RA
OG0000095	FUN_053310-T2, FUN_053310-T1	Av_00016560-RA
OG0000095	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4	Av_00022745-RA, Av_00014819-RA
OG0000095	FUN_053289-T2, FUN_053289-T1	Av_00015892-RA, Av_00013399-RA
OG0000096	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1	Av_00015889-RA
OG0000097	FUN_008459-T1, FUN_001750-T1, FUN_014137-T1, FUN_011797-T1, FUN_023814-T1	Av_00021109-RA
OG0000098	FUN_024139-T1	Av_00009967-RA
OG0000098	FUN_036291-T1	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA
OG0000098	FUN_048014-T1	Av_00006162-RA, Av_00008431-RA
OG0000098	FUN_040838-T1	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA
OG0000099	FUN_007844-T1, FUN_007845-T1	Av_00015329-RA, Av_00014232-RA
OG0000102	FUN_043426-T1	Av_00021401-RA
OG0000102	FUN_036782-T1, FUN_036783-T1	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA
OG0000103	FUN_046694-T1, FUN_046694-T2, FUN_011723-T1, FUN_046785-T1	Av_00007835-RA, Av_00000217-RA
OG0000104	FUN_020265-T1	Av_00018015-RA
OG0000104	FUN_022997-T1	Av_00015686-RA
OG0000105	FUN_046429-T1, FUN_046432-T1	Av_00003052-RA, Av_00015716-RA
OG0000105	FUN_039134-T1	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA
OG0000107	FUN_020121-T2, FUN_020121-T1	Av_00000247-RA, Av_00006353-RA
OG0000107	FUN_033480-T2, FUN_033480-T1, FUN_020090-T1	Av_00007784-RA
OG0000108	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1	Av_00010829-RA, Av_00005367-RA
OG0000108	FUN_034902-T1	Av_00003730-RA
OG0000109	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2	Av_00018758-RA, Av_00008820-RA
OG0000109	FUN_031066-T1, FUN_025571-T1	Av_00021187-RA, Av_00001943-RA
OG0000109	FUN_038539-T1	Av_00011101-RA, Av_00009901-RA
OG0000110	FUN_020206-T1	Av_00020501-RA, Av_00008377-RA
OG0000110	FUN_043352-T1, FUN_027217-T1	Av_00008370-RA, Av_00008371-RA
OG0000112	FUN_048674-T1	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA, Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA, Av_00018535-RA
OG0000112	FUN_009885-T1	Av_00022329-RA, Av_00022327-RA, Av_00022328-RA
OG0000113	FUN_040152-T1, FUN_040153-T1	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA
OG0000113	FUN_040158-T1, FUN_040160-T1, FUN_040163-T1, FUN_040162-T1	Av_00014535-RA, Av_00010366-RA, Av_00003020-RA, Av_00005449-RA
OG0000114	FUN_008529-T1, FUN_008532-T1, FUN_008538-T1, FUN_008540-T1, FUN_035476-T1, FUN_035471-T1, FUN_035477-T1, FUN_035473-T1, FUN_035478-T2, FUN_035478-T1, FUN_035478-T3, FUN_046590-T1, FUN_046591-T1, FUN_021823-T2, FUN_021823-T1, FUN_030024-T1, FUN_027385-T1	Av_00003668-RA, Av_00015326-RA
OG0000115	FUN_033974-T3, FUN_033974-T2, FUN_033974-T1, FUN_016159-T1	Av_00020585-RA
OG0000115	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1, FUN_004395-T1, FUN_004390-T1	Av_00020146-RA
OG0000116	FUN_011257-T1	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA
OG0000118	FUN_037349-T1	Av_00017242-RA
OG0000118	FUN_008995-T1, FUN_013730-T1, FUN_013730-T2	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA
OG0000118	FUN_051972-T1	Av_00007265-RA
OG0000120	FUN_004771-T1, FUN_032956-T1	Av_00014461-RA, Av_00022346-RA
OG0000120	FUN_004748-T1	Av_00021880-RA
OG0000120	FUN_049140-T1, FUN_037205-T1	Av_00010880-RA
OG0000120	FUN_040842-T1	Av_00020803-RA
OG0000121	FUN_022170-T1, FUN_042012-T1	Av_00001370-RA
OG0000121	FUN_009612-T1	Av_00015288-RA
OG0000121	FUN_049916-T1	Av_00013289-RA
OG0000121	FUN_008752-T5, FUN_008752-T1, FUN_008752-T2, FUN_008753-T1, FUN_008752-T4, FUN_039944-T1	Av_00012522-RA
OG0000122	FUN_027205-T1	Av_00014604-RA
OG0000124	FUN_012683-T1	Av_00010170-RA
OG0000125	FUN_042787-T2, FUN_042787-T1, FUN_042787-T3	Av_00006820-RA
OG0000125	FUN_000423-T2, FUN_000423-T1, FUN_000424-T1	Av_00016779-RA
OG0000127	FUN_036806-T1, FUN_051586-T1	Av_00014440-RA, Av_00001249-RA
OG0000127	FUN_042852-T1, FUN_024673-T1, FUN_024672-T1, FUN_024676-T1	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA
OG0000127	FUN_046971-T1, FUN_011383-T1	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA
OG0000129	FUN_008282-T1	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA
OG0000131	FUN_023918-T1, FUN_028063-T1, FUN_050388-T1, FUN_032815-T1, FUN_032816-T1, FUN_032812-T1, FUN_032814-T1, FUN_023703-T1, FUN_023694-T1, FUN_023696-T1, FUN_038830-T1, FUN_029252-T1, FUN_050387-T1, FUN_028129-T1, FUN_028106-T1, FUN_028062-T1	Av_00008767-RA
OG0000135	FUN_020155-T1	Av_00015825-RA
OG0000135	FUN_005277-T2, FUN_005277-T1	Av_00023049-RA
OG0000135	FUN_041672-T1, FUN_006039-T1	Av_00021246-RA, Av_00023855-RA
OG0000135	FUN_025181-T1, FUN_050254-T1	Av_00017571-RA, Av_00013077-RA, Av_00018331-RA
OG0000135	FUN_005976-T1, FUN_044613-T1	Av_00017962-RA, Av_00001097-RA
