Orthogroup	P_amilis.proteins	A_coerulea.proteins
OG0000018	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2	Aqcoe2G373300.1.p
OG0000018	FUN_051184-T1	Aqcoe5G029400.1.p, Aqcoe5G029300.1.p
OG0000021	FUN_040665-T1	Aqcoe0158s0001.1.p
OG0000021	FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p
OG0000022	FUN_017760-T1, FUN_017729-T1, FUN_036727-T1, FUN_017837-T1, FUN_017706-T1, FUN_017754-T1, FUN_017828-T1, FUN_017840-T1, FUN_017838-T1	Aqcoe5G366100.1.p
OG0000022	FUN_020730-T1, FUN_020932-T1, FUN_017707-T1, FUN_017739-T1, FUN_017846-T1, FUN_036951-T1, FUN_017831-T1, FUN_017844-T1, FUN_017842-T1, FUN_017824-T1, FUN_017826-T1, FUN_017737-T1, FUN_017832-T1, FUN_017834-T1, FUN_017722-T1, FUN_019924-T1, FUN_017718-T1, FUN_017719-T1, FUN_017723-T1, FUN_017726-T1, FUN_017704-T1, FUN_017702-T1, FUN_017705-T1, FUN_017730-T1, FUN_017732-T1, FUN_017742-T1, FUN_017751-T1, FUN_017750-T1, FUN_017756-T1, FUN_017759-T1, FUN_017746-T1, FUN_047266-T1, FUN_047264-T1, FUN_047273-T1, FUN_047272-T1, FUN_010663-T1	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p
OG0000023	FUN_005579-T1	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p
OG0000023	FUN_024429-T1, FUN_024427-T1, FUN_024428-T1, FUN_024433-T1, FUN_024431-T1, FUN_024415-T1	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p
OG0000024	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1	Aqcoe4G121400.1.p
OG0000024	FUN_020355-T1	Aqcoe4G120700.1.p, Aqcoe4G120200.1.p, Aqcoe4G120000.1.p, Aqcoe4G120100.1.p, Aqcoe4G120300.1.p, Aqcoe1G386800.1.p, Aqcoe2G430300.1.p, Aqcoe4G121800.1.p, Aqcoe4G121200.1.p, Aqcoe4G121200.2.p, Aqcoe4G121700.1.p, Aqcoe4G121000.1.p
OG0000024	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1, FUN_044962-T1, FUN_008514-T1, FUN_044964-T2, FUN_044964-T1	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p
OG0000025	FUN_050791-T1, FUN_051656-T1, FUN_050776-T1, FUN_051653-T1, FUN_051654-T1, FUN_050790-T1, FUN_050780-T1, FUN_050779-T1, FUN_051671-T1, FUN_051670-T1, FUN_051667-T1	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p
OG0000026	FUN_028423-T2, FUN_028423-T1, FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1, FUN_046668-T1, FUN_045871-T1, FUN_045879-T1, FUN_046852-T1, FUN_045873-T1, FUN_052569-T1, FUN_052498-T1, FUN_052569-T2, FUN_045848-T1, FUN_012029-T1, FUN_012027-T1, FUN_045844-T1, FUN_040804-T1, FUN_040804-T2, FUN_032623-T1, FUN_052497-T1, FUN_046670-T1, FUN_045872-T1, FUN_045870-T1, FUN_047376-T1, FUN_047376-T2, FUN_047380-T1, FUN_047378-T2, FUN_047378-T1, FUN_047376-T3, FUN_047376-T4, FUN_052621-T1, FUN_047377-T1, FUN_046452-T1, FUN_046453-T1, FUN_046749-T1, FUN_020280-T1, FUN_045755-T1	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p
OG0000027	FUN_047527-T1	Aqcoe3G094300.1.p
OG0000027	FUN_049510-T1	Aqcoe3G269300.1.p
OG0000027	FUN_024104-T2, FUN_024104-T1	Aqcoe7G443000.1.p
OG0000027	FUN_005343-T1, FUN_005343-T2	Aqcoe7G309700.2.p, Aqcoe7G309700.1.p
OG0000027	FUN_052200-T1, FUN_005491-T1	Aqcoe7G366100.1.p
OG0000028	FUN_050968-T1, FUN_008999-T1, FUN_050957-T1, FUN_050972-T1, FUN_003756-T1, FUN_050973-T1, FUN_050954-T1, FUN_050898-T1, FUN_010675-T1, FUN_011515-T1, FUN_011513-T2, FUN_011513-T3, FUN_011513-T1, FUN_011518-T1, FUN_011514-T1, FUN_050956-T1, FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1, FUN_023817-T1, FUN_050971-T1, FUN_050955-T1, FUN_011516-T1	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p
OG0000029	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p
OG0000029	FUN_020375-T1, FUN_012166-T1, FUN_036143-T1, FUN_036144-T1, FUN_001608-T1, FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1, FUN_005297-T1, FUN_005301-T1, FUN_005295-T1, FUN_005299-T1, FUN_005302-T1, FUN_005294-T1	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p
OG0000030	FUN_012798-T1, FUN_004143-T1, FUN_004142-T1	Aqcoe6G194100.1.p
OG0000030	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1, FUN_046131-T1, FUN_046111-T1, FUN_046117-T1, FUN_046121-T1, FUN_046133-T1, FUN_046120-T1, FUN_046114-T1, FUN_046125-T1, FUN_046123-T1, FUN_046129-T1, FUN_046110-T1, FUN_046122-T1, FUN_046116-T1, FUN_046128-T1, FUN_046126-T1, FUN_046113-T1, FUN_046132-T1, FUN_046137-T1, FUN_046135-T1, FUN_046136-T1, FUN_002402-T1	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p
OG0000030	FUN_004132-T1	Aqcoe6G194300.1.p, Aqcoe6G194400.1.p, Aqcoe6G194000.1.p
OG0000031	FUN_047053-T1	Aqcoe6G125700.1.p, Aqcoe1G289600.1.p
OG0000031	FUN_009433-T1	Aqcoe1G289700.1.p
OG0000031	FUN_009434-T1	Aqcoe6G125600.1.p
OG0000032	FUN_047445-T1, FUN_047444-T1, FUN_047446-T1, FUN_047439-T1, FUN_047440-T1, FUN_047438-T1, FUN_047441-T1, FUN_047436-T1, FUN_047442-T1, FUN_010876-T1, FUN_010877-T1, FUN_031303-T1, FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1	Aqcoe4G005900.1.p, Aqcoe4G028300.1.p, Aqcoe4G005800.1.p
OG0000034	FUN_012533-T1, FUN_018515-T1, FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1, FUN_035395-T1	Aqcoe6G280300.1.p
OG0000034	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1	Aqcoe5G277200.1.p, Aqcoe5G277200.2.p, Aqcoe5G277300.3.p, Aqcoe5G277300.2.p, Aqcoe5G277300.1.p, Aqcoe1G367200.1.p, Aqcoe1G365800.1.p, Aqcoe1G366700.4.p, Aqcoe1G366700.2.p, Aqcoe1G366700.7.p, Aqcoe1G366700.8.p, Aqcoe1G366700.3.p, Aqcoe1G366700.9.p, Aqcoe1G366700.6.p, Aqcoe1G366700.10.p, Aqcoe1G366700.5.p, Aqcoe1G366700.1.p, Aqcoe1G366700.11.p, Aqcoe1G366000.1.p, Aqcoe1G366000.2.p, Aqcoe1G366200.1.p, Aqcoe1G366200.2.p, Aqcoe1G366400.1.p
OG0000034	FUN_012547-T1	Aqcoe1G366600.1.p
OG0000034	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	Aqcoe4G108500.1.p, Aqcoe7G167200.1.p, Aqcoe7G167200.2.p, Aqcoe7G167100.1.p
OG0000037	FUN_027096-T1, FUN_027094-T1, FUN_001555-T1, FUN_001554-T1, FUN_001552-T1, FUN_001547-T1, FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1, FUN_001430-T1, FUN_000651-T1	Aqcoe2G038300.1.p, Aqcoe4G241300.1.p, Aqcoe2G038700.1.p, Aqcoe4G135200.1.p, Aqcoe2G038600.1.p, Aqcoe2G038500.1.p, Aqcoe2G038500.2.p, Aqcoe2G038400.1.p, Aqcoe6G102400.1.p, Aqcoe6G102200.2.p, Aqcoe6G102200.1.p, Aqcoe6G101900.1.p, Aqcoe6G102300.1.p, Aqcoe7G348700.1.p
OG0000038	FUN_030253-T1, FUN_004360-T1, FUN_050362-T1	Aqcoe3G139600.1.p
OG0000038	FUN_037585-T1, FUN_025377-T1	Aqcoe4G206500.1.p
OG0000038	FUN_025082-T1	Aqcoe3G138700.1.p
OG0000038	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1	Aqcoe3G138900.1.p, Aqcoe3G138800.1.p, Aqcoe3G090200.1.p, Aqcoe3G139700.1.p, Aqcoe3G139200.1.p, Aqcoe3G139000.1.p, Aqcoe3G139400.1.p, Aqcoe3G139500.1.p, Aqcoe3G139100.1.p, Aqcoe3G134000.1.p, Aqcoe3G134100.1.p, Aqcoe4G230500.1.p, Aqcoe4G229900.1.p, Aqcoe4G234000.1.p, Aqcoe1G213100.1.p, Aqcoe4G234300.1.p, Aqcoe4G254400.1.p, Aqcoe4G254600.1.p, Aqcoe7G243900.1.p, Aqcoe1G277000.1.p, Aqcoe7G146400.1.p, Aqcoe7G138100.1.p, Aqcoe6G196100.1.p, Aqcoe7G138500.1.p, Aqcoe4G281700.1.p, Aqcoe6G202500.1.p
OG0000040	FUN_033511-T1, FUN_033516-T1, FUN_033517-T1, FUN_033523-T1, FUN_033520-T1, FUN_033521-T1, FUN_005498-T1, FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1, FUN_012621-T1, FUN_012619-T1	Aqcoe2G401200.1.p, Aqcoe2G401200.2.p, Aqcoe2G402700.1.p, Aqcoe0088s0001.1.p, Aqcoe2G398100.1.p, Aqcoe2G400800.2.p, Aqcoe2G400800.1.p, Aqcoe0088s0002.1.p, Aqcoe0088s0002.2.p, Aqcoe2G403000.3.p, Aqcoe2G403000.4.p, Aqcoe2G403000.1.p, Aqcoe2G403000.2.p, Aqcoe3G250900.1.p, Aqcoe2G400900.1.p, Aqcoe2G401000.1.p, Aqcoe6G274900.1.p, Aqcoe6G275200.1.p, Aqcoe1G247700.1.p, Aqcoe6G279600.1.p, Aqcoe6G279600.2.p, Aqcoe6G274800.1.p, Aqcoe2G401100.1.p, Aqcoe5G391600.1.p, Aqcoe7G140300.1.p, Aqcoe5G391500.1.p
OG0000041	FUN_051962-T1, FUN_045720-T1	Aqcoe6G223300.1.p
OG0000041	FUN_016739-T1	Aqcoe3G017900.1.p
OG0000041	FUN_015112-T1	Aqcoe2G373400.1.p, Aqcoe5G027300.1.p
OG0000041	FUN_010340-T1	Aqcoe2G279000.1.p
OG0000041	FUN_027799-T1	Aqcoe7G114500.1.p
OG0000041	FUN_003721-T1	Aqcoe1G055800.1.p, Aqcoe1G055800.2.p
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	Aqcoe3G112800.2.p
OG0000042	FUN_047986-T1	Aqcoe1G101200.1.p
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p
OG0000043	FUN_032854-T1, FUN_004646-T1	Aqcoe4G017600.1.p, Aqcoe6G300600.1.p
OG0000043	FUN_030472-T1	Aqcoe4G287200.1.p, Aqcoe4G010100.1.p, Aqcoe4G009700.1.p, Aqcoe4G241600.1.p
OG0000043	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p
OG0000043	FUN_032853-T1, FUN_011522-T1, FUN_030474-T1	Aqcoe6G300100.1.p, Aqcoe6G300100.2.p, Aqcoe6G300500.1.p, Aqcoe6G300200.1.p, Aqcoe6G300300.1.p, Aqcoe6G300400.1.p, Aqcoe6G300700.1.p, Aqcoe6G301200.1.p, Aqcoe6G299700.1.p, Aqcoe5G363300.1.p
OG0000044	FUN_001129-T1	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p
OG0000044	FUN_039424-T1	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p
OG0000044	FUN_012688-T1	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p
OG0000044	FUN_050905-T1	Aqcoe2G353000.1.p
OG0000045	FUN_028651-T1, FUN_008915-T1, FUN_023500-T1, FUN_053058-T1, FUN_043753-T1, FUN_023687-T1	Aqcoe4G228400.1.p, Aqcoe1G252100.1.p, Aqcoe3G105000.1.p
OG0000046	FUN_015529-T1, FUN_026427-T1	Aqcoe7G176700.1.p
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p
OG0000046	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1	Aqcoe2G156400.1.p
OG0000047	FUN_016927-T1, FUN_029662-T1	Aqcoe6G058700.1.p
OG0000047	FUN_052024-T1, FUN_044316-T1	Aqcoe7G259200.1.p
OG0000048	FUN_004047-T1, FUN_020331-T1, FUN_020329-T1, FUN_020334-T1, FUN_020328-T1, FUN_004032-T1, FUN_004039-T1, FUN_053006-T1, FUN_004044-T1, FUN_004042-T1, FUN_004048-T1	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p
OG0000048	FUN_025704-T1, FUN_025705-T1, FUN_011943-T1, FUN_021004-T1	Aqcoe1G403300.1.p, Aqcoe1G403100.1.p
OG0000048	FUN_020326-T1	Aqcoe1G404300.1.p, Aqcoe1G056300.1.p
OG0000050	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1, FUN_028422-T1, FUN_010388-T1, FUN_043838-T1, FUN_004521-T1, FUN_046746-T1, FUN_008570-T1, FUN_053084-T1, FUN_053186-T1, FUN_026082-T1, FUN_047850-T1, FUN_029523-T1, FUN_042954-T1, FUN_033625-T1, FUN_015539-T1, FUN_031844-T1, FUN_047921-T1, FUN_023523-T1, FUN_001245-T1, FUN_012030-T1	Aqcoe4G238500.1.p
OG0000051	FUN_037553-T1, FUN_025718-T1, FUN_053077-T1, FUN_053100-T1, FUN_053064-T1, FUN_053028-T1, FUN_053327-T1, FUN_053002-T1, FUN_052994-T1, FUN_053000-T1, FUN_053202-T1, FUN_053270-T1, FUN_053137-T1, FUN_053195-T1, FUN_053159-T1, FUN_053268-T1, FUN_053116-T1, FUN_053040-T1, FUN_053305-T1, FUN_053253-T1, FUN_053258-T1, FUN_000050-T1, FUN_039290-T1, FUN_009538-T1, FUN_009537-T1, FUN_027836-T1, FUN_026756-T1, FUN_048683-T1, FUN_053323-T1, FUN_029031-T1, FUN_005994-T1, FUN_053287-T1, FUN_053148-T1, FUN_042860-T1, FUN_053119-T1, FUN_043928-T1, FUN_027860-T1, FUN_009799-T1, FUN_017350-T1, FUN_039946-T1, FUN_025125-T1, FUN_010148-T1, FUN_026904-T1, FUN_021790-T1, FUN_051181-T1, FUN_029436-T1	Aqcoe6G282400.1.p
OG0000055	FUN_025259-T1, FUN_025259-T2	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p
OG0000055	FUN_020259-T1	Aqcoe5G081700.1.p
OG0000055	FUN_024965-T1	Aqcoe2G168800.1.p
OG0000055	FUN_043526-T1, FUN_024966-T1	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p
OG0000055	FUN_045967-T1, FUN_049882-T1, FUN_014867-T1	Aqcoe1G276100.1.p
OG0000056	FUN_036761-T1, FUN_036761-T2	Aqcoe4G058400.1.p
OG0000056	FUN_051500-T1	Aqcoe3G310900.1.p, Aqcoe2G362400.1.p, Aqcoe3G306700.1.p, Aqcoe3G293600.1.p, Aqcoe3G290400.1.p, Aqcoe3G306100.1.p, Aqcoe5G183300.1.p
OG0000056	FUN_018752-T1, FUN_018752-T3, FUN_018752-T2, FUN_018753-T1, FUN_018754-T1, FUN_050304-T1, FUN_045992-T1, FUN_033038-T1, FUN_038724-T1, FUN_045993-T1, FUN_001040-T1, FUN_046643-T1, FUN_046644-T1, FUN_046645-T1, FUN_046646-T1, FUN_004783-T1, FUN_013626-T1, FUN_014936-T1, FUN_004002-T1, FUN_004002-T2, FUN_018366-T1, FUN_020318-T1	Aqcoe5G341000.1.p
OG0000058	FUN_009655-T1, FUN_009655-T2	Aqcoe7G095800.1.p, Aqcoe7G095800.2.p, Aqcoe1G094600.1.p, Aqcoe4G235100.1.p, Aqcoe1G125300.1.p, Aqcoe1G094800.1.p
OG0000058	FUN_000928-T1, FUN_020519-T1, FUN_000927-T1	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p
OG0000059	FUN_020369-T1, FUN_020373-T1, FUN_020369-T2, FUN_020377-T1, FUN_020374-T1	Aqcoe5G413100.1.p
OG0000059	FUN_001172-T1, FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1	Aqcoe6G325200.1.p
OG0000063	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1	Aqcoe4G036500.1.p
OG0000063	FUN_029311-T1, FUN_019002-T1, FUN_019000-T1, FUN_018999-T1	Aqcoe2G078800.1.p, Aqcoe1G397700.1.p
OG0000065	FUN_033117-T1, FUN_043594-T1	Aqcoe5G008600.1.p, Aqcoe5G008500.1.p, Aqcoe5G061000.1.p, Aqcoe7G402900.1.p, Aqcoe7G402800.1.p
OG0000067	FUN_027482-T1, FUN_038294-T1	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p
OG0000070	FUN_010235-T2, FUN_038594-T1	Aqcoe5G246400.2.p
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p
OG0000071	FUN_025121-T1, FUN_050310-T1, FUN_031359-T1, FUN_031363-T1	Aqcoe3G135100.1.p
OG0000071	FUN_017402-T1	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p
OG0000071	FUN_005720-T1	Aqcoe2G390800.1.p
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	Aqcoe5G006300.1.p
OG0000072	FUN_025445-T1	Aqcoe6G077500.1.p
OG0000072	FUN_036489-T1	Aqcoe1G247500.1.p
OG0000072	FUN_049826-T1	Aqcoe5G069600.1.p
OG0000075	FUN_053122-T1, FUN_053198-T1	Aqcoe1G263600.1.p, Aqcoe7G254300.1.p, Aqcoe7G326500.1.p, Aqcoe4G142000.1.p, Aqcoe0192s0001.1.p, Aqcoe5G306000.1.p
OG0000075	FUN_008706-T1, FUN_027892-T1, FUN_001397-T1	Aqcoe2G104800.1.p
