Orthogroup	P_amilis.proteins	A_hypochondriacus.proteins
OG0000026	FUN_045871-T1	AH009955-RA, AH009957-RA, AH010103-RA, AH010096-RA
OG0000026	FUN_052569-T1, FUN_052498-T1, FUN_052569-T2, FUN_045848-T1, FUN_012029-T1, FUN_012027-T1, FUN_045844-T1	AH019482-RA
OG0000026	FUN_052497-T1	AH012021-RA, AH019650-RA
OG0000026	FUN_046670-T1, FUN_045872-T1, FUN_045870-T1	AH010101-RA
OG0000026	FUN_047376-T1, FUN_047376-T2, FUN_047380-T1, FUN_047378-T2, FUN_047378-T1, FUN_047376-T3, FUN_047376-T4, FUN_052621-T1, FUN_047377-T1	AH009956-RA
OG0000026	FUN_046452-T1, FUN_046453-T1, FUN_046749-T1, FUN_020280-T1, FUN_045755-T1	AH008141-RA
OG0000027	FUN_047527-T1	AH002791-RA
OG0000027	FUN_049510-T1	AH009374-RA
OG0000028	FUN_050968-T1, FUN_008999-T1, FUN_050957-T1	AH018624-RA, AH018623-RA, AH019531-RA, AH013997-RA
OG0000028	FUN_050972-T1	AH020917-RA
OG0000028	FUN_003756-T1, FUN_050973-T1, FUN_050954-T1, FUN_050898-T1	AH018563-RA, AH017819-RA, AH017820-RA, AH017818-RA
OG0000028	FUN_017952-T1, FUN_017950-T1, FUN_005868-T1, FUN_005865-T1, FUN_003755-T1	AH020918-RA
OG0000028	FUN_050955-T1	AH013996-RA
OG0000028	FUN_011516-T1	AH019532-RA
OG0000029	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1	AH011677-RA, AH011675-RA, AH011673-RA, AH011672-RA, AH020079-RA, AH011691-RA, AH011681-RA
OG0000029	FUN_012166-T1	AH006350-RA
OG0000030	FUN_012798-T1, FUN_004143-T1, FUN_004142-T1	AH004946-RA, AH004294-RA
OG0000030	FUN_025680-T1, FUN_025681-T1, FUN_025682-T1	AH016837-RA, AH023677-RA, AH023678-RA
OG0000030	FUN_002402-T1	AH002346-RA
OG0000030	FUN_004132-T1	AH004951-RA, AH004295-RA
OG0000031	FUN_020443-T1	AH004273-RA
OG0000031	FUN_030704-T1, FUN_027306-T1, FUN_052133-T1, FUN_045055-T1, FUN_024196-T1, FUN_043727-T1, FUN_002224-T1	AH006728-RA
OG0000031	FUN_009433-T1	AH010117-RA
OG0000031	FUN_018873-T1, FUN_018874-T1, FUN_003563-T1	AH006620-RA, AH020546-RA, AH017304-RA
OG0000031	FUN_009434-T1	AH005774-RA
OG0000031	FUN_038338-T1	AH010116-RA
OG0000032	FUN_031303-T1	AH008800-RA
OG0000032	FUN_012015-T1	AH014263-RA
OG0000032	FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1	AH017723-RA, AH022573-RA
OG0000032	FUN_037257-T1, FUN_043669-T1	AH003819-RA
OG0000034	FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1	AH018551-RA
OG0000034	FUN_017645-T1, FUN_012518-T1, FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1, FUN_012547-T1, FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	AH015068-RA
OG0000037	FUN_001433-T1, FUN_001434-T1	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA
OG0000037	FUN_000651-T1	AH022157-RA, AH022156-RA
OG0000038	FUN_004360-T1, FUN_050362-T1	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA
OG0000040	FUN_033511-T1, FUN_033516-T1, FUN_033517-T1, FUN_033523-T1, FUN_033520-T1, FUN_033521-T1	AH010353-RA
OG0000040	FUN_005498-T1	AH001516-RA
OG0000041	FUN_002730-T1	AH007879-RA
OG0000041	FUN_051239-T1	AH002654-RA
OG0000041	FUN_010340-T1	AH002675-RA, AH017708-RA
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	AH016437-RA
OG0000042	FUN_047988-T2, FUN_047988-T3, FUN_047988-T4, FUN_047988-T1, FUN_047989-T1	AH022589-RA
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA
OG0000043	FUN_032854-T1, FUN_004646-T1	AH015073-RA, AH010383-RA
OG0000043	FUN_024518-T1	AH015075-RA, AH015076-RA, AH015074-RA
OG0000043	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1	AH015480-RA, AH006791-RA
OG0000043	FUN_032853-T1, FUN_011522-T1, FUN_030474-T1	AH006139-RA, AH016708-RA, AH014191-RA, AH008398-RA
OG0000044	FUN_001129-T1	AH003991-RA
OG0000044	FUN_001565-T1	AH008438-RA
OG0000044	FUN_020670-T1	AH006255-RA
OG0000044	FUN_050016-T1	AH016207-RA
OG0000044	FUN_005250-T1	AH016206-RA
OG0000044	FUN_012688-T1	AH001378-RA
OG0000044	FUN_050905-T1	AH002596-RA, AH017804-RA
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	AH000561-RA
OG0000046	FUN_015529-T1, FUN_026427-T1	AH020861-RA
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	AH005447-RA, AH004082-RA
OG0000046	FUN_016469-T1, FUN_029956-T1	AH016482-RA
OG0000046	FUN_006303-T1	AH003338-RA
OG0000046	FUN_006307-T1	AH002087-RA, AH000466-RA
OG0000047	FUN_016927-T1, FUN_029662-T1	AH003569-RA
OG0000047	FUN_052024-T1	AH008841-RA, AH000830-RA, AH000718-RA
OG0000047	FUN_044316-T1	AH011231-RA, AH020493-RA
OG0000047	FUN_008876-T2	AH011987-RA
OG0000047	FUN_038585-T1	AH008924-RA
OG0000047	FUN_025284-T1	AH023632-RA, AH004534-RA
OG0000047	FUN_011417-T1	AH009198-RA, AH008597-RA
OG0000048	FUN_004047-T1, FUN_020331-T1, FUN_020329-T1, FUN_020334-T1	AH012470-RA, AH003272-RA, AH012469-RA, AH012467-RA, AH012466-RA
OG0000048	FUN_020328-T1, FUN_004032-T1, FUN_004039-T1, FUN_053006-T1, FUN_004044-T1	AH021362-RA, AH012468-RA
OG0000048	FUN_004042-T1, FUN_004048-T1	AH021718-RA, AH012465-RA
OG0000050	FUN_004521-T1, FUN_046746-T1, FUN_008570-T1	AH022759-RA
OG0000050	FUN_053084-T1	AH005523-RA, AH010514-RA, AH001631-RA, AH002024-RA, AH013410-RA, AH019444-RA, AH011279-RA, AH019635-RA, AH016859-RA, AH018123-RA, AH016867-RA, AH013959-RA, AH011320-RA
OG0000050	FUN_053186-T1, FUN_026082-T1, FUN_047850-T1, FUN_029523-T1, FUN_042954-T1, FUN_033625-T1, FUN_015539-T1	AH015550-RA
OG0000055	FUN_025259-T1, FUN_025259-T2	AH005218-RA, AH004572-RA
OG0000055	FUN_020259-T1	AH007027-RA
OG0000055	FUN_024965-T1	AH013063-RA
OG0000055	FUN_051595-T1	AH010394-RA
OG0000056	FUN_051500-T1	AH010523-RA
OG0000056	FUN_046643-T1, FUN_046644-T1, FUN_046645-T1, FUN_046646-T1	AH006697-RA
OG0000056	FUN_004783-T1, FUN_013626-T1, FUN_014936-T1	AH022868-RA, AH022873-RA, AH023487-RA, AH021120-RA
OG0000056	FUN_018366-T1	AH021731-RA, AH012482-RA
OG0000058	FUN_000928-T1	AH016699-RA
OG0000058	FUN_020519-T1, FUN_000927-T1	AH012624-RA
OG0000059	FUN_020456-T1	AH004860-RA
OG0000059	FUN_020369-T1, FUN_020373-T1, FUN_020369-T2, FUN_020377-T1, FUN_020374-T1	AH006349-RA, AH006347-RA, AH011674-RA, AH011171-RA, AH018362-RA, AH011169-RA, AH007432-RA
OG0000059	FUN_026705-T1	AH014450-RA, AH014451-RA
OG0000059	FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1	AH011189-RA, AH011195-RA, AH011191-RA
OG0000059	FUN_036106-T1	AH007426-RA
OG0000059	FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1	AH011192-RA, AH011196-RA, AH011193-RA, AH011201-RA
OG0000060	FUN_019328-T1, FUN_053291-T1, FUN_053219-T1, FUN_053226-T1, FUN_053013-T1, FUN_053171-T1	AH016857-RA
OG0000063	FUN_004978-T1	AH001425-RA
OG0000063	FUN_028019-T1, FUN_027976-T1	AH001424-RA
OG0000063	FUN_049359-T1	AH022436-RA
OG0000063	FUN_029304-T1	AH023171-RA
OG0000063	FUN_029314-T1	AH016306-RA
OG0000063	FUN_029311-T1, FUN_019002-T1, FUN_019000-T1, FUN_018999-T1	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA
OG0000063	FUN_029305-T1	AH023174-RA
OG0000063	FUN_018998-T1	AH016303-RA, AH023175-RA
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	AH020188-RA
OG0000065	FUN_033117-T1	AH020229-RA
OG0000065	FUN_043594-T1	AH013022-RA
OG0000067	FUN_027482-T1	AH001311-RA
OG0000067	FUN_038294-T1	AH020386-RA
OG0000068	FUN_045069-T1, FUN_045070-T1	AH011897-RA
OG0000068	FUN_035301-T1	AH021520-RA
OG0000068	FUN_012468-T3, FUN_012468-T1, FUN_012468-T2	AH021522-RA, AH015036-RA, AH015035-RA
OG0000068	FUN_029024-T1	AH020117-RA
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	AH004919-RA, AH004504-RA, AH022950-RA
OG0000070	FUN_047896-T1, FUN_009640-T1	AH013681-RA
OG0000070	FUN_038597-T1	AH016471-RA
OG0000071	FUN_025121-T1, FUN_050310-T1	AH022369-RA, AH013559-RA
OG0000071	FUN_045262-T1	AH019943-RA
OG0000071	FUN_006200-T1	AH012735-RA
OG0000071	FUN_017402-T1	AH020129-RA
OG0000071	FUN_005720-T1	AH006941-RA, AH004025-RA, AH005525-RA
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	AH013047-RA
OG0000071	FUN_032036-T1	AH004886-RA
OG0000072	FUN_025445-T1	AH003759-RA, AH005866-RA
OG0000072	FUN_036489-T1	AH008035-RA
OG0000072	FUN_011881-T1	AH011844-RA
OG0000076	FUN_032437-T1, FUN_004161-T1, FUN_030217-T1, FUN_027898-T1	AH000848-RA, AH016383-RA, AH023797-RA, AH013574-RA, AH009513-RA, AH004741-RA
OG0000077	FUN_051935-T1, FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1	AH000842-RA
OG0000077	FUN_018829-T1	AH019349-RA
OG0000077	FUN_000256-T1	AH007662-RA, AH007663-RA
OG0000077	FUN_033024-T1	AH006889-RA
OG0000085	FUN_041708-T1, FUN_028183-T1	AH014594-RA, AH021106-RA
OG0000085	FUN_023955-T1	AH013377-RA
OG0000085	FUN_050067-T1, FUN_023959-T1	AH013378-RA
OG0000085	FUN_007810-T1	AH021680-RA
OG0000085	FUN_005979-T1, FUN_044617-T1	AH015892-RA, AH017005-RA
OG0000085	FUN_041849-T1	AH018522-RA
OG0000087	FUN_004476-T1, FUN_032711-T1	AH006703-RA, AH020455-RA
OG0000087	FUN_030789-T1	AH019163-RA, AH015676-RA
OG0000087	FUN_018863-T1, FUN_018862-T1, FUN_018860-T1, FUN_018865-T1, FUN_030787-T1	AH019164-RA, AH015677-RA
OG0000087	FUN_029231-T1	AH015391-RA, AH008860-RA, AH019285-RA, AH015392-RA
OG0000087	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1	AH004659-RA
OG0000087	FUN_047495-T1, FUN_010957-T1	AH017338-RA
OG0000088	FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2	AH007982-RA
OG0000089	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4	AH002040-RA
OG0000089	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4	AH019224-RA, AH019223-RA
OG0000089	FUN_026304-T1	AH014168-RA
OG0000090	FUN_052301-T2, FUN_052301-T1	AH003790-RA, AH010641-RA
OG0000090	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2	AH005307-RA, AH004871-RA, AH004467-RA
OG0000091	FUN_032283-T1, FUN_034071-T1	AH020558-RA
OG0000091	FUN_034072-T1, FUN_003535-T1	AH020560-RA
OG0000091	FUN_038181-T1	AH008757-RA
OG0000091	FUN_018772-T1, FUN_018773-T1	AH019221-RA, AH019219-RA
OG0000092	FUN_012616-T1	AH002167-RA
OG0000092	FUN_005023-T1, FUN_018581-T1, FUN_044125-T1	AH016633-RA
OG0000092	FUN_014526-T1, FUN_014403-T1	AH021997-RA
OG0000092	FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1	AH012260-RA
OG0000093	FUN_000348-T2, FUN_000348-T1, FUN_000344-T1	AH013659-RA
OG0000093	FUN_035606-T1, FUN_000349-T1	AH010915-RA
OG0000095	FUN_053310-T2, FUN_053310-T1	AH013260-RA
OG0000095	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4	AH006304-RA
OG0000095	FUN_053289-T2, FUN_053289-T1	AH010162-RA
OG0000096	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1	AH005894-RA
OG0000096	FUN_032550-T1	AH001835-RA
OG0000097	FUN_010778-T1	AH017957-RA
OG0000097	FUN_052250-T1	AH006658-RA, AH014154-RA
OG0000097	FUN_033181-T1, FUN_033164-T1, FUN_033167-T1, FUN_018427-T1, FUN_033280-T1, FUN_033237-T1, FUN_033239-T1, FUN_033190-T1	AH009806-RA, AH009803-RA, AH009808-RA, AH009820-RA, AH009797-RA, AH009800-RA, AH009810-RA, AH009805-RA, AH009802-RA, AH009809-RA, AH009816-RA, AH009798-RA
OG0000097	FUN_008459-T1	AH021560-RA
OG0000097	FUN_014137-T1, FUN_011797-T1	AH009815-RA
OG0000097	FUN_023814-T1	AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA
OG0000098	FUN_024139-T1	AH016758-RA
OG0000099	FUN_004255-T1	AH005801-RA
OG0000099	FUN_004319-T1, FUN_000816-T1, FUN_004293-T1	AH005807-RA, AH005808-RA, AH005980-RA, AH005678-RA, AH005805-RA, AH005804-RA, AH005803-RA
OG0000099	FUN_006143-T1, FUN_004278-T1, FUN_004291-T1, FUN_004281-T1, FUN_004285-T1, FUN_004252-T1, FUN_012557-T1, FUN_004277-T1, FUN_013003-T1, FUN_007545-T1, FUN_004218-T1, FUN_004273-T1, FUN_004257-T1, FUN_004271-T1, FUN_004244-T1	AH013600-RA, AH013598-RA, AH013601-RA, AH013599-RA
OG0000102	FUN_036782-T1, FUN_036783-T1	AH010958-RA, AH012445-RA
OG0000102	FUN_036786-T1	AH021394-RA
OG0000103	FUN_046694-T1, FUN_046694-T2	AH010123-RA
OG0000103	FUN_008761-T1, FUN_008761-T2	AH010272-RA, AH008021-RA, AH015077-RA
OG0000104	FUN_020265-T1	AH021778-RA, AH012562-RA
OG0000104	FUN_022997-T1	AH012563-RA
OG0000104	FUN_048807-T1, FUN_048810-T1, FUN_048813-T1, FUN_048812-T1, FUN_048811-T1, FUN_048808-T1, FUN_033750-T1	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA
OG0000105	FUN_039134-T1	AH012640-RA, AH021838-RA
OG0000105	FUN_049962-T1	AH013279-RA
OG0000107	FUN_020121-T2, FUN_020121-T1	AH004190-RA, AH005485-RA
OG0000107	FUN_033480-T2, FUN_033480-T1, FUN_020090-T1	AH001713-RA
OG0000108	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1	AH010687-RA, AH001829-RA
OG0000108	FUN_034902-T1	AH012760-RA, AH014759-RA
OG0000109	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2	AH001741-RA
OG0000109	FUN_031066-T1, FUN_025571-T1	AH003764-RA
OG0000109	FUN_038539-T1	AH008949-RA
OG0000110	FUN_020206-T1	AH019974-RA, AH007045-RA
OG0000112	FUN_009885-T1	AH015562-RA
OG0000113	FUN_036924-T1	AH023633-RA
OG0000113	FUN_040152-T1, FUN_040153-T1	AH018586-RA
OG0000113	FUN_040158-T1, FUN_040160-T1	AH018584-RA
OG0000113	FUN_040191-T1	AH018579-RA
OG0000114	FUN_035476-T1, FUN_035471-T1	AH015161-RA
OG0000115	FUN_033974-T3, FUN_033974-T2, FUN_033974-T1, FUN_016159-T1	AH020498-RA
OG0000115	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1	AH002718-RA, AH002719-RA
OG0000115	FUN_004395-T1, FUN_004390-T1	AH021864-RA, AH006630-RA
OG0000115	FUN_043606-T1, FUN_043605-T1	AH011228-RA
OG0000116	FUN_024579-T1	AH006915-RA
OG0000116	FUN_020145-T1, FUN_024580-T1, FUN_029945-T1, FUN_011257-T1	AH022502-RA
OG0000117	FUN_020513-T1	AH011627-RA, AH011626-RA
OG0000117	FUN_001316-T1, FUN_001319-T1, FUN_001321-T1, FUN_015683-T1	AH021154-RA
OG0000117	FUN_020368-T1, FUN_020378-T1	AH014525-RA, AH014524-RA, AH020866-RA, AH014523-RA, AH000151-RA, AH004397-RA, AH004396-RA, AH004394-RA, AH004395-RA, AH021986-RA, AH021985-RA
OG0000118	FUN_024743-T1	AH022107-RA
OG0000118	FUN_008995-T1	AH012040-RA
OG0000118	FUN_013730-T1	AH019634-RA
OG0000118	FUN_031123-T1	AH006465-RA
OG0000118	FUN_051972-T1	AH002266-RA
OG0000119	FUN_032783-T1, FUN_032786-T1, FUN_032789-T1, FUN_032784-T1, FUN_032788-T1, FUN_032787-T1	AH021449-RA
OG0000119	FUN_035450-T1, FUN_035452-T1	AH017345-RA, AH002923-RA
OG0000120	FUN_004771-T1, FUN_032956-T1	AH020337-RA, AH006837-RA
OG0000120	FUN_036476-T1	AH010921-RA
OG0000120	FUN_004748-T1	AH020344-RA
OG0000120	FUN_049140-T1, FUN_037205-T1	AH009707-RA
OG0000120	FUN_040842-T1	AH018632-RA
OG0000121	FUN_022170-T1, FUN_042012-T1	AH010321-RA
OG0000121	FUN_009612-T1	AH003861-RA
OG0000121	FUN_049916-T1	AH022634-RA
OG0000121	FUN_008752-T5, FUN_008752-T1, FUN_008752-T2, FUN_008753-T1, FUN_008752-T4, FUN_039944-T1	AH003011-RA
OG0000121	FUN_008752-T3	AH010322-RA, AH013867-RA
OG0000122	FUN_027205-T1	AH015608-RA
OG0000123	FUN_020425-T1	AH004264-RA, AH005234-RA
OG0000124	FUN_046051-T1, FUN_046050-T1	AH001904-RA
OG0000124	FUN_012683-T1	AH001376-RA
OG0000124	FUN_046055-T1, FUN_046056-T1, FUN_046057-T1, FUN_046063-T1, FUN_046061-T1, FUN_046062-T1, FUN_046064-T1	AH019891-RA, AH004745-RA, AH000628-RA
OG0000124	FUN_046942-T1, FUN_013341-T1	AH015148-RA
OG0000125	FUN_042787-T2, FUN_042787-T1, FUN_042787-T3	AH012890-RA
OG0000125	FUN_000422-T1	AH010565-RA
OG0000125	FUN_000424-T1	AH010563-RA
OG0000127	FUN_036806-T1, FUN_051586-T1	AH010397-RA
OG0000127	FUN_042852-T1, FUN_024673-T1, FUN_024672-T1, FUN_024676-T1	AH022171-RA, AH012869-RA
OG0000127	FUN_046971-T1, FUN_011383-T1	AH002969-RA, AH017357-RA
OG0000127	FUN_011381-T1, FUN_011381-T2, FUN_011382-T1, FUN_046977-T2, FUN_046977-T1, FUN_046978-T1, FUN_046974-T2, FUN_046974-T1, FUN_046975-T1	AH017358-RA, AH002968-RA
OG0000128	FUN_006077-T1	AH013510-RA
OG0000128	FUN_049798-T1, FUN_032866-T1, FUN_032867-T1	AH013513-RA
OG0000129	FUN_008279-T1	AH019248-RA
OG0000129	FUN_008282-T1	AH019249-RA
OG0000131	FUN_028128-T1	AH014578-RA
OG0000131	FUN_028063-T1, FUN_050388-T1	AH016864-RA, AH016862-RA, AH003876-RA
OG0000131	FUN_032815-T1, FUN_032816-T1, FUN_032812-T1, FUN_032814-T1	AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA
OG0000131	FUN_028106-T1	AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA
OG0000131	FUN_028062-T1	AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA
OG0000135	FUN_020155-T1	AH022214-RA
OG0000135	FUN_005277-T2, FUN_005277-T1	AH016059-RA
OG0000135	FUN_025181-T1, FUN_050254-T1	AH013502-RA
OG0000135	FUN_005976-T1, FUN_044613-T1	AH015896-RA
OG0000136	FUN_010903-T1, FUN_047448-T1	AH017306-RA
OG0000136	FUN_051971-T1, FUN_045727-T1	AH000810-RA, AH002265-RA
OG0000137	FUN_043057-T1, FUN_043055-T1, FUN_043053-T1, FUN_043064-T2, FUN_043059-T1, FUN_043060-T1, FUN_043064-T1, FUN_043058-T1, FUN_043065-T1, FUN_043052-T1, FUN_043051-T1, FUN_043049-T1, FUN_043054-T1, FUN_043056-T1, FUN_043070-T1, FUN_043071-T1, FUN_042992-T1, FUN_042991-T1, FUN_042990-T1, FUN_042989-T1	AH022076-RA, AH022075-RA
OG0000137	FUN_024797-T1	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA
OG0000138	FUN_030061-T1	AH016422-RA, AH016421-RA
OG0000138	FUN_047956-T1	AH013724-RA, AH022574-RA
OG0000139	FUN_004597-T1, FUN_004596-T1	AH023020-RA
OG0000139	FUN_019194-T1, FUN_030158-T1, FUN_030157-T1, FUN_004595-T1, FUN_019198-T1	AH016410-RA
OG0000140	FUN_027748-T2, FUN_027748-T1, FUN_027740-T1, FUN_027742-T1, FUN_027742-T2, FUN_027743-T1, FUN_027741-T1, FUN_027966-T1, FUN_027739-T1, FUN_027737-T1	AH001067-RA, AH001066-RA
