Orthogroup	P_amilis.proteins	S_lycopersicum.proteins
OG0000021	FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1	Solyc06g084820.2.1, Solyc06g066270.1.1, Solyc06g066280.3.1
OG0000022	FUN_017760-T1, FUN_017729-T1, FUN_036727-T1, FUN_017837-T1, FUN_017706-T1, FUN_017754-T1, FUN_017828-T1, FUN_017840-T1, FUN_017838-T1	Solyc04g051880.2.1
OG0000022	FUN_047266-T1, FUN_047264-T1, FUN_047273-T1, FUN_047272-T1, FUN_010663-T1	Solyc04g072510.3.1, Solyc04g072520.2.1, Solyc12g010650.1.1, Solyc04g072530.2.1, Solyc04g072540.3.1, Solyc04g072500.1.1, Solyc04g072550.2.1, Solyc11g022600.2.1
OG0000023	FUN_014375-T1, FUN_020167-T1	Solyc12g088260.1.1, Solyc12g019560.1.1
OG0000024	FUN_010896-T1, FUN_010897-T1, FUN_010895-T1	Solyc07g052070.2.1, Solyc07g052073.1.1, Solyc10g007930.3.1, Solyc10g007900.3.1, Solyc06g084770.2.1, Solyc07g052025.1.1
OG0000024	FUN_015806-T1, FUN_047602-T2, FUN_047602-T1, FUN_047086-T4, FUN_047086-T2, FUN_047086-T1, FUN_047607-T1, FUN_047607-T2, FUN_047086-T3, FUN_047274-T1, FUN_044962-T1, FUN_008514-T1, FUN_044964-T2, FUN_044964-T1	Solyc10g007890.3.1, Solyc10g051020.2.1, Solyc10g007880.3.1, Solyc07g006145.1.1, Solyc07g062520.3.1, Solyc07g062510.2.1, Solyc06g084760.2.1, Solyc07g062500.3.1, Solyc07g055350.3.1, Solyc07g055560.3.1, Solyc07g055550.2.1, Solyc07g055440.2.1, Solyc07g055450.2.1, Solyc07g055362.1.1, Solyc07g055460.3.1, Solyc07g055530.3.1, Solyc07g055480.2.1, Solyc07g055470.3.1, Solyc07g055540.3.1, Solyc07g055490.3.1
OG0000025	FUN_050791-T1, FUN_051656-T1	Solyc10g054733.1.1, Solyc10g054750.1.1, Solyc01g110900.1.1
OG0000025	FUN_050776-T1	Solyc01g110970.3.1, Solyc10g052585.1.1, Solyc12g036405.1.1, Solyc04g052895.1.1, Solyc04g052975.1.1, Solyc01g110785.1.1, Solyc11g011655.1.1, Solyc10g052545.1.1, Solyc04g053023.1.1, Solyc10g054737.1.1, Solyc01g110647.1.1
OG0000026	FUN_028423-T2, FUN_028423-T1, FUN_020313-T1, FUN_020306-T1, FUN_020306-T2, FUN_020311-T1	Solyc01g101190.3.1, Solyc01g101180.3.1, Solyc01g101210.4.1, Solyc01g101170.3.1, Solyc04g054380.1.1, Solyc04g051620.2.1
OG0000026	FUN_046668-T1	Solyc06g060010.3.1
OG0000026	FUN_046670-T1, FUN_045872-T1, FUN_045870-T1	Solyc06g060013.1.1, Solyc07g052120.3.1
OG0000027	FUN_047527-T1	Solyc00g257110.3.1, Solyc03g113405.1.1, Solyc06g071100.3.1
OG0000027	FUN_049510-T1	Solyc08g078200.2.1
OG0000027	FUN_011010-T2, FUN_011010-T1	Solyc07g005040.3.1
OG0000027	FUN_013068-T1, FUN_026793-T2, FUN_026793-T1, FUN_005343-T1, FUN_005343-T2	Solyc07g017780.3.1
OG0000027	FUN_053156-T1	Solyc12g010360.2.1
OG0000027	FUN_052200-T1, FUN_005491-T1	Solyc03g117150.3.1
OG0000028	FUN_023817-T1	Solyc01g014940.1.1, Solyc01g014930.1.1, Solyc01g012690.1.1
OG0000029	FUN_010620-T1, FUN_010619-T1, FUN_010621-T1, FUN_001276-T1	Solyc09g015210.1.1, Solyc09g015220.2.1, Solyc09g015240.1.1, Solyc09g015230.1.1
OG0000029	FUN_012166-T1	Solyc09g015200.1.1
OG0000029	FUN_036143-T1, FUN_036144-T1, FUN_001608-T1	Solyc05g017780.1.1
OG0000029	FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1, FUN_005297-T1, FUN_005301-T1, FUN_005295-T1, FUN_005299-T1, FUN_005302-T1, FUN_005294-T1	Solyc11g072140.2.1, Solyc09g014730.3.1, Solyc09g014710.3.1, Solyc09g014720.2.1, Solyc09g014740.3.1, Solyc10g076530.2.1
OG0000030	FUN_012798-T1, FUN_004143-T1, FUN_004142-T1	Solyc02g082980.1.1, Solyc02g082985.1.1
OG0000030	FUN_004132-T1	Solyc02g083120.2.1
OG0000031	FUN_047053-T1	Solyc01g080980.1.1
OG0000031	FUN_018873-T1, FUN_018874-T1, FUN_003563-T1	Solyc09g091530.2.1, Solyc09g091540.1.1, Solyc09g091550.3.1, Solyc04g055260.3.1, Solyc00g032947.1.1, Solyc12g036673.1.1, Solyc01g081340.3.1
OG0000031	FUN_009434-T1	Solyc02g084950.3.1
OG0000031	FUN_038338-T1	Solyc04g080660.3.1
OG0000032	FUN_047445-T1, FUN_047444-T1, FUN_047446-T1, FUN_047439-T1, FUN_047440-T1, FUN_047438-T1, FUN_047441-T1, FUN_047436-T1, FUN_047442-T1, FUN_010876-T1, FUN_010877-T1, FUN_031303-T1, FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1	Solyc01g102900.3.1, Solyc01g102875.1.1, Solyc01g102910.3.1, Solyc01g102890.3.1
OG0000034	FUN_018515-T1	Solyc02g080000.1.1
OG0000034	FUN_017645-T1, FUN_012518-T1, FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1, FUN_012547-T1, FUN_035333-T2, FUN_035333-T1, FUN_035332-T1	Solyc02g080040.3.1, Solyc02g080010.2.1, Solyc02g080070.3.1, Solyc02g080080.3.1, Solyc02g079990.3.1, Solyc02g080090.1.1, Solyc02g080030.1.1
OG0000037	FUN_000651-T1	Solyc09g059240.3.1
OG0000038	FUN_030253-T1, FUN_004360-T1, FUN_050362-T1	Solyc06g076160.3.1
OG0000038	FUN_037585-T1, FUN_025377-T1	Solyc09g014900.3.1
OG0000038	FUN_025077-T1, FUN_025080-T1, FUN_025078-T1, FUN_025078-T2, FUN_025081-T1	Solyc03g111880.3.1, Solyc03g111950.3.1, Solyc03g111930.3.1, Solyc03g111920.2.1, Solyc03g111935.1.1, Solyc03g111990.3.1, Solyc03g111973.1.1, Solyc03g026377.1.1, Solyc03g112010.3.1, Solyc03g111887.1.1, Solyc03g112040.1.1, Solyc03g112030.2.1
OG0000040	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1	Solyc01g008570.1.1, Solyc01g008500.3.1, Solyc11g007420.1.1, Solyc11g007400.1.1, Solyc02g081510.2.1, Solyc02g081470.3.1, Solyc02g079600.3.1
OG0000041	FUN_051962-T1, FUN_045720-T1	Solyc10g055410.2.1, Solyc01g111500.3.1
OG0000041	FUN_015112-T1	Solyc03g005570.3.1, Solyc06g053610.3.1
OG0000041	FUN_010340-T1	Solyc01g079620.3.1, Solyc12g049350.2.1, Solyc06g009710.3.1
OG0000041	FUN_037732-T1, FUN_048382-T1	Solyc06g065100.3.1
OG0000042	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1	Solyc03g096650.2.1
OG0000042	FUN_047986-T1	Solyc06g005720.3.1
OG0000042	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1	Solyc10g086620.2.1, Solyc04g054950.3.1, Solyc09g011130.1.1, Solyc09g011140.3.1, Solyc10g081560.2.1
OG0000043	FUN_030472-T1	Solyc02g092860.3.1, Solyc02g064850.2.1
OG0000043	FUN_004643-T1, FUN_033034-T1, FUN_030269-T1, FUN_032851-T1, FUN_032852-T1	Solyc04g078360.1.1, Solyc04g078340.3.1, Solyc07g014670.3.1, Solyc04g078370.3.1
OG0000043	FUN_032853-T1, FUN_011522-T1, FUN_030474-T1	Solyc04g078270.3.1, Solyc04g078290.3.1
OG0000044	FUN_001129-T1	Solyc02g085580.3.1, Solyc02g062940.3.1
OG0000044	FUN_020670-T1	Solyc04g008500.3.1
OG0000044	FUN_050016-T1	Solyc01g007890.2.1
OG0000044	FUN_039424-T1	Solyc11g069240.2.1, Solyc06g075250.3.1, Solyc10g084180.2.1, Solyc09g007550.3.1
OG0000044	FUN_012688-T1	Solyc07g053570.3.1
OG0000044	FUN_050905-T1	Solyc09g065670.3.1
OG0000046	FUN_002274-T2, FUN_002274-T3, FUN_002274-T1, FUN_007518-T1	Solyc11g044460.2.1, Solyc01g109530.3.1, Solyc10g051330.2.1
OG0000046	FUN_015529-T1, FUN_026427-T1	Solyc12g007110.2.1
OG0000046	FUN_023782-T1, FUN_033699-T1, FUN_033699-T3, FUN_033699-T2	Solyc05g010140.3.1, Solyc01g010030.3.1
OG0000046	FUN_016469-T1, FUN_029956-T1	Solyc02g089760.3.1
OG0000046	FUN_000148-T2, FUN_000148-T1, FUN_006302-T1, FUN_006303-T1, FUN_006307-T1	Solyc02g089750.4.1
OG0000047	FUN_016927-T1, FUN_029662-T1	Solyc04g078300.3.1
OG0000047	FUN_044316-T1	Solyc04g025050.1.1
OG0000047	FUN_038585-T1	Solyc12g088080.1.1
OG0000047	FUN_025284-T1	Solyc12g087830.2.1
OG0000047	FUN_011417-T1	Solyc00g179240.2.1, Solyc10g017640.1.1, Solyc06g035560.2.1
OG0000048	FUN_004047-T1, FUN_020331-T1, FUN_020329-T1, FUN_020334-T1, FUN_020328-T1, FUN_004032-T1, FUN_004039-T1, FUN_053006-T1, FUN_004044-T1, FUN_004042-T1, FUN_004048-T1	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1
OG0000048	FUN_020326-T1	Solyc01g081600.3.1
OG0000050	FUN_014549-T1, FUN_004548-T1, FUN_049205-T1	Solyc04g015475.1.1
OG0000050	FUN_053296-T1	Solyc02g065260.3.1
OG0000051	FUN_053077-T1, FUN_053100-T1	Solyc05g013435.1.1
OG0000051	FUN_053064-T1, FUN_053028-T1, FUN_053327-T1, FUN_053002-T1, FUN_052994-T1, FUN_053000-T1, FUN_053202-T1, FUN_053270-T1, FUN_053137-T1, FUN_053195-T1, FUN_053159-T1, FUN_053268-T1, FUN_053116-T1, FUN_053040-T1, FUN_053305-T1, FUN_053253-T1	Solyc00g304030.2.1, Solyc05g021247.1.1
OG0000051	FUN_009537-T1, FUN_027836-T1	Solyc01g058230.1.1
OG0000051	FUN_053323-T1, FUN_029031-T1, FUN_005994-T1, FUN_053287-T1, FUN_053148-T1, FUN_042860-T1, FUN_053119-T1, FUN_043928-T1, FUN_027860-T1, FUN_009799-T1, FUN_017350-T1, FUN_039946-T1, FUN_025125-T1, FUN_010148-T1, FUN_026904-T1, FUN_021790-T1	Solyc07g026580.1.1
OG0000052	FUN_023455-T1, FUN_053229-T1	Solyc00g012690.1.1
OG0000055	FUN_025259-T1, FUN_025259-T2	Solyc05g024290.3.1
OG0000055	FUN_020259-T1	Solyc01g067400.3.1
OG0000055	FUN_020601-T1	Solyc02g094380.2.1
OG0000055	FUN_043526-T1, FUN_024966-T1	Solyc09g061330.2.1, Solyc06g083500.3.1
OG0000055	FUN_051595-T1	Solyc04g050970.3.1
OG0000055	FUN_045967-T1, FUN_049882-T1	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1
OG0000055	FUN_014867-T1	Solyc10g005300.3.1
OG0000055	FUN_007699-T1	Solyc11g072660.2.1, Solyc06g075550.3.1
OG0000056	FUN_036761-T1, FUN_036761-T2	Solyc03g006240.3.1
OG0000056	FUN_051500-T1	Solyc01g099080.3.1
OG0000058	FUN_000928-T1	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1
OG0000058	FUN_020519-T1, FUN_000927-T1	Solyc09g009750.2.1
OG0000059	FUN_026705-T1, FUN_036105-T1, FUN_036107-T1, FUN_036112-T1, FUN_036129-T1, FUN_036113-T1, FUN_036123-T1, FUN_036122-T1, FUN_036124-T1, FUN_036130-T1, FUN_036128-T1, FUN_036114-T1, FUN_012167-T1, FUN_036111-T1, FUN_036108-T1, FUN_036106-T1, FUN_036101-T1, FUN_036102-T1, FUN_036102-T2, FUN_036098-T1, FUN_036099-T1, FUN_049926-T1, FUN_052447-T1	Solyc02g068660.2.1
OG0000059	FUN_001172-T1, FUN_036121-T1, FUN_036120-T1, FUN_036109-T1, FUN_036125-T1	Solyc09g005190.2.1, Solyc10g076560.1.1
OG0000060	FUN_053219-T1	Solyc10g150000.2.1
OG0000060	FUN_053226-T1, FUN_053013-T1	Solyc10g045650.2.1
OG0000060	FUN_053171-T1	Solyc02g061930.2.1, Solyc03g033760.2.1
OG0000063	FUN_004978-T1, FUN_028019-T1, FUN_027976-T1, FUN_006651-T1	Solyc07g055190.3.1, Solyc03g025380.3.1
OG0000063	FUN_029304-T1, FUN_029314-T1, FUN_029317-T2, FUN_029317-T1, FUN_019005-T1	Solyc09g018600.1.1
OG0000063	FUN_029311-T1, FUN_019002-T1, FUN_019000-T1, FUN_018999-T1	Solyc06g050440.3.1, Solyc05g052280.3.1
OG0000065	FUN_023948-T1, FUN_023949-T1, FUN_023951-T1, FUN_023953-T1, FUN_030381-T1	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1
OG0000065	FUN_033117-T1	Solyc12g097080.2.1, Solyc09g091140.3.1, Solyc09g091130.3.1
OG0000065	FUN_043594-T1	Solyc09g063150.3.1
OG0000067	FUN_027482-T1	Solyc11g072490.2.1
OG0000067	FUN_038294-T1	Solyc10g019030.1.1
OG0000068	FUN_045069-T1, FUN_045070-T1, FUN_035301-T1, FUN_012468-T3, FUN_012468-T1, FUN_012468-T2, FUN_029024-T1	Solyc02g068670.2.1, Solyc02g068600.3.1
OG0000068	FUN_014800-T1	Solyc02g068610.2.1
OG0000070	FUN_031965-T1, FUN_025355-T1, FUN_010235-T1	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1
OG0000070	FUN_047896-T1, FUN_009640-T1	Solyc10g086460.2.1
OG0000070	FUN_038597-T1	Solyc04g045285.1.1, Solyc05g024490.3.1, Solyc11g005330.2.1
OG0000071	FUN_025121-T1, FUN_050310-T1	Solyc03g111690.3.1
OG0000071	FUN_031359-T1, FUN_031363-T1	Solyc02g093580.3.1
OG0000071	FUN_006200-T1	Solyc09g008380.3.1
OG0000071	FUN_017402-T1	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1
OG0000071	FUN_005720-T1	Solyc09g091430.3.1
OG0000071	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2	Solyc09g061890.3.1
OG0000071	FUN_032036-T1	Solyc05g014000.3.1
OG0000072	FUN_025445-T1	Solyc04g081150.3.1
OG0000072	FUN_036489-T1	Solyc01g073970.3.1, Solyc02g077480.1.1
OG0000072	FUN_011881-T1	Solyc01g086820.3.1
OG0000072	FUN_049817-T1, FUN_049815-T1, FUN_049825-T1, FUN_049826-T1	Solyc11g010230.2.1
OG0000075	FUN_008706-T1, FUN_027892-T1, FUN_001397-T1	Solyc09g056435.1.1
OG0000077	FUN_051935-T1	Solyc10g055200.1.1, Solyc01g111235.1.1, Solyc02g032040.1.1, Solyc02g032050.1.1, Solyc02g032030.1.1, Solyc10g008900.3.1, Solyc10g055230.1.1, Solyc10g055190.1.1, Solyc10g055210.2.1, Solyc10g055065.1.1, Solyc10g054975.1.1, Solyc10g055085.1.1, Solyc10g055000.2.1, Solyc10g055090.1.1
OG0000077	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1	Solyc01g111230.3.1
OG0000077	FUN_018829-T1	Solyc06g054320.1.1
OG0000077	FUN_000256-T1	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1
OG0000077	FUN_033024-T1	Solyc07g042300.1.1
OG0000078	FUN_030618-T1, FUN_041364-T1, FUN_011520-T1, FUN_046202-T1	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1
OG0000084	FUN_028502-T1, FUN_028512-T1, FUN_046448-T1, FUN_046447-T1, FUN_046444-T1, FUN_046450-T1, FUN_046449-T1, FUN_046445-T1	Solyc02g092250.3.1, Solyc10g017510.3.1
OG0000085	FUN_041708-T1, FUN_028183-T1	Solyc07g041940.3.1
OG0000085	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1	Solyc12g049360.2.1, Solyc06g062920.3.1
OG0000085	FUN_007810-T1	Solyc10g074710.2.1
OG0000085	FUN_005979-T1, FUN_044617-T1	Solyc12g009310.2.1, Solyc07g042590.3.1
OG0000085	FUN_003118-T1	Solyc01g028830.3.1
OG0000085	FUN_041849-T1	Solyc08g074980.3.1
OG0000087	FUN_004476-T1, FUN_032711-T1	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1
OG0000087	FUN_030789-T1, FUN_030788-T1, FUN_018859-T1, FUN_018863-T1, FUN_018862-T1, FUN_018860-T1, FUN_018865-T1, FUN_030787-T1	Solyc02g071220.3.1
OG0000087	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1	Solyc05g006420.3.1
OG0000087	FUN_047495-T1, FUN_010957-T1	Solyc03g113720.3.1
OG0000088	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1	Solyc12g014350.2.1
OG0000089	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1
OG0000089	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4, FUN_026304-T1	Solyc08g067610.3.1, Solyc08g067620.2.1
OG0000090	FUN_052301-T2, FUN_052301-T1	Solyc09g065870.3.1
OG0000090	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2	Solyc02g093520.3.1
OG0000091	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1	Solyc12g098610.2.1, Solyc09g092520.3.1
OG0000091	FUN_038181-T1, FUN_018772-T1, FUN_018773-T1, FUN_030891-T1, FUN_030890-T1, FUN_030889-T1, FUN_030888-T1, FUN_030887-T1, FUN_030892-T1	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1
OG0000092	FUN_017540-T1, FUN_008235-T1, FUN_014470-T1, FUN_005023-T1, FUN_018581-T1, FUN_044125-T1, FUN_017545-T1, FUN_017554-T1, FUN_017547-T1, FUN_017453-T1, FUN_018071-T1, FUN_014526-T1, FUN_014403-T1, FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1, FUN_015368-T1, FUN_013968-T1	Solyc04g039980.3.1, Solyc04g039990.3.1
OG0000093	FUN_007585-T1, FUN_008357-T1, FUN_023486-T1, FUN_015864-T1, FUN_007588-T1	Solyc01g074030.3.1, Solyc01g074040.1.1
OG0000095	FUN_053310-T2, FUN_053310-T1	Solyc03g121630.3.1
OG0000095	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4	Solyc07g043270.3.1
OG0000095	FUN_053289-T2, FUN_053289-T1	Solyc08g060840.1.1
OG0000096	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1
OG0000096	FUN_032550-T1	Solyc07g043030.2.1, Solyc07g043040.1.1, Solyc07g043060.1.1, Solyc07g043050.1.1, Solyc07g043020.1.1, Solyc07g043190.2.1
OG0000097	FUN_010778-T1	Solyc03g112680.2.1
OG0000097	FUN_052250-T1	Solyc07g015990.1.1, Solyc06g006053.1.1
OG0000097	FUN_025610-T1, FUN_025606-T1, FUN_018196-T1, FUN_016809-T1, FUN_010872-T1, FUN_005885-T1	Solyc10g055290.2.1, Solyc10g055300.1.1, Solyc09g064960.1.1, Solyc03g098360.2.1, Solyc09g064990.1.1, Solyc09g064980.1.1
OG0000097	FUN_008459-T1, FUN_001750-T1, FUN_014137-T1, FUN_011797-T1, FUN_023814-T1	Solyc08g044336.1.1
OG0000098	FUN_024139-T1	Solyc04g081490.3.1, Solyc12g089310.2.1
OG0000098	FUN_036291-T1	Solyc10g080940.2.1
OG0000098	FUN_048014-T1	Solyc06g076640.3.1
OG0000098	FUN_040838-T1	Solyc10g086760.2.1, Solyc10g085020.2.1, Solyc06g035970.3.1, Solyc03g025730.3.1
OG0000099	FUN_004255-T1	Solyc04g011925.1.1, Solyc04g011920.2.1, Solyc04g051768.1.1, Solyc04g011940.2.1, Solyc04g051730.1.1
OG0000101	FUN_053190-T1	Solyc07g008960.1.1
OG0000102	FUN_043426-T1, FUN_036782-T1, FUN_036783-T1	Solyc02g077050.3.1
OG0000102	FUN_036786-T1	Solyc02g076910.3.1
OG0000103	FUN_011723-T1, FUN_046785-T1	Solyc10g005640.3.1, Solyc10g005630.3.1
OG0000103	FUN_008761-T1, FUN_008761-T2	Solyc02g078530.3.1, Solyc03g006500.3.1
OG0000104	FUN_020265-T1	Solyc10g083170.2.1
OG0000104	FUN_033750-T1	Solyc08g028690.3.1
OG0000105	FUN_046429-T1, FUN_046432-T1	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1
OG0000105	FUN_039134-T1	Solyc10g083500.2.1, Solyc09g009380.3.1
OG0000105	FUN_049962-T1	Solyc06g074480.3.1, Solyc11g067070.1.1
