"","Orthogroup","A_coerulea.proteins","A_hypochondriacus.proteins","A_thaliana.proteins","A_vesiculosa.proteins","B_vulgaris.proteins","D_muscipula.proteins","D_spatulata.proteins","G_max.proteins","L_sativa.proteins","P_amilis.proteins","S_lycopersicum.proteins","V_vinifera.proteins"
"11","OG0018237",NA,NA,NA,"Av_00000290-RA, Av_00002017-RA, Av_00007731-RA",NA,"Dm_00002765-RA","Ds_00005388-RA",NA,NA,NA,NA,NA
"12","OG0018240",NA,NA,NA,"Av_00001615-RA, Av_00009390-RA",NA,"Dm_00007007-RA","Ds_00012041-RA, Ds_00012042-RA",NA,NA,NA,NA,NA
"13","OG0018248",NA,NA,NA,"Av_00004649-RA",NA,"Dm_00000636-RA, Dm_00000637-RA, Dm_00009563-RA","Ds_00002573-RA",NA,NA,NA,NA,NA
"14","OG0018250",NA,NA,NA,"Av_00018617-RA",NA,"Dm_00009519-RA, Dm_00016238-RA","Ds_00004186-RA, Ds_00014230-RA",NA,NA,NA,NA,NA
"15","OG0018251",NA,NA,NA,"Av_00024169-RA",NA,"Dm_00021016-RA","Ds_00011303-RA, Ds_00017496-RA, Ds_00018014-RA",NA,NA,NA,NA,NA
"16","OG0019992",NA,NA,NA,"Av_00004659-RA, Av_00018252-RA",NA,"Dm_00004155-RA","Ds_00017121-RA",NA,NA,NA,NA,NA
"17","OG0019994",NA,NA,NA,"Av_00008915-RA",NA,"Dm_00019372-RA, Dm_00019373-RA","Ds_00017294-RA",NA,NA,NA,NA,NA
"18","OG0019998",NA,NA,NA,"Av_00007054-RA, Av_00011928-RA",NA,"Dm_00004395-RA","Ds_00006015-RA",NA,NA,NA,NA,NA
"19","OG0020002",NA,NA,NA,"Av_00003986-RA, Av_00019789-RA",NA,"Dm_00008337-RA","Ds_00009677-RA",NA,NA,NA,NA,NA
"20","OG0020012",NA,NA,NA,"Av_00023847-RA, Av_00023974-RA",NA,"Dm_00011169-RA","Ds_00006898-RA",NA,NA,NA,NA,NA
"21","OG0020013",NA,NA,NA,"Av_00003243-RA, Av_00017414-RA",NA,"Dm_00004076-RA","Ds_00015936-RA",NA,NA,NA,NA,NA
"22","OG0020015",NA,NA,NA,"Av_00003292-RA, Av_00024941-RA",NA,"Dm_00010792-RA","Ds_00005467-RA",NA,NA,NA,NA,NA
"23","OG0020030",NA,NA,NA,"Av_00001731-RA, Av_00011279-RA",NA,"Dm_00015703-RA","Ds_00017250-RA",NA,NA,NA,NA,NA
"24","OG0020031",NA,NA,NA,"Av_00001831-RA, Av_00013726-RA",NA,"Dm_00017580-RA","Ds_00012831-RA",NA,NA,NA,NA,NA
"25","OG0020034",NA,NA,NA,"Av_00009971-RA",NA,"Dm_00001358-RA","Ds_00002544-RA, Ds_00007631-RA",NA,NA,NA,NA,NA
"26","OG0020036",NA,NA,NA,"Av_00001441-RA",NA,"Dm_00015209-RA","Ds_00012322-RA, Ds_00014461-RA",NA,NA,NA,NA,NA
"27","OG0020041",NA,NA,NA,"Av_00022154-RA",NA,"Dm_00018360-RA, Dm_00020831-RA","Ds_00015689-RA",NA,NA,NA,NA,NA
"28","OG0020051",NA,NA,NA,"Av_00018134-RA, Av_00020663-RA",NA,"Dm_00019553-RA","Ds_00000743-RA",NA,NA,NA,NA,NA
"29","OG0020056",NA,NA,NA,"Av_00004720-RA",NA,"Dm_00000498-RA","Ds_00005852-RA, Ds_00005862-RA",NA,NA,NA,NA,NA
"30","OG0020060",NA,NA,NA,"Av_00012172-RA",NA,"Dm_00018814-RA","Ds_00009683-RA, Ds_00016839-RA",NA,NA,NA,NA,NA
"31","OG0022828",NA,NA,NA,"Av_00000926-RA",NA,"Dm_00003257-RA","Ds_00009756-RA",NA,NA,NA,NA,NA
"32","OG0022830",NA,NA,NA,"Av_00004358-RA",NA,"Dm_00013008-RA","Ds_00006014-RA",NA,NA,NA,NA,NA
"33","OG0022831",NA,NA,NA,"Av_00004445-RA",NA,"Dm_00002729-RA","Ds_00009787-RA",NA,NA,NA,NA,NA
"34","OG0022858",NA,NA,NA,"Av_00003117-RA",NA,"Dm_00009228-RA","Ds_00007590-RA",NA,NA,NA,NA,NA
"35","OG0022862",NA,NA,NA,"Av_00005001-RA",NA,"Dm_00013462-RA","Ds_00015260-RA",NA,NA,NA,NA,NA
"36","OG0022871",NA,NA,NA,"Av_00009348-RA",NA,"Dm_00016439-RA","Ds_00010886-RA",NA,NA,NA,NA,NA
"37","OG0022873",NA,NA,NA,"Av_00020609-RA",NA,"Dm_00002053-RA","Ds_00016385-RA",NA,NA,NA,NA,NA
"38","OG0022893",NA,NA,NA,"Av_00023202-RA",NA,"Dm_00009223-RA","Ds_00007594-RA",NA,NA,NA,NA,NA
"39","OG0022897",NA,NA,NA,"Av_00009942-RA",NA,"Dm_00000435-RA","Ds_00007699-RA",NA,NA,NA,NA,NA
"40","OG0022898",NA,NA,NA,"Av_00009968-RA",NA,"Dm_00001364-RA","Ds_00000520-RA",NA,NA,NA,NA,NA
"41","OG0022899",NA,NA,NA,"Av_00010051-RA",NA,"Dm_00002317-RA","Ds_00010479-RA",NA,NA,NA,NA,NA
"42","OG0022901",NA,NA,NA,"Av_00001534-RA",NA,"Dm_00009320-RA","Ds_00005090-RA",NA,NA,NA,NA,NA
"43","OG0022910",NA,NA,NA,"Av_00022707-RA",NA,"Dm_00018787-RA","Ds_00004897-RA",NA,NA,NA,NA,NA
"44","OG0022915",NA,NA,NA,"Av_00003790-RA",NA,"Dm_00000076-RA","Ds_00015369-RA",NA,NA,NA,NA,NA
"45","OG0022916",NA,NA,NA,"Av_00015787-RA",NA,"Dm_00010284-RA","Ds_00015422-RA",NA,NA,NA,NA,NA
"46","OG0022918",NA,NA,NA,"Av_00007186-RA",NA,"Dm_00004611-RA","Ds_00000318-RA",NA,NA,NA,NA,NA
"47","OG0022919",NA,NA,NA,"Av_00007210-RA",NA,"Dm_00008519-RA","Ds_00000357-RA",NA,NA,NA,NA,NA
"48","OG0022924",NA,NA,NA,"Av_00007978-RA",NA,"Dm_00003658-RA","Ds_00010384-RA",NA,NA,NA,NA,NA
"49","OG0022925",NA,NA,NA,"Av_00008006-RA",NA,"Dm_00008211-RA","Ds_00000764-RA",NA,NA,NA,NA,NA
"50","OG0022926",NA,NA,NA,"Av_00015320-RA",NA,"Dm_00006619-RA","Ds_00009419-RA",NA,NA,NA,NA,NA
"51","OG0022931",NA,NA,NA,"Av_00000489-RA",NA,"Dm_00009810-RA","Ds_00008494-RA",NA,NA,NA,NA,NA
"52","OG0022934",NA,NA,NA,"Av_00016334-RA",NA,"Dm_00014566-RA","Ds_00015495-RA",NA,NA,NA,NA,NA
"53","OG0022937",NA,NA,NA,"Av_00007811-RA",NA,"Dm_00016462-RA","Ds_00017460-RA",NA,NA,NA,NA,NA
"54","OG0022941",NA,NA,NA,"Av_00002845-RA",NA,"Dm_00013593-RA","Ds_00010350-RA",NA,NA,NA,NA,NA
"55","OG0022949",NA,NA,NA,"Av_00005578-RA",NA,"Dm_00019248-RA","Ds_00004407-RA",NA,NA,NA,NA,NA
